XFOIL	Version	6.99								
										
Calculated	polar	for:	NACA	2408						
										
1	1	Reynolds	number	fixed	Mach	number	fixed			
										
xtrf	=	1	(top)	1	(bottom)					
Mach	=	0	Re	=	0.075	e	6	Ncrit	=	9
										
alpha	CL	CD	CDp	CM	Top_Xtr	Bot_Xtr				
------	--------	---------	---------	--------	--------	--------				
-10	-0.3997	0.1117	0.10608	-0.0131	1	0.128				
-9.9	-0.3976	0.11032	0.10471	-0.0132	1	0.13				
-9.8	-0.3974	0.10902	0.10342	-0.0134	1	0.132				
-9.7	-0.3996	0.10785	0.10226	-0.014	1	0.1341				
-9.6	-0.4057	0.10693	0.10137	-0.0152	1	0.1358				
-9.5	-0.4147	0.10621	0.10069	-0.0167	1	0.1366				
-9.4	-0.4245	0.10548	0.10001	-0.0183	1	0.1371				
-9.3	-0.4335	0.10466	0.09922	-0.0199	1	0.1373				
-9.2	-0.3974	0.10037	0.09485	-0.0152	1	0.1422				
-9.1	-0.3951	0.09903	0.09351	-0.0151	1	0.1452				
-9	-0.3975	0.09782	0.09232	-0.0157	1	0.1481				
-8.9	-0.4043	0.09679	0.09133	-0.0169	1	0.1499				
-8.8	-0.4132	0.09585	0.09043	-0.0184	1	0.1508				
-8.7	-0.422	0.09486	0.08949	-0.0199	1	0.1513				
-8.6	-0.4315	0.09384	0.08852	-0.0215	1	0.1515				
-8.5	-0.441	0.09282	0.08755	-0.0231	1	0.1517				
-8.4	-0.5012	0.0991	0.09339	-0.0096	1	0.1437				
-8.3	-0.5007	0.09788	0.09219	-0.0101	1	0.1466				
-8.2	-0.5052	0.09686	0.09121	-0.0118	1	0.1492				
-8.1	-0.5154	0.09608	0.0905	-0.0147	1	0.1506				
-8	-0.5278	0.09509	0.08958	-0.0206	1	0.1514				
-7.9	-0.506	0.09232	0.08676	-0.0135	1	0.1546				
-7.8	-0.498	0.09104	0.08546	-0.0123	1	0.1589				
-7.7	-0.5004	0.08991	0.08437	-0.0133	1	0.1621				
-7.6	-0.5085	0.08875	0.08327	-0.0171	1	0.1645				
-7.5	-0.5199	0.08732	0.08185	-0.0247	1	0.1658				
-7.4	-0.5022	0.08534	0.0799	-0.0165	1	0.1692				
-7.3	-0.4962	0.08417	0.07872	-0.0153	1	0.1732				
-7.2	-0.4987	0.08282	0.0774	-0.0179	1	0.1777				
-7.1	-0.5118	0.08115	0.07572	-0.0268	1	0.1806				
