AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 14:40:15 Compatible with AeroDyn v13.0.
Polar "T1_Re0.060_M0.00_N9.0 360 M" on Foil "T1_Re0.060_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.20          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.90          Angle of attack for zero Cn for linear Cn curve (deg)
10.16407       Cn slope for zero lift for linear Cn curve (1/rad)
-0.3860        Cn at stall value for positive angle of attack for linear Cn curve
-0.3065        Cn at stall value for negative angle of attack for linear Cn curve
-2.70          Angle of attack for minimum CD (deg)
0.0263         Minimum CD value
   -180.00   -0.0264    0.0060
   -179.00    0.2968    0.0065
   -178.00    0.6198    0.0081
   -177.00    0.9280    0.0106
   -176.00    1.1427    0.0142
   -175.00    1.1523    0.0188
   -174.00    0.9834    0.0244
   -173.00    0.7801    0.0311
   -172.00    0.6259    0.0387
   -171.00    0.5288    0.0473
   -170.00    0.4734    0.0568
   -169.00    0.4450    0.0673
   -168.00    0.4335    0.0788
   -167.00    0.4325    0.0912
   -166.00    0.4382    0.1045
   -165.00    0.4481    0.1187
   -164.00    0.4606    0.1338
   -163.00    0.4746    0.1498
   -162.00    0.4895    0.1666
   -161.00    0.5047    0.1842
   -160.00    0.5200    0.2026
   -159.00    0.5350    0.2218
   -158.00    0.5496    0.2417
   -157.00    0.5637    0.2623
   -156.00    0.5772    0.2837
   -155.00    0.5899    0.3057
   -154.00    0.6019    0.3284
   -153.00    0.6130    0.3517
   -152.00    0.6233    0.3756
   -151.00    0.6327    0.4000
   -150.00    0.6412    0.4250
   -149.00    0.6488    0.4504
   -148.00    0.6555    0.4764
   -147.00    0.6612    0.5027
   -146.00    0.6659    0.5295
   -145.00    0.6698    0.5566
   -144.00    0.6726    0.5841
   -143.00    0.6746    0.6119
   -142.00    0.6756    0.6400
   -141.00    0.6757    0.6682
   -140.00    0.6749    0.6967
   -139.00    0.6733    0.7254
   -138.00    0.6707    0.7542
   -137.00    0.6672    0.7830
   -136.00    0.6629    0.8120
   -135.00    0.6578    0.8409
   -134.00    0.6518    0.8699
   -133.00    0.6451    0.8988
   -132.00    0.6375    0.9276
   -131.00    0.6292    0.9563
   -130.00    0.6201    0.9849
   -129.00    0.6103    1.0133
   -128.00    0.5999    1.0414
   -127.00    0.5887    1.0694
   -126.00    0.5769    1.0970
   -125.00    0.5644    1.1243
   -124.00    0.5514    1.1513
   -123.00    0.5377    1.1778
   -122.00    0.5235    1.2040
   -121.00    0.5087    1.2297
   -120.00    0.4934    1.2549
   -119.00    0.4776    1.2796
   -118.00    0.4614    1.3038
   -117.00    0.4447    1.3274
   -116.00    0.4276    1.3504
   -115.00    0.4100    1.3728
   -114.00    0.3921    1.3946
   -113.00    0.3739    1.4156
   -112.00    0.3553    1.4360
   -111.00    0.3364    1.4556
   -110.00    0.3172    1.4745
   -109.00    0.2978    1.4926
   -108.00    0.2774    1.5100
   -107.00    0.2575    1.5265
   -106.00    0.2374    1.5421
   -105.00    0.2171    1.5569
   -104.00    0.1967    1.5709
   -103.00    0.1762    1.5839
   -102.00    0.1555    1.5961
   -101.00    0.1348    1.6073
   -100.00    0.1139    1.6176
    -99.00    0.0931    1.6270
    -98.00    0.0722    1.6354
    -97.00    0.0513    1.6428
    -96.00    0.0303    1.6493
    -95.00    0.0095    1.6548
    -94.00   -0.0114    1.6593
    -93.00   -0.0322    1.6628
    -92.00   -0.0529    1.6653
    -91.00   -0.0735    1.6668
    -90.00   -0.0939    1.6673
    -89.00   -0.1143    1.6668
    -88.00   -0.1345    1.6653
    -87.00   -0.1545    1.6628
    -86.00   -0.1744    1.6593
    -85.00   -0.1940    1.6548
    -84.00   -0.2135    1.6493
    -83.00   -0.2327    1.6428
    -82.00   -0.2517    1.6354
    -81.00   -0.2704    1.6270
    -80.00   -0.2888    1.6176
    -79.00   -0.3069    1.6073
    -78.00   -0.3248    1.5961
    -77.00   -0.3423    1.5839
    -76.00   -0.3595    1.5709
    -75.00   -0.3763    1.5569
    -74.00   -0.3928    1.5421
    -73.00   -0.4089    1.5264
    -72.00   -0.4246    1.5099
    -71.00   -0.4399    1.4926
    -70.00   -0.4547    1.4745
    -69.00   -0.4692    1.4556
    -68.00   -0.4832    1.4359
    -67.00   -0.4967    1.4156
    -66.00   -0.5098    1.3945
    -65.00   -0.5224    1.3728
    -64.00   -0.5345    1.3504
    -63.00   -0.5461    1.3274
    -62.00   -0.5572    1.3037
    -61.00   -0.5678    1.2796
    -60.00   -0.5778    1.2548
    -59.00   -0.5872    1.2296
    -58.00   -0.5961    1.2039
    -57.00   -0.6044    1.1777
    -56.00   -0.6122    1.1512
    -55.00   -0.6193    1.1242
    -54.00   -0.6259    1.0969
    -53.00   -0.6318    1.0693
    -52.00   -0.6371    1.0413
    -51.00   -0.6418    1.0132
    -50.00   -0.6458    0.9848
    -49.00   -0.6492    0.9562
    -48.00   -0.6519    0.9275
    -47.00   -0.6540    0.8987
    -46.00   -0.6554    0.8697
    -45.00   -0.6561    0.8408
    -44.00   -0.6561    0.8118
    -43.00   -0.6555    0.7829
    -42.00   -0.6541    0.7540
    -41.00   -0.6521    0.7252
    -40.00   -0.6494    0.6965
    -39.00   -0.6460    0.6680
    -38.00   -0.6418    0.6398
    -37.00   -0.6370    0.6117
    -36.00   -0.6315    0.5839
    -35.00   -0.6252    0.5564
    -34.00   -0.6183    0.5293
    -33.00   -0.6107    0.5025
    -32.00   -0.6024    0.4761
    -31.00   -0.5934    0.4502
    -30.00   -0.5837    0.4247
    -29.00   -0.5734    0.3997
    -28.00   -0.5624    0.3753
    -27.00   -0.5508    0.3514
    -26.00   -0.5385    0.3281
    -25.00   -0.5256    0.3054
    -24.00   -0.5122    0.2833
    -23.00   -0.4981    0.2620
    -22.00   -0.4835    0.2413
    -21.00   -0.4684    0.2213
    -20.00   -0.4528    0.2021
    -19.00   -0.4368    0.1837
    -18.00   -0.4203    0.1661
    -17.00   -0.4035    0.1493
    -16.00   -0.3864    0.1333
    -15.00   -0.3691    0.1182
    -14.00   -0.3516    0.1039
    -13.00   -0.3341    0.0906
    -12.00   -0.3166    0.0782
    -11.00   -0.2993    0.0667
    -10.00   -0.3718    0.1141
     -9.90   -0.3848    0.1140
     -9.80   -0.4261    0.1159
     -9.60   -0.5425    0.0866
     -9.50   -0.5382    0.0849
     -9.40   -0.5336    0.0832
     -9.30   -0.5307    0.0816
     -9.20   -0.5319    0.0798
     -9.10   -0.5374    0.0779
     -9.00   -0.5470    0.0759
     -8.90   -0.5605    0.0739
     -8.80   -0.5770    0.0716
     -8.70   -0.5976    0.0689
     -8.60   -0.6265    0.0656
     -8.50   -0.7119    0.0586
     -8.30   -0.7196    0.0553
     -8.20   -0.7205    0.0537
     -8.10   -0.7196    0.0524
     -8.00   -0.7176    0.0513
     -7.90   -0.7121    0.0506
     -7.80   -0.7088    0.0497
     -7.70   -0.7066    0.0488
     -7.60   -0.7050    0.0478
     -7.50   -0.7036    0.0468
     -7.40   -0.7022    0.0457
     -7.30   -0.7007    0.0447
     -7.20   -0.6991    0.0436
     -7.10   -0.6974    0.0426
     -7.00   -0.6960    0.0416
     -6.90   -0.6948    0.0407
     -6.80   -0.6892    0.0398
     -6.70   -0.6823    0.0395
     -6.60   -0.6756    0.0392
