AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 14:40:15 Compatible with AeroDyn v13.0.
Polar "T1_Re0.095_M0.00_N9.0 360 M" on Foil "T1_Re0.095_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.30          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.21          Angle of attack for zero Cn for linear Cn curve (deg)
10.25706       Cn slope for zero lift for linear Cn curve (1/rad)
-0.7575        Cn at stall value for positive angle of attack for linear Cn curve
-0.6986        Cn at stall value for negative angle of attack for linear Cn curve
1.60           Angle of attack for minimum CD (deg)
0.0181         Minimum CD value
   -180.00   -0.0355    0.0060
   -179.00    0.1029    0.0065
   -178.00    0.2404    0.0081
   -177.00    0.3699    0.0106
   -176.00    0.4716    0.0142
   -175.00    0.5219    0.0188
   -174.00    0.5180    0.0244
   -173.00    0.4837    0.0311
   -172.00    0.4452    0.0387
   -171.00    0.4160    0.0473
   -170.00    0.3988    0.0568
   -169.00    0.3919    0.0673
   -168.00    0.3926    0.0788
   -167.00    0.3986    0.0912
   -166.00    0.4081    0.1045
   -165.00    0.4199    0.1187
   -164.00    0.4331    0.1338
   -163.00    0.4470    0.1498
   -162.00    0.4613    0.1666
   -161.00    0.4755    0.1842
   -160.00    0.4895    0.2026
   -159.00    0.5030    0.2218
   -158.00    0.5161    0.2417
   -157.00    0.5284    0.2623
   -156.00    0.5401    0.2837
   -155.00    0.5509    0.3057
   -154.00    0.5609    0.3284
   -153.00    0.5701    0.3517
   -152.00    0.5784    0.3756
   -151.00    0.5858    0.4000
   -150.00    0.5924    0.4250
   -149.00    0.5980    0.4504
   -148.00    0.6027    0.4764
   -147.00    0.6065    0.5027
   -146.00    0.6094    0.5295
   -145.00    0.6114    0.5567
   -144.00    0.6125    0.5841
   -143.00    0.6128    0.6119
   -142.00    0.6122    0.6400
   -141.00    0.6108    0.6682
   -140.00    0.6086    0.6967
   -139.00    0.6055    0.7254
   -138.00    0.6017    0.7542
   -137.00    0.5971    0.7830
   -136.00    0.5918    0.8120
   -135.00    0.5857    0.8409
   -134.00    0.5790    0.8699
   -133.00    0.5716    0.8988
   -132.00    0.5635    0.9276
   -131.00    0.5548    0.9563
   -130.00    0.5455    0.9849
   -129.00    0.5356    1.0133
   -128.00    0.5251    1.0415
   -127.00    0.5141    1.0694
   -126.00    0.5026    1.0970
   -125.00    0.4906    1.1243
   -124.00    0.4782    1.1513
   -123.00    0.4653    1.1778
   -122.00    0.4520    1.2040
   -121.00    0.4383    1.2297
   -120.00    0.4242    1.2549
   -119.00    0.4098    1.2796
   -118.00    0.3951    1.3038
   -117.00    0.3800    1.3274
   -116.00    0.3647    1.3504
   -115.00    0.3491    1.3728
   -114.00    0.3332    1.3946
   -113.00    0.3172    1.4156
   -112.00    0.3009    1.4360
   -111.00    0.2844    1.4556
   -110.00    0.2678    1.4745
   -109.00    0.2505    1.4926
   -108.00    0.2336    1.5100
   -107.00    0.2166    1.5265
   -106.00    0.1995    1.5421
