AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:31 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-176.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.23          Angle of attack for zero Cn for linear Cn curve (deg)
9.63586        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3058        Cn at stall value for positive angle of attack for linear Cn curve
-0.3171        Cn at stall value for negative angle of attack for linear Cn curve
-3.30          Angle of attack for minimum CD (deg)
0.0343         Minimum CD value
   -180.00   -0.0073    0.0060
   -179.00    0.4071    0.0065
   -178.00    0.8214    0.0080
   -177.00    1.2198    0.0106
   -176.00    1.4910    0.0141
   -175.00    1.4636    0.0187
   -174.00    1.1933    0.0242
   -173.00    0.9046    0.0307
   -172.00    0.7012    0.0382
   -171.00    0.5789    0.0467
   -170.00    0.5107    0.0562
   -169.00    0.4757    0.0665
   -168.00    0.4608    0.0779
   -167.00    0.4582    0.0901
   -166.00    0.4633    0.1032
   -165.00    0.4731    0.1173
   -164.00    0.4859    0.1322
   -163.00    0.5006    0.1479
   -162.00    0.5163    0.1645
   -161.00    0.5325    0.1819
   -160.00    0.5489    0.2000
   -159.00    0.5652    0.2189
   -158.00    0.5811    0.2386
   -157.00    0.5965    0.2590
   -156.00    0.6113    0.2801
   -155.00    0.6255    0.3018
   -154.00    0.6389    0.3242
   -153.00    0.6516    0.3472
   -152.00    0.6633    0.3707
   -151.00    0.6742    0.3949
   -150.00    0.6842    0.4195
   -149.00    0.6933    0.4446
   -148.00    0.7014    0.4702
   -147.00    0.7086    0.4962
   -146.00    0.7148    0.5227
   -145.00    0.7200    0.5494
   -144.00    0.7242    0.5766
   -143.00    0.7275    0.6040
   -142.00    0.7297    0.6316
   -141.00    0.7310    0.6596
   -140.00    0.7313    0.6877
   -139.00    0.7307    0.7159
   -138.00    0.7290    0.7443
   -137.00    0.7265    0.7728
   -136.00    0.7230    0.8014
   -135.00    0.7185    0.8300
   -134.00    0.7131    0.8585
   -133.00    0.7069    0.8871
   -132.00    0.6997    0.9155
   -131.00    0.6917    0.9439
   -130.00    0.6828    0.9720
   -129.00    0.6730    1.0000
   -128.00    0.6625    1.0278
   -127.00    0.6511    1.0554
   -126.00    0.6390    1.0826
   -125.00    0.6261    1.1096
   -124.00    0.6125    1.1362
   -123.00    0.5982    1.1624
   -122.00    0.5831    1.1882
   -121.00    0.5675    1.2136
   -120.00    0.5511    1.2385
   -119.00    0.5342    1.2629
   -118.00    0.5166    1.2867
   -117.00    0.4985    1.3100
   -116.00    0.4799    1.3327
   -115.00    0.4607    1.3548
   -114.00    0.4411    1.3763
   -113.00    0.4210    1.3971
   -112.00    0.4004    1.4172
   -111.00    0.3795    1.4365
   -110.00    0.3581    1.4552
   -109.00    0.3364    1.4730
   -108.00    0.3134    1.4901
   -107.00    0.2911    1.5064
   -106.00    0.2685    1.5219
   -105.00    0.2457    1.5365
   -104.00    0.2226    1.5502
   -103.00    0.1993    1.5631
   -102.00    0.1759    1.5751
   -101.00    0.1523    1.5862
   -100.00    0.1286    1.5964
    -99.00    0.1048    1.6056
    -98.00    0.0810    1.6139
    -97.00    0.0571    1.6212
    -96.00    0.0332    1.6276
    -95.00    0.0093    1.6330
    -94.00   -0.0145    1.6375
    -93.00   -0.0383    1.6409
    -92.00   -0.0620    1.6434
    -91.00   -0.0856    1.6449
    -90.00   -0.1091    1.6454
    -89.00   -0.1324    1.6449
    -88.00   -0.1555    1.6434
    -87.00   -0.1784    1.6409
    -86.00   -0.2011    1.6374
    -85.00   -0.2236    1.6330
    -84.00   -0.2457    1.6276
    -83.00   -0.2676    1.6212
    -82.00   -0.2892    1.6139
    -81.00   -0.3105    1.6056
    -80.00   -0.3314    1.5963
    -79.00   -0.3519    1.5862
    -78.00   -0.3720    1.5751
    -77.00   -0.3918    1.5631
    -76.00   -0.4111    1.5502
    -75.00   -0.4299    1.5364
    -74.00   -0.4483    1.5218
    -73.00   -0.4663    1.5064
    -72.00   -0.4837    1.4901
    -71.00   -0.5006    1.4730
    -70.00   -0.5170    1.4551
    -69.00   -0.5328    1.4365
    -68.00   -0.5481    1.4171
    -67.00   -0.5629    1.3970
    -66.00   -0.5770    1.3762
    -65.00   -0.5906    1.3547
    -64.00   -0.6035    1.3327
    -63.00   -0.6158    1.3099
    -62.00   -0.6275    1.2866
    -61.00   -0.6385    1.2628
    -60.00   -0.6489    1.2384
    -59.00   -0.6586    1.2135
    -58.00   -0.6677    1.1881
    -57.00   -0.6760    1.1623
    -56.00   -0.6837    1.1361
    -55.00   -0.6907    1.1095
    -54.00   -0.6969    1.0825
    -53.00   -0.7025    1.0553
    -52.00   -0.7073    1.0277
    -51.00   -0.7114    0.9999
    -50.00   -0.7148    0.9719
    -49.00   -0.7174    0.9437
    -48.00   -0.7194    0.9154
    -47.00   -0.7205    0.8869
    -46.00   -0.7209    0.8584
    -45.00   -0.7206    0.8298
    -44.00   -0.7196    0.8012
    -43.00   -0.7177    0.7727
    -42.00   -0.7152    0.7442
    -41.00   -0.7119    0.7157
    -40.00   -0.7078    0.6875
    -39.00   -0.7031    0.6594
    -38.00   -0.6975    0.6314
    -37.00   -0.6913    0.6037
    -36.00   -0.6843    0.5763
    -35.00   -0.6766    0.5492
    -34.00   -0.6682    0.5224
    -33.00   -0.6591    0.4960
    -32.00   -0.6493    0.4700
    -31.00   -0.6388    0.4444
    -30.00   -0.6276    0.4192
    -29.00   -0.6158    0.3946
    -28.00   -0.6033    0.3704
    -27.00   -0.5902    0.3469
    -26.00   -0.5764    0.3239
    -25.00   -0.5621    0.3015
    -24.00   -0.5471    0.2797
    -23.00   -0.5316    0.2587
    -22.00   -0.5156    0.2383
    -21.00   -0.4990    0.2186
    -20.00   -0.4819    0.1996
    -19.00   -0.4644    0.1815
    -18.00   -0.4464    0.1641
    -17.00   -0.4279    0.1475
    -16.00   -0.4091    0.1318
    -15.00   -0.3900    0.1169
    -14.00   -0.3705    0.1028
    -13.00   -0.3506    0.0897
    -12.00   -0.3305    0.0775
    -11.00   -0.3101    0.0662
    -10.00   -0.3051    0.1188
     -9.90   -0.2901    0.1169
     -9.00   -0.6043    0.0765
     -8.90   -0.6191    0.0748
     -8.80   -0.6349    0.0729
     -8.70   -0.6515    0.0710
     -8.60   -0.6686    0.0691
     -8.50   -0.6858    0.0672
     -8.40   -0.7025    0.0652
     -8.30   -0.7184    0.0633
     -8.20   -0.7330    0.0614
     -8.10   -0.7463    0.0596
     -8.00   -0.7583    0.0578
     -7.90   -0.7692    0.0560
     -7.80   -0.7793    0.0542
     -7.70   -0.7868    0.0526
     -7.60   -0.7695    0.0531
     -7.50   -0.7650    0.0527
     -7.40   -0.7657    0.0518
     -7.30   -0.7686    0.0506
     -7.20   -0.7733    0.0492
     -7.10   -0.7792    0.0476
     -7.00   -0.7681    0.0476
     -6.90   -0.7617    0.0474
     -6.80   -0.7589    0.0466
     -6.70   -0.7582    0.0456
     -6.60   -0.7597    0.0444
     -6.50   -0.7529    0.0440
     -6.40   -0.7455    0.0438
     -6.30   -0.7410    0.0433
     -6.20   -0.7391    0.0424
     -6.10   -0.7345    0.0417
     -6.00   -0.7269    0.0416
     -5.90   -0.7212    0.0412
     -5.80   -0.7176    0.0404
     -5.70   -0.7117    0.0400
     -5.60   -0.7046    0.0398
     -5.50   -0.6990    0.0394
     -5.40   -0.6944    0.0387
     -5.30   -0.6871    0.0385
     -5.20   -0.6806    0.0383
     -5.10   -0.6755    0.0377
     -5.00   -0.6685    0.0375
     -4.90   -0.6619    0.0373
     -4.80   -0.6561    0.0368
     -4.70   -0.6491    0.0367
     -4.60   -0.6425    0.0365
     -4.50   -0.6363    0.0361
     -4.40   -0.6295    0.0360
     -4.30   -0.6229    0.0358
     -4.20   -0.6163    0.0355
     -4.10   -0.6096    0.0354
