AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:31 Compatible with AeroDyn v13.0.
Polar "T1_Re0.055_M0.00_N9.0 360 M" on Foil "T1_Re0.055_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-176.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.19          Angle of attack for zero Cn for linear Cn curve (deg)
10.57280       Cn slope for zero lift for linear Cn curve (1/rad)
-0.6762        Cn at stall value for positive angle of attack for linear Cn curve
-0.5625        Cn at stall value for negative angle of attack for linear Cn curve
-3.80          Angle of attack for minimum CD (deg)
0.0335         Minimum CD value
   -180.00   -0.0056    0.0060
   -179.00    0.3904    0.0065
   -178.00    0.7863    0.0080
   -177.00    1.1664    0.0106
   -176.00    1.4260    0.0141
   -175.00    1.4071    0.0187
   -174.00    1.1584    0.0242
   -173.00    0.8870    0.0307
   -172.00    0.6933    0.0382
   -171.00    0.5758    0.0467
   -170.00    0.5101    0.0562
   -169.00    0.4765    0.0665
   -168.00    0.4624    0.0779
   -167.00    0.4604    0.0901
   -166.00    0.4659    0.1032
   -165.00    0.4761    0.1173
   -164.00    0.4892    0.1322
   -163.00    0.5042    0.1479
   -162.00    0.5201    0.1645
   -161.00    0.5366    0.1819
   -160.00    0.5532    0.2000
   -159.00    0.5697    0.2189
   -158.00    0.5859    0.2386
   -157.00    0.6016    0.2590
   -156.00    0.6167    0.2801
   -155.00    0.6311    0.3018
   -154.00    0.6448    0.3242
   -153.00    0.6577    0.3472
   -152.00    0.6698    0.3707
   -151.00    0.6809    0.3949
   -150.00    0.6912    0.4195
   -149.00    0.7005    0.4446
   -148.00    0.7088    0.4702
   -147.00    0.7162    0.4962
   -146.00    0.7227    0.5227
   -145.00    0.7281    0.5494
   -144.00    0.7325    0.5766
   -143.00    0.7360    0.6040
   -142.00    0.7385    0.6316
   -141.00    0.7399    0.6596
   -140.00    0.7404    0.6877
   -139.00    0.7399    0.7159
   -138.00    0.7385    0.7443
   -137.00    0.7360    0.7728
   -136.00    0.7326    0.8014
   -135.00    0.7283    0.8300
   -134.00    0.7230    0.8585
   -133.00    0.7168    0.8871
   -132.00    0.7097    0.9155
   -131.00    0.7017    0.9439
   -130.00    0.6928    0.9720
   -129.00    0.6830    1.0001
   -128.00    0.6725    1.0278
   -127.00    0.6611    1.0554
   -126.00    0.6489    1.0826
   -125.00    0.6359    1.1096
   -124.00    0.6222    1.1362
   -123.00    0.6078    1.1624
   -122.00    0.5926    1.1882
   -121.00    0.5768    1.2136
   -120.00    0.5603    1.2385
   -119.00    0.5431    1.2629
   -118.00    0.5254    1.2867
   -117.00    0.5071    1.3100
   -116.00    0.4882    1.3327
   -115.00    0.4688    1.3548
   -114.00    0.4488    1.3763
   -113.00    0.4284    1.3971
   -112.00    0.4076    1.4172
   -111.00    0.3863    1.4365
   -110.00    0.3646    1.4552
   -109.00    0.3425    1.4730
   -108.00    0.3198    1.4901
   -107.00    0.2971    1.5064
   -106.00    0.2741    1.5219
   -105.00    0.2509    1.5365
   -104.00    0.2274    1.5503
   -103.00    0.2037    1.5631
   -102.00    0.1799    1.5751
   -101.00    0.1559    1.5862
   -100.00    0.1318    1.5964
    -99.00    0.1075    1.6056
    -98.00    0.0833    1.6139
    -97.00    0.0589    1.6213
    -96.00    0.0346    1.6276
    -95.00    0.0103    1.6331
    -94.00   -0.0140    1.6375
    -93.00   -0.0383    1.6409
    -92.00   -0.0624    1.6434
    -91.00   -0.0864    1.6449
    -90.00   -0.1103    1.6454
    -89.00   -0.1341    1.6449
    -88.00   -0.1576    1.6434
    -87.00   -0.1810    1.6409
    -86.00   -0.2041    1.6375
    -85.00   -0.2269    1.6331
    -84.00   -0.2495    1.6276
    -83.00   -0.2718    1.6213
    -82.00   -0.2937    1.6139
