AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:31 Compatible with AeroDyn v13.0.
Polar "T1_Re0.060_M0.00_N9.0 360 M" on Foil "T1_Re0.060_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
11.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.41          Angle of attack for zero Cn for linear Cn curve (deg)
11.52299       Cn slope for zero lift for linear Cn curve (1/rad)
0.5000         Cn at stall value for positive angle of attack for linear Cn curve
-0.7355        Cn at stall value for negative angle of attack for linear Cn curve
-3.00          Angle of attack for minimum CD (deg)
0.0328         Minimum CD value
   -180.00   -0.0253    0.0060
   -179.00    0.0691    0.0065
   -178.00    0.1632    0.0080
   -177.00    0.2543    0.0106
   -176.00    0.3348    0.0141
   -175.00    0.3932    0.0187
   -174.00    0.4222    0.0242
   -173.00    0.4262    0.0307
   -172.00    0.4179    0.0382
   -171.00    0.4084    0.0467
   -170.00    0.4035    0.0562
   -169.00    0.4046    0.0665
   -168.00    0.4111    0.0779
   -167.00    0.4217    0.0901
   -166.00    0.4354    0.1032
   -165.00    0.4511    0.1173
   -164.00    0.4682    0.1322
   -163.00    0.4860    0.1479
   -162.00    0.5043    0.1645
   -161.00    0.5227    0.1818
   -160.00    0.5409    0.2000
   -159.00    0.5588    0.2189
   -158.00    0.5762    0.2386
   -157.00    0.5931    0.2590
   -156.00    0.6093    0.2800
   -155.00    0.6248    0.3018
   -154.00    0.6395    0.3242
   -153.00    0.6534    0.3471
   -152.00    0.6664    0.3707
   -151.00    0.6785    0.3948
   -150.00    0.6897    0.4194
   -149.00    0.6999    0.4446
   -148.00    0.7091    0.4702
   -147.00    0.7174    0.4962
   -146.00    0.7247    0.5226
   -145.00    0.7310    0.5494
   -144.00    0.7362    0.5765
   -143.00    0.7405    0.6039
   -142.00    0.7437    0.6315
   -141.00    0.7459    0.6594
   -140.00    0.7471    0.6875
   -139.00    0.7473    0.7158
   -138.00    0.7465    0.7442
   -137.00    0.7447    0.7727
   -136.00    0.7418    0.8012
   -135.00    0.7381    0.8298
   -134.00    0.7333    0.8584
   -133.00    0.7276    0.8869
   -132.00    0.7209    0.9153
   -131.00    0.7133    0.9436
   -130.00    0.7048    0.9718
   -129.00    0.6954    0.9998
   -128.00    0.6851    1.0276
   -127.00    0.6740    1.0551
   -126.00    0.6620    1.0824
   -125.00    0.6492    1.1093
   -124.00    0.6356    1.1359
   -123.00    0.6212    1.1621
   -122.00    0.6061    1.1879
   -121.00    0.5902    1.2132
   -120.00    0.5737    1.2381
   -119.00    0.5565    1.2625
   -118.00    0.5386    1.2863
   -117.00    0.5201    1.3096
   -116.00    0.5010    1.3323
   -115.00    0.4813    1.3543
   -114.00    0.4611    1.3758
   -113.00    0.4404    1.3965
   -112.00    0.4191    1.4166
   -111.00    0.3975    1.4359
   -110.00    0.3754    1.4545
   -109.00    0.3464    1.4724
   -108.00    0.3234    1.4894
   -107.00    0.3000    1.5057
   -106.00    0.2764    1.5211
   -105.00    0.2524    1.5357
   -104.00    0.2282    1.5494
   -103.00    0.2038    1.5623
   -102.00    0.1792    1.5742
   -101.00    0.1544    1.5853
   -100.00    0.1294    1.5954
