AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:31 Compatible with AeroDyn v13.0.
Polar "T1_Re0.070_M0.00_N9.0 360 M" on Foil "T1_Re0.070_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.63          Angle of attack for zero Cn for linear Cn curve (deg)
11.40630       Cn slope for zero lift for linear Cn curve (1/rad)
0.9412         Cn at stall value for positive angle of attack for linear Cn curve
-0.7393        Cn at stall value for negative angle of attack for linear Cn curve
2.00           Angle of attack for minimum CD (deg)
0.0282         Minimum CD value
   -180.00   -0.0143    0.0060
   -179.00    0.1057    0.0065
   -178.00    0.2255    0.0080
   -177.00    0.3415    0.0106
   -176.00    0.4415    0.0141
   -175.00    0.5061    0.0187
   -174.00    0.5242    0.0242
   -173.00    0.5068    0.0307
   -172.00    0.4765    0.0382
   -171.00    0.4500    0.0467
   -170.00    0.4333    0.0562
   -169.00    0.4265    0.0665
   -168.00    0.4277    0.0779
   -167.00    0.4346    0.0901
   -166.00    0.4455    0.1032
   -165.00    0.4592    0.1173
   -164.00    0.4745    0.1322
   -163.00    0.4909    0.1479
   -162.00    0.5079    0.1645
   -161.00    0.5250    0.1819
   -160.00    0.5421    0.2000
   -159.00    0.5588    0.2189
   -158.00    0.5752    0.2386
   -157.00    0.5910    0.2590
   -156.00    0.6061    0.2801
   -155.00    0.6205    0.3018
   -154.00    0.6342    0.3242
   -153.00    0.6470    0.3472
   -152.00    0.6589    0.3707
   -151.00    0.6700    0.3949
   -150.00    0.6802    0.4195
   -149.00    0.6894    0.4446
   -148.00    0.6977    0.4702
   -147.00    0.7050    0.4962
   -146.00    0.7113    0.5227
   -145.00    0.7166    0.5494
   -144.00    0.7210    0.5766
   -143.00    0.7244    0.6040
   -142.00    0.7268    0.6316
   -141.00    0.7282    0.6596
   -140.00    0.7286    0.6877
   -139.00    0.7281    0.7159
   -138.00    0.7265    0.7443
   -137.00    0.7241    0.7728
   -136.00    0.7207    0.8014
   -135.00    0.7163    0.8300
   -134.00    0.7111    0.8585
   -133.00    0.7049    0.8871
   -132.00    0.6978    0.9155
   -131.00    0.6899    0.9439
   -130.00    0.6811    0.9720
   -129.00    0.6715    1.0000
   -128.00    0.6610    1.0278
   -127.00    0.6497    1.0554
   -126.00    0.6377    1.0826
   -125.00    0.6249    1.1096
   -124.00    0.6114    1.1362
   -123.00    0.5971    1.1624
   -122.00    0.5822    1.1882
   -121.00    0.5666    1.2136
   -120.00    0.5503    1.2385
   -119.00    0.5334    1.2629
   -118.00    0.5160    1.2867
   -117.00    0.4979    1.3100
   -116.00    0.4793    1.3327
   -115.00    0.4602    1.3548
   -114.00    0.4407    1.3763
   -113.00    0.4206    1.3971
   -112.00    0.4001    1.4172
   -111.00    0.3792    1.4365
   -110.00    0.3579    1.4552
   -109.00    0.3357    1.4730
   -108.00    0.3137    1.4901
   -107.00    0.2914    1.5064
   -106.00    0.2689    1.5219
   -105.00    0.2461    1.5365
   -104.00    0.2231    1.5502
   -103.00    0.1999    1.5631
   -102.00    0.1765    1.5751
   -101.00    0.1530    1.5862
   -100.00    0.1294    1.5964
    -99.00    0.1056    1.6056
    -98.00    0.0818    1.6139
    -97.00    0.0580    1.6212
    -96.00    0.0342    1.6276
    -95.00    0.0103    1.6330
    -94.00   -0.0135    1.6375
    -93.00   -0.0372    1.6409
    -92.00   -0.0608    1.6434
    -91.00   -0.0844    1.6449
    -90.00   -0.1078    1.6454
    -89.00   -0.1310    1.6449
    -88.00   -0.1541    1.6434
    -87.00   -0.1770    1.6409
    -86.00   -0.1996    1.6374
    -85.00   -0.2220    1.6330
    -84.00   -0.2441    1.6276
    -83.00   -0.2659    1.6212
    -82.00   -0.2875    1.6139
    -81.00   -0.3086    1.6056
    -80.00   -0.3295    1.5963
    -79.00   -0.3499    1.5862
    -78.00   -0.3700    1.5751
    -77.00   -0.3897    1.5631
    -76.00   -0.4089    1.5502
    -75.00   -0.4277    1.5364
    -74.00   -0.4460    1.5218
    -73.00   -0.4639    1.5063
    -72.00   -0.4812    1.4901
    -71.00   -0.4981    1.4730
    -70.00   -0.5144    1.4551
    -69.00   -0.5301    1.4364
