AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:32 Compatible with AeroDyn v13.0.
Polar "T1_Re0.115_M0.00_N9.0 360 M" on Foil "T1_Re0.115_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.71          Angle of attack for zero Cn for linear Cn curve (deg)
7.13830        Cn slope for zero lift for linear Cn curve (1/rad)
1.1484         Cn at stall value for positive angle of attack for linear Cn curve
-0.8758        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0178         Minimum CD value
   -180.00   -0.0516    0.0060
   -179.00    0.0676    0.0065
   -178.00    0.1852    0.0080
   -177.00    0.2940    0.0106
   -176.00    0.3781    0.0141
   -175.00    0.4224    0.0187
   -174.00    0.4276    0.0242
   -173.00    0.4110    0.0307
   -172.00    0.3903    0.0382
   -171.00    0.3753    0.0467
   -170.00    0.3684    0.0562
   -169.00    0.3689    0.0665
   -168.00    0.3751    0.0779
   -167.00    0.3854    0.0901
   -166.00    0.3985    0.1032
   -165.00    0.4134    0.1173
   -164.00    0.4295    0.1322
   -163.00    0.4463    0.1479
   -162.00    0.4633    0.1645
   -161.00    0.4802    0.1818
   -160.00    0.4969    0.2000
   -159.00    0.5133    0.2189
   -158.00    0.5290    0.2386
   -157.00    0.5442    0.2590
   -156.00    0.5587    0.2801
   -155.00    0.5724    0.3018
   -154.00    0.5853    0.3242
   -153.00    0.5974    0.3471
   -152.00    0.6086    0.3707
   -151.00    0.6189    0.3948
   -150.00    0.6283    0.4195
   -149.00    0.6368    0.4446
   -148.00    0.6443    0.4702
   -147.00    0.6509    0.4962
   -146.00    0.6566    0.5226
   -145.00    0.6612    0.5494
   -144.00    0.6650    0.5765
   -143.00    0.6678    0.6039
   -142.00    0.6696    0.6316
   -141.00    0.6705    0.6595
   -140.00    0.6705    0.6876
   -139.00    0.6696    0.7158
   -138.00    0.6678    0.7442
   -137.00    0.6650    0.7727
   -136.00    0.6614    0.8013
   -135.00    0.6570    0.8298
   -134.00    0.6517    0.8584
   -133.00    0.6455    0.8869
   -132.00    0.6386    0.9154
   -131.00    0.6308    0.9437
   -130.00    0.6223    0.9719
   -129.00    0.6130    0.9999
   -128.00    0.6030    1.0276
   -127.00    0.5922    1.0552
   -126.00    0.5808    1.0824
   -125.00    0.5687    1.1094
   -124.00    0.5560    1.1359
   -123.00    0.5426    1.1621
   -122.00    0.5287    1.1879
   -121.00    0.5141    1.2133
   -120.00    0.4990    1.2382
   -119.00    0.4834    1.2625
   -118.00    0.4673    1.2864
   -117.00    0.4507    1.3097
   -116.00    0.4336    1.3324
   -115.00    0.4161    1.3544
   -114.00    0.3982    1.3759
   -113.00    0.3799    1.3966
   -112.00    0.3613    1.4167
   -111.00    0.3423    1.4361
   -110.00    0.3230    1.4547
   -109.00    0.2969    1.4725
   -108.00    0.2769    1.4896
   -107.00    0.2567    1.5058
   -106.00    0.2362    1.5213
   -105.00    0.2156    1.5359
   -104.00    0.1947    1.5496
   -103.00    0.1737    1.5624
   -102.00    0.1526    1.5744
   -101.00    0.1314    1.5855
   -100.00    0.1101    1.5956
    -99.00    0.0887    1.6048
    -98.00    0.0672    1.6130
    -97.00    0.0457    1.6203
    -96.00    0.0243    1.6267
    -95.00    0.0028    1.6320
    -94.00   -0.0187    1.6364
    -93.00   -0.0400    1.6399
    -92.00   -0.0614    1.6423
    -91.00   -0.0826    1.6437
    -90.00   -0.1037    1.6442
    -89.00   -0.1247    1.6436
    -88.00   -0.1455    1.6421
    -87.00   -0.1662    1.6395
    -86.00   -0.1867    1.6360
    -85.00   -0.2071    1.6315
    -84.00   -0.2272    1.6260
    -83.00   -0.2470    1.6196
    -82.00   -0.2667    1.6122
    -81.00   -0.2860    1.6038
    -80.00   -0.3051    1.5945
    -79.00   -0.3239    1.5843
    -78.00   -0.3424    1.5731
    -77.00   -0.3606    1.5610
    -76.00   -0.3784    1.5480
    -75.00   -0.3959    1.5342
    -74.00   -0.4131    1.5195
    -73.00   -0.4298    1.5039
    -72.00   -0.4462    1.4875
    -71.00   -0.4622    1.4703
    -70.00   -0.4777    1.4523
    -69.00   -0.4928    1.4336
    -68.00   -0.5075    1.4141
    -67.00   -0.5218    1.3939
    -66.00   -0.5356    1.3729
    -65.00   -0.5489    1.3513
    -64.00   -0.5617    1.3291
    -63.00   -0.5741    1.3062
    -62.00   -0.5860    1.2828
    -61.00   -0.5973    1.2588
    -60.00   -0.6082    1.2342
    -59.00   -0.6185    1.2091
    -58.00   -0.6283    1.1836
    -57.00   -0.6376    1.1576
    -56.00   -0.6464    1.1311
    -55.00   -0.6546    1.1043
    -54.00   -0.6623    1.0771
    -53.00   -0.6695    1.0496
    -52.00   -0.6761    1.0218
    -51.00   -0.6822    0.9938
    -50.00   -0.6878    0.9655
    -49.00   -0.6928    0.9370
    -48.00   -0.6974    0.9084
    -47.00   -0.7014    0.8796
    -46.00   -0.7049    0.8507
    -45.00   -0.7079    0.8218
    -44.00   -0.7105    0.7928
    -43.00   -0.7126    0.7639
    -42.00   -0.7142    0.7350
    -41.00   -0.7155    0.7061
    -40.00   -0.7164    0.6774
    -39.00   -0.7169    0.6488
    -38.00   -0.7171    0.6204
    -37.00   -0.7171    0.5921
    -36.00   -0.7168    0.5641
    -35.00   -0.7164    0.5364
    -34.00   -0.7159    0.5090
    -33.00   -0.7154    0.4819
    -32.00   -0.7149    0.4552
    -31.00   -0.7146    0.4288
    -30.00   -0.7145    0.4029
    -29.00   -0.7147    0.3774
    -28.00   -0.7155    0.3524
    -27.00   -0.7169    0.3279
    -26.00   -0.7190    0.3039
    -25.00   -0.7221    0.2805
    -24.00   -0.7262    0.2577
    -23.00   -0.7316    0.2356
    -22.00   -0.7384    0.2141
    -21.00   -0.7468    0.1933
    -20.00   -0.7568    0.1733
    -19.00   -0.7684    0.1541
    -18.00   -0.7816    0.1358
    -17.00   -0.7961    0.1185
    -16.00   -0.8112    0.1021
    -15.00   -0.8262    0.0869
    -14.00   -0.8396    0.0730
    -13.00   -0.8497    0.0604
    -12.00   -0.8539    0.0493
    -11.00   -0.8494    0.0397
    -10.00   -0.9782    0.0375
     -9.00   -0.9410    0.0334
     -8.00   -0.8801    0.0304
     -7.00   -0.7512    0.0279
     -6.00   -0.5972    0.0259
     -5.00   -0.4415    0.0241
     -3.00   -0.1587    0.0206
     -2.00   -0.0338    0.0190
     -1.00    0.0834    0.0180
      0.00    0.2029    0.0178
      1.00    0.3445    0.0187
      2.00    0.5469    0.0192
      3.00    0.7426    0.0191
      4.00    0.8168    0.0194
      5.00    0.8848    0.0202
      6.00    0.9541    0.0212
      7.00    1.0275    0.0223
      8.00    1.0923    0.0236
      9.00    1.1588    0.0249
     10.00    1.2090    0.0267
     11.00    1.2453    0.0293
     12.00    1.2806    0.0327
     13.00    1.2977    0.0378
     14.00    1.3172    0.0440
     15.00    1.3366    0.0512
     16.00    1.3457    0.0598
     17.00    1.3675    0.0684
     18.00    1.3403    0.0823
     19.00    0.7967    0.2179
     20.00    0.8275    0.2318
     21.00    0.8491    0.2043
     22.00    0.8157    0.2281
     23.00    0.7989    0.2517
     24.00    0.7931    0.2752
     25.00    0.7947    0.2990
     26.00    0.8012    0.3231
     27.00    0.8110    0.3476
     28.00    0.8229    0.3725
     29.00    0.8361    0.3978
     30.00    0.8502    0.4236
     31.00    0.8646    0.4498
     32.00    0.8792    0.4765
     33.00    0.8937    0.5035
     34.00    0.9079    0.5310
     35.00    0.9216    0.5588
     36.00    0.9348    0.5869
     37.00    0.9474    0.6153
     38.00    0.9592    0.6440
     39.00    0.9703    0.6730
     40.00    0.9806    0.7022
     41.00    0.9900    0.7315
     42.00    0.9985    0.7610
     43.00    1.0061    0.7906
     44.00    1.0126    0.8202
     45.00    1.0182    0.8500
     46.00    1.0227    0.8797
     47.00    1.0262    0.9093
     48.00    1.0286    0.9390
     49.00    1.0299    0.9685
     50.00    1.0301    0.9978
     51.00    1.0292    1.0270
     52.00    1.0271    1.0560
     53.00    1.0239    1.0848
     54.00    1.0196    1.1132
     55.00    1.0141    1.1414
     56.00    1.0074    1.1692
     57.00    0.9995    1.1966
     58.00    0.9905    1.2236
     59.00    0.9804    1.2501
     60.00    0.9691    1.2762
     61.00    0.9566    1.3017
     62.00    0.9430    1.3267
     63.00    0.9282    1.3511
     64.00    0.9123    1.3749
     65.00    0.8953    1.3981
     66.00    0.8772    1.4206
     67.00    0.8580    1.4425
     68.00    0.8377    1.4636
     69.00    0.8164    1.4839
     70.00    0.7940    1.5035
     71.00    0.7706    1.5223
     72.00    0.7463    1.5402
     73.00    0.7210    1.5574
