AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:32 Compatible with AeroDyn v13.0.
Polar "T1_Re0.165_M0.00_N9.0 360 M" on Foil "T1_Re0.165_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
18.60          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.07          Angle of attack for zero Cn for linear Cn curve (deg)
6.22908        Cn slope for zero lift for linear Cn curve (1/rad)
0.9828         Cn at stall value for positive angle of attack for linear Cn curve
-0.9520        Cn at stall value for negative angle of attack for linear Cn curve
-0.40          Angle of attack for minimum CD (deg)
0.0135         Minimum CD value
   -180.00   -0.0603    0.0060
   -179.00    0.0234    0.0065
   -178.00    0.1047    0.0080
   -177.00    0.1783    0.0106
   -176.00    0.2367    0.0141
   -175.00    0.2752    0.0187
   -174.00    0.2957    0.0242
   -173.00    0.3049    0.0307
   -172.00    0.3102    0.0382
   -171.00    0.3161    0.0467
   -170.00    0.3243    0.0562
   -169.00    0.3354    0.0665
   -168.00    0.3488    0.0779
   -167.00    0.3640    0.0901
   -166.00    0.3806    0.1032
   -165.00    0.3980    0.1173
   -164.00    0.4158    0.1322
   -163.00    0.4337    0.1479
   -162.00    0.4515    0.1645
   -161.00    0.4691    0.1819
   -160.00    0.4863    0.2000
   -159.00    0.5029    0.2189
   -158.00    0.5189    0.2386
   -157.00    0.5342    0.2590
   -156.00    0.5487    0.2801
   -155.00    0.5625    0.3018
   -154.00    0.5754    0.3242
   -153.00    0.5875    0.3472
   -152.00    0.5986    0.3707
   -151.00    0.6089    0.3949
   -150.00    0.6182    0.4195
   -149.00    0.6266    0.4446
   -148.00    0.6341    0.4702
   -147.00    0.6406    0.4962
   -146.00    0.6462    0.5227
   -145.00    0.6508    0.5494
   -144.00    0.6545    0.5766
   -143.00    0.6572    0.6040
   -142.00    0.6590    0.6316
   -141.00    0.6598    0.6596
   -140.00    0.6598    0.6877
   -139.00    0.6588    0.7159
   -138.00    0.6569    0.7443
   -137.00    0.6542    0.7728
   -136.00    0.6506    0.8014
   -135.00    0.6461    0.8300
   -134.00    0.6408    0.8585
   -133.00    0.6347    0.8871
   -132.00    0.6278    0.9155
   -131.00    0.6200    0.9439
   -130.00    0.6116    0.9720
   -129.00    0.6024    1.0000
   -128.00    0.5924    1.0278
   -127.00    0.5818    1.0554
   -126.00    0.5705    1.0826
   -125.00    0.5586    1.1096
   -124.00    0.5460    1.1362
   -123.00    0.5328    1.1624
