AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:33 Compatible with AeroDyn v13.0.
Polar "T1_Re0.240_M0.00_N9.0 360 M" on Foil "T1_Re0.240_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
19.60          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.19          Angle of attack for zero Cn for linear Cn curve (deg)
5.88933        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8807        Cn at stall value for positive angle of attack for linear Cn curve
-0.9615        Cn at stall value for negative angle of attack for linear Cn curve
-0.30          Angle of attack for minimum CD (deg)
0.0111         Minimum CD value
   -180.00   -0.0636    0.0060
   -179.00    0.0161    0.0065
   -178.00    0.0914    0.0080
   -177.00    0.1565    0.0106
   -176.00    0.2061    0.0141
   -175.00    0.2391    0.0187
   -174.00    0.2592    0.0242
   -173.00    0.2722    0.0307
   -172.00    0.2830    0.0382
   -171.00    0.2943    0.0467
   -170.00    0.3072    0.0562
   -169.00    0.3218    0.0665
   -168.00    0.3379    0.0779
   -167.00    0.3552    0.0901
   -166.00    0.3731    0.1032
   -165.00    0.3916    0.1173
   -164.00    0.4101    0.1322
   -163.00    0.4286    0.1479
   -162.00    0.4469    0.1645
   -161.00    0.4647    0.1819
   -160.00    0.4821    0.2000
   -159.00    0.4989    0.2189
   -158.00    0.5150    0.2386
   -157.00    0.5304    0.2590
   -156.00    0.5450    0.2801
   -155.00    0.5587    0.3018
   -154.00    0.5717    0.3242
   -153.00    0.5837    0.3472
   -152.00    0.5949    0.3707
   -151.00    0.6051    0.3949
   -150.00    0.6144    0.4195
   -149.00    0.6228    0.4446
   -148.00    0.6302    0.4702
   -147.00    0.6367    0.4962
   -146.00    0.6423    0.5227
   -145.00    0.6468    0.5494
   -144.00    0.6505    0.5766
   -143.00    0.6532    0.6040
   -142.00    0.6549    0.6316
   -141.00    0.6558    0.6596
   -140.00    0.6557    0.6877
   -139.00    0.6547    0.7159
   -138.00    0.6528    0.7443
   -137.00    0.6500    0.7728
   -136.00    0.6464    0.8014
   -135.00    0.6419    0.8300
   -134.00    0.6366    0.8585
   -133.00    0.6305    0.8871
   -132.00    0.6236    0.9155
   -131.00    0.6159    0.9439
   -130.00    0.6075    0.9720
   -129.00    0.5983    1.0000
   -128.00    0.5884    1.0278
   -127.00    0.5778    1.0554
   -126.00    0.5665    1.0826
   -125.00    0.5546    1.1096
   -124.00    0.5421    1.1362
   -123.00    0.5290    1.1624
   -122.00    0.5153    1.1882
   -121.00    0.5010    1.2136
   -120.00    0.4862    1.2385
   -119.00    0.4709    1.2629
   -118.00    0.4551    1.2867
   -117.00    0.4389    1.3100
   -116.00    0.4222    1.3327
   -115.00    0.4051    1.3548
   -114.00    0.3876    1.3763
   -113.00    0.3698    1.3971
   -112.00    0.3516    1.4172
   -111.00    0.3324    1.4365
   -110.00    0.3136    1.4552
   -109.00    0.2945    1.4730
   -108.00    0.2753    1.4901
   -107.00    0.2557    1.5064
   -106.00    0.2360    1.5219
   -105.00    0.2161    1.5365
   -104.00    0.1960    1.5503
   -103.00    0.1758    1.5631
   -102.00    0.1555    1.5751
   -101.00    0.1351    1.5862
   -100.00    0.1146    1.5964
    -99.00    0.0941    1.6056
    -98.00    0.0735    1.6139
    -97.00    0.0529    1.6212
    -96.00    0.0323    1.6276
    -95.00    0.0117    1.6330
    -94.00   -0.0088    1.6375
    -93.00   -0.0293    1.6409
    -92.00   -0.0497    1.6434
    -91.00   -0.0700    1.6449
    -90.00   -0.0902    1.6454
    -89.00   -0.1102    1.6449
    -88.00   -0.1301    1.6434
    -87.00   -0.1499    1.6409
    -86.00   -0.1694    1.6375
    -85.00   -0.1887    1.6330
    -84.00   -0.2079    1.6276
    -83.00   -0.2268    1.6212
    -82.00   -0.2454    1.6139
    -81.00   -0.2638    1.6056
    -80.00   -0.2819    1.5964
    -79.00   -0.2997    1.5862
    -78.00   -0.3173    1.5751
    -77.00   -0.3344    1.5631
    -76.00   -0.3513    1.5502
    -75.00   -0.3678    1.5365
    -74.00   -0.3839    1.5218
    -73.00   -0.3996    1.5064
    -72.00   -0.4149    1.4901
    -71.00   -0.4299    1.4730
    -70.00   -0.4444    1.4551
    -69.00   -0.4584    1.4365
    -68.00   -0.4720    1.4171
    -67.00   -0.4852    1.3970
    -66.00   -0.4979    1.3762
    -65.00   -0.5100    1.3548
    -64.00   -0.5217    1.3327
    -63.00   -0.5329    1.3099
    -62.00   -0.5435    1.2866
    -61.00   -0.5536    1.2628
    -60.00   -0.5631    1.2384
    -59.00   -0.5721    1.2135
    -58.00   -0.5805    1.1881
    -57.00   -0.5884    1.1623
    -56.00   -0.5956    1.1361
    -55.00   -0.6022    1.1095
    -54.00   -0.6082    1.0825
    -53.00   -0.6136    1.0552
    -52.00   -0.6183    1.0277
    -51.00   -0.6224    0.9999
    -50.00   -0.6259    0.9719
    -49.00   -0.6287    0.9437
    -48.00   -0.6308    0.9153
    -47.00   -0.6323    0.8869
    -46.00   -0.6331    0.8583
    -45.00   -0.6332    0.8297
    -44.00   -0.6326    0.8011
    -43.00   -0.6313    0.7725
    -42.00   -0.6293    0.7440
    -41.00   -0.6266    0.7156
    -40.00   -0.6232    0.6873
    -39.00   -0.6192    0.6592
    -38.00   -0.6144    0.6312
    -37.00   -0.6089    0.6035
    -36.00   -0.6028    0.5760
    -35.00   -0.5959    0.5489
    -34.00   -0.5884    0.5220
    -33.00   -0.5802    0.4956
    -32.00   -0.5714    0.4695
    -31.00   -0.5619    0.4438
    -30.00   -0.5518    0.4185
    -29.00   -0.5411    0.3938
    -28.00   -0.5300    0.3695
    -27.00   -0.5183    0.3458
    -26.00   -0.5062    0.3226
    -25.00   -0.4939    0.3000
    -24.00   -0.4814    0.2779
    -23.00   -0.4689    0.2564
    -22.00   -0.4568    0.2355
    -21.00   -0.4454    0.2152
    -20.00   -0.4355    0.1954
    -19.00   -0.4280    0.1761
    -18.00   -0.4246    0.1571
    -17.00   -0.4278    0.1383
    -16.00   -0.4417    0.1193
    -15.00   -0.4727    0.0998
    -14.00   -0.5287    0.0793
    -13.00   -0.6137    0.0581
    -12.00   -0.7117    0.0381
    -11.00   -0.7743    0.0233
    -10.00   -0.9718    0.0253
     -9.90   -0.9583    0.0250
     -9.80   -0.9440    0.0248
     -9.70   -0.9292    0.0245
     -9.60   -0.9160    0.0243
     -9.50   -0.9026    0.0241
     -9.40   -0.8887    0.0238
