AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:33 Compatible with AeroDyn v13.0.
Polar "T1_Re0.300_M0.00_N9.0 360 M" on Foil "T1_Re0.300_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
18.80          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.20          Angle of attack for zero Cn for linear Cn curve (deg)
5.87846        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8861        Cn at stall value for positive angle of attack for linear Cn curve
-0.9142        Cn at stall value for negative angle of attack for linear Cn curve
0.00           Angle of attack for minimum CD (deg)
0.0101         Minimum CD value
   -180.00   -0.0639    0.0060
   -179.00    0.0151    0.0065
   -178.00    0.0872    0.0080
   -177.00    0.1467    0.0106
   -176.00    0.1905    0.0141
   -175.00    0.2200    0.0187
   -174.00    0.2399    0.0242
   -173.00    0.2550    0.0307
   -172.00    0.2688    0.0382
   -171.00    0.2831    0.0467
   -170.00    0.2985    0.0562
   -169.00    0.3152    0.0665
   -168.00    0.3329    0.0779
   -167.00    0.3513    0.0901
   -166.00    0.3701    0.1032
   -165.00    0.3892    0.1173
   -164.00    0.4082    0.1322
   -163.00    0.4271    0.1479
   -162.00    0.4456    0.1645
   -161.00    0.4636    0.1818
   -160.00    0.4811    0.2000
   -159.00    0.4980    0.2189
   -158.00    0.5141    0.2386
   -157.00    0.5296    0.2590
   -156.00    0.5442    0.2801
   -155.00    0.5580    0.3018
   -154.00    0.5709    0.3242
   -153.00    0.5829    0.3472
   -152.00    0.5941    0.3707
   -151.00    0.6043    0.3948
   -150.00    0.6136    0.4195
   -149.00    0.6219    0.4446
   -148.00    0.6293    0.4702
   -147.00    0.6358    0.4962
   -146.00    0.6413    0.5226
   -145.00    0.6458    0.5494
   -144.00    0.6494    0.5765
   -143.00    0.6521    0.6039
   -142.00    0.6538    0.6316
   -141.00    0.6546    0.6595
   -140.00    0.6545    0.6876
   -139.00    0.6535    0.7159
   -138.00    0.6516    0.7443
   -137.00    0.6488    0.7728
   -136.00    0.6451    0.8013
   -135.00    0.6407    0.8299
   -134.00    0.6353    0.8585
   -133.00    0.6292    0.8870
   -132.00    0.6223    0.9154
   -131.00    0.6146    0.9438
   -130.00    0.6061    0.9719
   -129.00    0.5969    0.9999
   -128.00    0.5870    1.0277
   -127.00    0.5765    1.0553
   -126.00    0.5652    1.0825
   -125.00    0.5533    1.1095
   -124.00    0.5408    1.1360
   -123.00    0.5277    1.1623
   -122.00    0.5140    1.1881
   -121.00    0.4997    1.2134
   -120.00    0.4850    1.2383
   -119.00    0.4697    1.2627
   -118.00    0.4539    1.2865
   -117.00    0.4377    1.3098
   -116.00    0.4211    1.3325
   -115.00    0.4040    1.3546
   -114.00    0.3866    1.3760
   -113.00    0.3688    1.3968
   -112.00    0.3475    1.4169
   -111.00    0.3290    1.4362
   -110.00    0.3102    1.4549
   -109.00    0.2912    1.4727
   -108.00    0.2719    1.4898
   -107.00    0.2524    1.5061
   -106.00    0.2326    1.5215
   -105.00    0.2127    1.5361
   -104.00    0.1926    1.5498
   -103.00    0.1724    1.5627
   -102.00    0.1520    1.5747
   -101.00    0.1316    1.5857
   -100.00    0.1111    1.5959
    -99.00    0.0905    1.6051
    -98.00    0.0699    1.6134
    -97.00    0.0493    1.6207
    -96.00    0.0286    1.6270
    -95.00    0.0080    1.6324
    -94.00   -0.0126    1.6368
    -93.00   -0.0331    1.6402
    -92.00   -0.0535    1.6427
    -91.00   -0.0739    1.6441
    -90.00   -0.0941    1.6446
    -89.00   -0.1143    1.6441
    -88.00   -0.1342    1.6425
    -87.00   -0.1541    1.6400
    -86.00   -0.1737    1.6365
    -85.00   -0.1932    1.6320
    -84.00   -0.2124    1.6266
    -83.00   -0.2314    1.6202
    -82.00   -0.2502    1.6128
    -81.00   -0.2688    1.6044
    -80.00   -0.2870    1.5951
    -79.00   -0.3050    1.5849
    -78.00   -0.3227    1.5737
    -77.00   -0.3401    1.5617
    -76.00   -0.3571    1.5487
    -75.00   -0.3739    1.5349
    -74.00   -0.3902    1.5202
    -73.00   -0.4062    1.5047
    -72.00   -0.4218    1.4883
    -71.00   -0.4371    1.4711
    -70.00   -0.4519    1.4532
    -69.00   -0.4663    1.4344
    -68.00   -0.4803    1.4149
    -67.00   -0.4939    1.3947
    -66.00   -0.5070    1.3738
    -65.00   -0.5196    1.3523
    -64.00   -0.5318    1.3300
    -63.00   -0.5435    1.3072
    -62.00   -0.5547    1.2838
    -61.00   -0.5654    1.2597
    -60.00   -0.5756    1.2352
    -59.00   -0.5853    1.2101
    -58.00   -0.5944    1.1846
    -57.00   -0.6031    1.1586
    -56.00   -0.6112    1.1322
    -55.00   -0.6188    1.1054
    -54.00   -0.6258    1.0782
    -53.00   -0.6323    1.0507
    -52.00   -0.6382    1.0229
    -51.00   -0.6436    0.9948
    -50.00   -0.6485    0.9665
    -49.00   -0.6528    0.9380
    -48.00   -0.6566    0.9093
    -47.00   -0.6599    0.8805
    -46.00   -0.6626    0.8516
    -45.00   -0.6649    0.8226
    -44.00   -0.6666    0.7935
    -43.00   -0.6680    0.7645
    -42.00   -0.6688    0.7354
    -41.00   -0.6693    0.7064
    -40.00   -0.6694    0.6775
    -39.00   -0.6691    0.6487
    -38.00   -0.6686    0.6201
    -37.00   -0.6679    0.5916
    -36.00   -0.6670    0.5633
    -35.00   -0.6661    0.5352
    -34.00   -0.6652    0.5073
    -33.00   -0.6645    0.4797
    -32.00   -0.6640    0.4524
    -31.00   -0.6640    0.4254
    -30.00   -0.6647    0.3986
    -29.00   -0.6663    0.3722
    -28.00   -0.6690    0.3462
    -27.00   -0.6731    0.3205
    -26.00   -0.6790    0.2951
    -25.00   -0.6871    0.2701
    -24.00   -0.6977    0.2455
    -23.00   -0.7112    0.2213
    -22.00   -0.7281    0.1976
    -21.00   -0.7485    0.1743
    -20.00   -0.7723    0.1517
    -19.00   -0.7992    0.1300
    -18.00   -0.8280    0.1092
    -17.00   -0.8566    0.0898
    -16.00   -0.8820    0.0721
    -15.00   -0.9002    0.0566
    -14.00   -0.9066    0.0436
    -13.00   -0.8968    0.0332
    -12.00   -0.8683    0.0256
    -11.00   -0.8202    0.0204
    -10.00   -0.9243    0.0227
     -9.90   -0.9103    0.0225
