AeroDyn	airfoil	file	Created	with	QBlade	v0.963	64bit	on	13.12.2018	at	15:49:54	Compatible	with	AeroDyn	v13.0.
Polar	T1_Re0.050_M0.00_N9.0 360 V	on	Foil	T1_Re0.050_M0.00_N9.0	::	generated	by	QBlade							
1	Number	of	airfoil	tables	in	this	file								
0	Table	ID	parameter												
42	Stall	angle	(deg)												
0	No	longer	used,	enter	zero										
0	No	longer	used,	enter	zero										
0	No	longer	used,	enter	zero										
-0.23	Angle	of	attack	for	zero	Cn	for	linear	Cn	curve	(deg)				
9.63586	Cn	slope	for	zero	lift	for	linear	Cn	curve	(1/rad)					
-0.302	Cn	at	stall	value	for	positive	angle	of	attack	for	linear	Cn	curve		
-0.7177	Cn	at	stall	value	for	negative	angle	of	attack	for	linear	Cn	curve		
-3.3	Angle	of	attack	for	minimum	CD	(deg)								
0.0343	Minimum	CD	value												
	-180	0.0000	0.0000												
	-179	0.0314	0.0005												
	-178	0.0628	0.0022												
	-177	0.0940	0.0049												
	-176	0.1252	0.0088												
	-175	0.1562	0.0137												
	-174	0.1871	0.0197												
	-173	0.2177	0.0267												
	-172	0.2480	0.0349												
	-171	0.2780	0.0440												
	-170	0.3077	0.0543												
	-169	0.3370	0.0655												
	-168	0.3660	0.0778												
	-167	0.3944	0.0911												
	-166	0.4224	0.1053												
	-165	0.4499	0.1206												
	-164	0.4768	0.1368												
	-163	0.5031	0.1539												
	-162	0.5288	0.1719												
	-161	0.5539	0.1908												
	-160	0.5783	0.2106												
	-159	0.6020	0.2312												
	-158	0.6250	0.2526												
	-157	0.6472	0.2748												
	-156	0.6686	0.2978												
	-155	0.6892	0.3215												
	-154	0.7090	0.3459												
	-153	0.7279	0.3710												
	-152	0.7459	0.3967												
	-151	0.7630	0.4231												
	-150	0.7792	0.4500												
	-149	0.7944	0.4775												
	-148	0.8087	0.5055												
	-147	0.8219	0.5339												
	-146	0.8342	0.5629												
	-145	0.8455	0.5922												
	-144	0.8557	0.6219												
	-143	0.8649	0.6519												
	-142	0.8730	0.6823												
	-141	0.8801	0.7129												
	-140	0.8861	0.7437												
	-139	0.8910	0.7747												
	-138	0.8948	0.8059												
	-137	0.8975	0.8372												
	-136	0.8992	0.8686												
	-135	0.8997	0.9000												
	-134	0.8992	0.9314												
	-133	0.8975	0.9628												
	-132	0.8948	0.9941												
	-131	0.8910	1.0253												
	-130	0.8861	1.0563												
	-129	0.8801	1.0871												
	-128	0.8730	1.1177												
	-127	0.8649	1.1481												
	-126	0.8557	1.1781												
	-125	0.8455	1.2078												
	-124	0.8342	1.2371												
	-123	0.8219	1.2661												
	-122	0.8087	1.2945												
	-121	0.7944	1.3225												
	-120	0.7792	1.3500												
	-119	0.7630	1.3769												
	-118	0.7459	1.4033												
	-117	0.7279	1.4290												
	-116	0.7090	1.4541												
	-115	0.6892	1.4785												
	-114	0.6686	1.5022												
	-113	0.6472	1.5252												
	-112	0.6250	1.5474												
	-111	0.6020	1.5688												
	-110	0.5783	1.5894												
	-109	0.5539	1.6092												
	-108	0.5288	1.6281												
	-107	0.5031	1.6461												
	-106	0.4768	1.6632												
	-105	0.4499	1.6794												
	-104	0.4224	1.6947												
	-103	0.3944	1.7089												
	-102	0.3660	1.7222												
	-101	0.3370	1.7345												
	-100	0.3077	1.7457												
	-99	0.2780	1.7560												
	-98	0.2480	1.7651												
	-97	0.2177	1.7733												
	-96	0.1871	1.7803												
	-95	0.1562	1.7863												
	-94	0.1252	1.7912												
	-93	0.0940	1.7951												
	-92	0.0628	1.7978												
	-91	0.0314	1.7995												
	-90	0.0000	1.8000												
	-89	-0.0314	1.7998												
	-88	-0.0629	1.7985												
	-87	-0.0943	1.7961												
	-86	-0.1256	1.7926												
	-85	-0.1569	1.7881												
	-84	-0.1879	1.7824												
	-83	-0.2188	1.7757												
	-82	-0.2495	1.7679												
	-81	-0.2800	1.7591												
	-80	-0.3101	1.7492												
	-79	-0.3399	1.7383												
	-78	-0.3694	1.7263												
	-77	-0.3984	1.7134												
	-76	-0.4270	1.6995												
	-75	-0.4552	1.6846												
	-74	-0.4828	1.6687												
	-73	-0.5100	1.6520												
	-72	-0.5365	1.6343												
	-71	-0.5625	1.6157												
	-70	-0.5878	1.5963												
	-69	-0.6125	1.5760												
	-68	-0.6365	1.5549												
	-67	-0.6598	1.5330												
	-66	-0.6824	1.5103												
	-65	-0.7042	1.4869												
	-64	-0.7252	1.4628												
	-63	-0.7454	1.4381												
	-62	-0.7648	1.4126												
	-61	-0.7833	1.3866												
	-60	-0.8010	1.3600												
	-59	-0.8178	1.3328												
	-58	-0.8337	1.3051												
	-57	-0.8486	1.2769												
	-56	-0.8627	1.2483												
	-55	-0.8757	1.2193												
	-54	-0.8879	1.1899												
	-53	-0.8990	1.1601												
	-52	-0.9092	1.1300												
	-51	-0.9184	1.0997												
	-50	-0.9266	1.0691												
	-49	-0.9339	1.0384												
	-48	-0.9401	1.0074												
	-47	-0.9453	0.9764												
	-46	-0.9496	0.9453												
	-45	-0.9528	0.9141												
	-44	-0.9551	0.8830												
	-43	-0.9564	0.8518												
	-42	-0.9568	0.8208												
	-41	-0.9561	0.7898												
	-40	-0.9546	0.7590												
	-39	-0.9521	0.7284												
	-38	-0.9486	0.6980												
	-37	-0.9443	0.6679												
	-36	-0.9392	0.6380												
	-35	-0.9332	0.6085												
	-34	-0.9263	0.5794												
	-33	-0.9187	0.5507												
	-32	-0.9103	0.5224												
	-31	-0.9013	0.4946												
	-30	-0.8915	0.4673												
	-29	-0.8812	0.4405												
	-28	-0.8702	0.4144												
	-27	-0.8588	0.3888												
	-26	-0.8469	0.3639												
	-25	-0.8347	0.3396												
	-24	-0.8222	0.3160												
	-23	-0.8095	0.2932												
	-22	-0.7967	0.2711												
	-21	-0.7840	0.2498												
	-20	-0.7715	0.2293												
	-19	-0.7593	0.2097												
	-18	-0.7478	0.1909												
	-17	-0.7370	0.1730												
	-16	-0.7275	0.1559												
	-15	-0.7194	0.1399												
	-14	-0.7134	0.1247												
	-13	-0.7099	0.1105												
	-12	-0.7100	0.0973												
	-11	-0.7146	0.0851												
	-10	-0.3051	0.1188												
	-9.9	-0.2901	0.1169												
	-9.8	-0.2865	0.1159												
	-9.7	-0.2970	0.1157												
	-9.6	-0.3215	0.1162												
	-9.5	-0.3553	0.1103												
	-9.4	-0.3818	0.1053												
	-9.3	-0.4027	0.1012												
	-9.2	-0.4195	0.0977												
	-9.1	-0.4904	0.0866												
	-9	-0.4877	0.0856												
	-8.9	-0.4864	0.0846												
	-8.8	-0.4869	0.0835												
	-8.7	-0.4862	0.0827												
	-8.6	-0.6047	0.0733												
	-8.5	-0.6858	0.0672												
	-8.4	-0.7025	0.0652												
	-8.3	-0.7184	0.0633												
	-8.2	-0.7330	0.0614												
	-8.1	-0.7463	0.0596												
	-8	-0.7583	0.0578												
	-7.9	-0.7692	0.0560												
	-7.8	-0.7793	0.0542												
	-7.7	-0.7868	0.0526												
	-7.6	-0.7696	0.0531												
	-7.5	-0.7650	0.0527												
	-7.4	-0.7657	0.0518												
	-7.3	-0.7686	0.0506												
	-7.2	-0.7733	0.0492												
	-7.1	-0.7793	0.0476												
	-7	-0.7681	0.0476												
	-6.9	-0.7617	0.0474												
	-6.8	-0.7589	0.0466												
	-6.7	-0.7582	0.0456												
	-6.6	-0.7597	0.0444												
	-6.5	-0.7529	0.0440												
	-6.4	-0.7455	0.0438												
	-6.3	-0.7410	0.0433												
	-6.2	-0.7391	0.0424												
	-6.1	-0.7345	0.0417												
	-6	-0.7269	0.0416												
	-5.9	-0.7212	0.0412												
	-5.8	-0.7176	0.0404												
	-5.7	-0.7117	0.0400												
	-5.6	-0.7046	0.0398												
	-5.5	-0.6990	0.0394												
	-5.4	-0.6944	0.0387												
	-5.3	-0.6871	0.0385												
	-5.2	-0.6806	0.0383												
	-5.1	-0.6755	0.0377												
	-5	-0.6685	0.0375												
	-4.9	-0.6619	0.0373												
	-4.8	-0.6561	0.0368												
	-4.7	-0.6491	0.0367												
	-4.6	-0.6425	0.0365												
	-4.5	-0.6363	0.0361												
	-4.4	-0.6295	0.0360												
	-4.3	-0.6229	0.0358												
	-4.2	-0.6163	0.0355												
	-4.1	-0.6096	0.0354												
	-4	-0.6029	0.0351												
	-3.9	-0.5962	0.0350												
	-3.8	-0.5896	0.0349												
	-3.7	-0.5828	0.0347												
	-3.6	-0.5762	0.0347												
	-3.5	-0.5693	0.0345												
	-3.4	-0.5628	0.0345												
	-3.3	-0.5550	0.0343												
	-3.2	-0.5345	0.0345												
	-3.1	-0.5145	0.0347												
	-3	-0.4975	0.0348												
	-2.9	-0.4789	0.0349												
	-2.8	-0.4631	0.0351												
	-2.7	-0.4457	0.0352												
	-2.6	-0.4308	0.0353												
	-2.5	-0.4127	0.0355												
	-2.4	-0.4010	0.0356												
	-2.3	-0.3832	0.0358												
	-2.2	-0.3725	0.0359												
	-2.1	-0.3579	0.0360												
	-2	-0.3419	0.0362												
	-1.9	-0.3330	0.0362												
	-1.8	-0.3173	0.0364												
	-1.7	-0.3065	0.0366												
	-1.6	-0.2974	0.0367												
	-1.5	-0.2818	0.0370												
	-1.4	-0.2730	0.0371												
	-1.3	-0.2648	0.0373												
	-1.2	-0.2499	0.0376												
	-1.1	-0.2408	0.0378												
	-1	-0.2344	0.0380												
	-0.9	-0.2206	0.0383												
	-0.8	-0.2013	0.0387												
	-0.7	-0.1947	0.0390												
	-0.6	-0.1705	0.0395												
	-0.5	-0.1311	0.0402												
	-0.4	-0.1077	0.0408												
	-0.3	-0.0559	0.0417												
	-0.2	0.0260	0.0424												
	-0.1	0.0701	0.0429												
	0	0.1248	0.0432												
	0.1	0.1952	0.0431												
	0.2	0.2602	0.0429												
	0.3	0.2835	0.0430												
	0.4	0.2925	0.0428												
	0.5	0.3138	0.0424												
	0.6	0.2825	0.0430												
	0.7	0.2854	0.0430												
	0.8	0.3039	0.0428												
	0.9	0.2867	0.0431												
	1	0.2747	0.0434												
	1.1	0.2858	0.0433												
	1.2	0.3105	0.0431												
	1.3	0.2696	0.0438												
	1.4	0.2672	0.0440												
	1.5	0.2842	0.0439												
	1.6	0.3053	0.0438												
	1.7	0.2629	0.0447												
	1.8	0.2644	0.0449												
	1.9	0.2829	0.0449												
	2	0.2999	0.0449												
	2.1	0.2671	0.0458												
	2.2	0.2706	0.0460												
	2.3	0.2898	0.0460												
	2.4	0.3156	0.0460												
	2.5	0.2797	0.0471												
	2.6	0.2820	0.0475												
	2.7	0.2998	0.0475												
	2.8	0.3314	0.0473												
	2.9	0.2987	0.0486												
	3	0.2988	0.0491												
	3.1	0.3139	0.0492												
	3.2	0.3425	0.0490												
	3.3	0.3225	0.0502												
	3.4	0.3192	0.0508												
	3.5	0.3323	0.0511												
	3.6	0.3574	0.0509												
	3.7	0.3506	0.0518												
	3.8	0.3412	0.0528												
	3.9	0.3510	0.0531												
	4	0.3742	0.0530												
	4.1	0.3819	0.0535												
	4.2	0.3650	0.0549												
	4.3	0.3702	0.0554												
	4.4	0.3900	0.0554												
	4.5	0.4237	0.0548												
	4.6	0.3899	0.0570												
	4.7	0.3910	0.0578												
	4.8	0.4065	0.0579												
	4.9	0.4371	0.0574												
	5	0.4161	0.0592												
	5.1	0.4116	0.0603												
	5.2	0.4237	0.0606												
	5.3	0.4512	0.0602												
	5.4	0.4440	0.0615												
	5.5	0.4325	0.0630												
	5.6	0.4394	0.0635												
	5.7	0.4642	0.0632												
	5.8	0.4591	0.0645												
	5.9	0.4540	0.0657												
	6	0.4553	0.0666												
	6.1	0.4739	0.0666												
	6.2	0.5056	0.0658												
	6.3	0.4758	0.0685												
	6.4	0.4722	0.0698												
	6.5	0.4842	0.0701												
	6.6	0.5214	0.0689												
	6.7	0.4987	0.0714												
	6.8	0.4892	0.0731												
	6.9	0.4957	0.0737												
	7	0.5261	0.0729												
	7.1	0.5226	0.0743												
	7.2	0.5070	0.0764												
	7.3	0.5065	0.0776												
	7.4	0.5279	0.0773												
	7.5	0.5458	0.0773												
	7.6	0.5257	0.0798												
	7.7	0.5191	0.0815												
	7.8	0.5268	0.0821												
	7.9	0.5716	0.0801												
	8	0.5447	0.0833												
	8.1	0.5340	0.0853												
	8.2	0.5326	0.0866												
	8.3	0.5573	0.0861												
	8.4	0.5661	0.0867												
	8.5	0.5505	0.0891												
	8.6	0.5440	0.0909												
	8.7	0.5458	0.0920												
	8.8	0.5889	0.0900												
	8.9	0.5697	0.0929												
	9	0.5586	0.0950												
	9.1	0.5532	0.0968												
	9.2	0.5549	0.0980												
	9.3	0.4901	0.1075												
	9.4	0.4995	0.1087												
	9.5	0.5084	0.1102												
	9.6	0.5175	0.1118												
	9.7	0.5276	0.1136												
	9.8	0.5589	0.1063												
	9.9	0.5866	0.1053												
	10	0.5794	0.1074												
	10.1	0.5740	0.1094												
	10.2	0.5698	0.1114												
	10.3	0.5668	0.1133												
	10.4	0.5655	0.1152												
	10.5	0.5667	0.1171												
	10.6	0.5699	0.1189												
	10.7	0.5753	0.1208												
	10.8	0.5971	0.1193												
	10.9	0.6189	0.1177												
	11	0.6153	0.1199												
	11.1	0.6153	0.1219												
	11.2	0.6124	0.1240												
	11.3	0.6086	0.1259												
	11.4	0.6050	0.1277												
	11.5	0.6025	0.1295												
	11.6	0.6022	0.1315												
	11.7	0.6007	0.1332												
	11.8	0.5986	0.1349												
	11.9	0.5969	0.1365												
	12	0.5961	0.1382												
	12.1	0.5972	0.1399												
	12.2	0.5973	0.1416												
	12.3	0.5965	0.1431												
	12.4	0.5960	0.1446												
	12.5	0.5740	0.1509												
	12.6	0.5592	0.1507												
	12.7	0.5590	0.1514												
	12.8	0.5701	0.1530												
	12.9	0.5977	0.1568												
	13	0.5814	0.1565												
	13.1	0.5715	0.1565												
	13.2	0.5751	0.1576												
	13.3	0.5856	0.1593												
	13.4	0.6112	0.1632												
	13.5	0.5980	0.1631												
	13.6	0.5868	0.1629												
	13.7	0.5897	0.1638												
	13.8	0.6023	0.1657												
	13.9	0.6259	0.1697												
	14	0.6110	0.1692												
	14.1	0.6019	0.1691												
	14.2	0.6037	0.1701												
	14.3	0.6118	0.1716												
	14.4	0.6301	0.1746												
	14.5	0.6315	0.1763												
	14.6	0.6186	0.1756												
	14.7	0.6187	0.1762												
