  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 4415                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.075 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.3032   0.11954   0.11354  -0.0381   1.0000   0.1760
  -9.900  -0.3012   0.11859   0.11261  -0.0375   1.0000   0.1776
  -9.800  -0.3013   0.11776   0.11180  -0.0369   1.0000   0.1793
  -9.700  -0.3032   0.11702   0.11108  -0.0364   1.0000   0.1813
  -9.600  -0.3081   0.11643   0.11053  -0.0360   1.0000   0.1834
  -9.500  -0.3198   0.11630   0.11046  -0.0358   1.0000   0.1856
  -9.400  -0.3409   0.11683   0.11107  -0.0357   1.0000   0.1870
  -9.300  -0.3629   0.11736   0.11168  -0.0355   1.0000   0.1876
  -9.200  -0.3838   0.11771   0.11212  -0.0350   1.0000   0.1879
  -9.000  -0.3376   0.11167   0.10600  -0.0327   1.0000   0.1911
  -8.900  -0.3302   0.11059   0.10492  -0.0316   1.0000   0.1931
  -8.800  -0.3289   0.10982   0.10417  -0.0306   1.0000   0.1951
  -8.700  -0.3311   0.10918   0.10355  -0.0297   1.0000   0.1973
  -8.600  -0.3365   0.10866   0.10307  -0.0289   1.0000   0.1995
  -8.500  -0.3470   0.10837   0.10283  -0.0282   1.0000   0.2017
  -8.400  -0.3646   0.10848   0.10300  -0.0276   1.0000   0.2034
  -8.300  -0.3858   0.10875   0.10335  -0.0268   1.0000   0.2043
  -8.200  -0.4066   0.10894   0.10362  -0.0259   1.0000   0.2047
  -8.100  -0.4265   0.10903   0.10378  -0.0247   1.0000   0.2050
  -8.000  -0.4456   0.10904   0.10386  -0.0234   1.0000   0.2051
  -7.900  -0.4654   0.10891   0.10380  -0.0225   1.0000   0.2053
  -7.800  -0.3808   0.10305   0.09776  -0.0220   1.0000   0.2105
  -7.700  -0.3813   0.10234   0.09707  -0.0210   1.0000   0.2122
  -7.600  -0.3848   0.10173   0.09649  -0.0199   1.0000   0.2139
  -7.500  -0.3909   0.10119   0.09599  -0.0189   1.0000   0.2156
  -7.400  -0.4001   0.10077   0.09560  -0.0179   1.0000   0.2175
  -7.300  -0.4143   0.10054   0.09543  -0.0167   1.0000   0.2193
  -7.200  -0.4346   0.10060   0.09555  -0.0153   1.0000   0.2207
  -7.100  -0.4588   0.10074   0.09577  -0.0140   1.0000   0.2216
  -7.000  -0.4909   0.10051   0.09561  -0.0154   1.0000   0.2226
  -6.900  -0.5196   0.09941   0.09455  -0.0184   1.0000   0.2234
  -6.800  -0.5007   0.09758   0.09275  -0.0146   1.0000   0.2244
  -6.700  -0.4887   0.09642   0.09159  -0.0121   1.0000   0.2255
  -6.600  -0.4823   0.09549   0.09068  -0.0104   1.0000   0.2267
  -6.500  -0.4795   0.09469   0.08988  -0.0090   1.0000   0.2281
  -6.400  -0.4794   0.09397   0.08917  -0.0079   1.0000   0.2299
  -6.300  -0.4823   0.09323   0.08846  -0.0072   1.0000   0.2320
  -6.200  -0.4997   0.08948   0.08464  -0.0205   0.9932   0.2423
  -6.100  -0.4834   0.08820   0.08339  -0.0179   0.9918   0.2436
  -6.000  -0.4664   0.08732   0.08251  -0.0162   0.9898   0.2461
  -5.900  -0.4526   0.08619   0.08137  -0.0166   0.9869   0.2499
  -5.800  -0.4573   0.08280   0.07788  -0.0267   0.9801   0.2615
  -5.700  -0.4444   0.08157   0.07668  -0.0253   0.9776   0.2630
  -5.600  -0.4317   0.08032   0.07542  -0.0252   0.9747   0.2649
  -5.500  -0.4188   0.07887   0.07395  -0.0265   0.9717   0.2677
  -5.400  -0.4100   0.07718   0.07221  -0.0297   0.9676   0.2745
  -5.300  -0.4088   0.07491   0.06990  -0.0330   0.9619   0.2820
  -5.200  -0.3953   0.07375   0.06874  -0.0329   0.9592   0.2845
  -5.100  -0.3809   0.07225   0.06721  -0.0347   0.9565   0.2880
  -5.000  -0.3749   0.07050   0.06542  -0.0366   0.9517   0.2899
  -4.900  -0.3599   0.04034   0.03188  -0.0662   0.9532   0.1543
  -4.800  -0.3479   0.03937   0.03075  -0.0669   0.9491   0.1564
  -4.700  -0.3327   0.03897   0.03044  -0.0679   0.9454   0.1591
  -4.600  -0.3147   0.03863   0.03011  -0.0694   0.9425   0.1626
  -4.500  -0.2944   0.03800   0.02927  -0.0714   0.9402   0.1671
  -4.400  -0.2868   0.03741   0.02845  -0.0711   0.9349   0.1698
  -4.300  -0.2725   0.03673   0.02766  -0.0720   0.9311   0.1730
  -4.200  -0.2556   0.03643   0.02743  -0.0732   0.9279   0.1769
  -4.100  -0.2361   0.03608   0.02702  -0.0749   0.9254   0.1820
  -4.000  -0.2235   0.03566   0.02638  -0.0754   0.9213   0.1864
  -3.900  -0.2128   0.03520   0.02587  -0.0756   0.9167   0.1899
  -3.800  -0.1977   0.03495   0.02569  -0.0765   0.9131   0.1945
  -3.700  -0.1792   0.03464   0.02531  -0.0779   0.9103   0.2006
  -3.600  -0.1587   0.03415   0.02465  -0.0797   0.9081   0.2071
  -3.500  -0.1527   0.03401   0.02459  -0.0790   0.9026   0.2106
  -3.400  -0.1402   0.03383   0.02441  -0.0794   0.8981   0.2163
  -3.300  -0.1225   0.03351   0.02388  -0.0806   0.8949   0.2237
  -3.200  -0.1039   0.03315   0.02367  -0.0820   0.8924   0.2304
  -3.100  -0.0826   0.03288   0.02327  -0.0837   0.8904   0.2402
  -3.000  -0.0815   0.03281   0.02322  -0.0822   0.8834   0.2436
  -2.900  -0.0676   0.03259   0.02308  -0.0828   0.8795   0.2505
  -2.800  -0.0495   0.03235   0.02270  -0.0840   0.8767   0.2608
  -2.700  -0.0304   0.03201   0.02250  -0.0854   0.8745   0.2700
  -2.600  -0.0197   0.03195   0.02231  -0.0854   0.8701   0.2790
  -2.500  -0.0124   0.03181   0.02232  -0.0850   0.8646   0.2851
  -2.400   0.0032   0.03163   0.02208  -0.0857   0.8611   0.2968
  -2.300   0.0212   0.03128   0.02184  -0.0869   0.8586   0.3080
  -2.200   0.0410   0.03094   0.02152  -0.0883   0.8566   0.3221
  -2.100   0.0461   0.03099   0.02160  -0.0874   0.8509   0.3307
  -2.000   0.0562   0.03086   0.02152  -0.0873   0.8462   0.3416
  -1.900   0.0723   0.03062   0.02128  -0.0881   0.8431   0.3573
