  
       XFOIL         Version 6.99
  
 Calculated polar for: S2091                                           
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.050 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
 -10.000  -0.3389   0.12371   0.11677  -0.0204   1.0000   0.1635
  -9.900  -0.3438   0.12378   0.11688  -0.0216   1.0000   0.1648
  -9.800  -0.3495   0.12398   0.11713  -0.0229   1.0000   0.1655
  -9.700  -0.3574   0.12445   0.11768  -0.0244   1.0000   0.1659
  -9.600  -0.3266   0.11793   0.11106  -0.0214   1.0000   0.1715
  -9.500  -0.3230   0.11671   0.10985  -0.0215   1.0000   0.1746
  -9.400  -0.3236   0.11601   0.10918  -0.0221   1.0000   0.1780
  -9.300  -0.3300   0.11618   0.10941  -0.0233   1.0000   0.1803
  -9.200  -0.3372   0.11648   0.10977  -0.0247   1.0000   0.1811
  -9.100  -0.3456   0.11691   0.11027  -0.0261   1.0000   0.1816
  -9.000  -0.3151   0.11086   0.10414  -0.0232   1.0000   0.1868
  -8.900  -0.3115   0.10961   0.10291  -0.0232   1.0000   0.1903
  -8.800  -0.3125   0.10894   0.10227  -0.0238   1.0000   0.1936
  -8.700  -0.3186   0.10902   0.10242  -0.0248   1.0000   0.1959
  -8.600  -0.3294   0.10967   0.10315  -0.0262   1.0000   0.1970
  -8.500  -0.3154   0.10615   0.09962  -0.0253   1.0000   0.1994
  -8.400  -0.3041   0.10391   0.09736  -0.0244   1.0000   0.2034
  -8.300  -0.3019   0.10287   0.09635  -0.0245   1.0000   0.2070
  -8.200  -0.3062   0.10259   0.09612  -0.0251   1.0000   0.2105
  -8.100  -0.3176   0.10316   0.09678  -0.0261   1.0000   0.2123
  -8.000  -0.3294   0.10372   0.09744  -0.0269   1.0000   0.2130
  -7.900  -0.2995   0.09864   0.09228  -0.0250   1.0000   0.2180
  -7.800  -0.2964   0.09752   0.09118  -0.0247   1.0000   0.2225
  -7.600  -0.3147   0.09788   0.09171  -0.0253   1.0000   0.2280
  -7.500  -0.3278   0.09838   0.09232  -0.0252   1.0000   0.2286
  -7.300  -0.3021   0.09347   0.08736  -0.0235   1.0000   0.2416
  -7.200  -0.3117   0.09360   0.08759  -0.0230   1.0000   0.2430
  -7.100  -0.3249   0.09395   0.08806  -0.0221   1.0000   0.2438
  -7.000  -0.3393   0.09440   0.08860  -0.0211   1.0000   0.2443
  -6.900  -0.3529   0.09478   0.08908  -0.0207   1.0000   0.2447
  -6.800  -0.3202   0.09048   0.08467  -0.0190   1.0000   0.2580
  -6.700  -0.3335   0.09078   0.08507  -0.0175   1.0000   0.2589
  -6.600  -0.3452   0.09093   0.08529  -0.0166   1.0000   0.2596
  -6.500  -0.3599   0.09132   0.08577  -0.0160   1.0000   0.2602
  -6.400  -0.3733   0.09160   0.08611  -0.0159   1.0000   0.2607
  -6.300  -0.3453   0.08790   0.08236  -0.0125   1.0000   0.2733
  -6.200  -0.3580   0.08810   0.08263  -0.0117   1.0000   0.2748
  -6.100  -0.3730   0.08846   0.08306  -0.0114   1.0000   0.2759
  -6.000  -0.3863   0.08873   0.08338  -0.0118   1.0000   0.2765
  -5.900  -0.3610   0.08534   0.07997  -0.0077   1.0000   0.2872
  -5.800  -0.3722   0.08541   0.08009  -0.0071   1.0000   0.2900
  -5.700  -0.3910   0.08609   0.08085  -0.0081   1.0000   0.2922
  -5.600  -0.3768   0.08356   0.07833  -0.0049   1.0000   0.2970
  -5.500  -0.3784   0.08288   0.07767  -0.0036   1.0000   0.3032
  -5.400  -0.3930   0.08326   0.07810  -0.0043   1.0000   0.3073
