AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:31 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-175.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
4.36           Angle of attack for zero Cn for linear Cn curve (deg)
9.49343        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3878        Cn at stall value for positive angle of attack for linear Cn curve
-0.4544        Cn at stall value for negative angle of attack for linear Cn curve
9.30           Angle of attack for minimum CD (deg)
0.0343         Minimum CD value
   -180.00    0.1244    0.0060
   -179.00    0.4908    0.0065
   -178.00    0.8572    0.0080
   -177.00    1.2231    0.0106
   -176.00    1.5611    0.0141
   -175.00    1.7414    0.0187
   -174.00    1.6264    0.0242
   -173.00    1.3252    0.0307
   -172.00    1.0459    0.0382
   -171.00    0.8608    0.0467
   -170.00    0.7548    0.0561
   -169.00    0.7001    0.0665
   -168.00    0.6766    0.0778
   -167.00    0.6721    0.0900
   -166.00    0.6792    0.1031
   -165.00    0.6937    0.1171
   -164.00    0.7128    0.1320
   -163.00    0.7349    0.1477
   -162.00    0.7588    0.1643
   -161.00    0.7839    0.1816
   -160.00    0.8095    0.1997
   -159.00    0.8352    0.2186
   -158.00    0.8609    0.2382
   -157.00    0.8862    0.2586
   -156.00    0.9110    0.2796
   -155.00    0.9351    0.3012
   -154.00    0.9585    0.3236
   -153.00    0.9809    0.3465
   -152.00    1.0024    0.3700
   -151.00    1.0229    0.3940
   -150.00    1.0422    0.4185
   -149.00    1.0603    0.4436
   -148.00    1.0772    0.4691
   -147.00    1.0929    0.4950
   -146.00    1.1071    0.5213
   -145.00    1.1200    0.5480
   -144.00    1.1315    0.5750
   -143.00    1.1415    0.6023
   -142.00    1.1501    0.6299
   -141.00    1.1571    0.6577
   -140.00    1.1626    0.6856
   -139.00    1.1666    0.7138
   -138.00    1.1690    0.7421
   -137.00    1.1698    0.7704
   -136.00    1.1690    0.7988
   -135.00    1.1666    0.8273
   -134.00    1.1626    0.8557
   -133.00    1.1570    0.8841
   -132.00    1.1498    0.9124
   -131.00    1.1410    0.9406
   -130.00    1.1305    0.9686
   -129.00    1.1186    0.9965
   -128.00    1.1050    1.0241
   -127.00    1.0899    1.0515
   -126.00    1.0732    1.0786
   -125.00    1.0551    1.1054
   -124.00    1.0354    1.1319
   -123.00    1.0143    1.1579
   -122.00    0.9918    1.1836
   -121.00    0.9679    1.2088
   -120.00    0.9426    1.2335
   -119.00    0.9159    1.2578
   -118.00    0.8880    1.2815
   -117.00    0.8588    1.3046
   -116.00    0.8284    1.3272
   -115.00    0.7969    1.3492
   -114.00    0.7642    1.3705
   -113.00    0.7305    1.3911
   -112.00    0.6957    1.4111
   -111.00    0.6600    1.4304
   -110.00    0.6233    1.4489
   -109.00    0.5858    1.4666
   -108.00    0.5475    1.4836
   -107.00    0.5080    1.4998
   -106.00    0.4683    1.5151
   -105.00    0.4279    1.5296
   -104.00    0.3869    1.5433
   -103.00    0.3454    1.5561
   -102.00    0.3034    1.5680
   -101.00    0.2610    1.5790
   -100.00    0.2183    1.5891
    -99.00    0.1753    1.5983
    -98.00    0.1321    1.6065
    -97.00    0.0887    1.6138
    -96.00    0.0452    1.6202
    -95.00    0.0017    1.6255
    -94.00   -0.0418    1.6299
    -93.00   -0.0853    1.6334
    -92.00   -0.1285    1.6358
    -91.00   -0.1716    1.6373
    -90.00   -0.2145    1.6378
    -89.00   -0.2570    1.6373
    -88.00   -0.2992    1.6358
    -87.00   -0.3409    1.6334
    -86.00   -0.3821    1.6299
    -85.00   -0.4229    1.6255
    -84.00   -0.4630    1.6202
    -83.00   -0.5025    1.6138
    -82.00   -0.5413    1.6065
    -81.00   -0.5794    1.5983
    -80.00   -0.6167    1.5891
    -79.00   -0.6532    1.5790
    -78.00   -0.6888    1.5680
    -77.00   -0.7235    1.5561
    -76.00   -0.7572    1.5433
    -75.00   -0.7899    1.5296
    -74.00   -0.8217    1.5151
    -73.00   -0.8523    1.4998
    -72.00   -0.8819    1.4836
    -71.00   -0.9103    1.4666
    -70.00   -0.9375    1.4489
    -69.00   -0.9636    1.4304
    -68.00   -0.9885    1.4111
    -67.00   -1.0121    1.3911
    -66.00   -1.0344    1.3705
    -65.00   -1.0555    1.3492
    -64.00   -1.0753    1.3272
    -63.00   -1.0937    1.3046
    -62.00   -1.1109    1.2815
    -61.00   -1.1266    1.2578
    -60.00   -1.1411    1.2335
    -59.00   -1.1541    1.2088
    -58.00   -1.1658    1.1836
    -57.00   -1.1761    1.1579
    -56.00   -1.1851    1.1319
    -55.00   -1.1926    1.1054
    -54.00   -1.1988    1.0786
    -53.00   -1.2036    1.0515
    -52.00   -1.2071    1.0241
    -51.00   -1.2091    0.9965
    -50.00   -1.2099    0.9686
    -49.00   -1.2093    0.9406
    -48.00   -1.2073    0.9124
    -47.00   -1.2041    0.8841
    -46.00   -1.1995    0.8557
    -45.00   -1.1937    0.8273
    -44.00   -1.1866    0.7988
    -43.00   -1.1783    0.7704
    -42.00   -1.1687    0.7421
    -41.00   -1.1580    0.7138
    -40.00   -1.1461    0.6856
    -39.00   -1.1331    0.6577
    -38.00   -1.1189    0.6299
    -37.00   -1.1037    0.6023
    -36.00   -1.0874    0.5750
    -35.00   -1.0701    0.5480
    -34.00   -1.0518    0.5213
    -33.00   -1.0325    0.4950
    -32.00   -1.0124    0.4691
    -31.00   -0.9913    0.4436
    -30.00   -0.9694    0.4185
    -29.00   -0.9467    0.3940
    -28.00   -0.9233    0.3700
    -27.00   -0.8991    0.3465
    -26.00   -0.8743    0.3235
    -25.00   -0.8488    0.3012
    -24.00   -0.8227    0.2796
    -23.00   -0.7960    0.2585
    -22.00   -0.7689    0.2382
    -21.00   -0.7412    0.2186
    -20.00   -0.7132    0.1997
    -19.00   -0.6847    0.1816
    -18.00   -0.6560    0.1642
    -17.00   -0.6269    0.1477
    -16.00   -0.5976    0.1320
    -15.00   -0.5682    0.1171
    -14.00   -0.5386    0.1031
    -13.00   -0.5090    0.0900
    -12.00   -0.4794    0.0778
    -11.00   -0.4500    0.0665
    -10.00   -0.3735    0.1261
     -9.90   -0.3717    0.1258
     -9.80   -0.3792    0.1265
     -9.70   -0.4074    0.1301
     -9.60   -0.4301    0.1325
     -9.50   -0.4455    0.1337
     -9.40   -0.4572    0.1341
     -9.30   -0.4662    0.1340
     -9.20   -0.4734    0.1335
     -9.10   -0.4790    0.1326
     -9.00   -0.4474    0.1237
     -8.90   -0.4210    0.1196
     -8.80   -0.4051    0.1172
     -8.70   -0.3945    0.1156
     -8.60   -0.3873    0.1143
     -8.50   -0.3825    0.1132
     -8.40   -0.3798    0.1121
     -8.30   -0.3791    0.1112
     -8.20   -0.3822    0.1102
     -8.10   -0.4711    0.0992
     -8.00   -0.4763    0.0979
     -7.90   -0.4799    0.0967
     -7.80   -0.4821    0.0959
     -7.70   -0.4857    0.0950
     -7.60   -0.4915    0.0939
     -7.50   -0.4996    0.0928
     -7.40   -0.5099    0.0915
     -7.30   -0.5223    0.0900
     -7.20   -0.5371    0.0884
     -7.10   -0.5545    0.0866
     -7.00   -0.5729    0.0847
     -6.90   -0.5941    0.0826
     -6.80   -0.6199    0.0803
     -6.70   -0.6521    0.0775
     -6.60   -0.6992    0.0725
     -6.50   -0.7223    0.0686
     -6.40   -0.6837    0.0718
     -6.30   -0.6116    0.0761
     -6.20   -0.5790    0.0774
     -6.10   -0.5709    0.0773
     -6.00   -0.5703    0.0767
     -5.90   -0.5744    0.0758
     -5.80   -0.5826    0.0747
     -5.70   -0.5953    0.0735
     -5.60   -0.6130    0.0719
     -5.50   -0.6336    0.0699
     -5.40   -0.6594    0.0670
     -5.30   -0.7244    0.0576
     -5.20   -0.7292    0.0556
     -5.10   -0.7162    0.0568
     -5.00   -0.7016    0.0582
     -4.90   -0.6867    0.0598
     -4.80   -0.6699    0.0614
     -4.70   -0.6540    0.0626
     -4.60   -0.6444    0.0630
     -4.50   -0.6417    0.0627
     -4.40   -0.6453    0.0615
     -4.30   -0.6556    0.0593
     -4.20   -0.6796    0.0537
     -4.10   -0.6800    0.0519
     -4.00   -0.6729    0.0522
     -3.90   -0.6653    0.0527
     -3.80   -0.6576    0.0531
     -3.70   -0.6502    0.0535
     -3.60   -0.6425    0.0539
     -3.50   -0.6350    0.0543
     -3.40   -0.6288    0.0544
     -3.30   -0.6245    0.0542
     -3.20   -0.6231    0.0533
     -3.10   -0.6252    0.0498
     -3.00   -0.6207    0.0499
     -2.90   -0.6151    0.0503
     -2.80   -0.6090    0.0508
     -2.70   -0.6026    0.0512
     -2.60   -0.5960    0.0515
     -2.50   -0.5896    0.0518
     -2.40   -0.5838    0.0518
     -2.30   -0.5788    0.0515
     -2.20   -0.5745    0.0508
     -2.10   -0.5698    0.0497
     -2.00   -0.5625    0.0483
     -1.90   -0.5589    0.0483
     -1.80   -0.5545    0.0485
     -1.70   -0.5497    0.0488
     -1.60   -0.5444    0.0491
     -1.50   -0.5388    0.0493
     -1.40   -0.5333    0.0494
     -1.30   -0.5278    0.0493
     -1.20   -0.5221    0.0490
     -1.10   -0.5136    0.0483
