AeroDyn airfoil file Created with QBlade v0.963 64bit on 13.12.2018 at 15:47:15 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 V" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
11.70          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
4.36           Angle of attack for zero Cn for linear Cn curve (deg)
9.49343        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3878        Cn at stall value for positive angle of attack for linear Cn curve
-0.6078        Cn at stall value for negative angle of attack for linear Cn curve
9.30           Angle of attack for minimum CD (deg)
0.0343         Minimum CD value
   -180.00    0.0000    0.0000
   -179.00    0.0314    0.0005
   -178.00    0.0628    0.0022
   -177.00    0.0940    0.0049
   -176.00    0.1252    0.0088
   -175.00    0.1562    0.0137
   -174.00    0.1871    0.0197
   -173.00    0.2177    0.0267
   -172.00    0.2480    0.0349
   -171.00    0.2780    0.0440
   -170.00    0.3077    0.0543
   -169.00    0.3370    0.0655
   -168.00    0.3660    0.0778
   -167.00    0.3944    0.0911
   -166.00    0.4224    0.1053
   -165.00    0.4499    0.1206
   -164.00    0.4768    0.1368
   -163.00    0.5031    0.1539
   -162.00    0.5288    0.1719
   -161.00    0.5539    0.1908
   -160.00    0.5783    0.2106
   -159.00    0.6020    0.2312
   -158.00    0.6250    0.2526
   -157.00    0.6472    0.2748
   -156.00    0.6686    0.2978
   -155.00    0.6892    0.3215
   -154.00    0.7090    0.3459
   -153.00    0.7279    0.3710
   -152.00    0.7459    0.3967
   -151.00    0.7630    0.4231
   -150.00    0.7792    0.4500
   -149.00    0.7944    0.4775
   -148.00    0.8087    0.5055
   -147.00    0.8219    0.5339
   -146.00    0.8342    0.5629
   -145.00    0.8455    0.5922
   -144.00    0.8557    0.6219
   -143.00    0.8649    0.6519
   -142.00    0.8730    0.6823
   -141.00    0.8801    0.7129
   -140.00    0.8861    0.7437
   -139.00    0.8910    0.7747
   -138.00    0.8948    0.8059
   -137.00    0.8975    0.8372
   -136.00    0.8992    0.8686
   -135.00    0.8997    0.9000
   -134.00    0.8992    0.9314
   -133.00    0.8975    0.9628
   -132.00    0.8948    0.9941
   -131.00    0.8910    1.0253
   -130.00    0.8861    1.0563
   -129.00    0.8801    1.0871
   -128.00    0.8730    1.1177
   -127.00    0.8649    1.1481
   -126.00    0.8557    1.1781
   -125.00    0.8455    1.2078
   -124.00    0.8342    1.2371
   -123.00    0.8219    1.2661
   -122.00    0.8087    1.2945
   -121.00    0.7944    1.3225
   -120.00    0.7792    1.3500
   -119.00    0.7630    1.3769
   -118.00    0.7459    1.4033
   -117.00    0.7279    1.4290
   -116.00    0.7090    1.4541
   -115.00    0.6892    1.4785
   -114.00    0.6686    1.5022
   -113.00    0.6472    1.5252
   -112.00    0.6250    1.5474
   -111.00    0.6020    1.5688
   -110.00    0.5783    1.5894
   -109.00    0.5539    1.6092
   -108.00    0.5288    1.6281
   -107.00    0.5031    1.6461
   -106.00    0.4768    1.6632
   -105.00    0.4499    1.6794
   -104.00    0.4224    1.6947
   -103.00    0.3944    1.7089
   -102.00    0.3660    1.7222
   -101.00    0.3370    1.7345
   -100.00    0.3077    1.7457
    -99.00    0.2780    1.7560
    -98.00    0.2480    1.7651
    -97.00    0.2177    1.7733
    -96.00    0.1871    1.7803
    -95.00    0.1562    1.7863
    -94.00    0.1252    1.7912
    -93.00    0.0940    1.7951
    -92.00    0.0628    1.7978
    -91.00    0.0314    1.7995
    -90.00   -0.0000    1.8000
    -89.00   -0.0314    1.8002
    -88.00   -0.0628    1.7992
    -87.00   -0.0942    1.7972
    -86.00   -0.1255    1.7941
    -85.00   -0.1567    1.7899
    -84.00   -0.1877    1.7846
    -83.00   -0.2185    1.7782
    -82.00   -0.2491    1.7708
    -81.00   -0.2794    1.7623
    -80.00   -0.3094    1.7528
    -79.00   -0.3391    1.7422
    -78.00   -0.3684    1.7307
    -77.00   -0.3972    1.7181
    -76.00   -0.4256    1.7045
    -75.00   -0.4536    1.6900
    -74.00   -0.4810    1.6745
    -73.00   -0.5079    1.6581
    -72.00   -0.5342    1.6407
    -71.00   -0.5599    1.6225
    -70.00   -0.5850    1.6034
    -69.00   -0.6093    1.5834
    -68.00   -0.6330    1.5627
    -67.00   -0.6560    1.5411
    -66.00   -0.6782    1.5188
    -65.00   -0.6996    1.4957
    -64.00   -0.7203    1.4720
    -63.00   -0.7401    1.4475
    -62.00   -0.7591    1.4224
    -61.00   -0.7772    1.3967
    -60.00   -0.7944    1.3704
    -59.00   -0.8107    1.3435
    -58.00   -0.8261    1.3161
    -57.00   -0.8405    1.2883
    -56.00   -0.8540    1.2600
    -55.00   -0.8665    1.2312
    -54.00   -0.8781    1.2021
    -53.00   -0.8886    1.1726
    -52.00   -0.8982    1.1428
    -51.00   -0.9067    1.1128
    -50.00   -0.9143    1.0825
    -49.00   -0.9208    1.0520
    -48.00   -0.9263    1.0214
    -47.00   -0.9307    0.9906
    -46.00   -0.9342    0.9597
    -45.00   -0.9366    0.9288
    -44.00   -0.9380    0.8979
    -43.00   -0.9384    0.8671
    -42.00   -0.9378    0.8362
    -41.00   -0.9362    0.8055
    -40.00   -0.9336    0.7750
    -39.00   -0.9300    0.7446
    -38.00   -0.9255    0.7144
    -37.00   -0.9200    0.6845
    -36.00   -0.9136    0.6549
    -35.00   -0.9063    0.6256
    -34.00   -0.8981    0.5967
    -33.00   -0.8891    0.5681
    -32.00   -0.8792    0.5401
    -31.00   -0.8685    0.5124
    -30.00   -0.8571    0.4853
    -29.00   -0.8450    0.4587
    -28.00   -0.8321    0.4327
    -27.00   -0.8187    0.4073
    -26.00   -0.8047    0.3826
    -25.00   -0.7901    0.3585
    -24.00   -0.7751    0.3350
    -23.00   -0.7597    0.3124
    -22.00   -0.7441    0.2904
    -21.00   -0.7282    0.2693
    -20.00   -0.7122    0.2489
    -19.00   -0.6963    0.2294
    -18.00   -0.6806    0.2107
    -17.00   -0.6653    0.1929
    -16.00   -0.6506    0.1760
    -15.00   -0.6367    0.1600
    -14.00   -0.6241    0.1449
    -13.00   -0.6131    0.1308
    -12.00   -0.6044    0.1177
    -11.00   -0.5987    0.1056
    -10.00   -0.3735    0.1261
