AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:32 Compatible with AeroDyn v13.0.
Polar "T1_Re0.120_M0.00_N9.0 360 M" on Foil "T1_Re0.120_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.80          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.97           Angle of attack for zero Cn for linear Cn curve (deg)
6.32314        Cn slope for zero lift for linear Cn curve (1/rad)
-1.0628        Cn at stall value for positive angle of attack for linear Cn curve
-1.0687        Cn at stall value for negative angle of attack for linear Cn curve
7.50           Angle of attack for minimum CD (deg)
0.0205         Minimum CD value
   -180.00    0.0285    0.0060
   -179.00    0.1277    0.0065
   -178.00    0.2268    0.0080
   -177.00    0.3240    0.0106
   -176.00    0.4128    0.0141
   -175.00    0.4809    0.0187
   -174.00    0.5179    0.0242
   -173.00    0.5244    0.0307
   -172.00    0.5135    0.0382
   -171.00    0.4992    0.0467
   -170.00    0.4896    0.0561
   -169.00    0.4873    0.0665
   -168.00    0.4919    0.0778
   -167.00    0.5018    0.0900
   -166.00    0.5157    0.1031
   -165.00    0.5325    0.1171
   -164.00    0.5512    0.1320
   -163.00    0.5711    0.1477
   -162.00    0.5917    0.1642
   -161.00    0.6127    0.1816
   -160.00    0.6337    0.1997
   -159.00    0.6546    0.2186
   -158.00    0.6751    0.2382
   -157.00    0.6951    0.2585
   -156.00    0.7146    0.2795
   -155.00    0.7334    0.3012
   -154.00    0.7514    0.3235
   -153.00    0.7686    0.3464
   -152.00    0.7849    0.3699
   -151.00    0.8002    0.3939
   -150.00    0.8146    0.4185
   -149.00    0.8280    0.4435
   -148.00    0.8404    0.4690
   -147.00    0.8516    0.4949
   -146.00    0.8618    0.5212
   -145.00    0.8708    0.5479
   -144.00    0.8787    0.5749
   -143.00    0.8855    0.6022
   -142.00    0.8910    0.6298
   -141.00    0.8954    0.6575
   -140.00    0.8986    0.6855
   -139.00    0.9005    0.7137
   -138.00    0.9013    0.7419
   -137.00    0.9009    0.7703
   -136.00    0.8992    0.7987
   -135.00    0.8963    0.8271
   -134.00    0.8922    0.8555
   -133.00    0.8870    0.8839
   -132.00    0.8805    0.9122
   -131.00    0.8728    0.9403
   -130.00    0.8640    0.9684
   -129.00    0.8540    0.9962
   -128.00    0.8429    1.0238
   -127.00    0.8306    1.0512
   -126.00    0.8172    1.0783
   -125.00    0.8027    1.1051
   -124.00    0.7872    1.1315
   -123.00    0.7706    1.1575
   -122.00    0.7530    1.1832
   -121.00    0.7344    1.2084
   -120.00    0.7148    1.2331
   -119.00    0.6942    1.2573
   -118.00    0.6728    1.2810
   -117.00    0.6505    1.3041
   -116.00    0.6273    1.3267
   -115.00    0.6033    1.3486
   -114.00    0.5786    1.3699
   -113.00    0.5531    1.3905
   -112.00    0.5269    1.4104
   -111.00    0.5000    1.4297
   -110.00    0.4724    1.4481
   -109.00    0.4362    1.4658
   -108.00    0.4074    1.4828
   -107.00    0.3780    1.4989
   -106.00    0.3481    1.5142
   -105.00    0.3179    1.5287
   -104.00    0.2872    1.5423
   -103.00    0.2561    1.5551
   -102.00    0.2247    1.5670
   -101.00    0.1931    1.5779
   -100.00    0.1612    1.5880
    -99.00    0.1291    1.5971
    -98.00    0.0969    1.6053
    -97.00    0.0645    1.6125
    -96.00    0.0321    1.6188
    -95.00   -0.0003    1.6241
    -94.00   -0.0328    1.6284
    -93.00   -0.0651    1.6318
    -92.00   -0.0974    1.6342
    -91.00   -0.1296    1.6356
    -90.00   -0.1616    1.6360
    -89.00   -0.1933    1.6354
    -88.00   -0.2248    1.6339
    -87.00   -0.2561    1.6313
    -86.00   -0.2870    1.6278
    -85.00   -0.3175    1.6233
    -84.00   -0.3477    1.6178
    -83.00   -0.3774    1.6114
    -82.00   -0.4067    1.6040
    -81.00   -0.4354    1.5957
    -80.00   -0.4637    1.5864
    -79.00   -0.4913    1.5762
    -78.00   -0.5184    1.5650
    -77.00   -0.5449    1.5530
    -76.00   -0.5708    1.5401
    -75.00   -0.5959    1.5263
    -74.00   -0.6204    1.5116
    -73.00   -0.6442    1.4961
    -72.00   -0.6672    1.4798
    -71.00   -0.6895    1.4626
    -70.00   -0.7110    1.4447
    -69.00   -0.7317    1.4260
    -68.00   -0.7516    1.4066
    -67.00   -0.7707    1.3864
    -66.00   -0.7889    1.3656
    -65.00   -0.8062    1.3441
    -64.00   -0.8228    1.3219
    -63.00   -0.8384    1.2991
    -62.00   -0.8531    1.2757
    -61.00   -0.8670    1.2518
    -60.00   -0.8800    1.2273
    -59.00   -0.8921    1.2022
    -58.00   -0.9033    1.1767
    -57.00   -0.9136    1.1508
    -56.00   -0.9230    1.1244
    -55.00   -0.9315    1.0976
    -54.00   -0.9392    1.0705
    -53.00   -0.9460    1.0430
    -52.00   -0.9519    1.0153
    -51.00   -0.9570    0.9872
    -50.00   -0.9612    0.9590
    -49.00   -0.9647    0.9305
    -48.00   -0.9674    0.9019
    -47.00   -0.9693    0.8731
    -46.00   -0.9705    0.8442
    -45.00   -0.9710    0.8152
    -44.00   -0.9708    0.7862
    -43.00   -0.9700    0.7572
