AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:32 Compatible with AeroDyn v13.0.
Polar "T1_Re0.185_M0.00_N9.0 360 M" on Foil "T1_Re0.185_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.80          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.40          Angle of attack for zero Cn for linear Cn curve (deg)
6.81683        Cn slope for zero lift for linear Cn curve (1/rad)
-1.0719        Cn at stall value for positive angle of attack for linear Cn curve
-1.1312        Cn at stall value for negative angle of attack for linear Cn curve
5.90           Angle of attack for minimum CD (deg)
0.0168         Minimum CD value
   -180.00   -0.0116    0.0060
   -179.00    0.0892    0.0065
   -178.00    0.1886    0.0080
   -177.00    0.2812    0.0106
   -176.00    0.3565    0.0141
   -175.00    0.4039    0.0187
   -174.00    0.4221    0.0242
   -173.00    0.4211    0.0307
   -172.00    0.4136    0.0382
   -171.00    0.4079    0.0467
   -170.00    0.4074    0.0561
   -169.00    0.4123    0.0665
   -168.00    0.4218    0.0778
   -167.00    0.4348    0.0900
   -166.00    0.4503    0.1031
   -165.00    0.4675    0.1171
   -164.00    0.4858    0.1320
   -163.00    0.5047    0.1477
   -162.00    0.5240    0.1642
   -161.00    0.5432    0.1816
   -160.00    0.5623    0.1997
   -159.00    0.5810    0.2186
   -158.00    0.5992    0.2382
   -157.00    0.6169    0.2585
   -156.00    0.6339    0.2796
   -155.00    0.6502    0.3012
   -154.00    0.6656    0.3235
   -153.00    0.6803    0.3465
   -152.00    0.6941    0.3699
   -151.00    0.7069    0.3940
   -150.00    0.7188    0.4185
   -149.00    0.7298    0.4436
   -148.00    0.7397    0.4691
   -147.00    0.7487    0.4950
   -146.00    0.7566    0.5213
   -145.00    0.7635    0.5480
   -144.00    0.7694    0.5750
   -143.00    0.7742    0.6023
   -142.00    0.7780    0.6298
   -141.00    0.7807    0.6576
   -140.00    0.7824    0.6856
   -139.00    0.7830    0.7138
   -138.00    0.7825    0.7420
   -137.00    0.7810    0.7704
   -136.00    0.7785    0.7988
   -135.00    0.7749    0.8272
   -134.00    0.7703    0.8557
   -133.00    0.7647    0.8840
   -132.00    0.7581    0.9123
   -131.00    0.7505    0.9405
   -130.00    0.7420    0.9685
   -129.00    0.7324    0.9964
   -128.00    0.7220    1.0240
   -127.00    0.7106    1.0514
   -126.00    0.6983    1.0785
   -125.00    0.6851    1.1053
   -124.00    0.6711    1.1317
   -123.00    0.6562    1.1578
   -122.00    0.6405    1.1835
   -121.00    0.6240    1.2087
   -120.00    0.6068    1.2334
   -119.00    0.5888    1.2576
   -118.00    0.5701    1.2813
   -117.00    0.5507    1.3045
   -116.00    0.5307    1.3270
   -115.00    0.5100    1.3490
   -114.00    0.4888    1.3703
   -113.00    0.4669    1.3909
   -112.00    0.4445    1.4109
   -111.00    0.4217    1.4301
   -110.00    0.3954    1.4486
   -109.00    0.3716    1.4664
   -108.00    0.3473    1.4833
   -107.00    0.3226    1.4995
   -106.00    0.2976    1.5149
   -105.00    0.2723    1.5294
   -104.00    0.2467    1.5430
   -103.00    0.2208    1.5558
   -102.00    0.1947    1.5677
   -101.00    0.1684    1.5787
   -100.00    0.1419    1.5888
    -99.00    0.1153    1.5979
    -98.00    0.0886    1.6061
    -97.00    0.0618    1.6134
    -96.00    0.0350    1.6197
    -95.00    0.0082    1.6251
    -94.00   -0.0185    1.6295
    -93.00   -0.0453    1.6329
    -92.00   -0.0719    1.6353
    -91.00   -0.0984    1.6367
    -90.00   -0.1248    1.6372
    -89.00   -0.1510    1.6367
    -88.00   -0.1769    1.6352
    -87.00   -0.2027    1.6327
    -86.00   -0.2282    1.6292
    -85.00   -0.2534    1.6248
    -84.00   -0.2783    1.6194
    -83.00   -0.3028    1.6130
    -82.00   -0.3270    1.6057
    -81.00   -0.3508    1.5974
    -80.00   -0.3741    1.5882
    -79.00   -0.3971    1.5781
    -78.00   -0.4195    1.5670
    -77.00   -0.4415    1.5551
    -76.00   -0.4630    1.5422
    -75.00   -0.4839    1.5285
    -74.00   -0.5043    1.5140
    -73.00   -0.5242    1.4986
    -72.00   -0.5434    1.4823
    -71.00   -0.5621    1.4653
    -70.00   -0.5801    1.4475
    -69.00   -0.5975    1.4289
    -68.00   -0.6142    1.4096
    -67.00   -0.6303    1.3896
    -66.00   -0.6457    1.3688
    -65.00   -0.6604    1.3474
    -64.00   -0.6743    1.3254
    -63.00   -0.6876    1.3027
    -62.00   -0.7002    1.2795
    -61.00   -0.7120    1.2557
    -60.00   -0.7231    1.2314
    -59.00   -0.7334    1.2065
    -58.00   -0.7430    1.1812
    -57.00   -0.7518    1.1554
    -56.00   -0.7599    1.1292
    -55.00   -0.7672    1.1027
    -54.00   -0.7737    1.0757
    -53.00   -0.7795    1.0485
    -52.00   -0.7845    1.0209
    -51.00   -0.7888    0.9931
    -50.00   -0.7922    0.9651
    -49.00   -0.7950    0.9369
    -48.00   -0.7970    0.9085
    -47.00   -0.7983    0.8800
    -46.00   -0.7989    0.8514
    -45.00   -0.7987    0.8227
    -44.00   -0.7979    0.7940
    -43.00   -0.7964    0.7654
    -42.00   -0.7943    0.7367
    -41.00   -0.7915    0.7081
    -40.00   -0.7882    0.6797
    -39.00   -0.7843    0.6513
    -38.00   -0.7799    0.6232
    -37.00   -0.7750    0.5952
    -36.00   -0.7697    0.5675
    -35.00   -0.7640    0.5400
    -34.00   -0.7581    0.5128
    -33.00   -0.7519    0.4859
    -32.00   -0.7456    0.4594
    -31.00   -0.7393    0.4332
    -30.00   -0.7331    0.4075
    -29.00   -0.7271    0.3822
    -28.00   -0.7215    0.3573
    -27.00   -0.7166    0.3329
    -26.00   -0.7124    0.3089
    -25.00   -0.7094    0.2855
    -24.00   -0.7077    0.2627
    -23.00   -0.7077    0.2404
    -22.00   -0.7098    0.2186
    -21.00   -0.7145    0.1975
    -20.00   -0.7221    0.1770
    -19.00   -0.7332    0.1572
    -18.00   -0.7480    0.1381
    -17.00   -0.7669    0.1198
    -16.00   -0.7898    0.1024
    -15.00   -0.8159    0.0861
    -14.00   -0.8438    0.0710
    -13.00   -0.8708    0.0573
    -12.00   -0.8931    0.0454
    -11.00   -0.9055    0.0354
    -10.00   -1.1492    0.0273
     -9.90   -1.1436    0.0271
     -9.80   -1.1307    0.0270
     -9.70   -1.1143    0.0269
     -9.60   -1.0967    0.0269
     -9.50   -1.0823    0.0269
     -9.40   -1.0709    0.0262
     -9.30   -1.0574    0.0260
     -9.20   -1.0426    0.0259
     -9.10   -1.0271    0.0259
     -9.00   -1.0176    0.0256
     -8.90   -1.0072    0.0255
     -8.80   -0.9962    0.0254
     -8.70   -0.9845    0.0254
     -8.60   -0.9722    0.0254
     -8.50   -0.9593    0.0254
     -8.40   -0.9481    0.0249
     -8.30   -0.9354    0.0247
     -8.20   -0.9217    0.0246
     -8.10   -0.9073    0.0247
     -8.00   -0.8920    0.0248
     -7.80   -0.8785    0.0243
     -7.70   -0.8690    0.0242
     -7.60   -0.8585    0.0241
     -7.50   -0.8473    0.0241
     -7.40   -0.8359    0.0239
     -7.30   -0.8249    0.0236
     -7.20   -0.8125    0.0235
     -7.10   -0.7989    0.0235
     -7.00   -0.7842    0.0235
     -6.90   -0.7688    0.0235
     -6.80   -0.7526    0.0236
     -6.70   -0.7358    0.0237
     -6.60   -0.7185    0.0238
     -6.50   -0.7008    0.0240
     -6.40   -0.7068    0.0233
     -6.30   -0.6987    0.0230
     -6.20   -0.6892    0.0229
     -6.10   -0.6786    0.0228
     -6.00   -0.6673    0.0227
     -5.90   -0.6553    0.0227
     -5.80   -0.6427    0.0227
     -5.70   -0.6295    0.0228
     -5.60   -0.6158    0.0228
     -5.50   -0.6016    0.0229
     -5.40   -0.5879    0.0227
     -5.30   -0.5742    0.0226
     -5.20   -0.5598    0.0226
     -5.10   -0.5450    0.0227
     -5.00   -0.5297    0.0227
     -4.90   -0.5140    0.0228
     -4.80   -0.4977    0.0229
     -4.70   -0.4807    0.0231
     -4.50   -0.4828    0.0226
     -4.40   -0.4723    0.0225
     -4.30   -0.4613    0.0223
     -4.20   -0.4495    0.0223
     -4.10   -0.4373    0.0223
     -4.00   -0.4246    0.0223
     -3.90   -0.4113    0.0224
     -3.80   -0.3974    0.0224
     -3.70   -0.3831    0.0224
     -3.60   -0.3683    0.0225
     -3.50   -0.3532    0.0225
     -3.40   -0.3388    0.0224
     -3.30   -0.3243    0.0224
     -3.20   -0.3094    0.0224
     -3.10   -0.2943    0.0225
