AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:34 Compatible with AeroDyn v13.0.
Polar "T1_Re2.000_M0.00_N9.0 360 M" on Foil "T1_Re2.000_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
18.80          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.62          Angle of attack for zero Cn for linear Cn curve (deg)
6.56203        Cn slope for zero lift for linear Cn curve (1/rad)
0.5827         Cn at stall value for positive angle of attack for linear Cn curve
-0.6617        Cn at stall value for negative angle of attack for linear Cn curve
0.50           Angle of attack for minimum CD (deg)
0.0049         Minimum CD value
   -180.00   -0.1051    0.0060
   -179.00   -0.0139    0.0065
   -178.00    0.0773    0.0080
   -177.00    0.1685    0.0106
   -176.00    0.2597    0.0141
   -175.00    0.3503    0.0187
   -174.00    0.4337    0.0242
   -173.00    0.4926    0.0307
   -172.00    0.5075    0.0382
   -171.00    0.4804    0.0467
   -170.00    0.4360    0.0561
   -169.00    0.3970    0.0665
   -168.00    0.3718    0.0778
   -167.00    0.3594    0.0900
   -166.00    0.3566    0.1031
   -165.00    0.3602    0.1171
   -164.00    0.3679    0.1320
   -163.00    0.3780    0.1477
   -162.00    0.3895    0.1642
   -161.00    0.4017    0.1816
   -160.00    0.4141    0.1997
   -159.00    0.4263    0.2186
   -158.00    0.4382    0.2382
   -157.00    0.4495    0.2585
   -156.00    0.4601    0.2796
   -155.00    0.4700    0.3012
   -154.00    0.4792    0.3235
   -153.00    0.4874    0.3465
   -152.00    0.4949    0.3699
   -151.00    0.5014    0.3940
   -150.00    0.5070    0.4185
   -149.00    0.5118    0.4436
   -148.00    0.5157    0.4691
   -147.00    0.5187    0.4950
   -146.00    0.5208    0.5213
   -145.00    0.5221    0.5480
   -144.00    0.5225    0.5750
   -143.00    0.5221    0.6023
   -142.00    0.5209    0.6298
   -141.00    0.5189    0.6576
   -140.00    0.5162    0.6856
   -139.00    0.5127    0.7138
   -138.00    0.5085    0.7420
   -137.00    0.5037    0.7704
   -136.00    0.4982    0.7988
   -135.00    0.4920    0.8272
   -134.00    0.4853    0.8557
   -133.00    0.4780    0.8840
   -132.00    0.4701    0.9123
   -131.00    0.4618    0.9405
   -130.00    0.4529    0.9686
   -129.00    0.4436    0.9964
   -128.00    0.4338    1.0240
   -127.00    0.4237    1.0514
   -126.00    0.4131    1.0785
   -125.00    0.4022    1.1053
   -124.00    0.3910    1.1318
   -123.00    0.3795    1.1578
   -122.00    0.3677    1.1835
   -121.00    0.3556    1.2087
   -120.00    0.3433    1.2334
   -119.00    0.3308    1.2576
   -118.00    0.3181    1.2814
   -117.00    0.3052    1.3045
   -116.00    0.2922    1.3271
   -115.00    0.2791    1.3490
   -114.00    0.2658    1.3703
   -113.00    0.2525    1.3910
   -112.00    0.2390    1.4109
   -111.00    0.2255    1.4301
   -110.00    0.2120    1.4486
   -109.00    0.1984    1.4664
   -108.00    0.1848    1.4834
   -107.00    0.1711    1.4995
   -106.00    0.1551    1.5149
   -105.00    0.1414    1.5294
   -104.00    0.1277    1.5430
   -103.00    0.1140    1.5558
   -102.00    0.1004    1.5677
   -101.00    0.0868    1.5787
