AeroDyn airfoil file Created with QBlade v0.963 64bit on 13.12.2018 at 15:49:54 Compatible with AeroDyn v13.0.
Polar "T1_Re0.055_M0.00_N9.0 360 V" on Foil "T1_Re0.055_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.40          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
4.29           Angle of attack for zero Cn for linear Cn curve (deg)
9.73922        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5105        Cn at stall value for positive angle of attack for linear Cn curve
-0.7349        Cn at stall value for negative angle of attack for linear Cn curve
9.20           Angle of attack for minimum CD (deg)
0.0318         Minimum CD value
   -180.00    0.0000    0.0000
   -179.00    0.0314    0.0005
   -178.00    0.0628    0.0022
   -177.00    0.0940    0.0049
   -176.00    0.1252    0.0088
   -175.00    0.1562    0.0137
   -174.00    0.1871    0.0197
   -173.00    0.2177    0.0267
   -172.00    0.2480    0.0349
   -171.00    0.2780    0.0440
   -170.00    0.3077    0.0543
   -169.00    0.3370    0.0655
   -168.00    0.3660    0.0778
   -167.00    0.3944    0.0911
   -166.00    0.4224    0.1053
   -165.00    0.4499    0.1206
   -164.00    0.4768    0.1368
   -163.00    0.5031    0.1539
   -162.00    0.5288    0.1719
   -161.00    0.5539    0.1908
   -160.00    0.5783    0.2106
   -159.00    0.6020    0.2312
   -158.00    0.6250    0.2526
   -157.00    0.6472    0.2748
   -156.00    0.6686    0.2978
   -155.00    0.6892    0.3215
   -154.00    0.7090    0.3459
   -153.00    0.7279    0.3710
   -152.00    0.7459    0.3967
   -151.00    0.7630    0.4231
   -150.00    0.7792    0.4500
   -149.00    0.7944    0.4775
   -148.00    0.8087    0.5055
   -147.00    0.8219    0.5339
   -146.00    0.8342    0.5629
   -145.00    0.8455    0.5922
   -144.00    0.8557    0.6219
   -143.00    0.8649    0.6519
   -142.00    0.8730    0.6823
   -141.00    0.8801    0.7129
   -140.00    0.8861    0.7437
   -139.00    0.8910    0.7747
   -138.00    0.8948    0.8059
   -137.00    0.8975    0.8372
   -136.00    0.8992    0.8686
   -135.00    0.8997    0.9000
   -134.00    0.8992    0.9314
   -133.00    0.8975    0.9628
   -132.00    0.8948    0.9941
   -131.00    0.8910    1.0253
   -130.00    0.8861    1.0563
   -129.00    0.8801    1.0871
   -128.00    0.8730    1.1177
   -127.00    0.8649    1.1481
   -126.00    0.8557    1.1781
   -125.00    0.8455    1.2078
   -124.00    0.8342    1.2371
   -123.00    0.8219    1.2661
   -122.00    0.8087    1.2945
   -121.00    0.7944    1.3225
   -120.00    0.7792    1.3500
   -119.00    0.7630    1.3769
   -118.00    0.7459    1.4033
   -117.00    0.7279    1.4290
   -116.00    0.7090    1.4541
   -115.00    0.6892    1.4785
   -114.00    0.6686    1.5022
   -113.00    0.6472    1.5252
   -112.00    0.6250    1.5474
   -111.00    0.6020    1.5688
   -110.00    0.5783    1.5894
   -109.00    0.5539    1.6092
   -108.00    0.5288    1.6281
   -107.00    0.5031    1.6461
   -106.00    0.4768    1.6632
   -105.00    0.4499    1.6794
   -104.00    0.4224    1.6947
   -103.00    0.3944    1.7089
   -102.00    0.3660    1.7222
   -101.00    0.3370    1.7345
   -100.00    0.3077    1.7457
    -99.00    0.2780    1.7560
    -98.00    0.2480    1.7651
    -97.00    0.2177    1.7733
    -96.00    0.1871    1.7803
    -95.00    0.1562    1.7863
    -94.00    0.1252    1.7912
    -93.00    0.0940    1.7951
    -92.00    0.0628    1.7978
    -91.00    0.0314    1.7995
    -90.00   -0.0000    1.8000
    -89.00   -0.0314    1.8000
    -88.00   -0.0629    1.7988
    -87.00   -0.0943    1.7966
    -86.00   -0.1256    1.7933
    -85.00   -0.1569    1.7889
    -84.00   -0.1880    1.7834
    -83.00   -0.2189    1.7769
    -82.00   -0.2496    1.7693
    -81.00   -0.2800    1.7606
    -80.00   -0.3102    1.7509
    -79.00   -0.3400    1.7401
    -78.00   -0.3695    1.7284
    -77.00   -0.3986    1.7156
    -76.00   -0.4272    1.7018
    -75.00   -0.4554    1.6871
    -74.00   -0.4831    1.6714
    -73.00   -0.5102    1.6548
    -72.00   -0.5368    1.6373
    -71.00   -0.5628    1.6189
    -70.00   -0.5882    1.5996
    -69.00   -0.6129    1.5795
    -68.00   -0.6370    1.5585
    -67.00   -0.6603    1.5368
    -66.00   -0.6829    1.5143
    -65.00   -0.7048    1.4911
    -64.00   -0.7259    1.4671
    -63.00   -0.7461    1.4425
    -62.00   -0.7656    1.4172
    -61.00   -0.7842    1.3913
    -60.00   -0.8019    1.3648
    -59.00   -0.8187    1.3378
    -58.00   -0.8347    1.3103
    -57.00   -0.8497    1.2822
    -56.00   -0.8638    1.2538
    -55.00   -0.8770    1.2248
    -54.00   -0.8892    1.1956
    -53.00   -0.9004    1.1659
    -52.00   -0.9107    1.1360
    -51.00   -0.9200    1.1058
    -50.00   -0.9283    1.0754
    -49.00   -0.9356    1.0447
    -48.00   -0.9420    1.0139
    -47.00   -0.9473    0.9830
    -46.00   -0.9517    0.9520
    -45.00   -0.9550    0.9210
    -44.00   -0.9574    0.8900
    -43.00   -0.9589    0.8589
    -42.00   -0.9593    0.8280
    -41.00   -0.9588    0.7972
    -40.00   -0.9574    0.7665
    -39.00   -0.9550    0.7360
    -38.00   -0.9518    0.7057
    -37.00   -0.9476    0.6756
    -36.00   -0.9426    0.6459
    -35.00   -0.9368    0.6165
    -34.00   -0.9301    0.5875
    -33.00   -0.9227    0.5588
    -32.00   -0.9146    0.5306
    -31.00   -0.9057    0.5029
    -30.00   -0.8962    0.4757
    -29.00   -0.8861    0.4490
    -28.00   -0.8754    0.4229
    -27.00   -0.8642    0.3975
    -26.00   -0.8527    0.3726
    -25.00   -0.8407    0.3484
    -24.00   -0.8286    0.3249
    -23.00   -0.8162    0.3021
    -22.00   -0.8038    0.2801
    -21.00   -0.7915    0.2589
    -20.00   -0.7795    0.2385
    -19.00   -0.7678    0.2189
    -18.00   -0.7569    0.2001
    -17.00   -0.7468    0.1823
    -16.00   -0.7379    0.1653
    -15.00   -0.7306    0.1493
    -14.00   -0.7255    0.1342
    -13.00   -0.7231    0.1200
    -12.00   -0.7243    0.1069
    -11.00   -0.7302    0.0947
    -10.00   -0.4983    0.1135
