AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M (2)" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
10.90          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.43          Angle of attack for zero Cn for linear Cn curve (deg)
6.02508        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7861        Cn at stall value for positive angle of attack for linear Cn curve
-0.7900        Cn at stall value for negative angle of attack for linear Cn curve
-4.60          Angle of attack for minimum CD (deg)
0.0313         Minimum CD value
   -180.00   -0.0124    0.0060
   -179.00    0.1100    0.0065
   -178.00    0.2323    0.0080
   -177.00    0.3518    0.0106
   -176.00    0.4572    0.0141
   -175.00    0.5282    0.0187
   -174.00    0.5505    0.0242
   -173.00    0.5328    0.0308
   -172.00    0.4991    0.0383
   -171.00    0.4686    0.0468
   -170.00    0.4489    0.0562
   -169.00    0.4402    0.0666
   -168.00    0.4404    0.0780
   -167.00    0.4471    0.0902
   -166.00    0.4583    0.1034
   -165.00    0.4726    0.1175
   -164.00    0.4889    0.1324
   -163.00    0.5063    0.1482
   -162.00    0.5245    0.1648
   -161.00    0.5429    0.1823
   -160.00    0.5614    0.2005
   -159.00    0.5796    0.2195
   -158.00    0.5975    0.2393
   -157.00    0.6148    0.2597
   -156.00    0.6316    0.2809
   -155.00    0.6476    0.3027
   -154.00    0.6629    0.3252
   -153.00    0.6774    0.3483
   -152.00    0.6910    0.3720
   -151.00    0.7037    0.3962
   -150.00    0.7154    0.4210
   -149.00    0.7263    0.4463
   -148.00    0.7361    0.4720
   -147.00    0.7449    0.4982
   -146.00    0.7528    0.5247
   -145.00    0.7596    0.5517
   -144.00    0.7653    0.5790
   -143.00    0.7700    0.6066
   -142.00    0.7737    0.6344
   -141.00    0.7764    0.6625
   -140.00    0.7779    0.6908
   -139.00    0.7785    0.7193
   -138.00    0.7779    0.7479
