AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.075_M0.00_N9.0 360 M" on Foil "T1_Re0.075_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.22          Angle of attack for zero Cn for linear Cn curve (deg)
3.72090        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8578        Cn at stall value for positive angle of attack for linear Cn curve
-0.8690        Cn at stall value for negative angle of attack for linear Cn curve
-4.70          Angle of attack for minimum CD (deg)
0.0271         Minimum CD value
   -180.00   -0.0029    0.0067
   -179.00    0.0003    0.0072
   -178.00    0.0035    0.0085
   -177.00    0.0067    0.0107
   -176.00    0.0099    0.0138
   -175.00    0.0131    0.0178
   -174.00    0.0167    0.0226
   -173.00    0.0225    0.0283
   -172.00    0.0343    0.0349
   -171.00    0.0567    0.0423
   -170.00    0.0924    0.0505
   -169.00    0.1392    0.0595
   -168.00    0.1912    0.0694
   -167.00    0.2427    0.0800
   -166.00    0.2903    0.0914
   -165.00    0.3331    0.1036
   -164.00    0.3712    0.1166
   -163.00    0.4055    0.1302
   -162.00    0.4366    0.1446
   -161.00    0.4652    0.1596
   -160.00    0.4916    0.1754
   -159.00    0.5162    0.1918
   -158.00    0.5393    0.2088
   -157.00    0.5610    0.2264
   -156.00    0.5815    0.2446
   -155.00    0.6007    0.2634
   -154.00    0.6189    0.2827
   -153.00    0.6359    0.3025
   -152.00    0.6519    0.3228
   -151.00    0.6668    0.3435
   -150.00    0.6807    0.3647
   -149.00    0.6935    0.3863
   -148.00    0.7053    0.4083
   -147.00    0.7160    0.4306
   -146.00    0.7257    0.4532
   -145.00    0.7343    0.4761
   -144.00    0.7419    0.4992
   -143.00    0.7484    0.5226
   -142.00    0.7539    0.5462
   -141.00    0.7582    0.5700
   -140.00    0.7615    0.5938
   -139.00    0.7637    0.6178
   -138.00    0.7649    0.6419
   -137.00    0.7650    0.6660
   -136.00    0.7640    0.6901
   -135.00    0.7619    0.7141
   -134.00    0.7588    0.7381
   -133.00    0.7546    0.7621
   -132.00    0.7494    0.7859
   -131.00    0.7432    0.8096
   -130.00    0.7359    0.8330
   -129.00    0.7277    0.8563
   -128.00    0.7184    0.8793
   -127.00    0.7081    0.9021
   -126.00    0.6969    0.9245
   -125.00    0.6848    0.9466
   -124.00    0.6717    0.9684
   -123.00    0.6577    0.9897
   -122.00    0.6428    1.0107
   -121.00    0.6271    1.0312
   -120.00    0.6105    1.0512
   -119.00    0.5931    1.0707
   -118.00    0.5749    1.0897
   -117.00    0.5560    1.1081
   -116.00    0.5363    1.1259
   -115.00    0.5160    1.1432
   -114.00    0.4949    1.1598
   -113.00    0.4733    1.1758
   -112.00    0.4510    1.1911
   -111.00    0.4281    1.2057
   -110.00    0.4047    1.2195
   -109.00    0.3807    1.2327
   -108.00    0.3563    1.2451
   -107.00    0.3315    1.2567
   -106.00    0.3062    1.2676
   -105.00    0.2289    1.2776
   -104.00    0.2038    1.2868
   -103.00    0.1785    1.2952
   -102.00    0.1530    1.3028
   -101.00    0.1274    1.3095
   -100.00    0.1017    1.3153
    -99.00    0.0759    1.3202
    -98.00    0.0501    1.3243
    -97.00    0.0243    1.3275
    -96.00   -0.0014    1.3298
    -95.00   -0.0271    1.3312
    -94.00   -0.0526    1.3317
    -93.00   -0.0780    1.3313
    -92.00   -0.1031    1.3299
    -91.00   -0.1281    1.3277
    -90.00   -0.1527    1.3246
    -89.00   -0.1771    1.3206
    -88.00   -0.2011    1.3156
    -87.00   -0.2247    1.3098
    -86.00   -0.2480    1.3031
    -85.00   -0.2708    1.2955
    -84.00   -0.2931    1.2870
    -83.00   -0.3149    1.2777
    -82.00   -0.3362    1.2676
    -81.00   -0.3569    1.2566
    -80.00   -0.3771    1.2449
    -79.00   -0.3966    1.2327
    -78.00   -0.4155    1.2197
    -77.00   -0.4337    1.2059
    -76.00   -0.4512    1.1914
    -75.00   -0.4680    1.1762
    -74.00   -0.4841    1.1603
    -73.00   -0.4994    1.1436
    -72.00   -0.5140    1.1264
    -71.00   -0.5277    1.1084
    -70.00   -0.5407    1.0899
    -69.00   -0.5528    1.0708
    -68.00   -0.5641    1.0511
    -67.00   -0.5746    1.0309
    -66.00   -0.5842    1.0102
    -65.00   -0.5929    0.9891
    -64.00   -0.6007    0.9674
    -63.00   -0.6077    0.9454
    -62.00   -0.6138    0.9230
    -61.00   -0.6190    0.9003
    -60.00   -0.6233    0.8772
    -59.00   -0.6267    0.8539
    -58.00   -0.6293    0.8303
    -57.00   -0.6309    0.8065
    -56.00   -0.6317    0.7826
    -55.00   -0.6316    0.7585
    -54.00   -0.6306    0.7343
    -53.00   -0.6288    0.7100
    -52.00   -0.6262    0.6857
    -51.00   -0.6227    0.6615
    -50.00   -0.6184    0.6372
    -49.00   -0.6133    0.6131
    -48.00   -0.6075    0.5891
    -47.00   -0.6009    0.5652
    -46.00   -0.5936    0.5416
    -45.00   -0.5855    0.5181
    -44.00   -0.5768    0.4950
    -43.00   -0.5675    0.4721
    -42.00   -0.5575    0.4495
    -41.00   -0.5469    0.4274
    -40.00   -0.5357    0.4056
    -39.00   -0.5241    0.3842
    -38.00   -0.5119    0.3634
    -37.00   -0.4993    0.3429
    -36.00   -0.4862    0.3231
    -35.00   -0.4728    0.3037
    -34.00   -0.4590    0.2849
    -33.00   -0.4449    0.2667
    -32.00   -0.4306    0.2491
    -31.00   -0.4160    0.2321
    -30.00   -0.4012    0.2158
    -29.00   -0.3863    0.2001
    -28.00   -0.3713    0.1851
    -27.00   -0.3562    0.1707
    -26.00   -0.3411    0.1571
    -25.00   -0.3260    0.1441
    -24.00   -0.3110    0.1318
    -23.00   -0.2961    0.1202
    -22.00   -0.2813    0.1093
    -21.00   -0.2666    0.0990
    -20.00   -0.2522    0.0894
    -19.00   -0.2380    0.0805
    -18.00   -0.2241    0.0723
    -17.00   -0.2105    0.0647
    -16.00   -0.1971    0.0577
    -15.00   -0.1842    0.0513
    -14.00   -0.1715    0.0454
    -13.00   -0.1593    0.0402
    -12.00   -0.1475    0.0354
    -11.00   -0.1361    0.0312
    -10.00   -0.7529    0.0626
     -9.90   -0.7661    0.0624
     -9.80   -0.7804    0.0629
     -9.70   -0.7944    0.0632
     -9.60   -0.8073    0.0631
     -9.50   -0.8194    0.0627
     -9.40   -0.8534    0.0609
     -9.30   -0.8611    0.0605
     -9.20   -0.8664    0.0602
     -9.10   -0.8667    0.0600
     -9.00   -0.8639    0.0595
     -8.90   -0.8590    0.0585
     -8.80   -0.8526    0.0571
     -8.70   -0.8447    0.0555
     -8.60   -0.8378    0.0536
     -8.50   -0.8310    0.0519
     -8.40   -0.8239    0.0505
     -8.30   -0.8164    0.0493
     -8.20   -0.8084    0.0481
     -8.10   -0.7996    0.0469
     -8.00   -0.7901    0.0459
     -7.90   -0.7805    0.0449
     -7.80   -0.7707    0.0440
     -7.70   -0.7608    0.0432
     -7.60   -0.7510    0.0425
     -7.50   -0.7410    0.0419
     -7.40   -0.7305    0.0413
     -7.30   -0.7185    0.0405
     -7.20   -0.7056    0.0397
     -7.10   -0.6929    0.0388
     -7.00   -0.6804    0.0381
     -6.90   -0.6689    0.0373
     -6.80   -0.6597    0.0369
     -6.70   -0.6518    0.0366
     -6.60   -0.6433    0.0363
     -6.50   -0.6345    0.0360
     -6.40   -0.6250    0.0356
     -6.30   -0.6146    0.0351
     -6.20   -0.6037    0.0347
     -6.10   -0.5934    0.0343
     -6.00   -0.5832    0.0339
     -5.90   -0.5741    0.0336
