AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.075_M0.00_N9.0 360 M (2)" on Foil "T1_Re0.075_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-176.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.22          Angle of attack for zero Cn for linear Cn curve (deg)
3.72090        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8578        Cn at stall value for positive angle of attack for linear Cn curve
-0.8690        Cn at stall value for negative angle of attack for linear Cn curve
-4.70          Angle of attack for minimum CD (deg)
0.0271         Minimum CD value
   -180.00   -0.0029    0.0060
   -179.00    0.7971    0.0065
   -178.00    1.5909    0.0078
   -177.00    2.2280    0.0100
   -176.00    2.2761    0.0132
   -175.00    1.7546    0.0172
   -174.00    1.2058    0.0221
   -173.00    0.8476    0.0279
   -172.00    0.6438    0.0346
   -171.00    0.5323    0.0421
   -170.00    0.4732    0.0505
   -169.00    0.4442    0.0597
   -168.00    0.4331    0.0698
   -167.00    0.4331    0.0806
   -166.00    0.4399    0.0923
   -165.00    0.4511    0.1048
   -164.00    0.4651    0.1180
   -163.00    0.4810    0.1320
   -162.00    0.4979    0.1467
   -161.00    0.5155    0.1621
   -160.00    0.5333    0.1783
   -159.00    0.5512    0.1951
   -158.00    0.5688    0.2126
   -157.00    0.5861    0.2307
   -156.00    0.6030    0.2495
   -155.00    0.6193    0.2688
   -154.00    0.6350    0.2887
   -153.00    0.6500    0.3091
   -152.00    0.6643    0.3301
   -151.00    0.6777    0.3516
   -150.00    0.6904    0.3735
   -149.00    0.7021    0.3959
   -148.00    0.7130    0.4186
   -147.00    0.7229    0.4418
   -146.00    0.7319    0.4653
   -145.00    0.7399    0.4892
   -144.00    0.7470    0.5133
   -143.00    0.7530    0.5377
   -142.00    0.7580    0.5624
   -141.00    0.7620    0.5873
   -140.00    0.7650    0.6123
   -139.00    0.7669    0.6375
   -138.00    0.7678    0.6628
   -137.00    0.7676    0.6882
   -136.00    0.7664    0.7137
   -135.00    0.7642    0.7392
   -134.00    0.7609    0.7646
   -133.00    0.7566    0.7901
   -132.00    0.7512    0.8155
   -131.00    0.7449    0.8407
   -130.00    0.7375    0.8659
   -129.00    0.7291    0.8909
   -128.00    0.7197    0.9157
   -127.00    0.7094    0.9402
   -126.00    0.6981    0.9646
   -125.00    0.6859    0.9886
   -124.00    0.6727    1.0123
   -123.00    0.6586    1.0358
   -122.00    0.6437    1.0588
   -121.00    0.6279    1.0814
   -120.00    0.6113    1.1037
   -119.00    0.5939    1.1254
   -118.00    0.5756    1.1467
   -117.00    0.5567    1.1676
   -116.00    0.5370    1.1878
   -115.00    0.5166    1.2076
   -114.00    0.4955    1.2267
   -113.00    0.4738    1.2453
   -112.00    0.4515    1.2633
   -111.00    0.4286    1.2806
   -110.00    0.4051    1.2972
   -109.00    0.3812    1.3132
   -108.00    0.3563    1.3284
   -107.00    0.3314    1.3430
   -106.00    0.3061    1.3568
   -105.00    0.2805    1.3699
   -104.00    0.2545    1.3822
   -103.00    0.2282    1.3937
   -102.00    0.2017    1.4044
   -101.00    0.1749    1.4143
   -100.00    0.1479    1.4234
    -99.00    0.1207    1.4317
    -98.00    0.0935    1.4391
    -97.00    0.0661    1.4456
    -96.00    0.0387    1.4513
    -95.00    0.0113    1.4562
    -94.00   -0.0161    1.4601
    -93.00   -0.0435    1.4632
    -92.00   -0.0707    1.4654
    -91.00   -0.0979    1.4668
    -90.00   -0.1249    1.4672
    -89.00   -0.1517    1.4668
    -88.00   -0.1782    1.4654
    -87.00   -0.2045    1.4632
    -86.00   -0.2305    1.4601
    -85.00   -0.2562    1.4562
    -84.00   -0.2816    1.4513
    -83.00   -0.3065    1.4456
    -82.00   -0.3311    1.4391
    -81.00   -0.3552    1.4317
    -80.00   -0.3788    1.4234
    -79.00   -0.4020    1.4143
    -78.00   -0.4246    1.4044
    -77.00   -0.4467    1.3937
    -76.00   -0.4682    1.3822
    -75.00   -0.4891    1.3699
    -74.00   -0.5094    1.3568
    -73.00   -0.5290    1.3430
    -72.00   -0.5480    1.3284
    -71.00   -0.5663    1.3132
    -70.00   -0.5839    1.2972
    -69.00   -0.6008    1.2806
    -68.00   -0.6170    1.2632
    -67.00   -0.6324    1.2453
    -66.00   -0.6470    1.2267
    -65.00   -0.6609    1.2076
    -64.00   -0.6740    1.1878
    -63.00   -0.6862    1.1675
    -62.00   -0.6977    1.1467
    -61.00   -0.7083    1.1254
    -60.00   -0.7182    1.1037
    -59.00   -0.7271    1.0814
    -58.00   -0.7353    1.0588
    -57.00   -0.7425    1.0357
    -56.00   -0.7490    1.0123
    -55.00   -0.7545    0.9886
    -54.00   -0.7593    0.9645
    -53.00   -0.7631    0.9402
    -52.00   -0.7661    0.9156
    -51.00   -0.7683    0.8908
    -50.00   -0.7695    0.8659
    -49.00   -0.7700    0.8407
    -48.00   -0.7695    0.8154
    -47.00   -0.7683    0.7901
    -46.00   -0.7662    0.7646
    -45.00   -0.7632    0.7392
    -44.00   -0.7595    0.7137
    -43.00   -0.7549    0.6882
    -42.00   -0.7495    0.6628
    -41.00   -0.7434    0.6375
    -40.00   -0.7364    0.6123
    -39.00   -0.7287    0.5872
    -38.00   -0.7202    0.5624
    -37.00   -0.7110    0.5377
    -36.00   -0.7010    0.5133
    -35.00   -0.6904    0.4891
    -34.00   -0.6790    0.4653
    -33.00   -0.6670    0.4418
    -32.00   -0.6543    0.4186
    -31.00   -0.6410    0.3958
    -30.00   -0.6271    0.3734
    -29.00   -0.6126    0.3515
    -28.00   -0.5976    0.3301
    -27.00   -0.5820    0.3091
    -26.00   -0.5659    0.2886
    -25.00   -0.5494    0.2687
    -24.00   -0.5325    0.2494
    -23.00   -0.5151    0.2306
    -22.00   -0.4975    0.2125
    -21.00   -0.4796    0.1950
    -20.00   -0.4616    0.1782
    -19.00   -0.4435    0.1620
    -18.00   -0.4254    0.1466
    -17.00   -0.4075    0.1318
    -16.00   -0.3900    0.1178
    -15.00   -0.3733    0.1046
    -14.00   -0.3576    0.0921
    -13.00   -0.3436    0.0804
    -12.00   -0.3322    0.0695
    -11.00   -0.3247    0.0594
    -10.00   -0.7529    0.0626
     -9.90   -0.7661    0.0624
     -9.80   -0.7804    0.0629
     -9.70   -0.7944    0.0632
     -9.60   -0.8073    0.0631
     -9.50   -0.8194    0.0627
     -9.40   -0.8314    0.0622
     -9.30   -0.8438    0.0615
     -9.20   -0.8571    0.0607
     -9.10   -0.8657    0.0602
     -9.00   -0.8689    0.0601
     -8.90   -0.8702    0.0600
     -8.80   -0.8700    0.0600
     -8.70   -0.8586    0.0599
     -8.50   -0.8446    0.0550
     -8.40   -0.8380    0.0533
     -8.30   -0.8308    0.0518
     -8.20   -0.8242    0.0504
     -8.10   -0.8172    0.0492
     -8.00   -0.8093    0.0480
     -7.90   -0.8005    0.0469
     -7.80   -0.7908    0.0458
     -7.70   -0.7800    0.0448
     -7.60   -0.7701    0.0439
     -7.50   -0.7611    0.0432
     -7.40   -0.7515    0.0424
     -7.30   -0.7414    0.0418
     -7.20   -0.7309    0.0412
     -7.10   -0.7199    0.0407
     -7.00   -0.7087    0.0402
     -6.90   -0.6915    0.0386
     -6.80   -0.6772    0.0376
     -6.70   -0.6673    0.0371
     -6.60   -0.6575    0.0368
     -6.50   -0.6511    0.0366
     -6.40   -0.6452    0.0364
     -6.30   -0.6380    0.0363
     -6.20   -0.6247    0.0355
     -6.10   -0.6137    0.0350
     -6.00   -0.6034    0.0346
     -5.90   -0.5934    0.0343
     -5.80   -0.5834    0.0339
     -5.70   -0.5732    0.0336
     -5.60   -0.5627    0.0333
     -5.50   -0.5579    0.0330
     -5.40   -0.5556    0.0327
     -5.30   -0.5524    0.0325
     -5.10   -0.5466    0.0316
     -5.00   -0.5434    0.0311
     -4.90   -0.5414    0.0304
     -4.80   -0.5460    0.0288
     -4.70   -0.5556    0.0271
     -4.60   -0.5555    0.0301
     -4.50   -0.5484    0.0329
     -4.40   -0.5330    0.0360
     -4.30   -0.4699    0.0449
     -4.10   -0.3333    0.0479
     -4.00   -0.3882    0.0473
     -3.90   -0.3693    0.0471
     -3.80   -0.3076    0.0473
     -3.70   -0.2697    0.0473
     -3.60   -0.2533    0.0473
     -3.50   -0.2497    0.0472
     -3.40   -0.2595    0.0471
     -3.30   -0.3033    0.0469
     -3.20   -0.3162    0.0465
     -3.10   -0.2590    0.0465
     -3.00   -0.2198    0.0464
     -2.90   -0.1945    0.0463
     -2.80   -0.1792    0.0462
     -2.70   -0.1707    0.0461
     -2.60   -0.1678    0.0460
     -2.50   -0.1726    0.0459
     -2.40   -0.2493    0.0457
     -2.30   -0.2038    0.0455
     -2.10   -0.1431    0.0453
     -2.00   -0.1266    0.0453
     -1.90   -0.1172    0.0452
     -1.80   -0.1122    0.0451
     -1.70   -0.1099    0.0451
     -1.60   -0.1092    0.0450
     -1.50   -0.1101    0.0449
     -1.40   -0.1168    0.0448
     -1.30   -0.1314    0.0446
     -1.20   -0.0928    0.0446
     -1.10   -0.0886    0.0445
     -1.00   -0.0810    0.0445
     -0.90   -0.0735    0.0445
     -0.80   -0.0675    0.0444
     -0.70   -0.0621    0.0444
     -0.60   -0.0548    0.0444
     -0.50   -0.0442    0.0444
     -0.40   -0.0310    0.0443
     -0.30   -0.0154    0.0443
     -0.20    0.0029    0.0443
     -0.10    0.0159    0.0443
      0.00   -0.0466    0.0441
      0.10   -0.0936    0.0437
      0.20   -0.0847    0.0437
      0.30   -0.0706    0.0438
      0.40   -0.0510    0.0439
      0.50   -0.0260    0.0440
      0.60    0.0038    0.0441
      0.70    0.0395    0.0442
      0.80    0.0797    0.0443
      0.90    0.0857    0.0445
      1.00    0.0530    0.0445
      1.10    0.0398    0.0445
      1.20    0.0341    0.0445
      1.30    0.0333    0.0444
      1.40    0.0387    0.0444
      1.50    0.0518    0.0444
      1.60    0.0756    0.0444
      1.70    0.1111    0.0446
      1.80    0.0844    0.0446
      1.90    0.0497    0.0444
      2.00    0.0573    0.0445
      2.10    0.0723    0.0447
      2.20    0.0918    0.0448
      2.30    0.1157    0.0450
      2.40    0.1467    0.0451
      2.50    0.1859    0.0452
      2.60    0.2335    0.0454
      2.80    0.1526    0.0457
      2.90    0.1616    0.0457
      3.00    0.1786    0.0457
      3.10    0.2018    0.0457
      3.20    0.2306    0.0457
      3.30    0.2653    0.0457
      3.40    0.3120    0.0457
      3.60    0.2063    0.0462
      3.70    0.2254    0.0462
      3.80    0.2517    0.0462
      3.90    0.2831    0.0461
      4.00    0.3185    0.0459
      4.10    0.3589    0.0456
      4.20    0.4080    0.0452
      4.40    0.3314    0.0469
      4.50    0.3599    0.0466
      4.60    0.3940    0.0461
      4.70    0.4346    0.0454
      4.80    0.4847    0.0444
      4.90    0.5411    0.0433
      5.10    0.4209    0.0463
      5.20    0.4510    0.0457
      5.30    0.4856    0.0448
      5.40    0.5242    0.0438
      5.50    0.5663    0.0426
      5.60    0.6114    0.0414
      5.70    0.6529    0.0402
      5.90    0.5708    0.0434
      6.00    0.6069    0.0422
      6.10    0.6487    0.0407
      6.20    0.6955    0.0391
      6.30    0.7367    0.0376
      6.40    0.7787    0.0361
      6.50    0.6681    0.0406
      6.60    0.7007    0.0393
      6.70    0.7403    0.0377
      6.80    0.7857    0.0358
      6.90    0.8331    0.0337
      7.00    0.8509    0.0331
      7.10    0.8319    0.0342
      7.20    0.8641    0.0327
      7.30    0.9125    0.0306
      7.40    0.9442    0.0295
      7.50    0.9423    0.0298
      7.60    0.9690    0.0287
      7.70    0.9958    0.0280
      7.80    1.0040    0.0281
      7.90    1.0336    0.0275
      8.00    1.0344    0.0278
      8.10    1.0467    0.0279
      8.20    1.0628    0.0280
      8.30    1.0589    0.0283
      8.40    1.0559    0.0284
      8.50    1.0607    0.0285
      8.60    1.0683    0.0288
      8.70    1.0598    0.0290
      8.80    1.0526    0.0291
      8.90    1.0465    0.0293
      9.00    1.0421    0.0294
      9.10    1.0506    0.0295
      9.20    1.0551    0.0299
      9.30    1.0431    0.0299
      9.40    1.0339    0.0300
      9.50    1.0305    0.0302
      9.60    1.0330    0.0305
      9.70    1.0416    0.0307
      9.80    1.0595    0.0313
      9.90    1.0572    0.0317
     10.00    1.0580    0.0321
     10.10    1.0625    0.0324
     10.20    1.0709    0.0327
     10.30    1.0927    0.0335
     10.40    1.0907    0.0339
     10.50    1.0910    0.0344
     10.60    1.0939    0.0348
     10.70    1.0994    0.0352
     10.80    1.1095    0.0356
     10.90    1.1236    0.0364
     11.00    1.1209    0.0369
     11.10    1.1204    0.0374
     11.20    1.1222    0.0379
     11.30    1.1271    0.0384
     11.40    1.1374    0.0388
     11.50    1.1559    0.0399
     11.60    1.1529    0.0406
     11.70    1.1511    0.0412
     11.80    1.1507    0.0419
     11.90    1.1523    0.0426
     12.00    1.1569    0.0431
     12.10    1.1679    0.0435
     12.20    1.1834    0.0448
     12.30    1.1785    0.0455
     12.40    1.1742    0.0462
     12.50    1.1702    0.0470
     12.60    1.1675    0.0478
     12.70    1.1667    0.0485
     12.80    1.1693    0.0490
     12.90    1.1776    0.0494
     13.00    1.2003    0.0511
     13.10    1.1942    0.0520
     13.20    1.1879    0.0530
     13.30    1.1817    0.0541
     13.40    1.1755    0.0552
     13.50    1.1692    0.0565
     13.60    1.1631    0.0578
     13.70    1.1571    0.0592
     13.80    1.1507    0.0606
     13.90    1.1438    0.0621
     14.00    1.1371    0.0636
