AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.43          Angle of attack for zero Cn for linear Cn curve (deg)
3.81800        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7748        Cn at stall value for positive angle of attack for linear Cn curve
-0.7754        Cn at stall value for negative angle of attack for linear Cn curve
8.00           Angle of attack for minimum CD (deg)
0.0225         Minimum CD value
   -180.00    0.0021    0.0060
   -179.00    0.0549    0.0065
   -178.00    0.1074    0.0080
   -177.00    0.1589    0.0106
   -176.00    0.2078    0.0141
   -175.00    0.2520    0.0187
   -174.00    0.2898    0.0242
   -173.00    0.3206    0.0308
   -172.00    0.3455    0.0383
   -171.00    0.3664    0.0468
   -170.00    0.3856    0.0562
   -169.00    0.4045    0.0666
   -168.00    0.4237    0.0780
   -167.00    0.4437    0.0902
   -166.00    0.4645    0.1034
   -165.00    0.4857    0.1175
   -164.00    0.5074    0.1324
   -163.00    0.5291    0.1482
   -162.00    0.5509    0.1648
   -161.00    0.5725    0.1823
   -160.00    0.5937    0.2005
   -159.00    0.6145    0.2195
   -158.00    0.6348    0.2392
   -157.00    0.6545    0.2597
   -156.00    0.6734    0.2809
   -155.00    0.6916    0.3027
   -154.00    0.7090    0.3252
   -153.00    0.7255    0.3483
   -152.00    0.7411    0.3720
   -151.00    0.7558    0.3962
   -150.00    0.7695    0.4210
   -149.00    0.7821    0.4462
   -148.00    0.7938    0.4720
   -147.00    0.8044    0.4981
   -146.00    0.8139    0.5247
   -145.00    0.8224    0.5517
   -144.00    0.8297    0.5789
   -143.00    0.8360    0.6065
   -142.00    0.8410    0.6344
   -141.00    0.8450    0.6625
   -140.00    0.8478    0.6908
   -139.00    0.8495    0.7192
   -138.00    0.8500    0.7478
   -137.00    0.8494    0.7765
   -136.00    0.8476    0.8053
   -135.00    0.8447    0.8341
   -134.00    0.8406    0.8629
   -133.00    0.8354    0.8916
   -132.00    0.8291    0.9203
   -131.00    0.8217    0.9489
   -130.00    0.8132    0.9773
   -129.00    0.8036    1.0055
   -128.00    0.7929    1.0335
   -127.00    0.7812    1.0613
   -126.00    0.7684    1.0888
   -125.00    0.7546    1.1160
   -124.00    0.7399    1.1428
   -123.00    0.7241    1.1692
   -122.00    0.7074    1.1953
   -121.00    0.6898    1.2209
   -120.00    0.6713    1.2460
   -119.00    0.6519    1.2706
   -118.00    0.6317    1.2947
   -117.00    0.6107    1.3182
   -116.00    0.5889    1.3411
   -115.00    0.5664    1.3634
   -114.00    0.5431    1.3851
   -113.00    0.5192    1.4061
   -112.00    0.4946    1.4263
   -111.00    0.4694    1.4459
   -110.00    0.4413    1.4647
   -109.00    0.4149    1.4828
   -108.00    0.3881    1.5000
   -107.00    0.3608    1.5165
   -106.00    0.3330    1.5321
   -105.00    0.3049    1.5468
   -104.00    0.2764    1.5607
   -103.00    0.2476    1.5737
   -102.00    0.2185    1.5858
   -101.00    0.1891    1.5970
   -100.00    0.1596    1.6073
    -99.00    0.1299    1.6166
    -98.00    0.1000    1.6249
    -97.00    0.0701    1.6324
    -96.00    0.0401    1.6388
    -95.00    0.0101    1.6442
    -94.00   -0.0199    1.6487
    -93.00   -0.0498    1.6522
    -92.00   -0.0796    1.6547
    -91.00   -0.1093    1.6561
    -90.00   -0.1388    1.6566
    -89.00   -0.1681    1.6561
    -88.00   -0.1972    1.6546
    -87.00   -0.2260    1.6520
    -86.00   -0.2545    1.6485
    -85.00   -0.2826    1.6440
    -84.00   -0.3103    1.6385
    -83.00   -0.3377    1.6320
    -82.00   -0.3646    1.6246
    -81.00   -0.3910    1.6162
    -80.00   -0.4169    1.6068
    -79.00   -0.4423    1.5965
    -78.00   -0.4672    1.5853
    -77.00   -0.4914    1.5731
    -76.00   -0.5151    1.5601
    -75.00   -0.5381    1.5461
    -74.00   -0.5604    1.5313
    -73.00   -0.5821    1.5157
    -72.00   -0.6031    1.4992
    -71.00   -0.6233    1.4819
    -70.00   -0.6428    1.4638
    -69.00   -0.6615    1.4449
    -68.00   -0.6794    1.4253
    -67.00   -0.6965    1.4050
    -66.00   -0.7129    1.3840
    -65.00   -0.7283    1.3622
    -64.00   -0.7430    1.3399
    -63.00   -0.7567    1.3169
    -62.00   -0.7696    1.2933
    -61.00   -0.7816    1.2692
    -60.00   -0.7927    1.2445
    -59.00   -0.8030    1.2194
    -58.00   -0.8123    1.1937
    -57.00   -0.8207    1.1676
    -56.00   -0.8281    1.1411
    -55.00   -0.8347    1.1142
    -54.00   -0.8403    1.0870
    -53.00   -0.8450    1.0594
    -52.00   -0.8488    1.0316
    -51.00   -0.8516    1.0035
    -50.00   -0.8535    0.9752
    -49.00   -0.8545    0.9467
    -48.00   -0.8546    0.9181
    -47.00   -0.8537    0.8893
    -46.00   -0.8519    0.8605
    -45.00   -0.8493    0.8317
    -44.00   -0.8457    0.8028
    -43.00   -0.8412    0.7740
    -42.00   -0.8359    0.7452
    -41.00   -0.8296    0.7165
    -40.00   -0.8226    0.6880
    -39.00   -0.8146    0.6596
    -38.00   -0.8058    0.6314
    -37.00   -0.7962    0.6035
    -36.00   -0.7858    0.5758
    -35.00   -0.7746    0.5485
    -34.00   -0.7627    0.5215
    -33.00   -0.7499    0.4948
    -32.00   -0.7364    0.4686
    -31.00   -0.7222    0.4428
    -30.00   -0.7073    0.4174
    -29.00   -0.6917    0.3926
    -28.00   -0.6755    0.3683
    -27.00   -0.6586    0.3445
    -26.00   -0.6411    0.3214
    -25.00   -0.6229    0.2989
    -24.00   -0.6043    0.2770
    -23.00   -0.5850    0.2558
    -22.00   -0.5652    0.2353
    -21.00   -0.5450    0.2155
    -20.00   -0.5242    0.1965
    -19.00   -0.5030    0.1783
    -18.00   -0.4813    0.1609
    -17.00   -0.4593    0.1443
    -16.00   -0.4368    0.1285
    -15.00   -0.4140    0.1137
    -14.00   -0.3908    0.0997
    -13.00   -0.3673    0.0867
    -12.00   -0.3434    0.0746
    -11.00   -0.3192    0.0635
    -10.00   -0.7275    0.0696
     -9.90   -0.7513    0.0680
     -9.80   -0.7751    0.0664
     -9.70   -0.7759    0.0629
     -9.60   -0.7749    0.0643
     -9.50   -0.7732    0.0596
     -9.40   -0.7651    0.0512
     -9.30   -0.7611    0.0495
     -9.20   -0.7559    0.0480
     -9.10   -0.7491    0.0467
     -9.00   -0.7408    0.0457
     -8.90   -0.7307    0.0448
     -8.80   -0.7195    0.0438
     -8.70   -0.7085    0.0429
     -8.60   -0.6975    0.0419
     -8.50   -0.6862    0.0408
     -8.40   -0.6745    0.0397
     -8.30   -0.6620    0.0385
     -8.20   -0.6479    0.0374
     -8.10   -0.6330    0.0363
