AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M (2)" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.50          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.43          Angle of attack for zero Cn for linear Cn curve (deg)
3.81800        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7748        Cn at stall value for positive angle of attack for linear Cn curve
-0.7754        Cn at stall value for negative angle of attack for linear Cn curve
8.00           Angle of attack for minimum CD (deg)
0.0225         Minimum CD value
   -180.00    0.0021    0.0060
   -179.00    0.0549    0.0065
   -178.00    0.1074    0.0080
   -177.00    0.1589    0.0106
   -176.00    0.2078    0.0141
   -175.00    0.2520    0.0187
   -174.00    0.2898    0.0242
   -173.00    0.3206    0.0308
   -172.00    0.3455    0.0383
   -171.00    0.3664    0.0468
   -170.00    0.3856    0.0562
   -169.00    0.4045    0.0666
   -168.00    0.4237    0.0780
   -167.00    0.4437    0.0902
   -166.00    0.4645    0.1034
   -165.00    0.4857    0.1175
   -164.00    0.5074    0.1324
   -163.00    0.5291    0.1482
   -162.00    0.5509    0.1648
   -161.00    0.5725    0.1823
   -160.00    0.5937    0.2005
   -159.00    0.6145    0.2195
   -158.00    0.6348    0.2392
   -157.00    0.6545    0.2597
   -156.00    0.6734    0.2809
   -155.00    0.6916    0.3027
   -154.00    0.7090    0.3252
   -153.00    0.7255    0.3483
   -152.00    0.7411    0.3720
   -151.00    0.7558    0.3962
   -150.00    0.7695    0.4210
   -149.00    0.7821    0.4463
   -148.00    0.7938    0.4720
   -147.00    0.8044    0.4982
   -146.00    0.8139    0.5247
   -145.00    0.8224    0.5517
   -144.00    0.8297    0.5790
   -143.00    0.8360    0.6066
   -142.00    0.8410    0.6344
   -141.00    0.8450    0.6625
   -140.00    0.8478    0.6908
   -139.00    0.8495    0.7193
   -138.00    0.8500    0.7479
   -137.00    0.8494    0.7766
   -136.00    0.8476    0.8054
   -135.00    0.8447    0.8342
   -134.00    0.8406    0.8629
   -133.00    0.8354    0.8917
   -132.00    0.8291    0.9204
   -131.00    0.8217    0.9489
   -130.00    0.8132    0.9774
   -129.00    0.8036    1.0056
   -128.00    0.7929    1.0336
   -127.00    0.7812    1.0614
   -126.00    0.7684    1.0889
   -125.00    0.7546    1.1161
   -124.00    0.7399    1.1429
   -123.00    0.7241    1.1694
   -122.00    0.7074    1.1954
   -121.00    0.6898    1.2210
   -120.00    0.6713    1.2461
   -119.00    0.6519    1.2707
   -118.00    0.6317    1.2948
   -117.00    0.6107    1.3184
   -116.00    0.5889    1.3413
   -115.00    0.5664    1.3636
   -114.00    0.5431    1.3852
   -113.00    0.5192    1.4062
   -112.00    0.4946    1.4265
   -111.00    0.4694    1.4461
   -110.00    0.4423    1.4649
   -109.00    0.4160    1.4830
   -108.00    0.3892    1.5002
   -107.00    0.3619    1.5167
   -106.00    0.3342    1.5323
   -105.00    0.3061    1.5471
   -104.00    0.2776    1.5610
   -103.00    0.2488    1.5740
   -102.00    0.2197    1.5861
   -101.00    0.1904    1.5973
   -100.00    0.1609    1.6076
    -99.00    0.1312    1.6169
    -98.00    0.1014    1.6253
    -97.00    0.0714    1.6327
    -96.00    0.0415    1.6391
    -95.00    0.0115    1.6446
    -94.00   -0.0185    1.6491
    -93.00   -0.0483    1.6526
    -92.00   -0.0781    1.6551
    -91.00   -0.1078    1.6565
    -90.00   -0.1373    1.6570
    -89.00   -0.1666    1.6565
    -88.00   -0.1956    1.6550
    -87.00   -0.2243    1.6525
    -86.00   -0.2528    1.6490
    -85.00   -0.2809    1.6445
    -84.00   -0.3086    1.6390
    -83.00   -0.3359    1.6326
    -82.00   -0.3628    1.6252
    -81.00   -0.3892    1.6168
    -80.00   -0.4151    1.6074
    -79.00   -0.4405    1.5971
    -78.00   -0.4653    1.5859
    -77.00   -0.4895    1.5738
    -76.00   -0.5131    1.5608
    -75.00   -0.5361    1.5468
    -74.00   -0.5584    1.5321
    -73.00   -0.5800    1.5164
    -72.00   -0.6009    1.4999
    -71.00   -0.6211    1.4827
    -70.00   -0.6406    1.4646
    -69.00   -0.6592    1.4458
    -68.00   -0.6771    1.4262
    -67.00   -0.6942    1.4059
    -66.00   -0.7105    1.3848
    -65.00   -0.7259    1.3632
    -64.00   -0.7405    1.3408
    -63.00   -0.7542    1.3179
    -62.00   -0.7671    1.2943
    -61.00   -0.7790    1.2702
    -60.00   -0.7901    1.2456
    -59.00   -0.8003    1.2204
    -58.00   -0.8095    1.1948
    -57.00   -0.8179    1.1687
    -56.00   -0.8253    1.1422
    -55.00   -0.8318    1.1153
    -54.00   -0.8374    1.0881
    -53.00   -0.8420    1.0606
    -52.00   -0.8458    1.0328
    -51.00   -0.8485    1.0047
    -50.00   -0.8504    0.9764
    -49.00   -0.8514    0.9479
    -48.00   -0.8514    0.9193
    -47.00   -0.8505    0.8906
    -46.00   -0.8487    0.8618
    -45.00   -0.8460    0.8329
    -44.00   -0.8424    0.8041
    -43.00   -0.8379    0.7752
    -42.00   -0.8325    0.7464
    -41.00   -0.8263    0.7178
    -40.00   -0.8192    0.6892
    -39.00   -0.8113    0.6608
    -38.00   -0.8025    0.6326
    -37.00   -0.7930    0.6046
    -36.00   -0.7827    0.5769
    -35.00   -0.7716    0.5495
    -34.00   -0.7597    0.5224
    -33.00   -0.7472    0.4957
    -32.00   -0.7339    0.4694
    -31.00   -0.7200    0.4435
    -30.00   -0.7054    0.4180
    -29.00   -0.6903    0.3930
    -28.00   -0.6745    0.3686
    -27.00   -0.6583    0.3446
    -26.00   -0.6415    0.3213
    -25.00   -0.6244    0.2985
    -24.00   -0.6068    0.2763
    -23.00   -0.5890    0.2548
    -22.00   -0.5710    0.2339
    -21.00   -0.5529    0.2137
    -20.00   -0.5348    0.1942
    -19.00   -0.5168    0.1754
    -18.00   -0.4992    0.1573
    -17.00   -0.4821    0.1400
    -16.00   -0.4658    0.1234
    -15.00   -0.4507    0.1077
    -14.00   -0.4369    0.0927
    -13.00   -0.4250    0.0787
    -12.00   -0.4151    0.0655
    -11.00   -0.4074    0.0535
    -10.00   -0.7275    0.0696
     -9.80   -0.7751    0.0664
     -9.70   -0.7759    0.0629
     -9.60   -0.7749    0.0643
     -9.40   -0.7714    0.0550
     -9.30   -0.7690    0.0532
     -9.20   -0.7657    0.0512
     -9.10   -0.7619    0.0491
     -9.00   -0.7576    0.0475
     -8.90   -0.7514    0.0465
     -8.80   -0.7427    0.0457
     -8.70   -0.7321    0.0448
     -8.60   -0.7202    0.0439
     -8.50   -0.7073    0.0429
     -8.40   -0.6954    0.0418
     -8.30   -0.6877    0.0409
     -8.20   -0.6769    0.0398
     -8.10   -0.6638    0.0386
     -8.00   -0.6487    0.0372
     -7.90   -0.6327    0.0361
