AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.125_M0.00_N9.0 360 M" on Foil "T1_Re0.125_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.20          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.66          Angle of attack for zero Cn for linear Cn curve (deg)
4.38994        Cn slope for zero lift for linear Cn curve (1/rad)
-0.0826        Cn at stall value for positive angle of attack for linear Cn curve
-0.2312        Cn at stall value for negative angle of attack for linear Cn curve
-10.00         Angle of attack for minimum CD (deg)
0.0143         Minimum CD value
   -180.00   -0.0495    0.0062
   -179.00   -0.0359    0.0067
   -178.00   -0.0223    0.0082
   -177.00   -0.0087    0.0107
   -176.00    0.0049    0.0143
   -175.00    0.0189    0.0188
   -174.00    0.0343    0.0243
   -173.00    0.0533    0.0308
   -172.00    0.0784    0.0383
   -171.00    0.1113    0.0468
   -170.00    0.1509    0.0562
   -169.00    0.1941    0.0666
   -168.00    0.2377    0.0778
   -167.00    0.2793    0.0900
   -166.00    0.3181    0.1031
   -165.00    0.3539    0.1171
   -164.00    0.3869    0.1320
   -163.00    0.4175    0.1477
   -162.00    0.4461    0.1642
   -161.00    0.4728    0.1815
   -160.00    0.4980    0.1996
   -159.00    0.5218    0.2185
   -158.00    0.5442    0.2381
   -157.00    0.5655    0.2584
   -156.00    0.5855    0.2794
   -155.00    0.6044    0.3010
   -154.00    0.6222    0.3233
   -153.00    0.6388    0.3462
   -152.00    0.6544    0.3697
   -151.00    0.6689    0.3937
   -150.00    0.6823    0.4182
   -149.00    0.6946    0.4432
   -148.00    0.7058    0.4686
   -147.00    0.7159    0.4945
   -146.00    0.7249    0.5207
   -145.00    0.7329    0.5473
   -144.00    0.7397    0.5742
   -143.00    0.7455    0.6014
   -142.00    0.7501    0.6289
   -141.00    0.7537    0.6565
   -140.00    0.7562    0.6844
   -139.00    0.7576    0.7124
   -138.00    0.7579    0.7405
   -137.00    0.7571    0.7686
   -136.00    0.7554    0.7968
   -135.00    0.7525    0.8251
   -134.00    0.7486    0.8532
   -133.00    0.7437    0.8813
   -132.00    0.7378    0.9093
   -131.00    0.7309    0.9372
   -130.00    0.7230    0.9648
   -129.00    0.7141    0.9923
   -128.00    0.7043    1.0195
   -127.00    0.6935    1.0464
   -126.00    0.6819    1.0730
   -125.00    0.6693    1.0992
   -124.00    0.6559    1.1250
   -123.00    0.6417    1.1505
   -122.00    0.6266    1.1754
   -121.00    0.6108    1.1999
   -120.00    0.5941    1.2238
   -119.00    0.5768    1.2472
   -118.00    0.5587    1.2700
   -117.00    0.5399    1.2922
   -116.00    0.5205    1.3137
   -115.00    0.5004    1.3345
   -114.00    0.4797    1.3547
   -113.00    0.4585    1.3740
   -112.00    0.4367    1.3927
   -111.00    0.4144    1.4105
   -110.00    0.3917    1.4275
   -109.00    0.3685    1.4437
   -108.00    0.3448    1.4590
   -107.00    0.2606    1.4734
   -106.00    0.2352    1.4869
   -105.00    0.2095    1.4994
   -104.00    0.1834    1.5110
   -103.00    0.1572    1.5216
   -102.00    0.1307    1.5312
   -101.00    0.1040    1.5398
   -100.00    0.0771    1.5473
    -99.00    0.0502    1.5538
    -98.00    0.0231    1.5593
    -97.00   -0.0040    1.5636
    -96.00   -0.0311    1.5669
    -95.00   -0.0583    1.5691
    -94.00   -0.0853    1.5701
    -93.00   -0.1123    1.5700
    -92.00   -0.1392    1.5688
    -91.00   -0.1660    1.5664
    -90.00   -0.1925    1.5629
    -89.00   -0.2189    1.5583
    -88.00   -0.2450    1.5524
    -87.00   -0.2709    1.5454
    -86.00   -0.2964    1.5373
    -85.00   -0.3216    1.5279
    -84.00   -0.3464    1.5175
    -83.00   -0.3709    1.5058
    -82.00   -0.3949    1.4930
    -81.00   -0.4184    1.4790
    -80.00   -0.4414    1.4638
    -79.00   -0.4639    1.4476
    -78.00   -0.4859    1.4301
    -77.00   -0.5073    1.4116
    -76.00   -0.5280    1.3919
    -75.00   -0.5481    1.3711
    -74.00   -0.5675    1.3492
    -73.00   -0.5862    1.3263
    -72.00   -0.6042    1.3023
    -71.00   -0.6214    1.2772
    -70.00   -0.6378    1.2511
    -69.00   -0.6534    1.2240
    -68.00   -0.6681    1.1960
    -67.00   -0.6819    1.1670
    -66.00   -0.6948    1.1371
    -65.00   -0.7067    1.1064
    -64.00   -0.7177    1.0748
    -63.00   -0.7276    1.0424
    -62.00   -0.7365    1.0093
    -61.00   -0.7444    0.9754
    -60.00   -0.7511    0.9410
    -59.00   -0.7568    0.9060
    -58.00   -0.7612    0.8705
    -57.00   -0.7645    0.8345
    -56.00   -0.7667    0.7982
    -55.00   -0.7676    0.7616
    -54.00   -0.7673    0.7248
    -53.00   -0.7657    0.6880
    -52.00   -0.7629    0.6512
    -51.00   -0.7589    0.6145
    -50.00   -0.7536    0.5780
    -49.00   -0.7470    0.5421
    -48.00   -0.7393    0.5071
    -47.00   -0.7303    0.4726
    -46.00   -0.7201    0.4389
    -45.00   -0.7088    0.4061
    -44.00   -0.6964    0.3741
    -43.00   -0.6830    0.3433
    -42.00   -0.6685    0.3137
    -41.00   -0.6532    0.2853
    -40.00   -0.6370    0.2583
    -39.00   -0.6200    0.2328
    -38.00   -0.6023    0.2088
    -37.00   -0.5841    0.1864
    -36.00   -0.5653    0.1657
    -35.00   -0.5461    0.1466
    -34.00   -0.5267    0.1291
    -33.00   -0.5069    0.1132
    -32.00   -0.4870    0.0989
    -31.00   -0.4671    0.0862
    -30.00   -0.4471    0.0749
    -29.00   -0.4272    0.0649
    -28.00   -0.4074    0.0563
    -27.00   -0.3877    0.0489
    -26.00   -0.3682    0.0425
    -25.00   -0.3489    0.0372
    -24.00   -0.3299    0.0327
    -23.00   -0.3110    0.0290
    -22.00   -0.2924    0.0259
    -21.00   -0.2740    0.0234
    -20.00   -0.2558    0.0214
    -19.00   -0.2377    0.0198
    -18.00   -0.2199    0.0185
    -17.00   -0.2022    0.0175
    -16.00   -0.1847    0.0167
    -15.00   -0.1673    0.0161
    -14.00   -0.1500    0.0156
    -13.00   -0.1327    0.0152
    -12.00   -0.1156    0.0149
    -11.00   -0.0984    0.0146
    -10.00   -0.0814    0.0143
     -9.90   -0.2445    0.0238
     -9.80   -0.4075    0.0333
