AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.125_M0.00_N9.0 360 M (2)" on Foil "T1_Re0.125_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
15.20          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.66          Angle of attack for zero Cn for linear Cn curve (deg)
4.38994        Cn slope for zero lift for linear Cn curve (1/rad)
-0.0832        Cn at stall value for positive angle of attack for linear Cn curve
-0.2334        Cn at stall value for negative angle of attack for linear Cn curve
-10.00         Angle of attack for minimum CD (deg)
0.0145         Minimum CD value
   -180.00   -0.0495    0.0065
   -179.00   -0.0359    0.0070
   -178.00   -0.0223    0.0086
   -177.00   -0.0087    0.0111
   -176.00    0.0049    0.0146
   -175.00    0.0189    0.0191
   -174.00    0.0343    0.0246
   -173.00    0.0533    0.0310
   -172.00    0.0784    0.0384
   -171.00    0.1113    0.0468
   -170.00    0.1509    0.0561
   -169.00    0.1941    0.0664
   -168.00    0.2377    0.0776
   -167.00    0.2793    0.0896
   -166.00    0.3181    0.1026
   -165.00    0.3539    0.1164
   -164.00    0.3869    0.1310
   -163.00    0.4175    0.1465
   -162.00    0.4461    0.1628
   -161.00    0.4728    0.1799
   -160.00    0.4980    0.1977
   -159.00    0.5218    0.2163
   -158.00    0.5442    0.2356
   -157.00    0.5655    0.2556
   -156.00    0.5855    0.2762
   -155.00    0.6044    0.2975
   -154.00    0.6222    0.3194
   -153.00    0.6388    0.3418
   -152.00    0.6544    0.3648
   -151.00    0.6689    0.3883
   -150.00    0.6823    0.4123
   -149.00    0.6946    0.4368
   -148.00    0.7058    0.4617
   -147.00    0.7159    0.4869
   -146.00    0.7249    0.5125
   -145.00    0.7329    0.5384
   -144.00    0.7397    0.5646
   -143.00    0.7455    0.5911
   -142.00    0.7501    0.6177
   -141.00    0.7537    0.6446
   -140.00    0.7562    0.6715
   -139.00    0.7576    0.6986
   -138.00    0.7579    0.7257
   -137.00    0.7571    0.7529
   -136.00    0.7554    0.7800
   -135.00    0.7525    0.8072
   -134.00    0.7486    0.8342
   -133.00    0.7437    0.8611
   -132.00    0.7378    0.8878
   -131.00    0.7309    0.9144
   -130.00    0.7230    0.9407
   -129.00    0.7141    0.9667
   -128.00    0.7043    0.9924
   -127.00    0.6935    1.0178
   -126.00    0.6819    1.0428
   -125.00    0.6693    1.0674
   -124.00    0.6559    1.0916
   -123.00    0.6417    1.1152
   -122.00    0.6266    1.1383
   -121.00    0.6108    1.1609
   -120.00    0.5941    1.1829
   -119.00    0.5768    1.2042
   -118.00    0.5587    1.2249
   -117.00    0.5399    1.2449
   -116.00    0.5205    1.2641
   -115.00    0.5004    1.2826
   -114.00    0.4797    1.3004
   -113.00    0.4585    1.3173
   -112.00    0.4367    1.3334
   -111.00    0.4144    1.3486
   -110.00    0.3917    1.3629
   -109.00    0.3685    1.3762
   -108.00    0.3448    1.3887
   -107.00    0.1592    1.4001
   -106.00    0.1328    1.4106
   -105.00    0.1062    1.4200
   -104.00    0.0793    1.4284
   -103.00    0.0522    1.4358
   -102.00    0.0249    1.4421
   -101.00   -0.0025    1.4472
   -100.00   -0.0300    1.4513
    -99.00   -0.0576    1.4543
    -98.00   -0.0852    1.4561
    -97.00   -0.1128    1.4567
    -96.00   -0.1403    1.4562
    -95.00   -0.1677    1.4545
    -94.00   -0.1951    1.4517
    -93.00   -0.2222    1.4476
    -92.00   -0.2492    1.4424
    -91.00   -0.2759    1.4360
    -90.00   -0.3023    1.4284
    -89.00   -0.3284    1.4196
    -88.00   -0.3542    1.4096
    -87.00   -0.3796    1.3984
    -86.00   -0.4045    1.3861
    -85.00   -0.4290    1.3726
    -84.00   -0.4530    1.3579
    -83.00   -0.4765    1.3421
    -82.00   -0.4994    1.3251
    -81.00   -0.5216    1.3070
    -80.00   -0.5433    1.2879
    -79.00   -0.5642    1.2677
    -78.00   -0.5845    1.2464
    -77.00   -0.6040    1.2241
    -76.00   -0.6227    1.2008
    -75.00   -0.6406    1.1766
    -74.00   -0.6576    1.1515
    -73.00   -0.6738    1.1254
    -72.00   -0.6891    1.0986
    -71.00   -0.7034    1.0709
    -70.00   -0.7168    1.0426
    -69.00   -0.7292    1.0135
    -68.00   -0.7406    0.9838
    -67.00   -0.7509    0.9535
    -66.00   -0.7602    0.9227
    -65.00   -0.7683    0.8914
    -64.00   -0.7754    0.8598
    -63.00   -0.7814    0.8278
    -62.00   -0.7862    0.7956
    -61.00   -0.7899    0.7633
    -60.00   -0.7925    0.7308
    -59.00   -0.7939    0.6984
    -58.00   -0.7941    0.6660
    -57.00   -0.7932    0.6338
    -56.00   -0.7912    0.6018
    -55.00   -0.7880    0.5702
    -54.00   -0.7837    0.5390
    -53.00   -0.7783    0.5082
    -52.00   -0.7718    0.4780
    -51.00   -0.7643    0.4485
    -50.00   -0.7558    0.4197
    -49.00   -0.7462    0.3919
    -48.00   -0.7358    0.3653
    -47.00   -0.7244    0.3396
    -46.00   -0.7121    0.3149
    -45.00   -0.6991    0.2911
    -44.00   -0.6852    0.2684
    -43.00   -0.6707    0.2467
    -42.00   -0.6555    0.2261
    -41.00   -0.6397    0.2067
    -40.00   -0.6234    0.1884
    -39.00   -0.6066    0.1712
    -38.00   -0.5894    0.1551
    -37.00   -0.5718    0.1402
    -36.00   -0.5539    0.1264
    -35.00   -0.5357    0.1137
    -34.00   -0.5173    0.1020
    -33.00   -0.4988    0.0914
    -32.00   -0.4801    0.0817
    -31.00   -0.4614    0.0730
    -30.00   -0.4426    0.0651
    -29.00   -0.4238    0.0581
    -28.00   -0.4050    0.0518
    -27.00   -0.3863    0.0463
    -26.00   -0.3676    0.0415
    -25.00   -0.3490    0.0372
    -24.00   -0.3304    0.0335
    -23.00   -0.3120    0.0303
    -22.00   -0.2937    0.0276
    -21.00   -0.2755    0.0252
    -20.00   -0.2574    0.0233
