AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-176.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
1.17           Angle of attack for zero Cn for linear Cn curve (deg)
6.89682        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3690        Cn at stall value for positive angle of attack for linear Cn curve
-0.9094        Cn at stall value for negative angle of attack for linear Cn curve
-1.80          Angle of attack for minimum CD (deg)
0.0303         Minimum CD value
   -180.00    0.0329    0.0060
   -179.00    0.8329    0.0065
   -178.00    1.6329    0.0081
   -177.00    2.4058    0.0106
   -176.00    2.8456    0.0142
   -175.00    2.5018    0.0188
   -174.00    1.7624    0.0243
   -173.00    1.1928    0.0309
   -172.00    0.8633    0.0385
   -171.00    0.6867    0.0470
   -170.00    0.5944    0.0565
   -169.00    0.5485    0.0670
   -168.00    0.5290    0.0784
   -167.00    0.5249    0.0907
   -166.00    0.5303    0.1039
   -165.00    0.5414    0.1180
   -164.00    0.5563    0.1330
   -163.00    0.5733    0.1488
   -162.00    0.5917    0.1655
   -161.00    0.6109    0.1829
   -160.00    0.6303    0.2012
   -159.00    0.6498    0.2202
   -158.00    0.6690    0.2400
   -157.00    0.6878    0.2605
   -156.00    0.7060    0.2817
   -155.00    0.7236    0.3035
   -154.00    0.7405    0.3260
   -153.00    0.7565    0.3491
   -152.00    0.7717    0.3727
   -151.00    0.7860    0.3970
   -150.00    0.7993    0.4217
   -149.00    0.8116    0.4469
   -148.00    0.8228    0.4726
   -147.00    0.8330    0.4988
   -146.00    0.8422    0.5253
   -145.00    0.8502    0.5521
   -144.00    0.8572    0.5794
   -143.00    0.8630    0.6069
   -142.00    0.8676    0.6346
   -141.00    0.8711    0.6626
   -140.00    0.8735    0.6908
   -139.00    0.8747    0.7192
   -138.00    0.8747    0.7477
   -137.00    0.8736    0.7762
   -136.00    0.8713    0.8049
   -135.00    0.8678    0.8335
   -134.00    0.8633    0.8621
   -133.00    0.8575    0.8907
   -132.00    0.8507    0.9192
   -131.00    0.8427    0.9476
   -130.00    0.8336    0.9759
   -129.00    0.8234    1.0039
   -128.00    0.8121    1.0318
   -127.00    0.7998    1.0594
   -126.00    0.7864    1.0867
   -125.00    0.7720    1.1137
   -124.00    0.7566    1.1403
   -123.00    0.7402    1.1665
   -122.00    0.7229    1.1924
   -121.00    0.7047    1.2178
   -120.00    0.6855    1.2427
   -119.00    0.6655    1.2671
   -118.00    0.6446    1.2910
   -117.00    0.6229    1.3143
   -116.00    0.6004    1.3370
   -115.00    0.5772    1.3591
   -114.00    0.5533    1.3806
   -113.00    0.5287    1.4013
   -112.00    0.5034    1.4214
   -111.00    0.4775    1.4408
   -110.00    0.4510    1.4594
   -109.00    0.4240    1.4773
   -108.00    0.3396    1.4944
   -107.00    0.3106    1.5106
   -106.00    0.2811    1.5261
   -105.00    0.2511    1.5407
   -104.00    0.2208    1.5544
   -103.00    0.1901    1.5673
   -102.00    0.1591    1.5793
   -101.00    0.1278    1.5903
