AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.075_M0.00_N9.0 360 M" on Foil "T1_Re0.075_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-136.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
2.60           Angle of attack for zero Cn for linear Cn curve (deg)
11.11335       Cn slope for zero lift for linear Cn curve (1/rad)
-0.4396        Cn at stall value for positive angle of attack for linear Cn curve
-0.4096        Cn at stall value for negative angle of attack for linear Cn curve
6.70           Angle of attack for minimum CD (deg)
0.0244         Minimum CD value
   -180.00    0.0762    0.0060
   -179.00    0.1978    0.0065
   -178.00    0.3194    0.0080
   -177.00    0.4408    0.0106
   -176.00    0.5584    0.0142
   -175.00    0.6591    0.0187
   -174.00    0.7216    0.0243
   -173.00    0.7332    0.0309
   -172.00    0.7064    0.0385
   -171.00    0.6676    0.0470
   -170.00    0.6360    0.0565
   -169.00    0.6183    0.0670
   -168.00    0.6137    0.0784
   -167.00    0.6196    0.0907
   -166.00    0.6329    0.1039
   -165.00    0.6514    0.1180
   -164.00    0.6736    0.1330
   -163.00    0.6981    0.1488
   -162.00    0.7241    0.1655
   -161.00    0.7511    0.1830
   -160.00    0.7786    0.2012
   -159.00    0.8063    0.2203
   -158.00    0.8338    0.2400
   -157.00    0.8610    0.2605
   -156.00    0.8878    0.2817
   -155.00    0.9139    0.3036
   -154.00    0.9392    0.3260
   -153.00    0.9637    0.3491
   -152.00    0.9873    0.3728
   -151.00    1.0098    0.3970
   -150.00    1.0312    0.4218
   -149.00    1.0514    0.4470
   -148.00    1.0704    0.4727
   -147.00    1.0881    0.4988
   -146.00    1.1045    0.5254
   -145.00    1.1194    0.5522
   -144.00    1.1330    0.5795
   -143.00    1.1450    0.6070
   -142.00    1.1555    0.6348
   -141.00    1.1645    0.6628
   -140.00    1.1719    0.6910
   -139.00    1.1778    0.7193
   -138.00    1.1820    0.7478
   -137.00    1.1845    0.7764
   -136.00    1.1854    0.8050
   -135.00    1.1846    0.8337
   -134.00    1.1821    0.8624
   -133.00    1.1780    0.8910
   -132.00    1.1722    0.9195
   -131.00    1.1646    0.9479
   -130.00    1.1554    0.9762
   -129.00    1.1445    1.0042
   -128.00    1.1320    1.0321
   -127.00    1.1178    1.0597
   -126.00    1.1020    1.0870
   -125.00    1.0845    1.1140
   -124.00    1.0655    1.1407
   -123.00    1.0449    1.1669
   -122.00    1.0227    1.1928
   -121.00    0.9991    1.2182
   -120.00    0.9739    1.2431
   -119.00    0.9474    1.2676
   -118.00    0.9194    1.2915
   -117.00    0.8901    1.3148
   -116.00    0.8594    1.3375
   -115.00    0.8275    1.3597
   -114.00    0.7944    1.3812
   -113.00    0.7601    1.4020
   -112.00    0.7247    1.4221
   -111.00    0.6882    1.4415
   -110.00    0.6507    1.4601
   -109.00    0.6123    1.4780
   -108.00    0.5725    1.4951
   -107.00    0.5324    1.5114
   -106.00    0.4915    1.5269
   -105.00    0.4498    1.5416
   -104.00    0.4075    1.5553
   -103.00    0.3647    1.5682
   -102.00    0.3213    1.5802
   -101.00    0.2775    1.5913
   -100.00    0.2332    1.6015
    -99.00    0.1887    1.6107
    -98.00    0.1439    1.6190
    -97.00    0.0989    1.6264
    -96.00    0.0538    1.6328
    -95.00    0.0086    1.6382
    -94.00   -0.0366    1.6426
    -93.00   -0.0817    1.6461
    -92.00   -0.1266    1.6486
    -91.00   -0.1714    1.6500
    -90.00   -0.2159    1.6505
    -89.00   -0.2600    1.6500
