AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.90          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
2.25           Angle of attack for zero Cn for linear Cn curve (deg)
7.03429        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4803        Cn at stall value for positive angle of attack for linear Cn curve
-0.3819        Cn at stall value for negative angle of attack for linear Cn curve
6.70           Angle of attack for minimum CD (deg)
0.0200         Minimum CD value
   -180.00    0.0654    0.0060
   -179.00    0.1790    0.0065
   -178.00    0.2926    0.0080
   -177.00    0.4056    0.0106
   -176.00    0.5129    0.0142
   -175.00    0.6007    0.0187
   -174.00    0.6509    0.0243
   -173.00    0.6571    0.0309
   -172.00    0.6339    0.0385
   -171.00    0.6032    0.0470
   -170.00    0.5792    0.0565
   -169.00    0.5665    0.0670
   -168.00    0.5642    0.0784
   -167.00    0.5702    0.0907
   -166.00    0.5821    0.1039
   -165.00    0.5983    0.1180
   -164.00    0.6172    0.1330
   -163.00    0.6381    0.1488
   -162.00    0.6601    0.1655
   -161.00    0.6827    0.1830
   -160.00    0.7056    0.2012
   -159.00    0.7285    0.2203
   -158.00    0.7512    0.2400
   -157.00    0.7735    0.2605
   -156.00    0.7952    0.2817
   -155.00    0.8163    0.3036
   -154.00    0.8366    0.3260
   -153.00    0.8561    0.3491
   -152.00    0.8747    0.3728
   -151.00    0.8923    0.3970
   -150.00    0.9088    0.4218
   -149.00    0.9243    0.4470
   -148.00    0.9387    0.4727
   -147.00    0.9519    0.4988
   -146.00    0.9639    0.5254
   -145.00    0.9747    0.5522
   -144.00    0.9843    0.5795
   -143.00    0.9925    0.6070
   -142.00    0.9995    0.6348
   -141.00    1.0051    0.6628
   -140.00    1.0094    0.6910
   -139.00    1.0124    0.7193
   -138.00    1.0140    0.7478
   -137.00    1.0142    0.7764
   -136.00    1.0131    0.8050
   -135.00    1.0105    0.8337
   -134.00    1.0066    0.8624
   -133.00    1.0014    0.8910
   -132.00    0.9947    0.9195
   -131.00    0.9867    0.9479
   -130.00    0.9774    0.9762
   -129.00    0.9667    1.0042
   -128.00    0.9546    1.0321
   -127.00    0.9413    1.0597
   -126.00    0.9267    1.0870
   -125.00    0.9108    1.1140
   -124.00    0.8936    1.1407
   -123.00    0.8752    1.1669
   -122.00    0.8556    1.1928
   -121.00    0.8348    1.2182
   -120.00    0.8129    1.2431
   -119.00    0.7899    1.2676
   -118.00    0.7658    1.2915
   -117.00    0.7406    1.3148
   -116.00    0.7144    1.3375
   -115.00    0.6873    1.3597
   -114.00    0.6592    1.3812
   -113.00    0.6303    1.4020
   -112.00    0.6004    1.4221
   -111.00    0.5698    1.4415
   -110.00    0.5384    1.4601
   -109.00    0.5063    1.4780
   -108.00    0.4731    1.4951
   -107.00    0.4397    1.5114
   -106.00    0.4058    1.5269
   -105.00    0.3713    1.5416
   -104.00    0.3363    1.5553
   -103.00    0.3009    1.5682
   -102.00    0.2651    1.5802
