AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-176.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.98          Angle of attack for zero Cn for linear Cn curve (deg)
10.40530       Cn slope for zero lift for linear Cn curve (1/rad)
-0.2918        Cn at stall value for positive angle of attack for linear Cn curve
-0.2008        Cn at stall value for negative angle of attack for linear Cn curve
-1.70          Angle of attack for minimum CD (deg)
0.0366         Minimum CD value
   -180.00   -0.0497    0.0060
   -179.00    0.5543    0.0064
   -178.00    1.1464    0.0078
   -177.00    1.5915    0.0100
   -176.00    1.6206    0.0131
   -175.00    1.2879    0.0171
   -174.00    0.9224    0.0220
   -173.00    0.6677    0.0277
   -172.00    0.5135    0.0343
   -171.00    0.4243    0.0418
   -170.00    0.3739    0.0501
   -169.00    0.3465    0.0591
   -168.00    0.3331    0.0691
   -167.00    0.3282    0.0798
   -166.00    0.3285    0.0912
   -165.00    0.3321    0.1035
   -164.00    0.3377    0.1165
   -163.00    0.3444    0.1302
   -162.00    0.3516    0.1447
   -161.00    0.3589    0.1598
   -160.00    0.3661    0.1756
   -159.00    0.3730    0.1921
   -158.00    0.3794    0.2092
   -157.00    0.3852    0.2269
   -156.00    0.3905    0.2452
   -155.00    0.3950    0.2641
   -154.00    0.3988    0.2835
   -153.00    0.4019    0.3034
   -152.00    0.4043    0.3239
   -151.00    0.4059    0.3447
   -150.00    0.4068    0.3661
   -149.00    0.4070    0.3878
   -148.00    0.4065    0.4099
   -147.00    0.4053    0.4324
   -146.00    0.4034    0.4552
   -145.00    0.4009    0.4783
   -144.00    0.3978    0.5017
   -143.00    0.3941    0.5253
   -142.00    0.3898    0.5492
   -141.00    0.3850    0.5732
   -140.00    0.3797    0.5974
   -139.00    0.3739    0.6217
   -138.00    0.3677    0.6461
   -137.00    0.3610    0.6706
   -136.00    0.3540    0.6951
   -135.00    0.3466    0.7196
   -134.00    0.3388    0.7441
   -133.00    0.3308    0.7686
   -132.00    0.3225    0.7929
   -131.00    0.3140    0.8172
   -130.00    0.3053    0.8413
   -129.00    0.2964    0.8653
   -128.00    0.2873    0.8891
   -127.00    0.2781    0.9126
   -126.00    0.2688    0.9359
   -125.00    0.2594    0.9589
   -124.00    0.2499    0.9816
   -123.00    0.2404    1.0040
   -122.00    0.2309    1.0260
   -121.00    0.2214    1.0477
   -120.00    0.2118    1.0689
   -119.00    0.2024    1.0897
   -118.00    0.1929    1.1100
   -117.00    0.1835    1.1298
   -116.00    0.1742    1.1492
   -115.00    0.1650    1.1680
   -114.00    0.1559    1.1862
   -113.00    0.1469    1.2039
   -112.00    0.1379    1.2210
   -111.00    0.1291    1.2375
   -110.00    0.1204    1.2533
   -109.00    0.1115    1.2685
   -108.00    0.1030    1.2830
   -107.00    0.0947    1.2968
   -106.00    0.0865    1.3099
   -105.00    0.0785    1.3224
   -104.00    0.0705    1.3340
   -103.00    0.0627    1.3450
   -102.00    0.0550    1.3551
   -101.00    0.0474    1.3645
