AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
48.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.73          Angle of attack for zero Cn for linear Cn curve (deg)
7.07510        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3318        Cn at stall value for positive angle of attack for linear Cn curve
-0.1727        Cn at stall value for negative angle of attack for linear Cn curve
-4.30          Angle of attack for minimum CD (deg)
0.0187         Minimum CD value
   -180.00   -0.1213    0.0060
   -179.00   -0.0379    0.0064
   -178.00    0.0396    0.0078
   -177.00    0.1038    0.0100
   -176.00    0.1485    0.0131
   -175.00    0.1736    0.0171
   -174.00    0.1853    0.0220
   -173.00    0.1907    0.0277
   -172.00    0.1950    0.0343
   -171.00    0.2007    0.0418
   -170.00    0.2084    0.0501
   -169.00    0.2180    0.0591
   -168.00    0.2291    0.0691
   -167.00    0.2413    0.0798
   -166.00    0.2542    0.0912
   -165.00    0.2674    0.1035
   -164.00    0.2805    0.1165
   -163.00    0.2936    0.1302
   -162.00    0.3062    0.1447
   -161.00    0.3184    0.1598
   -160.00    0.3301    0.1756
   -159.00    0.3411    0.1921
   -158.00    0.3514    0.2092
   -157.00    0.3610    0.2269
   -156.00    0.3698    0.2452
   -155.00    0.3778    0.2641
   -154.00    0.3850    0.2835
   -153.00    0.3914    0.3034
   -152.00    0.3970    0.3239
   -151.00    0.4018    0.3447
   -150.00    0.4058    0.3661
   -149.00    0.4090    0.3878
   -148.00    0.4114    0.4099
   -147.00    0.4130    0.4324
   -146.00    0.4139    0.4552
   -145.00    0.4140    0.4783
   -144.00    0.4134    0.5017
   -143.00    0.4121    0.5253
   -142.00    0.4102    0.5491
   -141.00    0.4076    0.5732
   -140.00    0.4044    0.5974
   -139.00    0.4006    0.6217
   -138.00    0.3963    0.6461
   -137.00    0.3914    0.6706
   -136.00    0.3860    0.6951
   -135.00    0.3801    0.7196
   -134.00    0.3738    0.7441
   -133.00    0.3670    0.7686
   -132.00    0.3598    0.7929
   -131.00    0.3523    0.8172
   -130.00    0.3444    0.8413
   -129.00    0.3362    0.8653
   -128.00    0.3277    0.8891
   -127.00    0.3190    0.9126
   -126.00    0.3100    0.9359
   -125.00    0.3008    0.9589
   -124.00    0.2914    0.9816
   -123.00    0.2818    1.0040
   -122.00    0.2721    1.0260
   -121.00    0.2623    1.0476
   -120.00    0.2524    1.0689
   -119.00    0.2424    1.0897
   -118.00    0.2323    1.1100
   -117.00    0.2222    1.1298
   -116.00    0.2120    1.1491
   -115.00    0.2018    1.1680
   -114.00    0.1917    1.1862
   -113.00    0.1815    1.2039
   -112.00    0.1713    1.2210
   -111.00    0.1604    1.2374
   -110.00    0.1503    1.2533
   -109.00    0.1403    1.2685
   -108.00    0.1303    1.2830
   -107.00    0.1204    1.2968
   -106.00    0.1105    1.3099
   -105.00    0.1007    1.3223
   -104.00    0.0910    1.3340
   -103.00    0.0813    1.3449
   -102.00    0.0717    1.3551
   -101.00    0.0622    1.3645
   -100.00    0.0528    1.3731
    -99.00    0.0434    1.3810
    -98.00    0.0341    1.3880
    -97.00    0.0249    1.3942
    -96.00    0.0157    1.3996
    -95.00    0.0066    1.4042
    -94.00   -0.0025    1.4080
    -93.00   -0.0115    1.4109
    -92.00   -0.0204    1.4130
    -91.00   -0.0293    1.4143
    -90.00   -0.0381    1.4147
    -89.00   -0.0469    1.4142
    -88.00   -0.0557    1.4130
    -87.00   -0.0644    1.4109
    -86.00   -0.0731    1.4080
    -85.00   -0.0818    1.4042
    -84.00   -0.0904    1.3996
    -83.00   -0.0991    1.3942
    -82.00   -0.1077    1.3880
    -81.00   -0.1162    1.3809
    -80.00   -0.1248    1.3731
    -79.00   -0.1333    1.3645
    -78.00   -0.1419    1.3551
    -77.00   -0.1504    1.3449
    -76.00   -0.1589    1.3340
    -75.00   -0.1674    1.3223
    -74.00   -0.1758    1.3099
    -73.00   -0.1842    1.2967
    -72.00   -0.1926    1.2829
    -71.00   -0.2010    1.2684
    -70.00   -0.2093    1.2532
    -69.00   -0.2175    1.2373
    -68.00   -0.2257    1.2209
    -67.00   -0.2338    1.2038
    -66.00   -0.2419    1.1861
    -65.00   -0.2499    1.1678
    -64.00   -0.2577    1.1490
    -63.00   -0.2655    1.1297
    -62.00   -0.2732    1.1098
    -61.00   -0.2807    1.0895
    -60.00   -0.2880    1.0687
    -59.00   -0.2953    1.0475
    -58.00   -0.3023    1.0258
    -57.00   -0.3091    1.0038
    -56.00   -0.3158    0.9814
    -55.00   -0.3222    0.9587
    -54.00   -0.3283    0.9357
    -53.00   -0.3343    0.9124
    -52.00   -0.3399    0.8888
    -51.00   -0.3452    0.8650
    -50.00   -0.3503    0.8411
    -49.00   -0.3550    0.8169
    -48.00   -0.3593    0.7926
    -47.00   -0.3633    0.7683
    -46.00   -0.3669    0.7438
    -45.00   -0.3701    0.7193
    -44.00   -0.3729    0.6947
    -43.00   -0.3752    0.6702
    -42.00   -0.3771    0.6457
    -41.00   -0.3784    0.6213
    -40.00   -0.3793    0.5969
    -39.00   -0.3797    0.5727
    -38.00   -0.3796    0.5487
    -37.00   -0.3789    0.5248
    -36.00   -0.3777    0.5011
    -35.00   -0.3759    0.4777
    -34.00   -0.3735    0.4546
    -33.00   -0.3705    0.4317
    -32.00   -0.3669    0.4092
    -31.00   -0.3628    0.3871
    -30.00   -0.3580    0.3653
    -29.00   -0.3525    0.3439
    -28.00   -0.3465    0.3230
    -27.00   -0.3398    0.3025
    -26.00   -0.3325    0.2825
    -25.00   -0.3246    0.2630
    -24.00   -0.3161    0.2441
    -23.00   -0.3070    0.2257
    -22.00   -0.2973    0.2079
    -21.00   -0.2871    0.1906
    -20.00   -0.2764    0.1741
    -19.00   -0.2651    0.1581
    -18.00   -0.2534    0.1428
    -17.00   -0.2414    0.1282
    -16.00   -0.2290    0.1143
    -15.00   -0.2164    0.1011
    -14.00   -0.2036    0.0886
    -13.00   -0.1908    0.0769
    -12.00   -0.1779    0.0659
    -11.00   -0.1651    0.0557
    -10.00   -0.3165    0.1156
     -9.90   -0.3323    0.1149
     -9.80   -0.3465    0.1142
     -9.70   -0.3602    0.1135
     -9.60   -0.3727    0.1129
     -9.50   -0.3857    0.1123
     -9.40   -0.4073    0.0931
     -9.30   -0.4210    0.0854
     -9.20   -0.4357    0.0778
     -9.10   -0.4606    0.0707
     -9.00   -0.4683    0.0678
     -8.90   -0.4744    0.0649
     -8.80   -0.4794    0.0621
     -8.70   -0.4816    0.0594
     -8.60   -0.4825    0.0568
     -8.50   -0.4812    0.0545
     -8.40   -0.4779    0.0523
     -8.30   -0.4717    0.0503
     -8.20   -0.4661    0.0485
     -8.10   -0.4586    0.0468
     -8.00   -0.4493    0.0452
     -7.90   -0.4388    0.0437
     -7.80   -0.4300    0.0425
     -7.70   -0.4185    0.0413
     -7.60   -0.4065    0.0402
     -7.50   -0.3939    0.0392
     -7.40   -0.3805    0.0383
     -7.30   -0.3669    0.0375
     -7.20   -0.3534    0.0367
     -7.10   -0.3393    0.0359
     -7.00   -0.3250    0.0352
     -6.90   -0.3108    0.0343
     -6.80   -0.2931    0.0333
     -6.70   -0.2742    0.0321
     -6.60   -0.2568    0.0311
     -6.50   -0.2412    0.0301
     -6.40   -0.2256    0.0292
     -6.30   -0.2102    0.0283
     -6.20   -0.1946    0.0276
     -6.10   -0.1767    0.0268
     -6.00   -0.1591    0.0261
     -5.90   -0.1435    0.0255
     -5.80   -0.1283    0.0250
     -5.70   -0.1137    0.0245
     -5.60   -0.0988    0.0240
     -5.50   -0.0823    0.0234
     -5.40   -0.0671    0.0230
     -5.30   -0.0528    0.0225
     -5.20   -0.0386    0.0221
     -5.10   -0.0253    0.0216
     -5.00   -0.0135    0.0212
     -4.90   -0.0015    0.0208
     -4.80    0.0094    0.0203
     -4.70    0.0185    0.0198
     -4.60    0.0266    0.0195
     -4.50    0.0344    0.0192
     -4.40    0.0427    0.0192
     -4.30    0.0513    0.0193
     -4.20    0.0610    0.0197
     -4.10    0.0712    0.0201
     -4.00    0.0824    0.0205
     -3.90    0.0932    0.0209
     -3.80    0.1035    0.0213
     -3.70    0.1134    0.0217
     -3.60    0.1227    0.0221
     -3.50    0.1326    0.0224
     -3.40    0.1433    0.0228
     -3.30    0.1533    0.0231
     -3.20    0.1627    0.0234
     -3.10    0.1714    0.0237
     -3.00    0.1798    0.0239
     -2.90    0.1897    0.0242
     -2.80    0.2007    0.0244
     -2.70    0.2105    0.0246
     -2.60    0.2194    0.0248
     -2.50    0.2279    0.0250
     -2.40    0.2361    0.0252
     -2.30    0.2446    0.0253
     -2.20    0.2540    0.0254
     -2.10    0.2662    0.0256
     -2.00    0.2779    0.0257
     -1.90    0.2884    0.0259
     -1.80    0.2968    0.0260
     -1.70    0.3055    0.0261
     -1.60    0.3152    0.0261
     -1.50    0.3272    0.0262
     -1.40    0.3408    0.0262
     -1.30    0.3540    0.0262
     -1.20    0.3655    0.0262
     -1.10    0.3753    0.0262
     -1.00    0.3840    0.0262
     -0.90    0.3924    0.0262
     -0.80    0.4029    0.0262
     -0.70    0.4152    0.0261
     -0.60    0.4242    0.0261
     -0.50    0.4333    0.0261
     -0.40    0.4438    0.0261
     -0.30    0.4539    0.0261
     -0.20    0.4644    0.0261
     -0.10    0.4767    0.0261
      0.00    0.4870    0.0261
      0.10    0.4937    0.0261
      0.20    0.4975    0.0260
      0.30    0.5032    0.0260
      0.40    0.5116    0.0260
