AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.125_M0.00_N9.0 360 M" on Foil "T1_Re0.125_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
9.70           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.98          Angle of attack for zero Cn for linear Cn curve (deg)
6.76214        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4020        Cn at stall value for positive angle of attack for linear Cn curve
-0.4401        Cn at stall value for negative angle of attack for linear Cn curve
-4.30          Angle of attack for minimum CD (deg)
0.0162         Minimum CD value
   -180.00   -0.1274    0.0060
   -179.00   -0.0448    0.0064
   -178.00    0.0303    0.0078
   -177.00    0.0907    0.0100
   -176.00    0.1319    0.0131
   -175.00    0.1554    0.0171
   -174.00    0.1677    0.0220
   -173.00    0.1752    0.0277
   -172.00    0.1819    0.0343
   -171.00    0.1898    0.0418
   -170.00    0.1995    0.0501
   -169.00    0.2108    0.0591
   -168.00    0.2233    0.0691
   -167.00    0.2367    0.0798
   -166.00    0.2507    0.0912
   -165.00    0.2648    0.1035
   -164.00    0.2789    0.1165
   -163.00    0.2928    0.1302
   -162.00    0.3064    0.1447
   -161.00    0.3194    0.1598
   -160.00    0.3319    0.1756
   -159.00    0.3438    0.1921
   -158.00    0.3550    0.2092
   -157.00    0.3654    0.2269
   -156.00    0.3751    0.2452
   -155.00    0.3840    0.2641
   -154.00    0.3921    0.2835
   -153.00    0.3994    0.3034
   -152.00    0.4058    0.3239
   -151.00    0.4115    0.3447
   -150.00    0.4163    0.3661
   -149.00    0.4204    0.3878
   -148.00    0.4236    0.4099
   -147.00    0.4261    0.4324
   -146.00    0.4278    0.4552
   -145.00    0.4287    0.4783
   -144.00    0.4289    0.5017
   -143.00    0.4284    0.5253
   -142.00    0.4272    0.5492
   -141.00    0.4253    0.5732
   -140.00    0.4228    0.5974
   -139.00    0.4196    0.6217
   -138.00    0.4158    0.6461
   -137.00    0.4115    0.6706
   -136.00    0.4066    0.6951
   -135.00    0.4012    0.7196
   -134.00    0.3953    0.7441
   -133.00    0.3889    0.7686
   -132.00    0.3821    0.7929
   -131.00    0.3748    0.8172
   -130.00    0.3672    0.8413
   -129.00    0.3592    0.8653
   -128.00    0.3508    0.8891
   -127.00    0.3422    0.9126
   -126.00    0.3332    0.9359
   -125.00    0.3240    0.9589
   -124.00    0.3145    0.9816
   -123.00    0.3048    1.0040
   -122.00    0.2949    1.0260
   -121.00    0.2849    1.0477
   -120.00    0.2746    1.0689
   -119.00    0.2643    1.0897
   -118.00    0.2538    1.1100
   -117.00    0.2432    1.1298
   -116.00    0.2325    1.1492
   -115.00    0.2218    1.1680
   -114.00    0.2110    1.1862
   -113.00    0.2002    1.2039
   -112.00    0.1885    1.2210
   -111.00    0.1777    1.2374
   -110.00    0.1668    1.2533
   -109.00    0.1560    1.2685
   -108.00    0.1451    1.2830
   -107.00    0.1343    1.2968
   -106.00    0.1235    1.3099
   -105.00    0.1127    1.3223
   -104.00    0.1020    1.3340
   -103.00    0.0913    1.3449
   -102.00    0.0807    1.3551
   -101.00    0.0701    1.3645
   -100.00    0.0596    1.3731
    -99.00    0.0491    1.3810
    -98.00    0.0386    1.3880
    -97.00    0.0283    1.3942
    -96.00    0.0180    1.3996
    -95.00    0.0077    1.4042
    -94.00   -0.0025    1.4080
    -93.00   -0.0126    1.4109
    -92.00   -0.0227    1.4130
    -91.00   -0.0328    1.4143
    -90.00   -0.0427    1.4147
    -89.00   -0.0527    1.4143
    -88.00   -0.0625    1.4130
    -87.00   -0.0724    1.4109
    -86.00   -0.0821    1.4080
    -85.00   -0.0919    1.4042
    -84.00   -0.1016    1.3996
    -83.00   -0.1112    1.3942
    -82.00   -0.1208    1.3880
    -81.00   -0.1303    1.3810
    -80.00   -0.1398    1.3731
    -79.00   -0.1493    1.3645
    -78.00   -0.1586    1.3551
    -77.00   -0.1680    1.3449
    -76.00   -0.1772    1.3340
    -75.00   -0.1865    1.3223
    -74.00   -0.1956    1.3099
    -73.00   -0.2047    1.2968
    -72.00   -0.2137    1.2829
    -71.00   -0.2226    1.2684
    -70.00   -0.2314    1.2532
    -69.00   -0.2401    1.2374
    -68.00   -0.2487    1.2209
    -67.00   -0.2572    1.2038
    -66.00   -0.2656    1.1861
    -65.00   -0.2739    1.1679
    -64.00   -0.2820    1.1491
    -63.00   -0.2899    1.1297
    -62.00   -0.2977    1.1099
    -61.00   -0.3052    1.0896
    -60.00   -0.3126    1.0688
    -59.00   -0.3198    1.0475
    -58.00   -0.3268    1.0259
    -57.00   -0.3335    1.0039
    -56.00   -0.3399    0.9815
    -55.00   -0.3461    0.9588
    -54.00   -0.3520    0.9358
    -53.00   -0.3576    0.9125
    -52.00   -0.3629    0.8889
    -51.00   -0.3678    0.8651
    -50.00   -0.3724    0.8412
    -49.00   -0.3766    0.8170
    -48.00   -0.3805    0.7927
    -47.00   -0.3839    0.7684
    -46.00   -0.3869    0.7439
    -45.00   -0.3895    0.7194
    -44.00   -0.3916    0.6948
    -43.00   -0.3932    0.6703
    -42.00   -0.3944    0.6458
    -41.00   -0.3950    0.6214
    -40.00   -0.3951    0.5971
    -39.00   -0.3947    0.5729
    -38.00   -0.3938    0.5488
    -37.00   -0.3923    0.5249
    -36.00   -0.3902    0.5013
    -35.00   -0.3875    0.4779
    -34.00   -0.3843    0.4548
    -33.00   -0.3804    0.4319
    -32.00   -0.3759    0.4094
    -31.00   -0.3708    0.3873
    -30.00   -0.3651    0.3655
    -29.00   -0.3588    0.3441
    -28.00   -0.3518    0.3232
    -27.00   -0.3443    0.3027
    -26.00   -0.3361    0.2828
    -25.00   -0.3273    0.2633
    -24.00   -0.3179    0.2443
    -23.00   -0.3079    0.2260
    -22.00   -0.2974    0.2082
    -21.00   -0.2863    0.1909
    -20.00   -0.2748    0.1744
    -19.00   -0.2628    0.1584
    -18.00   -0.2504    0.1431
    -17.00   -0.2378    0.1285
    -16.00   -0.2250    0.1146
    -15.00   -0.2121    0.1013
    -14.00   -0.1994    0.0888
    -13.00   -0.1870    0.0770
    -12.00   -0.1751    0.0660
    -11.00   -0.1641    0.0557
    -10.00   -0.3298    0.1002
     -9.90   -0.3356    0.0992
     -9.80   -0.3435    0.0980
     -9.70   -0.3537    0.0967
     -9.60   -0.4495    0.0745
     -9.50   -0.4572    0.0709
     -9.40   -0.4780    0.0626
     -9.30   -0.4829    0.0600
     -9.20   -0.4864    0.0576
     -9.10   -0.4881    0.0551
     -9.00   -0.4874    0.0527
     -8.90   -0.4859    0.0505
     -8.80   -0.4830    0.0484
     -8.70   -0.4780    0.0464
     -8.60   -0.4720    0.0446
     -8.50   -0.4658    0.0430
     -8.40   -0.4573    0.0415
     -8.30   -0.4473    0.0401
     -8.20   -0.4360    0.0389
     -8.10   -0.4246    0.0379
     -8.00   -0.4131    0.0367
     -7.90   -0.4012    0.0354
     -7.80   -0.3890    0.0342
     -7.70   -0.3767    0.0331
     -7.60   -0.3620    0.0319
     -7.50   -0.3450    0.0311
     -7.40   -0.3303    0.0305
     -7.30   -0.3154    0.0301
     -7.20   -0.3002    0.0297
     -7.10   -0.2852    0.0291
     -7.00   -0.2701    0.0284
     -6.90   -0.2510    0.0276
     -6.80   -0.2335    0.0268
     -6.70   -0.2170    0.0259
     -6.60   -0.2004    0.0252
     -6.50   -0.1843    0.0245
