AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.075_M0.00_N9.0 360 M" on Foil "T1_Re0.075_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
50.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-3.43          Angle of attack for zero Cn for linear Cn curve (deg)
8.78193        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5792        Cn at stall value for positive angle of attack for linear Cn curve
-0.5944        Cn at stall value for negative angle of attack for linear Cn curve
0.50           Angle of attack for minimum CD (deg)
0.0292         Minimum CD value
   -180.00   -0.1004    0.0060
   -179.00    0.0612    0.0065
   -178.00    0.2207    0.0080
   -177.00    0.3647    0.0106
   -176.00    0.4633    0.0142
   -175.00    0.4920    0.0187
   -174.00    0.4632    0.0243
   -173.00    0.4132    0.0309
   -172.00    0.3685    0.0384
   -171.00    0.3379    0.0469
   -170.00    0.3207    0.0564
   -169.00    0.3139    0.0668
   -168.00    0.3142    0.0781
   -167.00    0.3193    0.0903
   -166.00    0.3275    0.1035
   -165.00    0.3375    0.1175
   -164.00    0.3485    0.1324
   -163.00    0.3601    0.1481
   -162.00    0.3717    0.1646
   -161.00    0.3830    0.1819
   -160.00    0.3939    0.2000
   -159.00    0.4043    0.2188
   -158.00    0.4139    0.2384
   -157.00    0.4228    0.2587
   -156.00    0.4308    0.2796
   -155.00    0.4380    0.3012
   -154.00    0.4444    0.3234
   -153.00    0.4498    0.3462
   -152.00    0.4543    0.3695
   -151.00    0.4580    0.3934
   -150.00    0.4607    0.4178
   -149.00    0.4626    0.4427
   -148.00    0.4636    0.4680
   -147.00    0.4638    0.4937
   -146.00    0.4631    0.5198
   -145.00    0.4617    0.5462
   -144.00    0.4595    0.5730
   -143.00    0.4566    0.6000
   -142.00    0.4529    0.6273
   -141.00    0.4486    0.6548
   -140.00    0.4436    0.6824
   -139.00    0.4381    0.7102
   -138.00    0.4319    0.7382
   -137.00    0.4253    0.7662
   -136.00    0.4181    0.7942
   -135.00    0.4104    0.8223
   -134.00    0.4023    0.8503
   -133.00    0.3938    0.8783
   -132.00    0.3849    0.9062
   -131.00    0.3757    0.9340
   -130.00    0.3661    0.9616
   -129.00    0.3563    0.9890
   -128.00    0.3463    1.0162
   -127.00    0.3360    1.0431
   -126.00    0.3255    1.0698
   -125.00    0.3149    1.0961
   -124.00    0.3042    1.1221
   -123.00    0.2933    1.1477
   -122.00    0.2823    1.1729
   -121.00    0.2713    1.1977
   -120.00    0.2603    1.2220
   -119.00    0.2492    1.2458
   -118.00    0.2382    1.2690
   -117.00    0.2271    1.2917
   -116.00    0.2161    1.3138
   -115.00    0.2051    1.3354
   -114.00    0.1942    1.3563
   -113.00    0.1834    1.3765
   -112.00    0.1726    1.3960
   -111.00    0.1620    1.4149
   -110.00    0.1514    1.4330
   -109.00    0.1405    1.4504
   -108.00    0.1302    1.4670
   -107.00    0.1199    1.4828
   -106.00    0.1098    1.4979
   -105.00    0.0998    1.5121
   -104.00    0.0900    1.5254
   -103.00    0.0802    1.5379
   -102.00    0.0706    1.5496
   -101.00    0.0610    1.5604
   -100.00    0.0516    1.5702
    -99.00    0.0423    1.5792
    -98.00    0.0331    1.5872
    -97.00    0.0239    1.5944
    -96.00    0.0149    1.6006
    -95.00    0.0059    1.6058
    -94.00   -0.0030    1.6101
    -93.00   -0.0118    1.6135
    -92.00   -0.0206    1.6159
    -91.00   -0.0293    1.6173
    -90.00   -0.0380    1.6178
    -89.00   -0.0466    1.6173
    -88.00   -0.0552    1.6159
    -87.00   -0.0638    1.6135
    -86.00   -0.0724    1.6101
    -85.00   -0.0810    1.6058
    -84.00   -0.0896    1.6006
    -83.00   -0.0981    1.5944
    -82.00   -0.1067    1.5872
    -81.00   -0.1153    1.5792
    -80.00   -0.1240    1.5702
    -79.00   -0.1326    1.5604
    -78.00   -0.1413    1.5496
    -77.00   -0.1500    1.5379
    -76.00   -0.1587    1.5254
    -75.00   -0.1674    1.5121
    -74.00   -0.1762    1.4979
    -73.00   -0.1850    1.4828
    -72.00   -0.1938    1.4670
    -71.00   -0.2027    1.4504
    -70.00   -0.2115    1.4330
    -69.00   -0.2204    1.4149
    -68.00   -0.2292    1.3960
    -67.00   -0.2381    1.3765
    -66.00   -0.2469    1.3563
    -65.00   -0.2557    1.3354
    -64.00   -0.2644    1.3138
    -63.00   -0.2731    1.2917
    -62.00   -0.2817    1.2690
    -61.00   -0.2903    1.2458
    -60.00   -0.2987    1.2220
    -59.00   -0.3071    1.1977
