AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.075_M0.00_N9.0 360 M" on Foil "T1_Re0.075_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.70          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
2.43           Angle of attack for zero Cn for linear Cn curve (deg)
8.10402        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5735        Cn at stall value for positive angle of attack for linear Cn curve
-0.4033        Cn at stall value for negative angle of attack for linear Cn curve
-3.30          Angle of attack for minimum CD (deg)
0.0297         Minimum CD value
   -180.00    0.0638    0.0060
   -179.00    0.1686    0.0065
   -178.00    0.2733    0.0078
   -177.00    0.3771    0.0101
   -176.00    0.4740    0.0132
   -175.00    0.5508    0.0173
   -174.00    0.5924    0.0222
   -173.00    0.5959    0.0281
   -172.00    0.5749    0.0348
   -171.00    0.5481    0.0423
   -170.00    0.5270    0.0507
   -169.00    0.5155    0.0600
   -168.00    0.5129    0.0700
   -167.00    0.5176    0.0809
   -166.00    0.5275    0.0926
   -165.00    0.5411    0.1050
   -164.00    0.5573    0.1182
   -163.00    0.5752    0.1322
   -162.00    0.5943    0.1469
   -161.00    0.6139    0.1623
   -160.00    0.6339    0.1783
   -159.00    0.6539    0.1951
   -158.00    0.6737    0.2125
   -157.00    0.6932    0.2305
   -156.00    0.7122    0.2491
   -155.00    0.7307    0.2683
   -154.00    0.7484    0.2881
   -153.00    0.7655    0.3083
   -152.00    0.7818    0.3291
   -151.00    0.7972    0.3504
   -150.00    0.8116    0.3721
   -149.00    0.8252    0.3942
   -148.00    0.8377    0.4167
   -147.00    0.8492    0.4396
   -146.00    0.8597    0.4628
   -145.00    0.8691    0.4864
   -144.00    0.8773    0.5102
   -143.00    0.8845    0.5342
   -142.00    0.8904    0.5585
   -141.00    0.8952    0.5830
   -140.00    0.8989    0.6076
   -139.00    0.9013    0.6324
   -138.00    0.9025    0.6573
   -137.00    0.9025    0.6822
   -136.00    0.9013    0.7072
   -135.00    0.8989    0.7322
   -134.00    0.8952    0.7572
   -133.00    0.8904    0.7822
   -132.00    0.8843    0.8070
   -131.00    0.8770    0.8318
   -130.00    0.8685    0.8564
   -129.00    0.8589    0.8808
   -128.00    0.8480    0.9051
   -127.00    0.8360    0.9291
   -126.00    0.8229    0.9528
   -125.00    0.8086    0.9763
   -124.00    0.7933    0.9995
   -123.00    0.7768    1.0223
   -122.00    0.7593    1.0448
   -121.00    0.7407    1.0669
   -120.00    0.7212    1.0885
   -119.00    0.7006    1.1097
   -118.00    0.6791    1.1305
   -117.00    0.6567    1.1507
   -116.00    0.6334    1.1704
   -115.00    0.6093    1.1896
   -114.00    0.5843    1.2083
   -113.00    0.5586    1.2263
   -112.00    0.5321    1.2438
   -111.00    0.5048    1.2606
   -110.00    0.4770    1.2767
   -109.00    0.4485    1.2922
   -108.00    0.4144    1.3070
   -107.00    0.3847    1.3212
   -106.00    0.3545    1.3346
   -105.00    0.3238    1.3472
   -104.00    0.2927    1.3591
   -103.00    0.2612    1.3703
   -102.00    0.2294    1.3807
   -101.00    0.1973    1.3903
   -100.00    0.1649    1.3990
    -99.00    0.1324    1.4070
    -98.00    0.0996    1.4142
    -97.00    0.0668    1.4205
    -96.00    0.0339    1.4260
    -95.00    0.0010    1.4307
    -94.00   -0.0320    1.4345
    -93.00   -0.0648    1.4375
    -92.00   -0.0976    1.4396
    -91.00   -0.1302    1.4409
    -90.00   -0.1626    1.4413
    -89.00   -0.1948    1.4408
    -88.00   -0.2268    1.4395
    -87.00   -0.2584    1.4373
    -86.00   -0.2896    1.4343
    -85.00   -0.3205    1.4305
    -84.00   -0.3510    1.4257
    -83.00   -0.3810    1.4202
    -82.00   -0.4105    1.4138
    -81.00   -0.4394    1.4066
    -80.00   -0.4678    1.3985
    -79.00   -0.4956    1.3897
    -78.00   -0.5227    1.3800
    -77.00   -0.5492    1.3696
    -76.00   -0.5750    1.3584
    -75.00   -0.6001    1.3464
    -74.00   -0.6244    1.3337
    -73.00   -0.6480    1.3203
    -72.00   -0.6707    1.3061
    -71.00   -0.6926    1.2912
    -70.00   -0.7137    1.2757
    -69.00   -0.7339    1.2594
    -68.00   -0.7533    1.2426
    -67.00   -0.7717    1.2251
    -66.00   -0.7892    1.2070
    -65.00   -0.8057    1.1883
    -64.00   -0.8213    1.1690
    -63.00   -0.8360    1.1493
    -62.00   -0.8497    1.1289
    -61.00   -0.8624    1.1081
    -60.00   -0.8741    1.0869
    -59.00   -0.8848    1.0652
    -58.00   -0.8944    1.0430
    -57.00   -0.9031    1.0205
    -56.00   -0.9108    0.9976
    -55.00   -0.9175    0.9744
    -54.00   -0.9231    0.9508
    -53.00   -0.9278    0.9270
    -52.00   -0.9314    0.9029
    -51.00   -0.9340    0.8786
    -50.00   -0.9357    0.8541
    -49.00   -0.9363    0.8294
    -48.00   -0.9360    0.8046
    -47.00   -0.9346    0.7797
    -46.00   -0.9324    0.7547
    -45.00   -0.9291    0.7297
    -44.00   -0.9250    0.7046
    -43.00   -0.9199    0.6796
    -42.00   -0.9139    0.6545
    -41.00   -0.9070    0.6296
    -40.00   -0.8992    0.6048
    -39.00   -0.8906    0.5801
    -38.00   -0.8811    0.5555
    -37.00   -0.8708    0.5312
    -36.00   -0.8598    0.5071
    -35.00   -0.8479    0.4832
    -34.00   -0.8354    0.4596
    -33.00   -0.8221    0.4364
    -32.00   -0.8080    0.4134
    -31.00   -0.7934    0.3909
    -30.00   -0.7781    0.3687
    -29.00   -0.7621    0.3470
    -28.00   -0.7456    0.3257
    -27.00   -0.7285    0.3049
    -26.00   -0.7109    0.2846
    -25.00   -0.6927    0.2649
    -24.00   -0.6741    0.2457
    -23.00   -0.6551    0.2271
    -22.00   -0.6356    0.2091
    -21.00   -0.6157    0.1917
    -20.00   -0.5955    0.1750
    -19.00   -0.5749    0.1590
    -18.00   -0.5540    0.1437
    -17.00   -0.5328    0.1291
    -16.00   -0.5113    0.1152
    -15.00   -0.4895    0.1021
    -14.00   -0.4674    0.0898
    -13.00   -0.4451    0.0783
    -12.00   -0.4225    0.0676
    -11.00   -0.3996    0.0578
    -10.00   -0.5644    0.1016
     -9.90   -0.5658    0.1000
     -9.80   -0.5697    0.0982
     -9.70   -0.5757    0.0962
     -9.60   -0.5837    0.0940
     -9.50   -0.5939    0.0916
     -9.40   -0.6450    0.0834
     -9.30   -0.6676    0.0806
     -9.20   -0.6928    0.0776
     -9.10   -0.7188    0.0744
     -9.00   -0.7434    0.0712
     -8.90   -0.7645    0.0680
     -8.80   -0.7807    0.0651
     -8.70   -0.7917    0.0625
     -8.60   -0.7981    0.0603
     -8.50   -0.8014    0.0585
     -8.40   -0.8027    0.0568
     -8.30   -0.8027    0.0552
     -8.20   -0.8016    0.0537
     -8.10   -0.7997    0.0523
     -8.00   -0.7970    0.0509
     -7.90   -0.7937    0.0496
     -7.80   -0.7897    0.0483
     -7.70   -0.7851    0.0472
     -7.60   -0.7801    0.0461
     -7.50   -0.7747    0.0450
     -7.40   -0.7690    0.0442
     -7.30   -0.7630    0.0435
     -7.20   -0.7567    0.0428
     -7.10   -0.7501    0.0423
     -7.00   -0.7432    0.0418
     -6.90   -0.7360    0.0412
     -6.80   -0.7286    0.0406
     -6.70   -0.7211    0.0399
     -6.60   -0.7135    0.0391
     -6.50   -0.7059    0.0384
     -6.40   -0.6983    0.0377
     -6.30   -0.6908    0.0370
     -6.20   -0.6831    0.0366
     -6.10   -0.6753    0.0362
     -6.00   -0.6673    0.0359
     -5.90   -0.6594    0.0355
     -5.80   -0.6515    0.0351
     -5.70   -0.6435    0.0347
     -5.60   -0.6355    0.0342
     -5.50   -0.6274    0.0339
     -5.40   -0.6191    0.0335
     -5.30   -0.6108    0.0332
     -5.20   -0.6025    0.0328
     -5.10   -0.5943    0.0325
     -5.00   -0.5860    0.0322
     -4.90   -0.5778    0.0319
     -4.80   -0.5696    0.0317
     -4.70   -0.5614    0.0315
     -4.60   -0.5531    0.0313
     -4.50   -0.5451    0.0310
     -4.40   -0.5370    0.0309
     -4.30   -0.5287    0.0307
     -4.20   -0.5205    0.0305
     -4.10   -0.5124    0.0304
     -4.00   -0.5043    0.0302
     -3.90   -0.4961    0.0301
     -3.80   -0.4882    0.0299
     -3.70   -0.4801    0.0298
     -3.60   -0.4723    0.0298
     -3.50   -0.4646    0.0297
     -3.40   -0.4570    0.0298
     -3.30   -0.4498    0.0299
     -3.20   -0.4428    0.0300
     -3.10   -0.4360    0.0303
     -3.00   -0.4292    0.0305
     -2.90   -0.4227    0.0309
     -2.80   -0.4162    0.0312
     -2.70   -0.4097    0.0316
     -2.60   -0.4033    0.0319
     -2.50   -0.3971    0.0322
     -2.40   -0.3905    0.0325
     -2.30   -0.3842    0.0328
     -2.20   -0.3782    0.0331
     -2.10   -0.3717    0.0334
     -2.00   -0.3653    0.0337
     -1.90   -0.3593    0.0339
     -1.80   -0.3531    0.0342
     -1.70   -0.3466    0.0344
     -1.60   -0.3403    0.0346
     -1.50   -0.3342    0.0348
     -1.40   -0.3281    0.0350
     -1.30   -0.3217    0.0352
     -1.20   -0.3152    0.0354
     -1.10   -0.3092    0.0356
     -1.00   -0.3031    0.0358
     -0.90   -0.2969    0.0359
     -0.80   -0.2905    0.0361
     -0.70   -0.2845    0.0363
     -0.60   -0.2784    0.0364
     -0.50   -0.2723    0.0366
     -0.40   -0.2660    0.0368
     -0.30   -0.2589    0.0370
     -0.20   -0.2516    0.0372
     -0.10   -0.2431    0.0375
      0.00   -0.2339    0.0379
      0.10   -0.2234    0.0383
      0.20   -0.2135    0.0387
      0.30   -0.2037    0.0390
      0.40   -0.1934    0.0394
      0.50   -0.1824    0.0399
      0.60   -0.1732    0.0402
      0.70   -0.1641    0.0405
      0.80   -0.1540    0.0408
      0.90   -0.1436    0.0412
      1.00   -0.1346    0.0415
      1.10   -0.1251    0.0417
      1.20   -0.1151    0.0421
      1.30   -0.1044    0.0424
      1.40   -0.0942    0.0428
      1.50   -0.0844    0.0430
      1.60   -0.0731    0.0434
      1.70   -0.0607    0.0439
      1.80   -0.0496    0.0443
      1.90   -0.0399    0.0445
      2.00   -0.0281    0.0449
      2.10   -0.0146    0.0454
      2.20   -0.0034    0.0458
      2.30    0.0072    0.0460
      2.40    0.0207    0.0464
      2.50    0.0360    0.0470
      2.60    0.0472    0.0474
      2.70    0.0578    0.0476
      2.80    0.0717    0.0480
      2.90    0.0876    0.0486
      3.00    0.0978    0.0487
      3.10    0.1284    0.0488
      3.20    0.1583    0.0489
      3.30    0.1866    0.0489
      3.40    0.2137    0.0487
      3.50    0.2500    0.0487
      3.60    0.2632    0.0489
      3.70    0.2788    0.0491
      3.80    0.2962    0.0494
      3.90    0.3145    0.0496
      4.00    0.3315    0.0498
      4.10    0.3470    0.0501
      4.20    0.3619    0.0504
      4.30    0.3760    0.0507
      4.40    0.3890    0.0509
      4.50    0.4010    0.0511
      4.60    0.4238    0.0514
      4.70    0.4387    0.0516
      4.80    0.4533    0.0519
      4.90    0.4679    0.0520
      5.00    0.4824    0.0521
      5.10    0.4962    0.0521
      5.20    0.5115    0.0523
      5.30    0.5259    0.0524
      5.40    0.5400    0.0524
      5.50    0.5538    0.0524
      5.60    0.5677    0.0523
      5.70    0.5928    0.0519
      5.80    0.6135    0.0516
      5.90    0.6280    0.0515
      6.00    0.6420    0.0513
      6.10    0.6552    0.0511
      6.20    0.6678    0.0509
      6.30    0.6882    0.0503
      6.40    0.7084    0.0498
      6.50    0.7216    0.0496
      6.60    0.7346    0.0493
      6.70    0.7473    0.0490
      6.80    0.7596    0.0486
      6.90    0.7798    0.0477
      7.00    0.8004    0.0468
      7.10    0.8143    0.0463
      7.20    0.8275    0.0459
      7.30    0.8404    0.0454
      7.40    0.8531    0.0447
      7.50    0.8732    0.0436
      7.60    0.8939    0.0424
      7.70    0.9087    0.0416
      7.80    0.9238    0.0407
      7.90    0.9402    0.0396
      8.00    0.9585    0.0384
      8.10    0.9726    0.0375
      8.20    0.9941    0.0360
      8.30    1.0140    0.0346
      8.40    1.0286    0.0337
      8.50    1.0391    0.0332
      8.60    1.0594    0.0320
      8.70    1.0758    0.0312
      8.80    1.0886    0.0307
      8.90    1.1014    0.0303
      9.00    1.1125    0.0302
      9.10    1.1190    0.0305
      9.20    1.1252    0.0309
      9.30    1.1311    0.0313
      9.40    1.1365    0.0318
      9.50    1.1416    0.0324
      9.60    1.1473    0.0329
      9.70    1.1528    0.0334
      9.80    1.1597    0.0339
      9.90    1.1661    0.0344
     10.00    1.1723    0.0349
     10.10    1.1807    0.0355
     10.20    1.1873    0.0360
     10.30    1.1936    0.0365
     10.40    1.2010    0.0371
     10.50    1.2113    0.0376
     10.60    1.2193    0.0382
     10.70    1.2279    0.0388
     10.80    1.2368    0.0394
     10.90    1.2462    0.0400
     11.00    1.2557    0.0406
     11.10    1.2647    0.0412
     11.20    1.2730    0.0419
     11.30    1.2806    0.0426
     11.40    1.2871    0.0432
     11.50    1.2917    0.0438
     11.60    1.2994    0.0445
     11.70    1.3067    0.0452
     11.80    1.3137    0.0460
     11.90    1.3201    0.0468
     12.00    1.3248    0.0476
     12.10    1.3276    0.0483
     12.20    1.3322    0.0490
     12.30    1.3412    0.0499
     12.40    1.3488    0.0507
     12.50    1.3549    0.0516
