AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.075_M0.00_N9.0 360 M (2)" on Foil "T1_Re0.075_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.70          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
2.43           Angle of attack for zero Cn for linear Cn curve (deg)
8.10402        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5735        Cn at stall value for positive angle of attack for linear Cn curve
-0.3468        Cn at stall value for negative angle of attack for linear Cn curve
-3.30          Angle of attack for minimum CD (deg)
0.0297         Minimum CD value
   -180.00    0.0638    0.0060
   -179.00    0.1686    0.0065
   -178.00    0.2733    0.0078
   -177.00    0.3771    0.0101
   -176.00    0.4740    0.0132
   -175.00    0.5508    0.0173
   -174.00    0.5924    0.0222
   -173.00    0.5959    0.0281
   -172.00    0.5749    0.0348
   -171.00    0.5481    0.0423
   -170.00    0.5270    0.0507
   -169.00    0.5155    0.0600
   -168.00    0.5129    0.0700
   -167.00    0.5176    0.0809
   -166.00    0.5275    0.0926
   -165.00    0.5411    0.1050
   -164.00    0.5573    0.1182
   -163.00    0.5752    0.1322
   -162.00    0.5943    0.1469
   -161.00    0.6139    0.1623
   -160.00    0.6339    0.1784
   -159.00    0.6539    0.1951
   -158.00    0.6737    0.2125
   -157.00    0.6932    0.2305
   -156.00    0.7122    0.2491
   -155.00    0.7307    0.2683
   -154.00    0.7484    0.2881
   -153.00    0.7655    0.3084
   -152.00    0.7818    0.3291
   -151.00    0.7972    0.3504
   -150.00    0.8116    0.3721
   -149.00    0.8252    0.3942
   -148.00    0.8377    0.4168
   -147.00    0.8492    0.4396
   -146.00    0.8597    0.4629
   -145.00    0.8691    0.4864
   -144.00    0.8773    0.5102
   -143.00    0.8845    0.5343
   -142.00    0.8904    0.5586
   -141.00    0.8952    0.5831
   -140.00    0.8989    0.6077
   -139.00    0.9013    0.6325
   -138.00    0.9025    0.6574
   -137.00    0.9025    0.6823
   -136.00    0.9013    0.7073
   -135.00    0.8989    0.7323
   -134.00    0.8952    0.7573
   -133.00    0.8904    0.7823
   -132.00    0.8843    0.8071
   -131.00    0.8770    0.8319
   -130.00    0.8685    0.8565
   -129.00    0.8589    0.8809
   -128.00    0.8480    0.9052
   -127.00    0.8360    0.9292
   -126.00    0.8229    0.9530
   -125.00    0.8086    0.9765
   -124.00    0.7933    0.9997
   -123.00    0.7768    1.0225
   -122.00    0.7593    1.0450
   -121.00    0.7407    1.0671
   -120.00    0.7212    1.0887
   -119.00    0.7006    1.1100
   -118.00    0.6791    1.1307
   -117.00    0.6567    1.1510
   -116.00    0.6334    1.1707
   -115.00    0.6093    1.1899
   -114.00    0.5843    1.2086
   -113.00    0.5586    1.2266
   -112.00    0.5321    1.2441
   -111.00    0.5048    1.2609
   -110.00    0.4770    1.2771
   -109.00    0.4485    1.2926
   -108.00    0.4188    1.3074
   -107.00    0.3892    1.3216
   -106.00    0.3591    1.3350
   -105.00    0.3285    1.3476
   -104.00    0.2975    1.3596
   -103.00    0.2661    1.3707
   -102.00    0.2344    1.3811
   -101.00    0.2023    1.3908
   -100.00    0.1701    1.3996
    -99.00    0.1376    1.4076
    -98.00    0.1050    1.4148
    -97.00    0.0723    1.4211
    -96.00    0.0395    1.4267
    -95.00    0.0066    1.4313
    -94.00   -0.0262    1.4352
    -93.00   -0.0589    1.4382
    -92.00   -0.0915    1.4403
    -91.00   -0.1240    1.4416
    -90.00   -0.1563    1.4420
    -89.00   -0.1884    1.4416
    -88.00   -0.2202    1.4403
    -87.00   -0.2517    1.4382
    -86.00   -0.2828    1.4352
    -85.00   -0.3135    1.4313
    -84.00   -0.3438    1.4266
    -83.00   -0.3737    1.4211
    -82.00   -0.4030    1.4148
    -81.00   -0.4318    1.4076
    -80.00   -0.4600    1.3996
    -79.00   -0.4876    1.3908
    -78.00   -0.5146    1.3811
    -77.00   -0.5409    1.3707
    -76.00   -0.5665    1.3596
    -75.00   -0.5914    1.3476
    -74.00   -0.6155    1.3350
    -73.00   -0.6389    1.3215
    -72.00   -0.6614    1.3074
    -71.00   -0.6831    1.2926
    -70.00   -0.7039    1.2771
    -69.00   -0.7239    1.2609
    -68.00   -0.7430    1.2441
    -67.00   -0.7612    1.2266
    -66.00   -0.7784    1.2086
    -65.00   -0.7947    1.1899
    -64.00   -0.8100    1.1707
    -63.00   -0.8244    1.1510
    -62.00   -0.8377    1.1307
    -61.00   -0.8501    1.1099
    -60.00   -0.8615    1.0887
    -59.00   -0.8718    1.0671
    -58.00   -0.8812    1.0450
    -57.00   -0.8895    1.0225
    -56.00   -0.8968    0.9996
    -55.00   -0.9031    0.9765
    -54.00   -0.9083    0.9530
    -53.00   -0.9125    0.9292
    -52.00   -0.9157    0.9052
    -51.00   -0.9179    0.8809
    -50.00   -0.9190    0.8565
    -49.00   -0.9192    0.8319
    -48.00   -0.9183    0.8071
    -47.00   -0.9164    0.7822
    -46.00   -0.9136    0.7573
    -45.00   -0.9097    0.7323
    -44.00   -0.9050    0.7073
    -43.00   -0.8992    0.6823
    -42.00   -0.8925    0.6573
    -41.00   -0.8849    0.6325
    -40.00   -0.8764    0.6077
    -39.00   -0.8670    0.5830
    -38.00   -0.8568    0.5585
    -37.00   -0.8457    0.5343
    -36.00   -0.8337    0.5102
    -35.00   -0.8210    0.4864
    -34.00   -0.8074    0.4628
    -33.00   -0.7931    0.4396
    -32.00   -0.7781    0.4167
    -31.00   -0.7623    0.3942
    -30.00   -0.7459    0.3720
    -29.00   -0.7287    0.3503
    -28.00   -0.7110    0.3291
    -27.00   -0.6926    0.3083
    -26.00   -0.6736    0.2880
    -25.00   -0.6541    0.2683
    -24.00   -0.6341    0.2491
    -23.00   -0.6136    0.2304
    -22.00   -0.5926    0.2124
    -21.00   -0.5711    0.1950
    -20.00   -0.5493    0.1782
    -19.00   -0.5271    0.1621
    -18.00   -0.5046    0.1467
    -17.00   -0.4818    0.1320
    -16.00   -0.4587    0.1181
    -15.00   -0.4355    0.1049
    -14.00   -0.4121    0.0924
    -13.00   -0.3886    0.0807
    -12.00   -0.3651    0.0698
    -11.00   -0.3417    0.0597
    -10.00   -0.5644    0.1016
     -9.90   -0.5658    0.1000
     -9.80   -0.5697    0.0982
     -9.70   -0.5757    0.0962
     -9.60   -0.5837    0.0940
     -9.50   -0.5939    0.0916
     -9.40   -0.6067    0.0890
     -9.30   -0.6224    0.0862
     -9.20   -0.6414    0.0833
     -9.10   -0.6640    0.0805
     -9.00   -0.6903    0.0780
     -8.90   -0.7199    0.0749
     -8.80   -0.7482    0.0711
     -8.70   -0.7716    0.0676
     -8.60   -0.7871    0.0645
     -8.50   -0.7959    0.0621
     -8.40   -0.8007    0.0601
     -8.30   -0.8031    0.0583
     -8.20   -0.8039    0.0567
     -8.10   -0.8036    0.0551
     -8.00   -0.8024    0.0537
     -7.90   -0.8004    0.0522
     -7.80   -0.7977    0.0509
     -7.70   -0.7943    0.0495
     -7.60   -0.7903    0.0482
     -7.50   -0.7857    0.0470
     -7.40   -0.7804    0.0460
     -7.30   -0.7746    0.0454
     -7.20   -0.7695    0.0438
     -7.10   -0.7635    0.0430
     -7.00   -0.7570    0.0427
     -6.90   -0.7503    0.0424
     -6.80   -0.7434    0.0419
     -6.70   -0.7363    0.0413
     -6.60   -0.7289    0.0406
     -6.50   -0.7213    0.0399
     -6.40   -0.7133    0.0394
     -6.30   -0.7058    0.0382
     -6.20   -0.6984    0.0374
     -6.10   -0.6909    0.0369
     -6.00   -0.6832    0.0365
     -5.90   -0.6755    0.0362
     -5.80   -0.6675    0.0359
     -5.70   -0.6592    0.0357
     -5.60   -0.6512    0.0350
     -5.50   -0.6437    0.0345
     -5.40   -0.6359    0.0342
     -5.30   -0.6277    0.0339
     -5.20   -0.6192    0.0336
     -5.10   -0.6105    0.0333
     -5.00   -0.6022    0.0327
     -4.90   -0.5944    0.0324
     -4.80   -0.5863    0.0321
     -4.70   -0.5779    0.0319
     -4.60   -0.5692    0.0318
     -4.50   -0.5612    0.0314
     -4.40   -0.5535    0.0312
     -4.30   -0.5452    0.0311
     -4.20   -0.5366    0.0309
     -4.10   -0.5289    0.0306
     -4.00   -0.5207    0.0305
     -3.90   -0.5120    0.0304
     -3.80   -0.5044    0.0302
     -3.70   -0.4961    0.0301
     -3.60   -0.4881    0.0299
     -3.50   -0.4800    0.0298
     -3.40   -0.4722    0.0297
     -3.30   -0.4639    0.0297
     -3.20   -0.4571    0.0297
     -3.10   -0.4496    0.0298
     -3.00   -0.4422    0.0299
     -2.90   -0.4361    0.0302
     -2.80   -0.4288    0.0305
     -2.70   -0.4231    0.0309
     -2.60   -0.4156    0.0312
     -2.50   -0.4101    0.0316
     -2.40   -0.4034    0.0319
     -2.30   -0.3964    0.0322
     -2.20   -0.3910    0.0325
     -2.10   -0.3845    0.0329
     -2.00   -0.3772    0.0331
     -1.90   -0.3721    0.0334
     -1.80   -0.3663    0.0337
     -1.70   -0.3585    0.0340
     -1.60   -0.3524    0.0342
     -1.50   -0.3472    0.0344
     -1.40   -0.3412    0.0346
     -1.30   -0.3337    0.0349
     -1.20   -0.3270    0.0350
     -1.10   -0.3220    0.0352
     -1.00   -0.3164    0.0354
     -0.90   -0.3095    0.0356
     -0.80   -0.3012    0.0358
     -0.70   -0.2967    0.0359
     -0.60   -0.2915    0.0361
     -0.50   -0.2854    0.0363
     -0.40   -0.2776    0.0365
     -0.30   -0.2712    0.0366
     -0.20   -0.2665    0.0367
     -0.10   -0.2609    0.0369
      0.00   -0.2540    0.0371
      0.10   -0.2420    0.0376
      0.20   -0.2344    0.0378
      0.30   -0.2243    0.0383
      0.40   -0.2146    0.0386
      0.50   -0.2018    0.0391
      0.60   -0.1926    0.0395
      0.70   -0.1852    0.0397
      0.80   -0.1727    0.0402
      0.90   -0.1598    0.0408
      1.00   -0.1557    0.0407
      1.10   -0.1470    0.0409
      1.20   -0.1350    0.0414
      1.30   -0.1205    0.0421
      1.40   -0.1147    0.0422
      1.50   -0.1084    0.0421
      1.60   -0.0968    0.0425
      1.70   -0.0815    0.0432
      1.80   -0.0696    0.0438
      1.90   -0.0655    0.0435
      2.00   -0.0523    0.0440
      2.10   -0.0345    0.0449
      2.20   -0.0259    0.0452
      2.30   -0.0212    0.0450
      2.40   -0.0066    0.0454
      2.50    0.0151    0.0465
      2.60    0.0218    0.0467
      2.70    0.0268    0.0464
      2.80    0.0462    0.0471
      2.90    0.0700    0.0485
      3.00    0.0711    0.0483
      3.10    0.0751    0.0478
      3.20    0.0959    0.0485
      3.30    0.1258    0.0500
      3.40    0.1211    0.0491
      3.50    0.2243    0.0486
      3.60    0.2245    0.0484
      3.70    0.2372    0.0484
      3.80    0.2614    0.0488
      3.90    0.3026    0.0495
      4.00    0.2901    0.0493
      4.10    0.3025    0.0495
      4.20    0.3243    0.0497
      4.30    0.3532    0.0501
      4.40    0.3872    0.0506
      4.50    0.3676    0.0506
      4.60    0.3773    0.0509
      4.70    0.3947    0.0512
      4.80    0.4181    0.0514
      4.90    0.4473    0.0516
      5.00    0.4818    0.0518
      5.10    0.4514    0.0522
      5.20    0.4678    0.0523
      5.30    0.4914    0.0522
      5.40    0.5196    0.0521
      5.50    0.5510    0.0519
      5.60    0.5275    0.0528
      5.70    0.5401    0.0528
      5.80    0.5616    0.0526
      5.90    0.5889    0.0521
      6.00    0.6204    0.0514
      6.10    0.6530    0.0506
      6.30    0.6340    0.0520
      6.40    0.6592    0.0513
      6.50    0.6864    0.0505
      6.60    0.7159    0.0495
      6.70    0.7454    0.0484
      6.90    0.7251    0.0502
      7.00    0.7512    0.0491
      7.10    0.7794    0.0478
      7.20    0.8073    0.0464
      7.30    0.8360    0.0450
      7.50    0.8205    0.0467
      7.60    0.8454    0.0454
      7.70    0.8720    0.0438
      7.80    0.8995    0.0420
      7.90    0.9287    0.0400
      8.10    0.9193    0.0414
      8.20    0.9474    0.0393
      8.30    0.9816    0.0367
      8.40    1.0201    0.0339
      8.50    0.9946    0.0361
      8.60    1.0270    0.0338
      8.70    1.0465    0.0326
      8.80    1.0548    0.0322
      8.90    1.0724    0.0312
      9.00    1.0961    0.0300
      9.10    1.1090    0.0298
      9.20    1.1108    0.0302
      9.30    1.1186    0.0305
      9.40    1.1279    0.0307
      9.50    1.1285    0.0314
      9.60    1.1403    0.0317
      9.70    1.1400    0.0324
      9.80    1.1458    0.0329
      9.90    1.1535    0.0334
     10.00    1.1567    0.0339
     10.10    1.1679    0.0344
     10.20    1.1746    0.0349
     10.30    1.1779    0.0355
     10.40    1.1842    0.0360
     10.50    1.1987    0.0365
     10.60    1.2010    0.0371
     10.70    1.2063    0.0376
     10.80    1.2146    0.0381
     10.90    1.2361    0.0388
     11.00    1.2386    0.0394
     11.10    1.2437    0.0400
     11.20    1.2510    0.0405
     11.30    1.2617    0.0411
     11.40    1.2836    0.0420
     11.50    1.2835    0.0426
     11.60    1.2853    0.0433
     11.70    1.2888    0.0439
     11.80    1.2944    0.0444
     11.90    1.3067    0.0450
     12.00    1.3217    0.0461
     12.10    1.3219    0.0468
     12.20    1.3236    0.0476
     12.30    1.3264    0.0483
     12.40    1.3304    0.0490
     12.50    1.3358    0.0497
     12.60    1.3447    0.0503
     12.70    1.3686    0.0520
     12.80    1.3645    0.0527
