AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.19           Angle of attack for zero Cn for linear Cn curve (deg)
5.24860        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4703        Cn at stall value for positive angle of attack for linear Cn curve
-0.3208        Cn at stall value for negative angle of attack for linear Cn curve
8.70           Angle of attack for minimum CD (deg)
0.0249         Minimum CD value
   -180.00    0.0049    0.0060
   -179.00    0.0761    0.0065
   -178.00    0.1468    0.0078
   -177.00    0.2149    0.0101
   -176.00    0.2759    0.0132
   -175.00    0.3239    0.0173
   -174.00    0.3552    0.0222
   -173.00    0.3713    0.0281
   -172.00    0.3780    0.0348
   -171.00    0.3813    0.0423
   -170.00    0.3855    0.0507
   -169.00    0.3922    0.0600
   -168.00    0.4019    0.0700
   -167.00    0.4142    0.0809
   -166.00    0.4286    0.0926
   -165.00    0.4444    0.1050
   -164.00    0.4613    0.1182
   -163.00    0.4788    0.1322
   -162.00    0.4967    0.1469
   -161.00    0.5147    0.1623
   -160.00    0.5325    0.1783
   -159.00    0.5501    0.1951
   -158.00    0.5674    0.2125
   -157.00    0.5841    0.2305
   -156.00    0.6003    0.2491
   -155.00    0.6159    0.2683
   -154.00    0.6307    0.2880
   -153.00    0.6449    0.3083
   -152.00    0.6582    0.3291
   -151.00    0.6707    0.3503
   -150.00    0.6824    0.3720
   -149.00    0.6932    0.3942
   -148.00    0.7031    0.4167
   -147.00    0.7121    0.4396
   -146.00    0.7202    0.4628
   -145.00    0.7272    0.4863
   -144.00    0.7333    0.5101
   -143.00    0.7385    0.5342
   -142.00    0.7426    0.5585
   -141.00    0.7458    0.5829
   -140.00    0.7479    0.6076
   -139.00    0.7490    0.6323
   -138.00    0.7492    0.6572
   -137.00    0.7483    0.6822
   -136.00    0.7464    0.7071
   -135.00    0.7435    0.7321
   -134.00    0.7397    0.7571
   -133.00    0.7348    0.7820
   -132.00    0.7290    0.8069
   -131.00    0.7222    0.8316
   -130.00    0.7145    0.8562
   -129.00    0.7058    0.8807
   -128.00    0.6962    0.9049
   -127.00    0.6857    0.9289
   -126.00    0.6742    0.9527
   -125.00    0.6619    0.9761
   -124.00    0.6488    0.9993
   -123.00    0.6348    1.0221
   -122.00    0.6200    1.0446
   -121.00    0.6044    1.0666
   -120.00    0.5880    1.0883
   -119.00    0.5709    1.1095
   -118.00    0.5530    1.1302
   -117.00    0.5345    1.1505
   -116.00    0.5153    1.1702
   -115.00    0.4954    1.1894
   -114.00    0.4749    1.2080
   -113.00    0.4539    1.2260
   -112.00    0.4323    1.2434
   -111.00    0.4102    1.2602
   -110.00    0.3812    1.2764
   -109.00    0.3581    1.2919
   -108.00    0.3345    1.3067
   -107.00    0.3105    1.3208
   -106.00    0.2861    1.3342
   -105.00    0.2614    1.3468
   -104.00    0.2364    1.3587
   -103.00    0.2111    1.3698
   -102.00    0.1855    1.3802
   -101.00    0.1598    1.3898
   -100.00    0.1339    1.3985
    -99.00    0.1078    1.4065
    -98.00    0.0816    1.4137
    -97.00    0.0554    1.4200
    -96.00    0.0291    1.4255
    -95.00    0.0028    1.4301
    -94.00   -0.0235    1.4339
    -93.00   -0.0497    1.4369
    -92.00   -0.0758    1.4390
    -91.00   -0.1018    1.4402
    -90.00   -0.1277    1.4406
    -89.00   -0.1534    1.4401
    -88.00   -0.1789    1.4388
    -87.00   -0.2042    1.4366
    -86.00   -0.2292    1.4335
    -85.00   -0.2539    1.4296
    -84.00   -0.2782    1.4249
    -83.00   -0.3023    1.4193
    -82.00   -0.3259    1.4129
    -81.00   -0.3492    1.4056
    -80.00   -0.3720    1.3976
    -79.00   -0.3943    1.3887
    -78.00   -0.4162    1.3790
    -77.00   -0.4376    1.3686
    -76.00   -0.4585    1.3573
    -75.00   -0.4788    1.3453
    -74.00   -0.4986    1.3326
    -73.00   -0.5178    1.3191
    -72.00   -0.5364    1.3049
    -71.00   -0.5543    1.2900
    -70.00   -0.5716    1.2744
    -69.00   -0.5883    1.2581
    -68.00   -0.6043    1.2412
    -67.00   -0.6196    1.2237
    -66.00   -0.6342    1.2056
    -65.00   -0.6481    1.1869
    -64.00   -0.6613    1.1676
    -63.00   -0.6737    1.1478
    -62.00   -0.6854    1.1274
    -61.00   -0.6963    1.1066
    -60.00   -0.7065    1.0853
    -59.00   -0.7159    1.0635
    -58.00   -0.7245    1.0413
    -57.00   -0.7324    1.0188
    -56.00   -0.7394    0.9959
    -55.00   -0.7457    0.9726
    -54.00   -0.7512    0.9490
    -53.00   -0.7558    0.9251
    -52.00   -0.7597    0.9010
    -51.00   -0.7628    0.8767
    -50.00   -0.7650    0.8521
    -49.00   -0.7665    0.8274
    -48.00   -0.7672    0.8026
    -47.00   -0.7671    0.7776
    -46.00   -0.7662    0.7526
    -45.00   -0.7645    0.7275
    -44.00   -0.7620    0.7024
    -43.00   -0.7588    0.6774
    -42.00   -0.7548    0.6523
    -41.00   -0.7501    0.6274
    -40.00   -0.7446    0.6025
    -39.00   -0.7384    0.5778
    -38.00   -0.7314    0.5532
    -37.00   -0.7237    0.5289
    -36.00   -0.7154    0.5047
    -35.00   -0.7063    0.4808
    -34.00   -0.6965    0.4572
    -33.00   -0.6861    0.4340
    -32.00   -0.6751    0.4110
    -31.00   -0.6634    0.3885
    -30.00   -0.6510    0.3663
    -29.00   -0.6381    0.3446
    -28.00   -0.6246    0.3233
    -27.00   -0.6105    0.3025
    -26.00   -0.5958    0.2823
    -25.00   -0.5806    0.2625
    -24.00   -0.5648    0.2434
    -23.00   -0.5486    0.2248
    -22.00   -0.5318    0.2069
    -21.00   -0.5145    0.1896
    -20.00   -0.4968    0.1729
    -19.00   -0.4785    0.1570
    -18.00   -0.4599    0.1417
    -17.00   -0.4407    0.1272
    -16.00   -0.4211    0.1135
    -15.00   -0.4010    0.1005
    -14.00   -0.3805    0.0883
    -13.00   -0.3594    0.0769
    -12.00   -0.3379    0.0664
    -11.00   -0.3158    0.0567
    -10.00   -0.4862    0.1144
     -9.90   -0.4563    0.1211
     -9.80   -0.4607    0.1198
     -9.70   -0.4649    0.1183
     -9.60   -0.4703    0.1165
     -9.50   -0.8420    0.0636
     -9.40   -0.8554    0.0582
     -9.30   -0.8583    0.0563
     -9.20   -0.8602    0.0544
     -9.10   -0.8595    0.0526
     -9.00   -0.8564    0.0509
     -8.90   -0.8509    0.0495
     -8.80   -0.8434    0.0483
     -8.70   -0.8344    0.0472
     -8.60   -0.8251    0.0463
     -8.50   -0.8156    0.0455
     -8.40   -0.8062    0.0447
     -8.30   -0.7971    0.0438
     -8.20   -0.7879    0.0430
     -8.10   -0.7786    0.0422
     -8.00   -0.7693    0.0415
     -7.90   -0.7593    0.0408
     -7.80   -0.7495    0.0399
     -7.70   -0.7397    0.0392
     -7.60   -0.7298    0.0385
     -7.50   -0.7197    0.0379
     -7.40   -0.7092    0.0374
     -7.30   -0.6974    0.0372
     -7.20   -0.6855    0.0370
     -7.10   -0.6737    0.0367
     -7.00   -0.6622    0.0363
     -6.90   -0.6511    0.0358
     -6.80   -0.6405    0.0354
     -6.70   -0.6290    0.0349
     -6.60   -0.6166    0.0346
     -6.50   -0.6052    0.0344
     -6.40   -0.5946    0.0341
     -6.30   -0.5848    0.0338
     -6.20   -0.5759    0.0335
     -6.10   -0.5678    0.0332
     -6.00   -0.5589    0.0329
     -5.90   -0.5491    0.0327
     -5.80   -0.5383    0.0324
     -5.70   -0.5263    0.0322
     -5.60   -0.5133    0.0320
     -5.50   -0.5015    0.0318
     -5.40   -0.4903    0.0316
     -5.30   -0.4798    0.0314
     -5.20   -0.4701    0.0312
     -5.10   -0.4609    0.0310
     -5.00   -0.4505    0.0308
     -4.90   -0.4393    0.0307
     -4.80   -0.4274    0.0306
     -4.70   -0.4148    0.0305
     -4.60   -0.4029    0.0304
     -4.50   -0.3923    0.0303
     -4.40   -0.3830    0.0302
     -4.30   -0.3751    0.0301
     -4.20   -0.3685    0.0300
     -4.10   -0.3619    0.0299
     -4.00   -0.3545    0.0298
     -3.90   -0.3467    0.0298
     -3.80   -0.3383    0.0298
     -3.70   -0.3295    0.0300
     -3.60   -0.3201    0.0302
     -3.50   -0.3101    0.0304
     -3.40   -0.2991    0.0308
     -3.30   -0.2871    0.0312
     -3.20   -0.2765    0.0316
     -3.10   -0.2675    0.0319
     -3.00   -0.2597    0.0322
     -2.90   -0.2531    0.0325
     -2.80   -0.2477    0.0326
     -2.70   -0.2406    0.0329
     -2.60   -0.2321    0.0331
     -2.50   -0.2227    0.0334
     -2.40   -0.2121    0.0337
     -2.30   -0.1998    0.0341
     -2.20   -0.1876    0.0344
     -2.10   -0.1778    0.0347
     -2.00   -0.1690    0.0349
     -1.90   -0.1616    0.0351
     -1.80   -0.1558    0.0352
     -1.70   -0.1498    0.0353
     -1.60   -0.1415    0.0355
     -1.50   -0.1322    0.0357
     -1.40   -0.1218    0.0359
     -1.30   -0.1105    0.0362
     -1.20   -0.0976    0.0365
     -1.10   -0.0855    0.0368
     -1.00   -0.0761    0.0370
     -0.90   -0.0687    0.0372
     -0.80   -0.0635    0.0373
     -0.70   -0.0608    0.0374
     -0.60   -0.0577    0.0376
     -0.50   -0.0523    0.0377
     -0.40   -0.0452    0.0378
     -0.30   -0.0363    0.0380
     -0.20   -0.0253    0.0382
     -0.10   -0.0117    0.0384
      0.00    0.0045    0.0386
      0.10    0.0152    0.0388
      0.20    0.0237    0.0390
      0.30    0.0302    0.0391
      0.40    0.0345    0.0391
      0.50    0.0370    0.0391
      0.60    0.0463    0.0392
      0.70    0.0587    0.0394
      0.80    0.0735    0.0395
      0.90    0.0901    0.0397
      1.00    0.1031    0.0399
      1.10    0.1118    0.0400
      1.20    0.1177    0.0402
      1.30    0.1217    0.0403
      1.40    0.1239    0.0405
      1.50    0.1295    0.0406
      1.60    0.1390    0.0407
      1.70    0.1511    0.0408
      1.80    0.1658    0.0409
      1.90    0.1831    0.0411
      2.00    0.1968    0.0412
      2.10    0.2065    0.0413
      2.20    0.2148    0.0414
      2.30    0.2217    0.0415
      2.40    0.2271    0.0416
      2.50    0.2373    0.0416
      2.60    0.2526    0.0417
      2.70    0.2696    0.0418
      2.80    0.2879    0.0419
      2.90    0.3008    0.0421
      3.00    0.3079    0.0423
      3.10    0.3135    0.0425
      3.20    0.3183    0.0427
      3.30    0.3229    0.0428
      3.40    0.3341    0.0429
      3.50    0.3520    0.0428
      3.60    0.3724    0.0427
      3.70    0.3946    0.0427
      3.80    0.4055    0.0427
      3.90    0.4150    0.0428
      4.00    0.4232    0.0430
      4.10    0.4303    0.0431
      4.20    0.4373    0.0432
      4.30    0.4571    0.0431
      4.40    0.4806    0.0429
      4.50    0.5065    0.0426
      4.60    0.5269    0.0424
      4.70    0.5411    0.0424
      4.80    0.5544    0.0424
      4.90    0.5663    0.0424
      5.00    0.5780    0.0424
      5.10    0.5970    0.0420
      5.20    0.6232    0.0414
      5.30    0.6503    0.0407
      5.40    0.6738    0.0401
      5.50    0.6932    0.0396
      5.60    0.7083    0.0394
      5.70    0.7191    0.0393
      5.80    0.7293    0.0392
      5.90    0.7432    0.0389
      6.00    0.7609    0.0383
      6.10    0.7823    0.0375
      6.20    0.8076    0.0365
      6.30    0.8290    0.0356
      6.40    0.8464    0.0350
      6.50    0.8598    0.0346
      6.60    0.8691    0.0344
      6.70    0.8780    0.0343
      6.80    0.8911    0.0338
      6.90    0.9089    0.0330
      7.00    0.9326    0.0318
      7.10    0.9455    0.0313
      7.20    0.9585    0.0307
      7.30    0.9720    0.0301
      7.40    0.9864    0.0294
      7.50    0.9929    0.0293
      7.60    1.0093    0.0284
      7.70    1.0263    0.0276
      7.80    1.0399    0.0271
      7.90    1.0476    0.0269
      8.00    1.0610    0.0264
      8.10    1.0744    0.0259
      8.20    1.0849    0.0256
      8.30    1.0952    0.0254
      8.40    1.1058    0.0251
      8.50    1.1119    0.0252
      8.60    1.1180    0.0253
      8.70    1.1221    0.0256
      8.80    1.1240    0.0260
      8.90    1.1252    0.0266
      9.00    1.1264    0.0271
      9.10    1.1279    0.0277
      9.20    1.1295    0.0283
      9.30    1.1317    0.0288
      9.40    1.1345    0.0294
      9.50    1.1377    0.0299
      9.60    1.1411    0.0305
      9.70    1.1454    0.0310
      9.80    1.1499    0.0316
      9.90    1.1543    0.0321
     10.00    1.1593    0.0326
     10.10    1.1656    0.0331
     10.20    1.1714    0.0336
     10.30    1.1774    0.0340
     10.40    1.1836    0.0345
     10.50    1.1904    0.0350
     10.60    1.1976    0.0355
     10.70    1.2047    0.0360
     10.80    1.2117    0.0365
     10.90    1.2187    0.0370
     11.00    1.2251    0.0375
     11.10    1.2327    0.0380
     11.20    1.2396    0.0386
     11.30    1.2461    0.0391
     11.40    1.2523    0.0397
     11.50    1.2583    0.0403
     11.60    1.2615    0.0408
     11.70    1.2664    0.0413
     11.80    1.2726    0.0419
     11.90    1.2802    0.0425
     12.00    1.2872    0.0431
     12.10    1.2936    0.0437
     12.20    1.2989    0.0444
     12.30    1.3030    0.0450
     12.40    1.3061    0.0455
     12.50    1.3107    0.0461
     12.60    1.3173    0.0468
     12.70    1.3233    0.0474
     12.80    1.3289    0.0481
     12.90    1.3339    0.0489
     13.00    1.3376    0.0497
     13.10    1.3392    0.0504
     13.20    1.3415    0.0511
     13.30    1.3443    0.0518
     13.40    1.3477    0.0525
     13.50    1.3521    0.0532
     13.60    1.3598    0.0541
     13.70    1.3664    0.0550
     13.80    1.3717    0.0560
     13.90    1.3756    0.0571
     14.00    1.3775    0.0582
     14.10    1.3751    0.0591
     14.20    1.3728    0.0602
     14.30    1.3704    0.0613
     14.40    1.3681    0.0624
     14.50    1.3657    0.0635
     14.60    1.3633    0.0647
     14.70    1.3607    0.0659
     14.80    1.3580    0.0672
     14.90    1.3552    0.0684
     15.00    1.3525    0.0696
     15.10    1.3501    0.0708
     15.20    1.3486    0.0719
     15.30    1.3486    0.0729
     15.40    1.3502    0.0739
     15.50    1.3512    0.0752
     15.60    1.3503    0.0766
     15.70    1.3470    0.0784
     15.80    1.3407    0.0803
     15.90    1.3313    0.0823
     16.00    1.3207    0.0844
     16.10    1.3099    0.0864
     16.20    1.2988    0.0884
     16.30    1.2871    0.0906
     16.40    1.2749    0.0930
     16.50    1.2619    0.0956
     16.60    1.2482    0.0984
     16.70    1.2335    0.1015
     16.80    1.2179    0.1049
     16.90    1.2010    0.1086
     17.00    1.1828    0.1127
     17.10    1.1276    0.1275
     17.20    1.0723    0.1445
     17.30    1.0172    0.1636
     17.40    0.9640    0.1820
     17.50    0.9115    0.1995
     17.60    0.8977    0.2058
     17.70    0.8876    0.2094
     17.80    0.8818    0.2102
     17.90    0.8789    0.2110
     18.00    0.8808    0.2121
     18.10    0.8856    0.2133
     18.20    0.8921    0.2146
     18.30    0.9002    0.2161
     18.40    0.9105    0.2183
     18.50    0.9199    0.2211
     18.60    0.9272    0.2240
     18.70    0.9318    0.2269
     18.80    0.9331    0.2296
     18.90    0.9289    0.2314
     19.00    0.9218    0.2323
     19.10    0.9151    0.2331
     19.20    0.9093    0.2338
     19.30    0.9050    0.2346
     19.40    0.9033    0.2357
     19.50    0.9008    0.2342
     19.60    0.9021    0.2357
     19.70    0.9044    0.2372
     19.80    0.9073    0.2387
     19.90    0.9106    0.2402
     20.00    0.9145    0.2416
     21.00    0.8368    0.1502
     22.00    0.7993    0.1740
     23.00    0.7696    0.1980
     24.00    0.7471    0.2220
     25.00    0.7307    0.2461
     26.00    0.7193    0.2704
     27.00    0.7121    0.2947
     28.00    0.7081    0.3192
     29.00    0.7066    0.3439
     30.00    0.7071    0.3689
     31.00    0.7091    0.3940
     32.00    0.7122    0.4194
     33.00    0.7160    0.4451
     34.00    0.7204    0.4710
     35.00    0.7250    0.4971
     36.00    0.7298    0.5235
     37.00    0.7346    0.5501
     38.00    0.7392    0.5768
     39.00    0.7436    0.6037
     40.00    0.7476    0.6308
     41.00    0.7512    0.6580
     42.00    0.7544    0.6854
     43.00    0.7571    0.7127
     44.00    0.7592    0.7402
     45.00    0.7607    0.7676
     46.00    0.7616    0.7951
     47.00    0.7619    0.8224
     48.00    0.7614    0.8498
     49.00    0.7603    0.8770
     50.00    0.7585    0.9041
     51.00    0.7559    0.9310
     52.00    0.7526    0.9577
     53.00    0.7486    0.9842
     54.00    0.7438    1.0104
     55.00    0.7382    1.0363
     56.00    0.7319    1.0620
     57.00    0.7248    1.0872
     58.00    0.7170    1.1121
     59.00    0.7083    1.1366
     60.00    0.6990    1.1606
     61.00    0.6888    1.1841
     62.00    0.6779    1.2072
     63.00    0.6663    1.2297
     64.00    0.6539    1.2516
     65.00    0.6408    1.2730
     66.00    0.6270    1.2938
     67.00    0.6124    1.3139
     68.00    0.5972    1.3333
     69.00    0.5813    1.3521
     70.00    0.5647    1.3702
     71.00    0.5474    1.3875
     72.00    0.5295    1.4041
     73.00    0.5110    1.4199
     74.00    0.4919    1.4349
     75.00    0.4722    1.4491
     76.00    0.4519    1.4625
     77.00    0.4311    1.4750
     78.00    0.4097    1.4867
     79.00    0.3878    1.4975
