AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M (2)" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.19           Angle of attack for zero Cn for linear Cn curve (deg)
5.24860        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4703        Cn at stall value for positive angle of attack for linear Cn curve
-0.2831        Cn at stall value for negative angle of attack for linear Cn curve
8.70           Angle of attack for minimum CD (deg)
0.0249         Minimum CD value
   -180.00    0.0049    0.0060
   -179.00    0.0761    0.0065
   -178.00    0.1468    0.0078
   -177.00    0.2149    0.0101
   -176.00    0.2759    0.0132
   -175.00    0.3239    0.0173
   -174.00    0.3552    0.0222
   -173.00    0.3713    0.0281
   -172.00    0.3780    0.0348
   -171.00    0.3813    0.0423
   -170.00    0.3855    0.0507
   -169.00    0.3922    0.0600
   -168.00    0.4019    0.0700
   -167.00    0.4142    0.0809
   -166.00    0.4286    0.0926
   -165.00    0.4444    0.1050
   -164.00    0.4613    0.1182
   -163.00    0.4788    0.1322
   -162.00    0.4967    0.1469
   -161.00    0.5147    0.1623
   -160.00    0.5325    0.1784
   -159.00    0.5501    0.1951
   -158.00    0.5674    0.2125
   -157.00    0.5841    0.2305
   -156.00    0.6003    0.2491
   -155.00    0.6159    0.2683
   -154.00    0.6307    0.2881
   -153.00    0.6449    0.3084
   -152.00    0.6582    0.3291
   -151.00    0.6707    0.3504
   -150.00    0.6824    0.3721
   -149.00    0.6932    0.3942
   -148.00    0.7031    0.4168
   -147.00    0.7121    0.4396
   -146.00    0.7202    0.4629
   -145.00    0.7272    0.4864
   -144.00    0.7333    0.5102
   -143.00    0.7385    0.5343
   -142.00    0.7426    0.5586
   -141.00    0.7458    0.5831
   -140.00    0.7479    0.6077
   -139.00    0.7490    0.6325
   -138.00    0.7492    0.6574
   -137.00    0.7483    0.6823
   -136.00    0.7464    0.7073
   -135.00    0.7435    0.7323
   -134.00    0.7397    0.7573
   -133.00    0.7348    0.7823
   -132.00    0.7290    0.8071
   -131.00    0.7222    0.8319
   -130.00    0.7145    0.8565
   -129.00    0.7058    0.8809
   -128.00    0.6962    0.9052
   -127.00    0.6857    0.9292
   -126.00    0.6742    0.9530
   -125.00    0.6619    0.9765
   -124.00    0.6488    0.9997
   -123.00    0.6348    1.0225
   -122.00    0.6200    1.0450
   -121.00    0.6044    1.0671
   -120.00    0.5880    1.0887
   -119.00    0.5709    1.1100
   -118.00    0.5530    1.1307
   -117.00    0.5345    1.1510
   -116.00    0.5153    1.1707
   -115.00    0.4954    1.1899
   -114.00    0.4749    1.2086
   -113.00    0.4539    1.2266
   -112.00    0.4323    1.2441
   -111.00    0.4102    1.2609
   -110.00    0.3868    1.2771
   -109.00    0.3637    1.2926
   -108.00    0.3403    1.3074
   -107.00    0.3163    1.3215
   -106.00    0.2921    1.3350
   -105.00    0.2675    1.3476
   -104.00    0.2426    1.3596
   -103.00    0.2174    1.3707
   -102.00    0.1920    1.3811
   -101.00    0.1663    1.3907
   -100.00    0.1405    1.3996
    -99.00    0.1146    1.4076
    -98.00    0.0886    1.4147
    -97.00    0.0624    1.4211
    -96.00    0.0363    1.4266
    -95.00    0.0101    1.4313
    -94.00   -0.0160    1.4352
    -93.00   -0.0421    1.4382
    -92.00   -0.0681    1.4403
    -91.00   -0.0940    1.4416
    -90.00   -0.1197    1.4420
    -89.00   -0.1453    1.4416
    -88.00   -0.1706    1.4403
    -87.00   -0.1957    1.4382
    -86.00   -0.2205    1.4352
    -85.00   -0.2450    1.4313
    -84.00   -0.2692    1.4266
    -83.00   -0.2931    1.4211
    -82.00   -0.3166    1.4147
    -81.00   -0.3396    1.4075
    -80.00   -0.3623    1.3995
    -79.00   -0.3844    1.3907
    -78.00   -0.4061    1.3811
    -77.00   -0.4273    1.3707
    -76.00   -0.4480    1.3595
    -75.00   -0.4681    1.3476
    -74.00   -0.4876    1.3349
    -73.00   -0.5066    1.3215
    -72.00   -0.5249    1.3074
    -71.00   -0.5426    1.2925
    -70.00   -0.5597    1.2770
    -69.00   -0.5761    1.2608
    -68.00   -0.5919    1.2440
    -67.00   -0.6069    1.2266
    -66.00   -0.6212    1.2085
    -65.00   -0.6348    1.1899
    -64.00   -0.6477    1.1706
    -63.00   -0.6598    1.1509
    -62.00   -0.6712    1.1306
    -61.00   -0.6818    1.1099
    -60.00   -0.6917    1.0887
    -59.00   -0.7007    1.0670
    -58.00   -0.7090    1.0449
    -57.00   -0.7165    1.0224
    -56.00   -0.7231    0.9996
    -55.00   -0.7290    0.9764
    -54.00   -0.7340    0.9529
    -53.00   -0.7383    0.9291
    -52.00   -0.7417    0.9051
    -51.00   -0.7443    0.8808
    -50.00   -0.7461    0.8564
    -49.00   -0.7471    0.8318
    -48.00   -0.7473    0.8070
    -47.00   -0.7467    0.7821
    -46.00   -0.7453    0.7572
    -45.00   -0.7430    0.7322
    -44.00   -0.7400    0.7072
    -43.00   -0.7362    0.6822
    -42.00   -0.7316    0.6572
    -41.00   -0.7262    0.6323
    -40.00   -0.7201    0.6075
    -39.00   -0.7132    0.5829
    -38.00   -0.7056    0.5584
    -37.00   -0.6972    0.5341
    -36.00   -0.6881    0.5100
    -35.00   -0.6782    0.4862
    -34.00   -0.6677    0.4626
    -33.00   -0.6565    0.4394
    -32.00   -0.6446    0.4165
    -31.00   -0.6321    0.3939
    -30.00   -0.6189    0.3718
    -29.00   -0.6051    0.3501
    -28.00   -0.5907    0.3288
    -27.00   -0.5757    0.3080
    -26.00   -0.5601    0.2877
    -25.00   -0.5440    0.2679
    -24.00   -0.5274    0.2487
    -23.00   -0.5102    0.2301
    -22.00   -0.4926    0.2120
    -21.00   -0.4745    0.1946
    -20.00   -0.4560    0.1778
    -19.00   -0.4372    0.1617
    -18.00   -0.4179    0.1463
    -17.00   -0.3983    0.1315
    -16.00   -0.3785    0.1175
    -15.00   -0.3584    0.1043
    -14.00   -0.3381    0.0918
    -13.00   -0.3177    0.0801
    -12.00   -0.2973    0.0692
    -11.00   -0.2769    0.0591
    -10.00   -0.4862    0.1144
     -9.90   -0.4563    0.1211
     -9.80   -0.4607    0.1198
     -9.70   -0.4649    0.1183
     -9.60   -0.4703    0.1165
     -9.50   -0.8420    0.0636
     -9.40   -0.8475    0.0619
     -9.30   -0.8523    0.0601
     -9.20   -0.8563    0.0583
     -9.10   -0.8594    0.0563
     -9.00   -0.8615    0.0543
     -8.90   -0.8622    0.0524
     -8.80   -0.8614    0.0507
     -8.70   -0.8529    0.0492
     -8.60   -0.8438    0.0480
     -8.50   -0.8341    0.0471
     -8.40   -0.8248    0.0463
     -8.30   -0.8162    0.0454
     -8.20   -0.8067    0.0447
     -8.10   -0.7960    0.0439
     -8.00   -0.7875    0.0430
     -7.90   -0.7791    0.0422
     -7.80   -0.7702    0.0414
     -7.70   -0.7604    0.0407
     -7.60   -0.7495    0.0402
     -7.50   -0.7374    0.0394
     -7.40   -0.7302    0.0380
     -7.30   -0.7212    0.0375
     -7.20   -0.7109    0.0373
     -7.10   -0.6989    0.0372
     -7.00   -0.6850    0.0370
     -6.90   -0.6708    0.0369
     -6.80   -0.6618    0.0367
     -6.70   -0.6521    0.0356
     -6.60   -0.6413    0.0351
     -6.50   -0.6296    0.0348
     -6.40   -0.6175    0.0346
     -6.30   -0.6043    0.0343
     -6.20   -0.5905    0.0342
     -6.10   -0.5841    0.0341
     -6.00   -0.5767    0.0332
     -5.90   -0.5686    0.0330
     -5.80   -0.5597    0.0329
     -5.70   -0.5501    0.0327
     -5.60   -0.5393    0.0326
     -5.50   -0.5276    0.0321
     -5.40   -0.5147    0.0319
     -5.30   -0.4996    0.0318
     -5.20   -0.4855    0.0318
     -5.10   -0.4799    0.0316
     -5.00   -0.4718    0.0311
     -4.90   -0.4621    0.0309
     -4.80   -0.4511    0.0308
     -4.70   -0.4394    0.0307
     -4.60   -0.4283    0.0305
     -4.50   -0.4158    0.0305
     -4.40   -0.4025    0.0304
     -4.30   -0.3879    0.0304
     -4.20   -0.3798    0.0303
     -4.10   -0.3757    0.0301
     -4.00   -0.3693    0.0300
     -3.90   -0.3626    0.0298
     -3.80   -0.3550    0.0297
     -3.70   -0.3468    0.0297
     -3.60   -0.3389    0.0298
     -3.50   -0.3302    0.0299
     -3.40   -0.3205    0.0301
     -3.30   -0.3111    0.0304
     -3.20   -0.3000    0.0307
     -3.10   -0.2888    0.0311
     -3.00   -0.2750    0.0316
     -2.90   -0.2606    0.0322
     -2.80   -0.2581    0.0323
     -2.70   -0.2551    0.0324
     -2.60   -0.2495    0.0326
     -2.50   -0.2423    0.0328
     -2.40   -0.2333    0.0331
     -2.30   -0.2226    0.0334
     -2.20   -0.2129    0.0337
     -2.10   -0.2026    0.0340
     -2.00   -0.1892    0.0344
     -1.90   -0.1715    0.0349
     -1.80   -0.1620    0.0351
     -1.70   -0.1635    0.0350
     -1.60   -0.1590    0.0351
     -1.50   -0.1518    0.0353
     -1.40   -0.1426    0.0355
     -1.30   -0.1319    0.0357
     -1.20   -0.1223    0.0359
     -1.10   -0.1122    0.0361
     -1.00   -0.1002    0.0364
     -0.90   -0.0857    0.0368
     -0.80   -0.0675    0.0372
     -0.70   -0.0620    0.0373
     -0.60   -0.0651    0.0373
     -0.50   -0.0634    0.0374
     -0.40   -0.0596    0.0375
     -0.30   -0.0541    0.0377
     -0.20   -0.0465    0.0379
     -0.10   -0.0377    0.0380
      0.00   -0.0281    0.0381
      0.10   -0.0153    0.0383
      0.20    0.0010    0.0386
      0.30    0.0214    0.0389
      0.40    0.0435    0.0393
      0.50    0.0254    0.0390
      0.60    0.0274    0.0390
      0.70    0.0334    0.0391
      0.80    0.0429    0.0392
      0.90    0.0558    0.0393
      1.00    0.0718    0.0395
      1.10    0.0897    0.0397
      1.20    0.1071    0.0398
      1.30    0.1262    0.0401
      1.50    0.1152    0.0403
      1.60    0.1195    0.0404
      1.70    0.1270    0.0406
      1.80    0.1373    0.0408
      1.90    0.1486    0.0408
      2.00    0.1627    0.0409
      2.10    0.1800    0.0410
      2.20    0.2005    0.0412
      2.30    0.2236    0.0414
      2.50    0.2109    0.0415
      2.60    0.2217    0.0416
      2.70    0.2350    0.0416
      2.80    0.2508    0.0417
      2.90    0.2683    0.0417
      3.00    0.2871    0.0419
      3.20    0.3265    0.0422
      3.40    0.3038    0.0428
      3.50    0.3153    0.0429
      3.60    0.3308    0.0429
      3.70    0.3496    0.0429
      3.80    0.3708    0.0428
      3.90    0.3935    0.0426
      4.00    0.4175    0.0425
      4.10    0.4414    0.0425
      4.20    0.4045    0.0433
      4.30    0.4181    0.0433
      4.40    0.4343    0.0433
      4.50    0.4534    0.0432
      4.60    0.4761    0.0430
      4.70    0.5037    0.0427
      4.80    0.5353    0.0423
      4.90    0.5638    0.0417
      5.10    0.5473    0.0430
      5.20    0.5701    0.0427
      5.30    0.5949    0.0422
      5.40    0.6220    0.0415
      5.50    0.6506    0.0407
      5.60    0.6785    0.0399
      5.70    0.7057    0.0391
      6.10    0.7324    0.0395
      6.20    0.7567    0.0386
      6.30    0.7820    0.0376
      6.40    0.8076    0.0365
      6.50    0.8330    0.0354
      6.60    0.8585    0.0343
      7.00    0.8797    0.0346
      7.10    0.9032    0.0334
      7.20    0.9291    0.0320
      7.30    0.9582    0.0304
      7.40    0.9927    0.0285
      7.50    0.9444    0.0320
      7.60    0.9679    0.0306
      7.70    0.9969    0.0289
      7.80    1.0303    0.0271
      7.90    1.0251    0.0277
      8.00    1.0264    0.0279
      8.10    1.0530    0.0265
      8.20    1.0648    0.0261
      8.30    1.0688    0.0262
      8.40    1.0921    0.0252
      8.50    1.0934    0.0254
      8.60    1.1052    0.0251
      8.70    1.1165    0.0249
      8.80    1.1217    0.0250
      8.90    1.1228    0.0255
      9.00    1.1240    0.0260
      9.10    1.1256    0.0265
      9.20    1.1257    0.0271
      9.30    1.1278    0.0277
      9.40    1.1287    0.0283
      9.50    1.1316    0.0288
      9.60    1.1337    0.0294
      9.70    1.1368    0.0300
      9.80    1.1415    0.0305
      9.90    1.1448    0.0310
     10.00    1.1485    0.0316
     10.10    1.1555    0.0321
     10.20    1.1593    0.0326
     10.30    1.1636    0.0331
     10.40    1.1694    0.0336
     10.50    1.1801    0.0340
     10.60    1.1844    0.0345
     10.70    1.1895    0.0350
     10.80    1.1948    0.0355
     10.90    1.2030    0.0360
     11.00    1.2161    0.0365
     11.10    1.2199    0.0370
     11.20    1.2247    0.0375
     11.30    1.2297    0.0380
     11.40    1.2349    0.0385
     11.50    1.2541    0.0392
     11.60    1.2548    0.0397
     11.70    1.2571    0.0403
     11.80    1.2605    0.0408
     11.90    1.2649    0.0413
     12.00    1.2704    0.0418
     12.10    1.2789    0.0424
     12.30    1.2981    0.0438
     12.40    1.2999    0.0444
     12.50    1.3024    0.0450
     12.60    1.3054    0.0456
     12.70    1.3090    0.0461
     12.80    1.3137    0.0466
     12.90    1.3228    0.0473
     13.00    1.3355    0.0483
     13.10    1.3356    0.0489
     13.20    1.3369    0.0496
     13.30    1.3388    0.0504
     13.40    1.3411    0.0511
     13.50    1.3437    0.0518
     13.60    1.3469    0.0525
     13.70    1.3509    0.0532
     13.80    1.3558    0.0538
     13.90    1.3630    0.0545
     14.00    1.3825    0.0564
     14.10    1.3799    0.0572
     14.20    1.3774    0.0581
     14.30    1.3750    0.0591
     14.40    1.3728    0.0601
     14.50    1.3705    0.0612
     14.60    1.3681    0.0624
     14.70    1.3657    0.0635
     14.80    1.3633    0.0647
     14.90    1.3611    0.0659
     15.00    1.3583    0.0671
     15.10    1.3551    0.0684
     15.20    1.3521    0.0697
     15.30    1.3495    0.0709
     15.40    1.3474    0.0720
     15.50    1.3464    0.0731
     15.60    1.3474    0.0740
     15.70    1.3524    0.0747
     15.80    1.3575    0.0759
     15.90    1.3523    0.0782
     16.10    1.3312    0.0826
     16.20    1.3209    0.0843
     16.30    1.3104    0.0862
     16.40    1.2993    0.0883
     16.50    1.2877    0.0905
     16.60    1.2756    0.0928
     16.70    1.2626    0.0954
     16.80    1.2492    0.0982
     16.90    1.2345    0.1012
     17.00    1.2191    0.1045
     17.10    1.2023    0.1082
     17.20    1.1844    0.1122
     17.30    1.1648    0.1167
     17.40    1.1435    0.1219
     17.50    0.9431    0.1784
     17.70    0.9087    0.2079
     17.80    0.8990    0.2089
     17.90    0.8810    0.2091
     18.00    0.8739    0.2099
     18.10    0.8753    0.2110
     18.20    0.8796    0.2120
     18.30    0.8847    0.2131
     18.40    0.8904    0.2144
     18.50    0.8979    0.2158
     18.60    0.9080    0.2175
     18.70    0.9200    0.2195
     18.80    0.9364    0.2243
     18.90    0.9372    0.2284
     19.00    0.9344    0.2303
     19.10    0.9310    0.2319
     19.20    0.9263    0.2331
     19.30    0.9158    0.2333
     19.40    0.9017    0.2328
     19.50    0.9008    0.2342
     19.60    0.9021    0.2357
     19.70    0.9044    0.2372
     19.80    0.9073    0.2387
     19.90    0.9106    0.2402
     20.00    0.9145    0.2416
     21.00    0.8792    0.1446
     22.00    0.8181    0.1714
     23.00    0.7717    0.1977
     24.00    0.7379    0.2234
     25.00    0.7145    0.2487
     26.00    0.6991    0.2736
     27.00    0.6898    0.2984
     28.00    0.6851    0.3232
     29.00    0.6838    0.3480
     30.00    0.6849    0.3729
     31.00    0.6879    0.3980
     32.00    0.6921    0.4233
     33.00    0.6971    0.4488
     34.00    0.7027    0.4745
     35.00    0.7085    0.5005
     36.00    0.7143    0.5267
     37.00    0.7202    0.5531
     38.00    0.7257    0.5797
     39.00    0.7310    0.6065
     40.00    0.7359    0.6334
     41.00    0.7403    0.6605
     42.00    0.7442    0.6877
     43.00    0.7476    0.7149
     44.00    0.7503    0.7422
     45.00    0.7524    0.7696
     46.00    0.7538    0.7969
     47.00    0.7545    0.8242
     48.00    0.7545    0.8514
     49.00    0.7538    0.8785
     50.00    0.7523    0.9055
     51.00    0.7501    0.9324
     52.00    0.7471    0.9590
     53.00    0.7434    0.9854
     54.00    0.7389    1.0116
     55.00    0.7336    1.0375
     56.00    0.7275    1.0630
     57.00    0.7206    1.0882
     58.00    0.7130    1.1131
     59.00    0.7046    1.1375
     60.00    0.6954    1.1615
     61.00    0.6854    1.1850
     62.00    0.6747    1.2080
     63.00    0.6632    1.2304
     64.00    0.6509    1.2524
     65.00    0.6380    1.2737
     66.00    0.6243    1.2944
     67.00    0.6098    1.3145
     68.00    0.5947    1.3339
     69.00    0.5789    1.3527
     70.00    0.5624    1.3707
     71.00    0.5452    1.3880
     72.00    0.5274    1.4046
     73.00    0.5090    1.4204
     74.00    0.4899    1.4354
     75.00    0.4703    1.4496
     76.00    0.4501    1.4629
     77.00    0.4293    1.4754
     78.00    0.4080    1.4871
     79.00    0.3862    1.4978
     80.00    0.3639    1.5077
     81.00    0.3412    1.5167
     82.00    0.3180    1.5248
     83.00    0.2945    1.5319
     84.00    0.2705    1.5381
     85.00    0.2462    1.5434
     86.00    0.2215    1.5477
     87.00    0.1966    1.5511
     88.00    0.1714    1.5535
     89.00    0.1459    1.5549
     90.00    0.1203    1.5554
     91.00    0.0944    1.5549
     92.00    0.0684    1.5535
