AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.125_M0.00_N9.0 360 M" on Foil "T1_Re0.125_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.80          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.83          Angle of attack for zero Cn for linear Cn curve (deg)
5.21577        Cn slope for zero lift for linear Cn curve (1/rad)
-0.8099        Cn at stall value for positive angle of attack for linear Cn curve
-0.6847        Cn at stall value for negative angle of attack for linear Cn curve
8.10           Angle of attack for minimum CD (deg)
0.0208         Minimum CD value
   -180.00   -0.0214    0.0060
   -179.00    0.0793    0.0065
   -178.00    0.1780    0.0078
   -177.00    0.2684    0.0101
   -176.00    0.3386    0.0132
   -175.00    0.3787    0.0173
   -174.00    0.3899    0.0222
   -173.00    0.3838    0.0281
   -172.00    0.3728    0.0348
   -171.00    0.3645    0.0423
   -170.00    0.3617    0.0507
   -169.00    0.3644    0.0600
   -168.00    0.3715    0.0700
   -167.00    0.3820    0.0809
   -166.00    0.3950    0.0926
   -165.00    0.4096    0.1050
   -164.00    0.4253    0.1182
   -163.00    0.4417    0.1322
   -162.00    0.4584    0.1469
   -161.00    0.4752    0.1623
   -160.00    0.4918    0.1784
   -159.00    0.5082    0.1951
   -158.00    0.5242    0.2125
   -157.00    0.5397    0.2305
   -156.00    0.5546    0.2491
   -155.00    0.5689    0.2683
   -154.00    0.5824    0.2881
   -153.00    0.5953    0.3084
   -152.00    0.6074    0.3291
   -151.00    0.6186    0.3504
   -150.00    0.6291    0.3721
   -149.00    0.6387    0.3942
   -148.00    0.6474    0.4167
   -147.00    0.6552    0.4396
   -146.00    0.6622    0.4629
   -145.00    0.6682    0.4864
   -144.00    0.6733    0.5102
   -143.00    0.6775    0.5343
   -142.00    0.6808    0.5586
   -141.00    0.6832    0.5830
   -140.00    0.6846    0.6077
   -139.00    0.6851    0.6325
   -138.00    0.6846    0.6573
   -137.00    0.6833    0.6823
   -136.00    0.6810    0.7073
   -135.00    0.6778    0.7323
   -134.00    0.6737    0.7573
   -133.00    0.6688    0.7822
   -132.00    0.6630    0.8071
   -131.00    0.6563    0.8318
   -130.00    0.6487    0.8564
   -129.00    0.6403    0.8809
   -128.00    0.6311    0.9051
   -127.00    0.6211    0.9292
   -126.00    0.6103    0.9529
   -125.00    0.5988    0.9764
   -124.00    0.5864    0.9996
   -123.00    0.5734    1.0224
   -122.00    0.5596    1.0449
   -121.00    0.5452    1.0670
   -120.00    0.5301    1.0886
   -119.00    0.5144    1.1098
   -118.00    0.4980    1.1306
   -117.00    0.4811    1.1509
   -116.00    0.4635    1.1706
   -115.00    0.4455    1.1898
   -114.00    0.4269    1.2084
   -113.00    0.4078    1.2265
   -112.00    0.3883    1.2439
   -111.00    0.3683    1.2607
   -110.00    0.3454    1.2769
   -109.00    0.3245    1.2924
   -108.00    0.3034    1.3072
   -107.00    0.2819    1.3213
   -106.00    0.2601    1.3348
   -105.00    0.2380    1.3474
   -104.00    0.2157    1.3593
   -103.00    0.1931    1.3705
   -102.00    0.1703    1.3809
   -101.00    0.1474    1.3905
   -100.00    0.1244    1.3993
    -99.00    0.1012    1.4073
    -98.00    0.0779    1.4145
    -97.00    0.0546    1.4208
    -96.00    0.0313    1.4263
    -95.00    0.0080    1.4310
    -94.00   -0.0153    1.4348
    -93.00   -0.0386    1.4378
    -92.00   -0.0618    1.4399
    -91.00   -0.0849    1.4412
    -90.00   -0.1078    1.4416
    -89.00   -0.1306    1.4412
    -88.00   -0.1533    1.4398
    -87.00   -0.1757    1.4377
    -86.00   -0.1979    1.4347
    -85.00   -0.2198    1.4308
    -84.00   -0.2415    1.4261
    -83.00   -0.2628    1.4205
