AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.125_M0.00_N9.0 360 M (2)" on Foil "T1_Re0.125_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.80          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.83          Angle of attack for zero Cn for linear Cn curve (deg)
5.21577        Cn slope for zero lift for linear Cn curve (1/rad)
-0.7242        Cn at stall value for positive angle of attack for linear Cn curve
-0.7331        Cn at stall value for negative angle of attack for linear Cn curve
8.10           Angle of attack for minimum CD (deg)
0.0208         Minimum CD value
   -180.00   -0.0214    0.0060
   -179.00    0.0793    0.0065
   -178.00    0.1780    0.0078
   -177.00    0.2684    0.0101
   -176.00    0.3386    0.0132
   -175.00    0.3787    0.0173
   -174.00    0.3899    0.0222
   -173.00    0.3838    0.0281
   -172.00    0.3728    0.0348
   -171.00    0.3645    0.0423
   -170.00    0.3617    0.0507
   -169.00    0.3644    0.0600
   -168.00    0.3715    0.0700
   -167.00    0.3820    0.0809
   -166.00    0.3950    0.0926
   -165.00    0.4096    0.1050
   -164.00    0.4253    0.1182
   -163.00    0.4417    0.1322
   -162.00    0.4584    0.1469
   -161.00    0.4752    0.1623
   -160.00    0.4918    0.1784
   -159.00    0.5082    0.1951
   -158.00    0.5242    0.2125
   -157.00    0.5397    0.2305
   -156.00    0.5546    0.2491
   -155.00    0.5689    0.2683
   -154.00    0.5824    0.2881
   -153.00    0.5953    0.3084
   -152.00    0.6074    0.3291
   -151.00    0.6186    0.3504
   -150.00    0.6291    0.3721
   -149.00    0.6387    0.3942
   -148.00    0.6474    0.4168
   -147.00    0.6552    0.4396
   -146.00    0.6622    0.4629
   -145.00    0.6682    0.4864
   -144.00    0.6733    0.5102
   -143.00    0.6775    0.5343
   -142.00    0.6808    0.5586
   -141.00    0.6832    0.5831
   -140.00    0.6846    0.6077
   -139.00    0.6851    0.6325
   -138.00    0.6846    0.6574
   -137.00    0.6833    0.6823
   -136.00    0.6810    0.7073
   -135.00    0.6778    0.7323
   -134.00    0.6737    0.7573
   -133.00    0.6688    0.7823
   -132.00    0.6630    0.8071
   -131.00    0.6563    0.8319
   -130.00    0.6487    0.8565
   -129.00    0.6403    0.8809
   -128.00    0.6311    0.9052
   -127.00    0.6211    0.9292
   -126.00    0.6103    0.9530
   -125.00    0.5988    0.9765
   -124.00    0.5864    0.9997
   -123.00    0.5734    1.0225
   -122.00    0.5596    1.0450
   -121.00    0.5452    1.0671
   -120.00    0.5301    1.0887
   -119.00    0.5144    1.1100
   -118.00    0.4980    1.1307
   -117.00    0.4811    1.1510
   -116.00    0.4635    1.1707
   -115.00    0.4455    1.1899
   -114.00    0.4269    1.2086
   -113.00    0.4078    1.2266
   -112.00    0.3883    1.2441
   -111.00    0.3683    1.2609
   -110.00    0.3472    1.2771
   -109.00    0.3265    1.2926
   -108.00    0.3054    1.3074
   -107.00    0.2839    1.3215
   -106.00    0.2621    1.3350
   -105.00    0.2401    1.3476
   -104.00    0.2178    1.3596
   -103.00    0.1953    1.3707
   -102.00    0.1727    1.3811
   -101.00    0.1498    1.3907
   -100.00    0.1268    1.3996
    -99.00    0.1037    1.4076
    -98.00    0.0805    1.4147
    -97.00    0.0573    1.4211
    -96.00    0.0340    1.4266
    -95.00    0.0108    1.4313
    -94.00   -0.0125    1.4352
    -93.00   -0.0356    1.4382
    -92.00   -0.0587    1.4403
    -91.00   -0.0817    1.4416
    -90.00   -0.1046    1.4420
    -89.00   -0.1273    1.4416
    -88.00   -0.1498    1.4403
    -87.00   -0.1721    1.4382
    -86.00   -0.1942    1.4352
    -85.00   -0.2160    1.4313
    -84.00   -0.2376    1.4266
    -83.00   -0.2588    1.4211
