AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
40.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
2.62           Angle of attack for zero Cn for linear Cn curve (deg)
7.41249        Cn slope for zero lift for linear Cn curve (1/rad)
-0.2046        Cn at stall value for positive angle of attack for linear Cn curve
-0.3525        Cn at stall value for negative angle of attack for linear Cn curve
-11.00         Angle of attack for minimum CD (deg)
0.0596         Minimum CD value
   -180.00    0.0702    0.0060
   -179.00    0.2846    0.0065
   -178.00    0.4990    0.0078
   -177.00    0.7105    0.0101
   -176.00    0.8941    0.0132
   -175.00    0.9910    0.0173
   -174.00    0.9612    0.0222
   -173.00    0.8477    0.0280
   -172.00    0.7264    0.0346
   -171.00    0.6354    0.0421
   -170.00    0.5784    0.0505
   -169.00    0.5476    0.0597
   -168.00    0.5347    0.0696
   -167.00    0.5337    0.0804
   -166.00    0.5405    0.0920
   -165.00    0.5524    0.1044
   -164.00    0.5677    0.1174
   -163.00    0.5851    0.1313
   -162.00    0.6039    0.1458
   -161.00    0.6235    0.1610
   -160.00    0.6435    0.1769
   -159.00    0.6636    0.1935
   -158.00    0.6836    0.2107
   -157.00    0.7032    0.2285
   -156.00    0.7225    0.2469
   -155.00    0.7411    0.2658
   -154.00    0.7591    0.2853
   -153.00    0.7763    0.3053
   -152.00    0.7928    0.3258
   -151.00    0.8084    0.3467
   -150.00    0.8230    0.3681
   -149.00    0.8367    0.3899
   -148.00    0.8494    0.4120
   -147.00    0.8611    0.4345
   -146.00    0.8717    0.4574
   -145.00    0.8812    0.4805
   -144.00    0.8895    0.5039
   -143.00    0.8968    0.5275
   -142.00    0.9028    0.5514
   -141.00    0.9076    0.5754
   -140.00    0.9113    0.5996
   -139.00    0.9137    0.6239
   -138.00    0.9150    0.6483
