AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.075_M0.00_N9.0 360 M" on Foil "T1_Re0.075_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-176.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-6.26          Angle of attack for zero Cn for linear Cn curve (deg)
-1.10943       Cn slope for zero lift for linear Cn curve (1/rad)
-0.0429        Cn at stall value for positive angle of attack for linear Cn curve
-0.2128        Cn at stall value for negative angle of attack for linear Cn curve
2.80           Angle of attack for minimum CD (deg)
0.0575         Minimum CD value
   -180.00   -0.1524    0.0060
   -179.00    0.6476    0.0065
   -178.00    1.4394    0.0078
   -177.00    2.0546    0.0101
   -176.00    2.0625    0.0132
   -175.00    1.5358    0.0173
   -174.00    1.0093    0.0222
   -173.00    0.6719    0.0280
   -172.00    0.4821    0.0346
   -171.00    0.3800    0.0421
   -170.00    0.3279    0.0505
   -169.00    0.3048    0.0597
   -168.00    0.2991    0.0696
   -167.00    0.3042    0.0804
   -166.00    0.3163    0.0920
   -165.00    0.3330    0.1044
   -164.00    0.3527    0.1174
   -163.00    0.3745    0.1313
   -162.00    0.3976    0.1458
   -161.00    0.4216    0.1610
   -160.00    0.4461    0.1769
   -159.00    0.4708    0.1935
   -158.00    0.4956    0.2107
   -157.00    0.5202    0.2285
   -156.00    0.5446    0.2469
   -155.00    0.5685    0.2658
   -154.00    0.5920    0.2853
   -153.00    0.6149    0.3053
   -152.00    0.6372    0.3258
   -151.00    0.6587    0.3467
   -150.00    0.6794    0.3681
   -149.00    0.6993    0.3899
   -148.00    0.7183    0.4120
   -147.00    0.7363    0.4345
   -146.00    0.7533    0.4574
   -145.00    0.7693    0.4805
   -144.00    0.7841    0.5039
   -143.00    0.7979    0.5275
   -142.00    0.8104    0.5514
   -141.00    0.8218    0.5754
   -140.00    0.8319    0.5996
   -139.00    0.8408    0.6239
   -138.00    0.8484    0.6483
   -137.00    0.8547    0.6727
   -136.00    0.8596    0.6972
   -135.00    0.8632    0.7217
   -134.00    0.8655    0.7461
   -133.00    0.8663    0.7705
   -132.00    0.8658    0.7948
   -131.00    0.8639    0.8190
   -130.00    0.8606    0.8431
   -129.00    0.8559    0.8670
   -128.00    0.8498    0.8907
   -127.00    0.8423    0.9141
   -126.00    0.8335    0.9373
   -125.00    0.8232    0.9602
   -124.00    0.8117    0.9829
   -123.00    0.7987    1.0051
   -122.00    0.7845    1.0270
   -121.00    0.7689    1.0486
   -120.00    0.7521    1.0697
   -119.00    0.7340    1.0904
   -118.00    0.7147    1.1106
   -117.00    0.6942    1.1303
   -116.00    0.6725    1.1495
   -115.00    0.6497    1.1682
   -114.00    0.6259    1.1863
   -113.00    0.6010    1.2039
   -112.00    0.5750    1.2209
   -111.00    0.5482    1.2372
   -110.00    0.5204    1.2530
   -109.00    0.4917    1.2681
   -108.00    0.4619    1.2825
   -107.00    0.4316    1.2962
   -106.00    0.4007    1.3092
   -105.00    0.3691    1.3216
   -104.00    0.3369    1.3332
   -103.00    0.3042    1.3440
   -102.00    0.2709    1.3541
   -101.00    0.2372    1.3634
   -100.00    0.2032    1.3720
    -99.00    0.1688    1.3798
    -98.00    0.1341    1.3867
    -97.00    0.0993    1.3929
    -96.00    0.0643    1.3983
    -95.00    0.0292    1.4028
    -94.00   -0.0059    1.4066
    -93.00   -0.0409    1.4095
    -92.00   -0.0759    1.4115
    -91.00   -0.1107    1.4128
    -90.00   -0.1453    1.4132
    -89.00   -0.1796    1.4128
    -88.00   -0.2137    1.4115
    -87.00   -0.2473    1.4095
    -86.00   -0.2805    1.4066
    -85.00   -0.3132    1.4028
    -84.00   -0.3454    1.3983
    -83.00   -0.3770    1.3929
    -82.00   -0.4080    1.3867
    -81.00   -0.4382    1.3798
    -80.00   -0.4678    1.3720
    -79.00   -0.4966    1.3634
    -78.00   -0.5245    1.3541
    -77.00   -0.5516    1.3440
    -76.00   -0.5778    1.3332
    -75.00   -0.6031    1.3216
    -74.00   -0.6274    1.3092
    -73.00   -0.6507    1.2962
    -72.00   -0.6730    1.2825
    -71.00   -0.6943    1.2681
    -70.00   -0.7144    1.2530
    -69.00   -0.7334    1.2372
    -68.00   -0.7513    1.2209
    -67.00   -0.7681    1.2039
    -66.00   -0.7837    1.1863
    -65.00   -0.7981    1.1682
    -64.00   -0.8113    1.1495
    -63.00   -0.8233    1.1303
    -62.00   -0.8341    1.1106
    -61.00   -0.8437    1.0904
    -60.00   -0.8520    1.0697
    -59.00   -0.8591    1.0486
    -58.00   -0.8650    1.0270
    -57.00   -0.8697    1.0051
    -56.00   -0.8731    0.9829
    -55.00   -0.8753    0.9602
    -54.00   -0.8763    0.9373
    -53.00   -0.8761    0.9141
    -52.00   -0.8748    0.8907
    -51.00   -0.8722    0.8670
    -50.00   -0.8685    0.8431
    -49.00   -0.8637    0.8190
    -48.00   -0.8577    0.7948
    -47.00   -0.8507    0.7705
    -46.00   -0.8425    0.7461
    -45.00   -0.8333    0.7217
    -44.00   -0.8231    0.6972
    -43.00   -0.8119    0.6727
    -42.00   -0.7996    0.6483
    -41.00   -0.7865    0.6239
    -40.00   -0.7724    0.5996
    -39.00   -0.7574    0.5754
    -38.00   -0.7416    0.5514
    -37.00   -0.7249    0.5275
    -36.00   -0.7075    0.5039
    -35.00   -0.6893    0.4805
    -34.00   -0.6704    0.4574
    -33.00   -0.6507    0.4345
    -32.00   -0.6305    0.4120
    -31.00   -0.6096    0.3899
    -30.00   -0.5881    0.3681
    -29.00   -0.5661    0.3467
    -28.00   -0.5436    0.3258
    -27.00   -0.5206    0.3053
