AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
41.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-10.35         Angle of attack for zero Cn for linear Cn curve (deg)
4.43603        Cn slope for zero lift for linear Cn curve (1/rad)
0.0608         Cn at stall value for positive angle of attack for linear Cn curve
-0.3004        Cn at stall value for negative angle of attack for linear Cn curve
1.90           Angle of attack for minimum CD (deg)
0.0447         Minimum CD value
   -180.00    0.0282    0.0060
   -179.00    0.1610    0.0065
   -178.00    0.2933    0.0078
   -177.00    0.4197    0.0101
   -176.00    0.5234    0.0132
   -175.00    0.5813    0.0173
   -174.00    0.5852    0.0222
   -173.00    0.5534    0.0280
   -172.00    0.5126    0.0346
   -171.00    0.4793    0.0421
   -170.00    0.4582    0.0505
   -169.00    0.4484    0.0597
   -168.00    0.4474    0.0696
   -167.00    0.4527    0.0804
   -166.00    0.4624    0.0920
   -165.00    0.4752    0.1044
   -164.00    0.4899    0.1174
   -163.00    0.5059    0.1313
   -162.00    0.5227    0.1458
   -161.00    0.5398    0.1610
   -160.00    0.5571    0.1769
   -159.00    0.5743    0.1935
   -158.00    0.5911    0.2107
   -157.00    0.6076    0.2285
   -156.00    0.6236    0.2469
   -155.00    0.6390    0.2658
   -154.00    0.6537    0.2853
   -153.00    0.6677    0.3053
   -152.00    0.6809    0.3258
   -151.00    0.6933    0.3467
   -150.00    0.7048    0.3681
   -149.00    0.7155    0.3899
   -148.00    0.7253    0.4120
   -147.00    0.7341    0.4345
   -146.00    0.7420    0.4574
   -145.00    0.7489    0.4805
   -144.00    0.7549    0.5039
   -143.00    0.7598    0.5275
   -142.00    0.7638    0.5514
   -141.00    0.7667    0.5754
   -140.00    0.7686    0.5996
   -139.00    0.7696    0.6239
   -138.00    0.7694    0.6483
   -137.00    0.7683    0.6727
   -136.00    0.7662    0.6972
   -135.00    0.7630    0.7217
   -134.00    0.7589    0.7461
   -133.00    0.7537    0.7705
   -132.00    0.7475    0.7948
   -131.00    0.7404    0.8190
   -130.00    0.7323    0.8431
   -129.00    0.7233    0.8670
   -128.00    0.7132    0.8907
   -127.00    0.7023    0.9141
   -126.00    0.6905    0.9373
   -125.00    0.6777    0.9602
   -124.00    0.6641    0.9829
   -123.00    0.6497    1.0051
   -122.00    0.6344    1.0270
   -121.00    0.6183    1.0486
   -120.00    0.6014    1.0697
   -119.00    0.5838    1.0904
   -118.00    0.5654    1.1106
   -117.00    0.5464    1.1303
   -116.00    0.5266    1.1495
   -115.00    0.5062    1.1682
   -114.00    0.4851    1.1863
   -113.00    0.4635    1.2039
   -112.00    0.4413    1.2209
   -111.00    0.4186    1.2372
   -110.00    0.3954    1.2530
   -109.00    0.3712    1.2681
   -108.00    0.3471    1.2825
   -107.00    0.3225    1.2962
   -106.00    0.2976    1.3092
   -105.00    0.2724    1.3216
   -104.00    0.2468    1.3331
   -103.00    0.2210    1.3440
   -102.00    0.1949    1.3541
   -101.00    0.1687    1.3634
   -100.00    0.1422    1.3720
    -99.00    0.1156    1.3798
    -98.00    0.0889    1.3867
    -97.00    0.0621    1.3929
    -96.00    0.0353    1.3983
    -95.00    0.0085    1.4028
    -94.00   -0.0183    1.4066
    -93.00   -0.0450    1.4095
    -92.00   -0.0717    1.4115
    -91.00   -0.0982    1.4128
    -90.00   -0.1246    1.4132
    -89.00   -0.1507    1.4128
    -88.00   -0.1767    1.4115
    -87.00   -0.2024    1.4095
    -86.00   -0.2279    1.4066
    -85.00   -0.2530    1.4028
    -84.00   -0.2778    1.3983
    -83.00   -0.3023    1.3929
    -82.00   -0.3264    1.3867
    -81.00   -0.3500    1.3798
    -80.00   -0.3732    1.3720
    -79.00   -0.3959    1.3634
    -78.00   -0.4182    1.3541
    -77.00   -0.4399    1.3440
    -76.00   -0.4611    1.3331
    -75.00   -0.4818    1.3216
    -74.00   -0.5018    1.3092
    -73.00   -0.5213    1.2962
    -72.00   -0.5401    1.2825
    -71.00   -0.5583    1.2681
    -70.00   -0.5758    1.2530
    -69.00   -0.5927    1.2372
    -68.00   -0.6089    1.2209
    -67.00   -0.6243    1.2039
    -66.00   -0.6391    1.1863
    -65.00   -0.6531    1.1682
    -64.00   -0.6663    1.1495
    -63.00   -0.6788    1.1303
    -62.00   -0.6906    1.1106
    -61.00   -0.7015    1.0903
    -60.00   -0.7117    1.0697
    -59.00   -0.7210    1.0486
    -58.00   -0.7296    1.0270
    -57.00   -0.7374    1.0051
    -56.00   -0.7443    0.9828
    -55.00   -0.7504    0.9602
    -54.00   -0.7557    0.9373
    -53.00   -0.7602    0.9141
    -52.00   -0.7638    0.8906
    -51.00   -0.7666    0.8670
    -50.00   -0.7686    0.8431
    -49.00   -0.7697    0.8190
    -48.00   -0.7701    0.7948
    -47.00   -0.7696    0.7705
    -46.00   -0.7683    0.7461
    -45.00   -0.7661    0.7216
    -44.00   -0.7632    0.6972
    -43.00   -0.7595    0.6727
    -42.00   -0.7549    0.6482
    -41.00   -0.7496    0.6238
    -40.00   -0.7435    0.5995
    -39.00   -0.7366    0.5754
    -38.00   -0.7290    0.5513
    -37.00   -0.7206    0.5275
    -36.00   -0.7115    0.5039
    -35.00   -0.7016    0.4805
    -34.00   -0.6910    0.4573
    -33.00   -0.6798    0.4345
    -32.00   -0.6678    0.4120
    -31.00   -0.6552    0.3898
    -30.00   -0.6419    0.3680
    -29.00   -0.6280    0.3467
    -28.00   -0.6134    0.3257
    -27.00   -0.5983    0.3052
    -26.00   -0.5826    0.2852
    -25.00   -0.5663    0.2658
    -24.00   -0.5495    0.2468
    -23.00   -0.5321    0.2284
    -22.00   -0.5143    0.2106
    -21.00   -0.4959    0.1934
    -20.00   -0.4772    0.1768
    -19.00   -0.4580    0.1609
    -18.00   -0.4384    0.1457
    -17.00   -0.4185    0.1311
    -16.00   -0.3983    0.1173
    -15.00   -0.3778    0.1042
    -14.00   -0.3571    0.0918
    -13.00   -0.3362    0.0802
    -12.00   -0.3153    0.0694
    -11.00   -0.2944    0.0594
    -10.00    0.0429    0.1110
     -9.90    0.0559    0.1093
     -9.80    0.0683    0.1078
     -9.70    0.0799    0.1063
     -9.60    0.0680    0.1067
     -9.50    0.0568    0.1071
     -9.40    0.0420    0.1066
     -9.30    0.0405    0.1062
     -9.20    0.0405    0.1056
     -9.10    0.0417    0.1049
     -9.00    0.0439    0.1042
     -8.90    0.0468    0.1034
     -8.80    0.0503    0.1025
     -8.70    0.0543    0.1017
     -8.60    0.0585    0.1007
     -8.50    0.0631    0.0998
     -8.40    0.0679    0.0988
     -8.30    0.0729    0.0977
     -8.20    0.0781    0.0967
     -8.10    0.0833    0.0956
     -8.00    0.0885    0.0945
     -7.90    0.0938    0.0934
     -7.80    0.0990    0.0923
     -7.70    0.1041    0.0912
     -7.60    0.1091    0.0901
     -7.50    0.1139    0.0891
     -7.40    0.1183    0.0881
     -7.30    0.1217    0.0872
     -7.20    0.1232    0.0866
     -7.10    0.1200    0.0866
     -7.00    0.1136    0.0868
     -6.90    0.1041    0.0872
     -6.80    0.0917    0.0877
     -6.70    0.0773    0.0881
     -6.60    0.0636    0.0882
     -6.50    0.0491    0.0884
     -6.40    0.0340    0.0885
     -6.30    0.0188    0.0887
     -6.20    0.0039    0.0890
     -6.10   -0.0100    0.0893
     -6.00   -0.0225    0.0896
     -5.90   -0.0329    0.0899
     -5.80   -0.0412    0.0901
     -5.70   -0.0474    0.0901
     -5.60   -0.0515    0.0899
     -5.50   -0.0538    0.0895
     -5.40   -0.0547    0.0889
     -5.30   -0.0544    0.0882
     -5.20   -0.0530    0.0874
     -5.10   -0.0507    0.0864
     -5.00   -0.0476    0.0854
     -4.90   -0.0438    0.0844
     -4.80   -0.0394    0.0832
     -4.70   -0.0380    0.0813
     -4.60   -0.0397    0.0784
     -4.50   -0.0406    0.0756
     -4.40   -0.0406    0.0727
     -4.30   -0.0400    0.0699
     -4.20   -0.0353    0.0679
     -4.10   -0.0266    0.0669
     -4.00   -0.0189    0.0661
     -3.90   -0.0192    0.0662
     -3.80   -0.0225    0.0664
     -3.70   -0.0290    0.0667
     -3.60   -0.0388    0.0673
     -3.50   -0.0510    0.0679
     -3.40   -0.0584    0.0679
     -3.30   -0.0659    0.0680
     -3.20   -0.0732    0.0681
     -3.10   -0.0799    0.0682
     -3.00   -0.0860    0.0683
     -2.90   -0.0915    0.0683
     -2.80   -0.0963    0.0683
     -2.70   -0.1006    0.0682
     -2.60   -0.1049    0.0655
     -2.50   -0.1085    0.0628
     -2.40   -0.1114    0.0600
     -2.30   -0.1136    0.0572
     -2.20   -0.1150    0.0544
     -2.10   -0.1152    0.0542
     -2.00   -0.1149    0.0540
     -1.90   -0.1141    0.0538
     -1.80   -0.1131    0.0536
     -1.70   -0.1117    0.0535
     -1.60   -0.1101    0.0533
     -1.50   -0.1082    0.0532
     -1.40   -0.1060    0.0531
     -1.30   -0.1037    0.0530
     -1.20   -0.1012    0.0528
     -1.10   -0.0986    0.0527
     -1.00   -0.0959    0.0526
     -0.90   -0.0931    0.0525
     -0.80   -0.0903    0.0525
     -0.70   -0.0874    0.0524
     -0.60   -0.0846    0.0521
     -0.50   -0.0819    0.0519
     -0.40   -0.0792    0.0516
     -0.30   -0.0767    0.0513
     -0.20   -0.0743    0.0510
     -0.10   -0.0719    0.0509
      0.00   -0.0693    0.0508
      0.10   -0.0664    0.0508
      0.20   -0.0627    0.0508
      0.30   -0.0579    0.0508
      0.40   -0.0515    0.0507
      0.50   -0.0437    0.0505
      0.60   -0.0342    0.0502
      0.70   -0.0231    0.0498
      0.80   -0.0106    0.0493
      0.90    0.0034    0.0487
      1.00    0.0194    0.0483
      1.10    0.0369    0.0478
      1.20    0.0559    0.0474
      1.30    0.0768    0.0469
      1.40    0.1174    0.0464
      1.50    0.1773    0.0459
      1.60    0.2361    0.0454
      1.70    0.2933    0.0451
      1.80    0.3485    0.0449
      1.90    0.3827    0.0450
      2.00    0.3898    0.0459
      2.10    0.3948    0.0468
      2.20    0.3975    0.0476
      2.30    0.3977    0.0483
      2.40    0.3953    0.0490
      2.50    0.3958    0.0489
      2.60    0.3942    0.0490
      2.70    0.3906    0.0493
      2.80    0.3861    0.0497
      2.90    0.3814    0.0502
      3.00    0.3777    0.0509
      3.10    0.3754    0.0516
      3.20    0.3748    0.0522
      3.30    0.3756    0.0528
      3.40    0.3774    0.0534
      3.50    0.3802    0.0539
      3.60    0.3838    0.0543
      3.70    0.3883    0.0548
      3.80    0.3936    0.0551
      3.90    0.3998    0.0555
      4.00    0.4068    0.0557
      4.10    0.4147    0.0559
      4.20    0.4236    0.0561
      4.30    0.4334    0.0562
      4.40    0.4437    0.0562
      4.50    0.4546    0.0562
      4.60    0.4660    0.0562
      4.70    0.4778    0.0561
      4.80    0.4901    0.0559
      4.90    0.5031    0.0557
      5.00    0.5166    0.0555
      5.10    0.5307    0.0553
      5.20    0.5453    0.0550
      5.30    0.5601    0.0547
      5.40    0.5749    0.0545
      5.50    0.5893    0.0543
      5.60    0.5970    0.0550
      5.70    0.6030    0.0558
      5.80    0.6073    0.0565
      5.90    0.6096    0.0572
      6.00    0.6102    0.0579
      6.10    0.6145    0.0578
      6.20    0.6166    0.0578
      6.30    0.6160    0.0580
      6.40    0.6140    0.0584
      6.50    0.6121    0.0588
      6.60    0.6112    0.0592
      6.70    0.6129    0.0595
      6.80    0.6179    0.0596
      6.90    0.6255    0.0595
      7.00    0.6348    0.0593
      7.10    0.6454    0.0590
      7.20    0.6571    0.0587
      7.30    0.6696    0.0583
      7.40    0.6828    0.0578
      7.50    0.6964    0.0572
      7.60    0.7104    0.0566
      7.70    0.7246    0.0560
      7.80    0.7390    0.0553
      7.90    0.7533    0.0546
      8.00    0.7673    0.0539
      8.10    0.7811    0.0533
      8.20    0.7866    0.0536
      8.30    0.7882    0.0544
      8.40    0.7861    0.0556
      8.50    0.7804    0.0573
      8.60    0.7703    0.0595
      8.70    0.7626    0.0614
      8.80    0.7527    0.0637
      8.90    0.7412    0.0662
      9.00    0.7288    0.0688
      9.10    0.7165    0.0715
      9.20    0.7051    0.0740
      9.30    0.6950    0.0764
      9.40    0.6860    0.0788
      9.50    0.6777    0.0811
      9.60    0.6700    0.0833
      9.70    0.6634    0.0855
      9.80    0.6580    0.0875
      9.90    0.6534    0.0893
     10.00    0.6495    0.0911
     10.10    0.6464    0.0928
     10.20    0.6441    0.0943
     10.30    0.6426    0.0958
     10.40    0.6417    0.0971
     10.50    0.6416    0.0984
     10.60    0.6421    0.0996
     10.70    0.6434    0.1007
     10.80    0.6455    0.1017
     10.90    0.6487    0.1025
     11.00    0.6529    0.1032
     11.10    0.6582    0.1038
     11.20    0.6645    0.1042
     11.30    0.6716    0.1045
     11.40    0.6797    0.1046
     11.50    0.6890    0.1045
     11.60    0.6997    0.1042
     11.70    0.7121    0.1036
     11.80    0.7256    0.1029
     11.90    0.7384    0.1024
     12.00    0.7378    0.1046
     12.10    0.7359    0.1068
     12.20    0.7323    0.1090
     12.30    0.7271    0.1114
     12.40    0.7215    0.1135
     12.50    0.7276    0.1132
     12.60    0.7326    0.1131
     12.70    0.7363    0.1133
     12.80    0.7386    0.1139
     12.90    0.7392    0.1147
     13.00    0.7382    0.1158
     13.10    0.7356    0.1173
     13.20    0.7318    0.1189
     13.30    0.7274    0.1207
     13.40    0.7229    0.1226
     13.50    0.7188    0.1244
     13.60    0.7153    0.1262
     13.70    0.7124    0.1278
     13.80    0.7101    0.1293
     13.90    0.7084    0.1307
     14.00    0.7073    0.1321
     14.10    0.7067    0.1333
     14.20    0.7066    0.1345
     14.30    0.7068    0.1356
     14.40    0.7075    0.1367
     14.50    0.7085    0.1377
     14.60    0.7099    0.1386
     14.70    0.7116    0.1395
     14.80    0.7135    0.1404
     14.90    0.7156    0.1413
     15.00    0.7178    0.1421
     15.10    0.7201    0.1430
     15.20    0.7226    0.1439
     15.30    0.7252    0.1447
     15.40    0.7281    0.1455
     15.50    0.7313    0.1463
     15.60    0.7349    0.1470
     15.70    0.7387    0.1477
     15.80    0.7430    0.1484
     15.90    0.7476    0.1490
     16.00    0.7528    0.1495
     16.10    0.7586    0.1499
     16.20    0.7647    0.1502
     16.30    0.7715    0.1504
     16.40    0.7788    0.1504
     16.50    0.7905    0.1494
     16.60    0.7984    0.1493
     16.70    0.8024    0.1504
     16.80    0.8169    0.1486
     16.90    0.8417    0.1440
     17.00    0.8612    0.1407
     17.10    0.8835    0.1365
     17.20    0.9085    0.1313
     17.30    0.9220    0.1292
     17.40    0.9240    0.1300
     17.50    0.9265    0.1307
     17.60    0.9296    0.1313
     17.70    0.9335    0.1317
     17.80    0.9383    0.1320
     17.90    0.9441    0.1320
     18.00    0.9507    0.1319
     18.10    0.9582    0.1316
     18.20    0.9665    0.1312
     18.30    0.9755    0.1306
     18.40    0.9852    0.1299
     18.50    0.9952    0.1291
     18.60    1.0057    0.1283
     18.70    1.0166    0.1275
     18.80    1.0279    0.1266
     18.90    1.0345    0.1265
     19.00    1.0365    0.1272
     19.10    1.0339    0.1288
     19.20    1.0263    0.1312
     19.30    1.0138    0.1345
     19.40    1.0013    0.1377
     19.50    1.0138    0.1345
     19.60    1.0013    0.1377
     19.70    0.9888    0.1410
     19.80    0.9764    0.1442
     19.90    0.9639    0.1475
     20.00    0.9457    0.1523
     21.00    1.1020    0.1597
     22.00    1.1275    0.1756
     23.00    1.1512    0.1923
     24.00    1.1733    0.2097
     25.00    1.1936    0.2280
     26.00    1.2124    0.2469
     27.00    1.2298    0.2665
     28.00    1.2456    0.2868
     29.00    1.2601    0.3078
     30.00    1.2732    0.3294
     31.00    1.2851    0.3517
     32.00    1.2957    0.3745
     33.00    1.3051    0.3978
     34.00    1.3134    0.4217
     35.00    1.3205    0.4460
     36.00    1.3265    0.4708
     37.00    1.3315    0.4960
     38.00    1.3353    0.5216
     39.00    1.3382    0.5476
     40.00    1.3401    0.5739
     41.00    1.3410    0.6004
     42.00    1.3409    0.6273
     43.00    1.3399    0.6543
     44.00    1.3380    0.6815
     45.00    1.3351    0.7088
     46.00    1.3314    0.7363
     47.00    1.3268    0.7638
     48.00    1.3213    0.7913
     49.00    1.3149    0.8188
     50.00    1.3077    0.8463
     51.00    1.2997    0.8737
     52.00    1.2908    0.9009
     53.00    1.2811    0.9281
     54.00    1.2707    0.9550
     55.00    1.2594    0.9817
     56.00    1.2473    1.0081
     57.00    1.2345    1.0343
     58.00    1.2209    1.0601
     59.00    1.2066    1.0855
     60.00    1.1915    1.1105
     61.00    1.1757    1.1351
     62.00    1.1592    1.1592
     63.00    1.1420    1.1829
     64.00    1.1241    1.2060
     65.00    1.1055    1.2285
     66.00    1.0863    1.2504
     67.00    1.0664    1.2718
     68.00    1.0459    1.2925
     69.00    1.0248    1.3125
     70.00    1.0031    1.3318
     71.00    0.9808    1.3504
     72.00    0.9579    1.3682
