AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.125_M0.00_N9.0 360 M" on Foil "T1_Re0.125_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-177.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-7.61          Angle of attack for zero Cn for linear Cn curve (deg)
-0.17584       Cn slope for zero lift for linear Cn curve (1/rad)
0.0893         Cn at stall value for positive angle of attack for linear Cn curve
-0.1920        Cn at stall value for negative angle of attack for linear Cn curve
8.90           Angle of attack for minimum CD (deg)
0.0354         Minimum CD value
   -180.00   -0.0903    0.0060
   -179.00    0.7094    0.0065
   -178.00    1.4696    0.0078
   -177.00    1.9096    0.0101
   -176.00    1.7303    0.0132
   -175.00    1.2508    0.0173
   -174.00    0.8561    0.0222
   -173.00    0.6120    0.0280
   -172.00    0.4734    0.0346
   -171.00    0.3977    0.0421
   -170.00    0.3587    0.0505
   -169.00    0.3416    0.0597
   -168.00    0.3380    0.0696
   -167.00    0.3428    0.0804
   -166.00    0.3531    0.0920
   -165.00    0.3669    0.1044
   -164.00    0.3830    0.1174
   -163.00    0.4006    0.1313
   -162.00    0.4191    0.1458
   -161.00    0.4381    0.1610
   -160.00    0.4573    0.1769
   -159.00    0.4764    0.1935
   -158.00    0.4954    0.2107
   -157.00    0.5140    0.2285
   -156.00    0.5322    0.2469
   -155.00    0.5498    0.2658
   -154.00    0.5668    0.2853
   -153.00    0.5832    0.3053
   -152.00    0.5988    0.3258
   -151.00    0.6136    0.3467
   -150.00    0.6277    0.3681
   -149.00    0.6408    0.3899
   -148.00    0.6531    0.4120
   -147.00    0.6645    0.4345
   -146.00    0.6750    0.4574
   -145.00    0.6844    0.4805
   -144.00    0.6930    0.5039
   -143.00    0.7005    0.5275
   -142.00    0.7070    0.5514
   -141.00    0.7125    0.5754
   -140.00    0.7170    0.5996
   -139.00    0.7204    0.6239
   -138.00    0.7228    0.6483
   -137.00    0.7241    0.6727
   -136.00    0.7244    0.6972
   -135.00    0.7237    0.7217
   -134.00    0.7219    0.7461
   -133.00    0.7190    0.7705
   -132.00    0.7151    0.7948
   -131.00    0.7102    0.8190
   -130.00    0.7043    0.8431
   -129.00    0.6973    0.8670
   -128.00    0.6894    0.8907
   -127.00    0.6805    0.9141
   -126.00    0.6706    0.9373
   -125.00    0.6597    0.9602
   -124.00    0.6479    0.9829
   -123.00    0.6352    1.0051
   -122.00    0.6216    1.0270
   -121.00    0.6071    1.0486
   -120.00    0.5917    1.0697
   -119.00    0.5756    1.0904
   -118.00    0.5586    1.1106
   -117.00    0.5408    1.1303
   -116.00    0.5223    1.1495
   -115.00    0.5031    1.1682
   -114.00    0.4832    1.1863
   -113.00    0.4626    1.2039
   -112.00    0.4414    1.2209
   -111.00    0.4196    1.2372
   -110.00    0.3973    1.2530
   -109.00    0.3739    1.2681
   -108.00    0.3505    1.2825
   -107.00    0.3267    1.2962
   -106.00    0.3024    1.3092
   -105.00    0.2778    1.3216
   -104.00    0.2527    1.3331
   -103.00    0.2274    1.3440
   -102.00    0.2018    1.3541
   -101.00    0.1759    1.3634
   -100.00    0.1499    1.3720
    -99.00    0.1236    1.3798
    -98.00    0.0972    1.3867
    -97.00    0.0708    1.3929
    -96.00    0.0442    1.3983
    -95.00    0.0177    1.4028
    -94.00   -0.0089    1.4066
    -93.00   -0.0354    1.4095
    -92.00   -0.0618    1.4115
    -91.00   -0.0881    1.4128
    -90.00   -0.1143    1.4132
    -89.00   -0.1402    1.4128
    -88.00   -0.1659    1.4115
    -87.00   -0.1914    1.4095
    -86.00   -0.2166    1.4066
    -85.00   -0.2415    1.4028
