AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.075_M0.00_N9.0 360 M" on Foil "T1_Re0.075_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
48.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.68          Angle of attack for zero Cn for linear Cn curve (deg)
6.99482        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3069        Cn at stall value for positive angle of attack for linear Cn curve
-0.2576        Cn at stall value for negative angle of attack for linear Cn curve
3.20           Angle of attack for minimum CD (deg)
0.0333         Minimum CD value
   -180.00   -0.0171    0.0060
   -179.00    0.1237    0.0065
   -178.00    0.2634    0.0078
   -177.00    0.3937    0.0101
   -176.00    0.4933    0.0132
   -175.00    0.5383    0.0173
   -174.00    0.5281    0.0222
   -173.00    0.4886    0.0280
   -172.00    0.4465    0.0346
   -171.00    0.4147    0.0421
   -170.00    0.3957    0.0505
   -169.00    0.3874    0.0597
   -168.00    0.3873    0.0697
   -167.00    0.3928    0.0805
   -166.00    0.4023    0.0920
   -165.00    0.4143    0.1044
   -164.00    0.4281    0.1175
   -163.00    0.4429    0.1314
   -162.00    0.4584    0.1459
   -161.00    0.4741    0.1612
   -160.00    0.4898    0.1771
   -159.00    0.5053    0.1937
   -158.00    0.5204    0.2109
   -157.00    0.5351    0.2287
   -156.00    0.5493    0.2472
   -155.00    0.5629    0.2661
   -154.00    0.5758    0.2857
   -153.00    0.5880    0.3057
   -152.00    0.5994    0.3262
   -151.00    0.6100    0.3472
   -150.00    0.6199    0.3687
   -149.00    0.6288    0.3905
   -148.00    0.6370    0.4127
   -147.00    0.6443    0.4353
   -146.00    0.6506    0.4582
   -145.00    0.6561    0.4814
   -144.00    0.6607    0.5049
   -143.00    0.6644    0.5286
   -142.00    0.6672    0.5525
   -141.00    0.6691    0.5766
   -140.00    0.6701    0.6009
   -139.00    0.6702    0.6252
   -138.00    0.6694    0.6497
   -137.00    0.6677    0.6743
   -136.00    0.6651    0.6988
   -135.00    0.6617    0.7234
   -134.00    0.6574    0.7480
   -133.00    0.6522    0.7725
   -132.00    0.6462    0.7969
   -131.00    0.6393    0.8212
   -130.00    0.6317    0.8454
   -129.00    0.6232    0.8693
   -128.00    0.6140    0.8931
   -127.00    0.6040    0.9167
   -126.00    0.5932    0.9400
   -125.00    0.5817    0.9631
   -124.00    0.5695    0.9858
   -123.00    0.5566    1.0082
   -122.00    0.5431    1.0302
   -121.00    0.5288    1.0518
   -120.00    0.5140    1.0730
   -119.00    0.4985    1.0938
   -118.00    0.4825    1.1141
   -117.00    0.4659    1.1340
   -116.00    0.4488    1.1533
   -115.00    0.4312    1.1721
   -114.00    0.4130    1.1903
   -113.00    0.3945    1.2080
   -112.00    0.3754    1.2251
   -111.00    0.3560    1.2415
   -110.00    0.3362    1.2573
   -109.00    0.3155    1.2725
   -108.00    0.2950    1.2870
   -107.00    0.2742    1.3008
   -106.00    0.2531    1.3139
   -105.00    0.2318    1.3263
   -104.00    0.2102    1.3380
   -103.00    0.1884    1.3489
   -102.00    0.1665    1.3590
   -101.00    0.1444    1.3684
   -100.00    0.1222    1.3770
    -99.00    0.0999    1.3849
    -98.00    0.0775    1.3919
    -97.00    0.0550    1.3981
    -96.00    0.0326    1.4035
    -95.00    0.0101    1.4081
    -94.00   -0.0123    1.4118
    -93.00   -0.0346    1.4147
    -92.00   -0.0569    1.4168
    -91.00   -0.0791    1.4181
    -90.00   -0.1012    1.4185
    -89.00   -0.1231    1.4181
    -88.00   -0.1448    1.4168
    -87.00   -0.1663    1.4147
    -86.00   -0.1876    1.4118
    -85.00   -0.2087    1.4081
    -84.00   -0.2295    1.4035
    -83.00   -0.2500    1.3981
    -82.00   -0.2703    1.3919
    -81.00   -0.2902    1.3848
    -80.00   -0.3097    1.3770
    -79.00   -0.3289    1.3684
    -78.00   -0.3477    1.3590
    -77.00   -0.3661    1.3489
    -76.00   -0.3840    1.3380
    -75.00   -0.4016    1.3263
    -74.00   -0.4186    1.3139
    -73.00   -0.4352    1.3008
    -72.00   -0.4514    1.2870
    -71.00   -0.4670    1.2725
    -70.00   -0.4821    1.2573
    -69.00   -0.4966    1.2415
    -68.00   -0.5106    1.2250
    -67.00   -0.5241    1.2080
    -66.00   -0.5370    1.1903
    -65.00   -0.5492    1.1721
    -64.00   -0.5609    1.1533
    -63.00   -0.5720    1.1339
    -62.00   -0.5825    1.1141
    -61.00   -0.5923    1.0938
    -60.00   -0.6015    1.0730
    -59.00   -0.6101    1.0518
    -58.00   -0.6180    1.0301
    -57.00   -0.6252    1.0081
    -56.00   -0.6318    0.9857
    -55.00   -0.6377    0.9630
    -54.00   -0.6429    0.9400
    -53.00   -0.6474    0.9166
    -52.00   -0.6512    0.8931
    -51.00   -0.6544    0.8693
    -50.00   -0.6568    0.8453
    -49.00   -0.6585    0.8211
    -48.00   -0.6596    0.7968
    -47.00   -0.6599    0.7724
    -46.00   -0.6595    0.7479
    -45.00   -0.6584    0.7233
    -44.00   -0.6567    0.6987
    -43.00   -0.6542    0.6742
    -42.00   -0.6510    0.6496
    -41.00   -0.6471    0.6251
    -40.00   -0.6425    0.6007
    -39.00   -0.6372    0.5765
    -38.00   -0.6313    0.5524
    -37.00   -0.6246    0.5284
    -36.00   -0.6173    0.5047
    -35.00   -0.6093    0.4812
    -34.00   -0.6006    0.4580
    -33.00   -0.5913    0.4351
    -32.00   -0.5814    0.4125
    -31.00   -0.5708    0.3903
    -30.00   -0.5596    0.3685
    -29.00   -0.5477    0.3470
    -28.00   -0.5353    0.3260
    -27.00   -0.5223    0.3055
    -26.00   -0.5087    0.2854
    -25.00   -0.4945    0.2659
    -24.00   -0.4798    0.2469
    -23.00   -0.4646    0.2285
    -22.00   -0.4489    0.2106
    -21.00   -0.4327    0.1934
    -20.00   -0.4160    0.1768
    -19.00   -0.3989    0.1608
    -18.00   -0.3814    0.1456
    -17.00   -0.3635    0.1310
    -16.00   -0.3453    0.1171
    -15.00   -0.3268    0.1040
    -14.00   -0.3081    0.0916
    -13.00   -0.2891    0.0800
    -12.00   -0.2701    0.0692
    -11.00   -0.2509    0.0592
    -10.00   -0.2875    0.1371
     -9.90   -0.2881    0.1365
     -9.80   -0.2889    0.1360
     -9.70   -0.2899    0.1355
     -9.60   -0.2911    0.1351
     -9.50   -0.2925    0.1346
     -9.40   -0.2982    0.1334
     -9.30   -0.2971    0.1330
     -9.20   -0.2945    0.1326
     -9.10   -0.2908    0.1324
     -9.00   -0.2861    0.1325
     -8.90   -0.2797    0.1329
     -8.80   -0.2748    0.1339
     -8.70   -0.2699    0.1350
     -8.60   -0.2644    0.1360
     -8.50   -0.2581    0.1367
     -8.40   -0.2516    0.1369
     -8.30   -0.2448    0.1367
     -8.20   -0.2375    0.1361
     -8.10   -0.2298    0.1353
     -8.00   -0.2215    0.1344
     -7.90   -0.2170    0.1335
     -7.80   -0.2163    0.1326
     -7.70   -0.2183    0.1318
     -7.60   -0.2227    0.1310
     -7.50   -0.2293    0.1302
     -7.40   -0.2336    0.1293
     -7.30   -0.2354    0.1284
     -7.20   -0.2424    0.1234
     -7.10   -0.2458    0.1182
     -7.00   -0.2453    0.1127
     -6.90   -0.2416    0.1070
     -6.80   -0.2351    0.1011
     -6.70   -0.2198    0.0992
     -6.60   -0.2050    0.0973
     -6.50   -0.1917    0.0955
     -6.40   -0.1799    0.0939
     -6.30   -0.1753    0.0925
     -6.20   -0.1767    0.0915
     -6.10   -0.1822    0.0906
     -6.00   -0.1910    0.0898
     -5.90   -0.2025    0.0891
     -5.80   -0.2105    0.0883
     -5.70   -0.2159    0.0874
     -5.60   -0.2200    0.0863
     -5.50   -0.2234    0.0851
     -5.40   -0.2263    0.0838
     -5.30   -0.2291    0.0824
     -5.20   -0.2325    0.0809
     -5.10   -0.2440    0.0774
     -5.00   -0.2552    0.0734
     -4.90   -0.2697    0.0687
     -4.80   -0.2826    0.0637
     -4.70   -0.2907    0.0589
     -4.60   -0.2864    0.0565
     -4.50   -0.2822    0.0547
     -4.40   -0.2774    0.0540
     -4.30   -0.2764    0.0539
     -4.20   -0.2803    0.0540
     -4.10   -0.2885    0.0540
     -4.00   -0.2962    0.0540
     -3.90   -0.3000    0.0541
     -3.80   -0.3003    0.0540
     -3.70   -0.3001    0.0535
     -3.60   -0.2996    0.0528
     -3.50   -0.2992    0.0519
     -3.40   -0.2988    0.0507
     -3.30   -0.2979    0.0494
     -3.20   -0.2947    0.0483
     -3.10   -0.2898    0.0472
     -3.00   -0.2830    0.0462
     -2.90   -0.2742    0.0452
     -2.80   -0.2635    0.0443
     -2.70   -0.2507    0.0433
     -2.60   -0.2358    0.0425
     -2.50   -0.2189    0.0416
     -2.40   -0.2000    0.0408
     -2.30   -0.1796    0.0401
     -2.20   -0.1576    0.0394
     -2.10   -0.1348    0.0389
     -2.00   -0.1151    0.0387
     -1.90   -0.0988    0.0387
     -1.80   -0.0862    0.0387
     -1.70   -0.0782    0.0389
     -1.60   -0.0746    0.0391
     -1.50   -0.0718    0.0391
     -1.40   -0.0690    0.0392
     -1.30   -0.0646    0.0392
     -1.20   -0.0569    0.0392
     -1.10   -0.0444    0.0391
     -1.00   -0.0258    0.0389
     -0.90    0.0009    0.0385
     -0.80    0.0267    0.0381
     -0.70    0.0489    0.0377
     -0.60    0.0660    0.0375
     -0.50    0.0765    0.0374
     -0.40    0.0775    0.0375
     -0.30    0.0762    0.0377
     -0.20    0.0738    0.0379
     -0.10    0.0799    0.0380
      0.00    0.0923    0.0379
      0.10    0.1086    0.0377
      0.20    0.1296    0.0374
      0.30    0.1566    0.0369
      0.40    0.1808    0.0365
      0.50    0.2030    0.0361
      0.60    0.2236    0.0358
      0.70    0.2377    0.0361
      0.80    0.2461    0.0366
      0.90    0.2547    0.0371
      1.00    0.2608    0.0378
      1.10    0.2656    0.0384
      1.20    0.2734    0.0386
      1.30    0.2820    0.0388
      1.40    0.2851    0.0392
      1.50    0.2868    0.0396
      1.60    0.2883    0.0401
      1.70    0.2899    0.0406
      1.80    0.2918    0.0410
      1.90    0.2956    0.0413
      2.00    0.3290    0.0412
      2.10    0.3671    0.0410
      2.20    0.4407    0.0399
      2.30    0.5177    0.0386
      2.40    0.5970    0.0372
      2.50    0.6513    0.0360
      2.60    0.7048    0.0348
      2.70    0.7282    0.0343
      2.80    0.7542    0.0339
      2.90    0.7706    0.0341
      3.00    0.7757    0.0349
      3.10    0.7751    0.0357
      3.20    0.7665    0.0368
      3.30    0.7495    0.0380
      3.40    0.7351    0.0387
      3.50    0.7246    0.0393
      3.60    0.7114    0.0401
      3.70    0.6966    0.0411
      3.80    0.6815    0.0422
      3.90    0.6664    0.0435
      4.00    0.6523    0.0449
      4.10    0.6404    0.0462
      4.20    0.6311    0.0475
