AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.075_M0.00_N9.0 360 M" on Foil "T1_Re0.075_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
-177.00        Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-7.26          Angle of attack for zero Cn for linear Cn curve (deg)
3.01404        Cn slope for zero lift for linear Cn curve (1/rad)
-0.2222        Cn at stall value for positive angle of attack for linear Cn curve
-0.2222        Cn at stall value for negative angle of attack for linear Cn curve
-1.10          Angle of attack for minimum CD (deg)
0.0276         Minimum CD value
   -180.00   -0.1320    0.0060
   -179.00    0.6679    0.0065
   -178.00    1.4455    0.0078
   -177.00    1.9636    0.0101
   -176.00    1.8481    0.0132
   -175.00    1.3382    0.0173
   -174.00    0.8899    0.0222
   -173.00    0.6089    0.0280
   -172.00    0.4484    0.0347
   -171.00    0.3592    0.0422
   -170.00    0.3109    0.0506
   -169.00    0.2864    0.0598
   -168.00    0.2761    0.0698
   -167.00    0.2746    0.0806
   -166.00    0.2784    0.0922
   -165.00    0.2857    0.1045
   -164.00    0.2950    0.1177
   -163.00    0.3055    0.1315
   -162.00    0.3166    0.1461
   -161.00    0.3279    0.1613
   -160.00    0.3391    0.1773
   -159.00    0.3500    0.1939
   -158.00    0.3605    0.2111
   -157.00    0.3705    0.2289
   -156.00    0.3798    0.2473
   -155.00    0.3884    0.2663
   -154.00    0.3964    0.2858
   -153.00    0.4035    0.3058
   -152.00    0.4100    0.3263
   -151.00    0.4156    0.3473
   -150.00    0.4204    0.3687
   -149.00    0.4245    0.3905
   -148.00    0.4277    0.4127
   -147.00    0.4302    0.4352
   -146.00    0.4319    0.4581
   -145.00    0.4329    0.4813
   -144.00    0.4332    0.5047
   -143.00    0.4327    0.5284
   -142.00    0.4315    0.5522
   -141.00    0.4297    0.5763
   -140.00    0.4272    0.6005
   -139.00    0.4240    0.6248
   -138.00    0.4203    0.6492
   -137.00    0.4160    0.6737
   -136.00    0.4111    0.6982
   -135.00    0.4057    0.7227
   -134.00    0.3998    0.7472
   -133.00    0.3934    0.7716
   -132.00    0.3865    0.7960
   -131.00    0.3792    0.8202
   -130.00    0.3716    0.8443
   -129.00    0.3635    0.8682
   -128.00    0.3551    0.8919
   -127.00    0.3464    0.9153
   -126.00    0.3374    0.9386
   -125.00    0.3281    0.9615
   -124.00    0.3186    0.9841
   -123.00    0.3088    1.0064
   -122.00    0.2989    1.0284
   -121.00    0.2887    1.0499
   -120.00    0.2784    1.0710
   -119.00    0.2679    1.0917
   -118.00    0.2573    1.1120
   -117.00    0.2467    1.1317
   -116.00    0.2359    1.1509
   -115.00    0.2250    1.1696
   -114.00    0.2141    1.1878
   -113.00    0.2031    1.2054
   -112.00    0.1922    1.2223
   -111.00    0.1811    1.2387
   -110.00    0.1701    1.2544
   -109.00    0.1496    1.2695
   -108.00    0.1384    1.2840
   -107.00    0.1272    1.2977
   -106.00    0.1161    1.3107
   -105.00    0.1050    1.3231
   -104.00    0.0939    1.3346
   -103.00    0.0828    1.3455
   -102.00    0.0718    1.3556
   -101.00    0.0609    1.3649
   -100.00    0.0499    1.3735
    -99.00    0.0391    1.3813
    -98.00    0.0282    1.3882
    -97.00    0.0175    1.3944
    -96.00    0.0067    1.3998
    -95.00   -0.0040    1.4043
    -94.00   -0.0146    1.4081
    -93.00   -0.0252    1.4110
    -92.00   -0.0357    1.4130
    -91.00   -0.0462    1.4143
    -90.00   -0.0566    1.4147
    -89.00   -0.0670    1.4143
    -88.00   -0.0773    1.4130
    -87.00   -0.0876    1.4109
    -86.00   -0.0979    1.4080
    -85.00   -0.1081    1.4043
    -84.00   -0.1183    1.3997
    -83.00   -0.1284    1.3943
    -82.00   -0.1385    1.3881
    -81.00   -0.1486    1.3811
    -80.00   -0.1586    1.3734
    -79.00   -0.1686    1.3648
    -78.00   -0.1785    1.3554
    -77.00   -0.1883    1.3453
    -76.00   -0.1982    1.3345
    -75.00   -0.2079    1.3228
    -74.00   -0.2176    1.3105
    -73.00   -0.2273    1.2975
    -72.00   -0.2369    1.2837
    -71.00   -0.2464    1.2693
    -70.00   -0.2558    1.2542
    -69.00   -0.2651    1.2384
    -68.00   -0.2744    1.2220
