AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.125_M0.00_N9.0 360 M" on Foil "T1_Re0.125_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
10.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-4.06          Angle of attack for zero Cn for linear Cn curve (deg)
8.12818        Cn slope for zero lift for linear Cn curve (1/rad)
-0.2814        Cn at stall value for positive angle of attack for linear Cn curve
-0.3194        Cn at stall value for negative angle of attack for linear Cn curve
-4.60          Angle of attack for minimum CD (deg)
0.0217         Minimum CD value
   -180.00   -0.1050    0.0060
   -179.00    0.0401    0.0065
   -178.00    0.1746    0.0078
   -177.00    0.2778    0.0101
   -176.00    0.3302    0.0132
   -175.00    0.3348    0.0173
   -174.00    0.3138    0.0222
   -173.00    0.2882    0.0280
   -172.00    0.2682    0.0346
   -171.00    0.2563    0.0422
   -170.00    0.2515    0.0505
   -169.00    0.2522    0.0597
   -168.00    0.2569    0.0697
   -167.00    0.2641    0.0805
   -166.00    0.2730    0.0921
   -165.00    0.2829    0.1045
   -164.00    0.2933    0.1176
   -163.00    0.3038    0.1314
   -162.00    0.3142    0.1460
   -161.00    0.3242    0.1613
   -160.00    0.3338    0.1772
   -159.00    0.3427    0.1938
   -158.00    0.3511    0.2110
   -157.00    0.3587    0.2289
   -156.00    0.3655    0.2473
   -155.00    0.3716    0.2663
   -154.00    0.3769    0.2859
   -153.00    0.3814    0.3059
   -152.00    0.3850    0.3265
   -151.00    0.3879    0.3475
   -150.00    0.3900    0.3689
   -149.00    0.3913    0.3908
   -148.00    0.3919    0.4130
   -147.00    0.3917    0.4357
   -146.00    0.3908    0.4586
   -145.00    0.3892    0.4818
   -144.00    0.3870    0.5053
   -143.00    0.3841    0.5291
   -142.00    0.3806    0.5530
   -141.00    0.3765    0.5771
   -140.00    0.3719    0.6014
   -139.00    0.3667    0.6259
   -138.00    0.3611    0.6504
   -137.00    0.3550    0.6749
   -136.00    0.3484    0.6995
   -135.00    0.3415    0.7242
   -134.00    0.3342    0.7488
   -133.00    0.3266    0.7733
   -132.00    0.3187    0.7977
   -131.00    0.3105    0.8221
   -130.00    0.3020    0.8463
   -129.00    0.2934    0.8703
   -128.00    0.2846    0.8941
   -127.00    0.2756    0.9177
   -126.00    0.2665    0.9411
   -125.00    0.2572    0.9642
   -124.00    0.2479    0.9869
   -123.00    0.2386    1.0093
   -122.00    0.2292    1.0314
   -121.00    0.2198    1.0531
   -120.00    0.2104    1.0743
   -119.00    0.2010    1.0951
   -118.00    0.1916    1.1155
   -117.00    0.1823    1.1353
   -116.00    0.1731    1.1547
   -115.00    0.1640    1.1735
   -114.00    0.1549    1.1918
   -113.00    0.1460    1.2094
   -112.00    0.1371    1.2265
   -111.00    0.1284    1.2430
   -110.00    0.1112    1.2588
   -109.00    0.1025    1.2740
   -108.00    0.0940    1.2885
   -107.00    0.0856    1.3024
   -106.00    0.0773    1.3155
   -105.00    0.0692    1.3279
   -104.00    0.0611    1.3395
   -103.00    0.0532    1.3504
   -102.00    0.0454    1.3606
   -101.00    0.0377    1.3700
   -100.00    0.0301    1.3786
    -99.00    0.0226    1.3864
    -98.00    0.0152    1.3934
    -97.00    0.0079    1.3996
    -96.00    0.0006    1.4050
    -95.00   -0.0065    1.4095
    -94.00   -0.0136    1.4132
    -93.00   -0.0207    1.4161
    -92.00   -0.0277    1.4182
    -91.00   -0.0347    1.4194
    -90.00   -0.0417    1.4198
    -89.00   -0.0487    1.4193
    -88.00   -0.0556    1.4180
    -87.00   -0.0626    1.4159
    -86.00   -0.0696    1.4129
    -85.00   -0.0766    1.4091
    -84.00   -0.0836    1.4045
    -83.00   -0.0907    1.3990
    -82.00   -0.0978    1.3927
    -81.00   -0.1050    1.3856
    -80.00   -0.1122    1.3777
    -79.00   -0.1195    1.3690
    -78.00   -0.1269    1.3596
    -77.00   -0.1343    1.3493
    -76.00   -0.1418    1.3383
    -75.00   -0.1494    1.3266
    -74.00   -0.1571    1.3141
    -73.00   -0.1648    1.3009
    -72.00   -0.1726    1.2870
    -71.00   -0.1805    1.2724
    -70.00   -0.1884    1.2571
    -69.00   -0.1965    1.2412
    -68.00   -0.2045    1.2246
    -67.00   -0.2127    1.2074
    -66.00   -0.2209    1.1896
    -65.00   -0.2291    1.1712
    -64.00   -0.2373    1.1523
    -63.00   -0.2456    1.1329
    -62.00   -0.2539    1.1129
    -61.00   -0.2622    1.0924
    -60.00   -0.2705    1.0715
    -59.00   -0.2788    1.0501
    -58.00   -0.2870    1.0284
    -57.00   -0.2951    1.0062
    -56.00   -0.3032    0.9837
    -55.00   -0.3113    0.9608
    -54.00   -0.3192    0.9376
    -53.00   -0.3270    0.9141
    -52.00   -0.3346    0.8904
    -51.00   -0.3422    0.8664
    -50.00   -0.3495    0.8423
    -49.00   -0.3567    0.8179
    -48.00   -0.3636    0.7934
    -47.00   -0.3703    0.7688
    -46.00   -0.3768    0.7442
    -45.00   -0.3830    0.7194
    -44.00   -0.3890    0.6947
    -43.00   -0.3946    0.6699
    -42.00   -0.4000    0.6452
    -41.00   -0.4050    0.6205
    -40.00   -0.4096    0.5959
    -39.00   -0.4139    0.5715
    -38.00   -0.4178    0.5472
    -37.00   -0.4214    0.5231
    -36.00   -0.4245    0.4992
    -35.00   -0.4272    0.4755
    -34.00   -0.4294    0.4521
    -33.00   -0.4312    0.4291
    -32.00   -0.4326    0.4063
    -31.00   -0.4335    0.3839
    -30.00   -0.4339    0.3619
    -29.00   -0.4338    0.3403
    -28.00   -0.4332    0.3191
    -27.00   -0.4322    0.2984
    -26.00   -0.4306    0.2783
    -25.00   -0.4284    0.2586
    -24.00   -0.4258    0.2395
    -23.00   -0.4225    0.2210
    -22.00   -0.4187    0.2031
    -21.00   -0.4142    0.1858
    -20.00   -0.4091    0.1692
    -19.00   -0.4032    0.1532
    -18.00   -0.3966    0.1380
    -17.00   -0.3891    0.1235
    -16.00   -0.3805    0.1098
    -15.00   -0.3708    0.0969
    -14.00   -0.3597    0.0848
    -13.00   -0.3469    0.0735
    -12.00   -0.3322    0.0631
    -11.00   -0.3150    0.0536
    -10.00   -0.2630    0.1293
     -9.90   -0.2644    0.1287
     -9.80   -0.2660    0.1280
     -9.70   -0.2677    0.1274
     -9.60   -0.2648    0.1263
     -9.50   -0.2586    0.1250
     -9.40   -0.2559    0.1278
     -9.30   -0.2499    0.1264
     -9.20   -0.2441    0.1249
     -9.10   -0.2384    0.1233
     -9.00   -0.2329    0.1217
     -8.90   -0.2674    0.1107
     -8.80   -0.3050    0.0995
     -8.70   -0.3458    0.0879
     -8.60   -0.3909    0.0760
     -8.50   -0.4457    0.0632
     -8.40   -0.4653    0.0581
     -8.30   -0.4809    0.0531
     -8.20   -0.4915    0.0483
     -8.10   -0.5017    0.0440
     -8.00   -0.5032    0.0407
     -7.90   -0.4997    0.0390
     -7.80   -0.4963    0.0377
     -7.70   -0.4934    0.0365
     -7.60   -0.4852    0.0354
     -7.50   -0.4743    0.0344
     -7.40   -0.4615    0.0335
     -7.30   -0.4474    0.0327
     -7.20   -0.4323    0.0319
     -7.10   -0.4161    0.0312
     -7.00   -0.3991    0.0305
     -6.90   -0.3812    0.0300
     -6.80   -0.3623    0.0294
     -6.70   -0.3425    0.0290
     -6.60   -0.3230    0.0286
     -6.50   -0.3097    0.0282
     -6.40   -0.3005    0.0279
     -6.30   -0.2942    0.0275
     -6.20   -0.2905    0.0272
     -6.10   -0.2878    0.0269
     -6.00   -0.2803    0.0266
     -5.90   -0.2701    0.0263
     -5.80   -0.2583    0.0260
     -5.70   -0.2455    0.0257
     -5.60   -0.2317    0.0254
     -5.50   -0.2170    0.0251
     -5.40   -0.2016    0.0248
     -5.30   -0.1856    0.0244
     -5.20   -0.1692    0.0239
     -5.10   -0.1524    0.0234
     -5.00   -0.1354    0.0229
     -4.90   -0.1181    0.0225
     -4.80   -0.1004    0.0221
     -4.70   -0.0825    0.0219
     -4.60   -0.0642    0.0219
     -4.50   -0.0457    0.0221
     -4.40   -0.0268    0.0223
     -4.30   -0.0075    0.0226
     -4.20    0.0124    0.0229
     -4.10    0.0328    0.0232
     -4.00    0.0508    0.0235
     -3.90    0.0659    0.0236
     -3.80    0.0777    0.0237
     -3.70    0.0864    0.0236
     -3.60    0.0921    0.0236
     -3.50    0.0979    0.0236
     -3.40    0.1044    0.0235
     -3.30    0.1120    0.0235
     -3.20    0.1208    0.0235
     -3.10    0.1308    0.0235
     -3.00    0.1421    0.0235
     -2.90    0.1547    0.0236
     -2.80    0.1685    0.0236
     -2.70    0.1836    0.0236
     -2.60    0.1999    0.0236
     -2.50    0.2172    0.0237
     -2.40    0.2356    0.0238
     -2.30    0.2548    0.0239
     -2.20    0.2749    0.0241
     -2.10    0.2954    0.0243
     -2.00    0.3163    0.0245
     -1.90    0.3372    0.0248
     -1.80    0.3557    0.0250
     -1.70    0.3717    0.0250
     -1.60    0.3854    0.0249
     -1.50    0.3967    0.0246
     -1.40    0.4059    0.0241
     -1.30    0.4150    0.0236
     -1.20    0.4242    0.0232
     -1.10    0.4334    0.0229
     -1.00    0.4428    0.0227
     -0.90    0.4524    0.0225
     -0.80    0.4621    0.0225
     -0.70    0.4721    0.0226
     -0.60    0.4823    0.0229
     -0.50    0.4929    0.0232
     -0.40    0.5039    0.0236
     -0.30    0.5156    0.0242
     -0.20    0.5281    0.0251
     -0.10    0.5402    0.0258
      0.00    0.5519    0.0263
      0.10    0.5629    0.0266
      0.20    0.5730    0.0266
      0.30    0.5819    0.0262
      0.40    0.5906    0.0259
      0.50    0.5992    0.0255
      0.60    0.6077    0.0253
      0.70    0.6161    0.0250
      0.80    0.6246    0.0248
      0.90    0.6333    0.0246
      1.00    0.6423    0.0245
      1.10    0.6515    0.0243
      1.20    0.6609    0.0242
      1.30    0.6706    0.0241
      1.40    0.6805    0.0240
      1.50    0.6907    0.0239
      1.60    0.7012    0.0238
      1.70    0.7118    0.0238
      1.80    0.7227    0.0237
      1.90    0.7336    0.0237
      2.00    0.7445    0.0237
      2.10    0.7553    0.0237
      2.20    0.7661    0.0237
      2.30    0.7769    0.0238
      2.40    0.7876    0.0240
      2.50    0.7978    0.0242
      2.60    0.8071    0.0245
      2.70    0.8158    0.0249
      2.80    0.8241    0.0252
      2.90    0.8321    0.0254
      3.00    0.8401    0.0255
      3.10    0.8486    0.0255
      3.20    0.8573    0.0254
      3.30    0.8660    0.0253
      3.40    0.8747    0.0252
      3.50    0.8833    0.0250
      3.60    0.8919    0.0248
      3.70    0.9003    0.0246
      3.80    0.9087    0.0244
      3.90    0.9171    0.0243
      4.00    0.9255    0.0241
      4.10    0.9338    0.0240
      4.20    0.9423    0.0239
      4.30    0.9508    0.0238
      4.40    0.9594    0.0237
      4.50    0.9680    0.0236
      4.60    0.9768    0.0235
      4.70    0.9857    0.0234
      4.80    0.9947    0.0234
      4.90    1.0039    0.0233
      5.00    1.0131    0.0233
      5.10    1.0224    0.0233
      5.20    1.0316    0.0233
      5.30    1.0407    0.0233
      5.40    1.0498    0.0233
      5.50    1.0588    0.0233
      5.60    1.0679    0.0234
      5.70    1.0773    0.0234
      5.80    1.0871    0.0235
      5.90    1.0974    0.0237
      6.00    1.1080    0.0239
      6.10    1.1184    0.0241
      6.20    1.1279    0.0243
      6.30    1.1361    0.0245
      6.40    1.1427    0.0246
      6.50    1.1480    0.0247
      6.60    1.1523    0.0246
      6.70    1.1562    0.0246
      6.80    1.1601    0.0246
      6.90    1.1640    0.0246
      7.00    1.1680    0.0246
      7.10    1.1719    0.0246
      7.20    1.1758    0.0246
      7.30    1.1798    0.0247
      7.40    1.1838    0.0247
      7.50    1.1879    0.0248
      7.60    1.1919    0.0249
      7.70    1.1959    0.0250
      7.80    1.1996    0.0251
      7.90    1.2032    0.0252
      8.00    1.2066    0.0253
      8.10    1.2101    0.0254
      8.20    1.2136    0.0255
      8.30    1.2175    0.0256
      8.40    1.2217    0.0257
      8.50    1.2262    0.0257
      8.60    1.2308    0.0256
      8.70    1.2356    0.0255
      8.80    1.2406    0.0255
      8.90    1.2456    0.0254
      9.00    1.2502    0.0255
      9.10    1.2543    0.0257
      9.20    1.2575    0.0259
      9.30    1.2599    0.0261
      9.40    1.2619    0.0264
      9.50    1.2643    0.0267
      9.60    1.2676    0.0270
      9.70    1.2706    0.0273
      9.80    1.2732    0.0275
      9.90    1.2753    0.0277
     10.00    1.2766    0.0279
     10.10    1.2764    0.0282
     10.20    1.2759    0.0285
     10.30    1.2748    0.0289
     10.40    1.2726    0.0294
     10.50    1.2689    0.0300
     10.60    1.2638    0.0306
     10.70    1.2578    0.0314
     10.80    1.2519    0.0321
     10.90    1.2467    0.0329
     11.00    1.2425    0.0337
     11.10    1.2394    0.0345
     11.20    1.2369    0.0352
     11.30    1.2343    0.0361
     11.40    1.2312    0.0369
     11.50    1.2275    0.0379
     11.60    1.2230    0.0389
     11.70    1.2182    0.0400
     11.80    1.2135    0.0411
     11.90    1.2092    0.0422
     12.00    1.2056    0.0433
     12.10    1.2031    0.0444
     12.20    1.2012    0.0453
     12.30    1.2000    0.0463
     12.40    1.1992    0.0472
     12.50    1.1984    0.0482
     12.60    1.1977    0.0491
