AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
9.80           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
3.42           Angle of attack for zero Cn for linear Cn curve (deg)
7.75087        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4090        Cn at stall value for positive angle of attack for linear Cn curve
-0.3652        Cn at stall value for negative angle of attack for linear Cn curve
-4.60          Angle of attack for minimum CD (deg)
0.0317         Minimum CD value
   -180.00    0.0882    0.0060
   -179.00    0.3370    0.0065
   -178.00    0.5858    0.0078
   -177.00    0.8288    0.0101
   -176.00    1.0266    0.0132
   -175.00    1.1011    0.0173
   -174.00    1.0240    0.0222
   -173.00    0.8730    0.0280
   -172.00    0.7336    0.0347
   -171.00    0.6357    0.0422
   -170.00    0.5756    0.0506
   -169.00    0.5424    0.0599
   -168.00    0.5271    0.0700
   -167.00    0.5234    0.0808
   -166.00    0.5270    0.0925
   -165.00    0.5355    0.1050
   -164.00    0.5471    0.1182
   -163.00    0.5606    0.1322
   -162.00    0.5754    0.1470
   -161.00    0.5908    0.1624
   -160.00    0.6066    0.1786
   -159.00    0.6223    0.1954
   -158.00    0.6378    0.2129
   -157.00    0.6530    0.2310
   -156.00    0.6677    0.2497
   -155.00    0.6818    0.2690
   -154.00    0.6953    0.2889
   -153.00    0.7080    0.3093
   -152.00    0.7200    0.3303
   -151.00    0.7312    0.3517
   -150.00    0.7415    0.3736
   -149.00    0.7510    0.3959
   -148.00    0.7595    0.4186
   -147.00    0.7671    0.4417
   -146.00    0.7738    0.4652
   -145.00    0.7795    0.4889
   -144.00    0.7842    0.5130
   -143.00    0.7879    0.5373
   -142.00    0.7906    0.5619
   -141.00    0.7924    0.5867
   -140.00    0.7931    0.6116
   -139.00    0.7928    0.6367
   -138.00    0.7915    0.6619
   -137.00    0.7893    0.6872
   -136.00    0.7860    0.7125
   -135.00    0.7817    0.7378
   -134.00    0.7764    0.7632
   -133.00    0.7702    0.7885
   -132.00    0.7630    0.8137
   -131.00    0.7548    0.8388
   -130.00    0.7457    0.8638
   -129.00    0.7357    0.8887
   -128.00    0.7247    0.9133
   -127.00    0.7128    0.9377
   -126.00    0.7001    0.9619
   -125.00    0.6865    0.9858
   -124.00    0.6720    1.0094
   -123.00    0.6568    1.0326
   -122.00    0.6407    1.0555
   -121.00    0.6238    1.0779
   -120.00    0.6062    1.1000
   -119.00    0.5879    1.1216
   -118.00    0.5688    1.1428
   -117.00    0.5491    1.1634
   -116.00    0.5287    1.1835
   -115.00    0.5077    1.2031
   -114.00    0.4861    1.2221
   -113.00    0.4640    1.2405
   -112.00    0.4413    1.2583
   -111.00    0.4181    1.2755
   -110.00    0.3944    1.2920
   -109.00    0.3703    1.3078
   -108.00    0.3453    1.3229
   -107.00    0.3204    1.3374
   -106.00    0.2951    1.3511
   -105.00    0.2696    1.3640
   -104.00    0.2437    1.3762
   -103.00    0.2176    1.3876
   -102.00    0.1912    1.3982
   -101.00    0.1647    1.4080
   -100.00    0.1379    1.4170
    -99.00    0.1111    1.4252
    -98.00    0.0842    1.4326
    -97.00    0.0572    1.4391
    -96.00    0.0302    1.4447
    -95.00    0.0031    1.4495
    -94.00   -0.0238    1.4534
    -93.00   -0.0508    1.4565
    -92.00   -0.0776    1.4587
    -91.00   -0.1043    1.4600
    -90.00   -0.1309    1.4604
    -89.00   -0.1572    1.4600
    -88.00   -0.1834    1.4587
    -87.00   -0.2093    1.4565
    -86.00   -0.2350    1.4534
    -85.00   -0.2603    1.4495
    -84.00   -0.2853    1.4447
    -83.00   -0.3100    1.4391
    -82.00   -0.3343    1.4326
    -81.00   -0.3582    1.4252
