AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.075_M0.00_N9.0 360 M" on Foil "T1_Re0.075_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
11.90          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
1.19           Angle of attack for zero Cn for linear Cn curve (deg)
9.78877        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6037        Cn at stall value for positive angle of attack for linear Cn curve
-0.6653        Cn at stall value for negative angle of attack for linear Cn curve
7.20           Angle of attack for minimum CD (deg)
0.0255         Minimum CD value
   -180.00    0.0297    0.0060
   -179.00    0.3377    0.0065
   -178.00    0.6454    0.0078
   -177.00    0.9385    0.0101
   -176.00    1.1447    0.0132
   -175.00    1.1622    0.0173
   -174.00    1.0108    0.0222
   -173.00    0.8205    0.0280
   -172.00    0.6728    0.0347
   -171.00    0.5789    0.0422
   -170.00    0.5257    0.0506
   -169.00    0.4997    0.0599
   -168.00    0.4910    0.0700
   -167.00    0.4934    0.0808
   -166.00    0.5030    0.0925
   -165.00    0.5173    0.1050
   -164.00    0.5348    0.1182
   -163.00    0.5543    0.1322
   -162.00    0.5750    0.1470
   -161.00    0.5965    0.1624
   -160.00    0.6185    0.1786
   -159.00    0.6405    0.1954
   -158.00    0.6624    0.2129
   -157.00    0.6840    0.2310
   -156.00    0.7052    0.2497
   -155.00    0.7259    0.2690
   -154.00    0.7460    0.2889
   -153.00    0.7653    0.3093
   -152.00    0.7839    0.3303
   -151.00    0.8016    0.3517
   -150.00    0.8184    0.3736
   -149.00    0.8342    0.3959
   -148.00    0.8491    0.4186
   -147.00    0.8629    0.4417
   -146.00    0.8756    0.4652
   -145.00    0.8872    0.4889
   -144.00    0.8976    0.5130
   -143.00    0.9069    0.5373
   -142.00    0.9149    0.5619
   -141.00    0.9217    0.5867
   -140.00    0.9273    0.6116
   -139.00    0.9316    0.6367
   -138.00    0.9346    0.6619
   -137.00    0.9363    0.6872
   -136.00    0.9368    0.7125
   -135.00    0.9359    0.7378
   -134.00    0.9336    0.7632
   -133.00    0.9301    0.7885
   -132.00    0.9252    0.8137
   -131.00    0.9191    0.8388
   -130.00    0.9116    0.8638
   -129.00    0.9028    0.8887
   -128.00    0.8927    0.9133
   -127.00    0.8813    0.9377
   -126.00    0.8686    0.9619
   -125.00    0.8547    0.9858
   -124.00    0.8396    1.0094
   -123.00    0.8232    1.0326
   -122.00    0.8057    1.0555
   -121.00    0.7870    1.0779
   -120.00    0.7671    1.1000
   -119.00    0.7461    1.1216
   -118.00    0.7241    1.1428
   -117.00    0.7010    1.1634
   -116.00    0.6769    1.1835
   -115.00    0.6518    1.2031
   -114.00    0.6258    1.2221
   -113.00    0.5989    1.2405
   -112.00    0.5711    1.2583
   -111.00    0.5425    1.2755
   -110.00    0.5131    1.2920
   -109.00    0.4830    1.3078
   -108.00    0.4518    1.3229
   -107.00    0.4203    1.3374
   -106.00    0.3883    1.3511
   -105.00    0.3557    1.3640
   -104.00    0.3227    1.3762
   -103.00    0.2892    1.3876
   -102.00    0.2553    1.3982
   -101.00    0.2210    1.4080
   -100.00    0.1865    1.4170
    -99.00    0.1517    1.4252
    -98.00    0.1167    1.4326
    -97.00    0.0816    1.4391
    -96.00    0.0463    1.4447
    -95.00    0.0110    1.4495
    -94.00   -0.0242    1.4534
    -93.00   -0.0594    1.4565
    -92.00   -0.0945    1.4587
    -91.00   -0.1295    1.4600
    -90.00   -0.1642    1.4604
    -89.00   -0.1987    1.4600
    -88.00   -0.2328    1.4587
    -87.00   -0.2667    1.4565
    -86.00   -0.3001    1.4534
    -85.00   -0.3331    1.4495
    -84.00   -0.3656    1.4447
    -83.00   -0.3976    1.4391
    -82.00   -0.4290    1.4326
    -81.00   -0.4598    1.4252
    -80.00   -0.4899    1.4170
    -79.00   -0.5194    1.4080
    -78.00   -0.5481    1.3982
    -77.00   -0.5761    1.3876
    -76.00   -0.6033    1.3762
    -75.00   -0.6296    1.3640
    -74.00   -0.6551    1.3511
    -73.00   -0.6797    1.3374
    -72.00   -0.7034    1.3229
    -71.00   -0.7262    1.3078
    -70.00   -0.7480    1.2920
    -69.00   -0.7688    1.2755
    -68.00   -0.7886    1.2583
    -67.00   -0.8073    1.2405
    -66.00   -0.8250    1.2221
    -65.00   -0.8417    1.2031
    -64.00   -0.8572    1.1835
    -63.00   -0.8717    1.1634
    -62.00   -0.8850    1.1428
    -61.00   -0.8973    1.1216
    -60.00   -0.9084    1.1000
    -59.00   -0.9184    1.0779
    -58.00   -0.9273    1.0555
    -57.00   -0.9350    1.0326
    -56.00   -0.9416    1.0093
    -55.00   -0.9471    0.9858
    -54.00   -0.9514    0.9619
    -53.00   -0.9546    0.9377
    -52.00   -0.9567    0.9133
    -51.00   -0.9576    0.8887
    -50.00   -0.9575    0.8638
    -49.00   -0.9562    0.8388
    -48.00   -0.9539    0.8137
    -47.00   -0.9505    0.7885
    -46.00   -0.9460    0.7632
    -45.00   -0.9405    0.7378
    -44.00   -0.9340    0.7125
    -43.00   -0.9264    0.6872
    -42.00   -0.9179    0.6619
    -41.00   -0.9083    0.6367
    -40.00   -0.8979    0.6116
    -39.00   -0.8865    0.5866
    -38.00   -0.8742    0.5619
    -37.00   -0.8610    0.5373
    -36.00   -0.8470    0.5130
    -35.00   -0.8322    0.4889
    -34.00   -0.8165    0.4651
    -33.00   -0.8001    0.4417
    -32.00   -0.7830    0.4186
    -31.00   -0.7651    0.3959
    -30.00   -0.7466    0.3735
    -29.00   -0.7274    0.3517
    -28.00   -0.7076    0.3302
    -27.00   -0.6872    0.3093
    -26.00   -0.6663    0.2889
    -25.00   -0.6449    0.2690
    -24.00   -0.6230    0.2497
    -23.00   -0.6007    0.2310
    -22.00   -0.5779    0.2128
    -21.00   -0.5548    0.1953
    -20.00   -0.5314    0.1785
    -19.00   -0.5078    0.1624
    -18.00   -0.4839    0.1469
    -17.00   -0.4599    0.1322
    -16.00   -0.4358    0.1182
    -15.00   -0.4116    0.1049
    -14.00   -0.3876    0.0924
    -13.00   -0.3638    0.0807
    -12.00   -0.3404    0.0698
    -11.00   -0.3177    0.0597
    -10.00   -0.5986    0.0865
     -9.90   -0.6133    0.0848
     -9.80   -0.6289    0.0833
     -9.70   -0.6452    0.0819
     -9.60   -0.6619    0.0806
     -9.50   -0.6790    0.0796
     -9.40   -0.7213    0.0752
     -9.30   -0.7333    0.0735
     -9.20   -0.7444    0.0717
     -9.10   -0.7548    0.0697
     -9.00   -0.7646    0.0676
     -8.90   -0.7739    0.0653
     -8.80   -0.7816    0.0629
     -8.70   -0.7872    0.0606
     -8.60   -0.7903    0.0585
     -8.50   -0.7908    0.0566
     -8.40   -0.7887    0.0552
     -8.30   -0.7851    0.0540
     -8.20   -0.7806    0.0528
     -8.10   -0.7756    0.0518
     -8.00   -0.7700    0.0507
     -7.90   -0.7642    0.0496
     -7.80   -0.7579    0.0485
     -7.70   -0.7514    0.0474
     -7.60   -0.7445    0.0463
     -7.50   -0.7374    0.0451
     -7.40   -0.7300    0.0440
     -7.30   -0.7224    0.0430
     -7.20   -0.7145    0.0420
     -7.10   -0.7066    0.0412
     -7.00   -0.6985    0.0404
     -6.90   -0.6903    0.0397
     -6.80   -0.6820    0.0391
     -6.70   -0.6736    0.0385
     -6.60   -0.6651    0.0380
     -6.50   -0.6564    0.0375
     -6.40   -0.6477    0.0370
     -6.30   -0.6389    0.0366
     -6.20   -0.6301    0.0362
     -6.10   -0.6211    0.0358
     -6.00   -0.6123    0.0354
     -5.90   -0.6035    0.0350
     -5.80   -0.5948    0.0346
     -5.70   -0.5862    0.0342
     -5.60   -0.5774    0.0339
     -5.50   -0.5686    0.0335
     -5.40   -0.5597    0.0332
     -5.30   -0.5507    0.0329
     -5.20   -0.5415    0.0325
     -5.10   -0.5320    0.0320
     -5.00   -0.5215    0.0314
     -4.90   -0.5084    0.0306
     -4.80   -0.4964    0.0298
     -4.70   -0.4864    0.0293
     -4.60   -0.4777    0.0289
     -4.50   -0.4706    0.0289
     -4.40   -0.4666    0.0294
     -4.30   -0.4628    0.0299
     -4.20   -0.4582    0.0305
     -4.10   -0.4539    0.0311
     -4.00   -0.4498    0.0317
     -3.90   -0.4467    0.0323
     -3.80   -0.4425    0.0328
     -3.70   -0.4389    0.0333
     -3.60   -0.4357    0.0338
     -3.50   -0.4322    0.0342
     -3.40   -0.4282    0.0347
     -3.30   -0.4261    0.0351
     -3.20   -0.4231    0.0355
     -3.10   -0.4196    0.0358
     -3.00   -0.4173    0.0362
     -2.90   -0.4151    0.0365
     -2.80   -0.4120    0.0368
     -2.70   -0.4098    0.0371
     -2.60   -0.4078    0.0374
     -2.50   -0.4045    0.0376
     -2.40   -0.4020    0.0378
     -2.30   -0.3997    0.0379
     -2.20   -0.3956    0.0381
     -2.10   -0.3923    0.0381
     -2.00   -0.3896    0.0382
     -1.90   -0.3851    0.0383
     -1.80   -0.3813    0.0383
     -1.70   -0.3788    0.0383
     -1.60   -0.3749    0.0383
     -1.50   -0.3712    0.0383
     -1.40   -0.3686    0.0382
     -1.30   -0.3649    0.0382
     -1.20   -0.3603    0.0382
     -1.10   -0.3559    0.0381
     -1.00   -0.3506    0.0381
     -0.90   -0.3441    0.0380
     -0.80   -0.3372    0.0380
     -0.70   -0.3298    0.0381
     -0.60   -0.3220    0.0381
     -0.50   -0.3141    0.0381
     -0.40   -0.3059    0.0381
     -0.30   -0.2977    0.0382
     -0.20   -0.2894    0.0382
     -0.10   -0.2803    0.0383
      0.00   -0.2701    0.0384
      0.10   -0.2592    0.0386
      0.20   -0.2476    0.0388
      0.30   -0.2354    0.0390
      0.40   -0.2233    0.0393
      0.50   -0.2118    0.0396
      0.60   -0.2005    0.0399
      0.70   -0.1886    0.0402
      0.80   -0.1420    0.0410
      0.90   -0.0965    0.0418
      1.00   -0.0485    0.0425
      1.10    0.0048    0.0433
      1.20    0.0600    0.0441
      1.30    0.0793    0.0443
      1.40    0.1009    0.0445
      1.50    0.1225    0.0448
      1.60    0.1436    0.0450
      1.70    0.1604    0.0452
      1.80    0.1783    0.0454
      1.90    0.1977    0.0456
      2.00    0.2185    0.0457
      2.10    0.2393    0.0459
      2.20    0.2559    0.0460
      2.30    0.2726    0.0462
      2.40    0.2887    0.0463
      2.50    0.3044    0.0464
      2.60    0.3124    0.0464
      2.70    0.3232    0.0465
      2.80    0.3346    0.0465
      2.90    0.3467    0.0464
      3.00    0.3593    0.0463
      3.10    0.3659    0.0463
      3.20    0.3755    0.0462
      3.30    0.3866    0.0461
      3.40    0.3993    0.0459
      3.50    0.4041    0.0457
      3.60    0.4140    0.0456
      3.70    0.4264    0.0454
      3.80    0.4399    0.0451
      3.90    0.4533    0.0448
      4.00    0.4602    0.0446
      4.10    0.4727    0.0444
      4.20    0.4861    0.0440
      4.30    0.4997    0.0437
      4.40    0.5063    0.0434
      4.50    0.5205    0.0430
      4.60    0.5354    0.0426
      4.70    0.5504    0.0421
      4.80    0.5651    0.0416
      4.90    0.5820    0.0410
      5.00    0.6010    0.0404
      5.10    0.6167    0.0398
      5.20    0.6325    0.0392
      5.30    0.6485    0.0385
      5.40    0.6636    0.0379
      5.50    0.6777    0.0372
      5.60    0.6959    0.0363
      5.70    0.7148    0.0352
      5.80    0.7288    0.0344
      5.90    0.7434    0.0335
      6.00    0.7637    0.0323
      6.10    0.7773    0.0314
      6.20    0.7901    0.0307
      6.30    0.8031    0.0300
      6.40    0.8210    0.0290
      6.50    0.8319    0.0286
      6.60    0.8498    0.0277
      6.70    0.8646    0.0272
      6.80    0.8824    0.0265
      6.90    0.8945    0.0263
      7.00    0.9107    0.0260
      7.10    0.9212    0.0261
      7.20    0.9312    0.0263
      7.30    0.9391    0.0267
      7.40    0.9478    0.0271
      7.50    0.9552    0.0276
      7.60    0.9662    0.0281
      7.70    0.9768    0.0286
      7.80    0.9866    0.0291
      7.90    0.9968    0.0296
      8.00    1.0074    0.0301
      8.10    1.0194    0.0307
      8.20    1.0312    0.0313
      8.30    1.0429    0.0319
      8.40    1.0545    0.0324
      8.50    1.0661    0.0330
      8.60    1.0742    0.0335
      8.70    1.0833    0.0340
      8.80    1.0934    0.0346
      8.90    1.1042    0.0351
      9.00    1.1164    0.0358
      9.10    1.1320    0.0369
      9.20    1.1465    0.0379
      9.30    1.1597    0.0389
      9.40    1.1719    0.0398
      9.50    1.1819    0.0407
      9.60    1.1879    0.0411
      9.70    1.1944    0.0415
      9.80    1.2017    0.0420
      9.90    1.2099    0.0425
     10.00    1.2195    0.0430
     10.10    1.2318    0.0436
     10.20    1.2441    0.0444
     10.30    1.2552    0.0453
     10.40    1.2646    0.0462
     10.50    1.2718    0.0472
     10.60    1.2755    0.0481
     10.70    1.2781    0.0490
     10.80    1.2807    0.0499
     10.90    1.2833    0.0508
     11.00    1.2861    0.0518
     11.10    1.2890    0.0528
     11.20    1.2922    0.0537
     11.30    1.2962    0.0546
     11.40    1.3023    0.0554
     11.50    1.3127    0.0564
     11.60    1.3214    0.0574
     11.70    1.3281    0.0585
