AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.125_M0.00_N9.0 360 M" on Foil "T1_Re0.125_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.20          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.03          Angle of attack for zero Cn for linear Cn curve (deg)
4.89818        Cn slope for zero lift for linear Cn curve (1/rad)
-0.3439        Cn at stall value for positive angle of attack for linear Cn curve
-0.5605        Cn at stall value for negative angle of attack for linear Cn curve
6.50           Angle of attack for minimum CD (deg)
0.0199         Minimum CD value
   -180.00   -0.0270    0.0060
   -179.00    0.0513    0.0065
   -178.00    0.1278    0.0078
   -177.00    0.1985    0.0101
   -176.00    0.2565    0.0132
   -175.00    0.2962    0.0173
   -174.00    0.3175    0.0222
   -173.00    0.3259    0.0280
   -172.00    0.3288    0.0347
   -171.00    0.3314    0.0422
   -170.00    0.3363    0.0506
   -169.00    0.3441    0.0599
   -168.00    0.3547    0.0700
   -167.00    0.3675    0.0808
   -166.00    0.3819    0.0925
   -165.00    0.3975    0.1050
   -164.00    0.4138    0.1182
   -163.00    0.4305    0.1322
   -162.00    0.4474    0.1470
   -161.00    0.4642    0.1624
   -160.00    0.4808    0.1786
   -159.00    0.4970    0.1954
   -158.00    0.5128    0.2129
   -157.00    0.5281    0.2310
   -156.00    0.5428    0.2497
   -155.00    0.5568    0.2690
   -154.00    0.5701    0.2889
   -153.00    0.5827    0.3093
   -152.00    0.5945    0.3303
   -151.00    0.6055    0.3517
   -150.00    0.6157    0.3736
   -149.00    0.6250    0.3959
   -148.00    0.6335    0.4186
   -147.00    0.6410    0.4417
   -146.00    0.6477    0.4652
   -145.00    0.6535    0.4889
   -144.00    0.6584    0.5130
   -143.00    0.6624    0.5373
   -142.00    0.6655    0.5619
   -141.00    0.6676    0.5867
   -140.00    0.6689    0.6116
   -139.00    0.6692    0.6367
   -138.00    0.6687    0.6619
   -137.00    0.6672    0.6872
   -136.00    0.6648    0.7125
   -135.00    0.6616    0.7378
   -134.00    0.6575    0.7632
   -133.00    0.6525    0.7885
   -132.00    0.6467    0.8137
   -131.00    0.6400    0.8388
   -130.00    0.6325    0.8638
   -129.00    0.6242    0.8887
   -128.00    0.6151    0.9133
   -127.00    0.6052    0.9377
   -126.00    0.5946    0.9619
   -125.00    0.5832    0.9858
   -124.00    0.5711    1.0094
   -123.00    0.5583    1.0326
   -122.00    0.5448    1.0555
   -121.00    0.5307    1.0779
   -120.00    0.5159    1.1000
   -119.00    0.5005    1.1216
   -118.00    0.4845    1.1428
   -117.00    0.4680    1.1634
   -116.00    0.4509    1.1835
   -115.00    0.4332    1.2031
   -114.00    0.4151    1.2221
   -113.00    0.3965    1.2405
   -112.00    0.3775    1.2583
   -111.00    0.3580    1.2755
   -110.00    0.3375    1.2920
   -109.00    0.3173    1.3078
   -108.00    0.2968    1.3229
   -107.00    0.2760    1.3374
   -106.00    0.2548    1.3511
   -105.00    0.2334    1.3640
   -104.00    0.2118    1.3762
   -103.00    0.1900    1.3876
   -102.00    0.1679    1.3982
   -101.00    0.1458    1.4080
   -100.00    0.1235    1.4170
    -99.00    0.1011    1.4252
    -98.00    0.0786    1.4326
    -97.00    0.0561    1.4391
    -96.00    0.0335    1.4447
    -95.00    0.0110    1.4495
    -94.00   -0.0115    1.4534
    -93.00   -0.0340    1.4565
    -92.00   -0.0564    1.4587
    -91.00   -0.0787    1.4600
    -90.00   -0.1008    1.4604
    -89.00   -0.1228    1.4600
    -88.00   -0.1446    1.4587
    -87.00   -0.1663    1.4565
    -86.00   -0.1877    1.4534
    -85.00   -0.2088    1.4495
    -84.00   -0.2297    1.4447
    -83.00   -0.2503    1.4391
    -82.00   -0.2706    1.4326
    -81.00   -0.2906    1.4252
    -80.00   -0.3102    1.4170
    -79.00   -0.3294    1.4080
    -78.00   -0.3483    1.3982
    -77.00   -0.3667    1.3876
    -76.00   -0.3847    1.3762
    -75.00   -0.4023    1.3640
    -74.00   -0.4194    1.3511
    -73.00   -0.4360    1.3374
    -72.00   -0.4521    1.3229
    -71.00   -0.4677    1.3078
    -70.00   -0.4828    1.2920
    -69.00   -0.4973    1.2755
    -68.00   -0.5113    1.2583
    -67.00   -0.5247    1.2405
    -66.00   -0.5376    1.2221
    -65.00   -0.5498    1.2031
    -64.00   -0.5614    1.1835
    -63.00   -0.5725    1.1634
    -62.00   -0.5828    1.1427
    -61.00   -0.5926    1.1216
    -60.00   -0.6017    1.1000
    -59.00   -0.6101    1.0779
    -58.00   -0.6179    1.0554
    -57.00   -0.6250    1.0326
    -56.00   -0.6314    1.0093
    -55.00   -0.6372    0.9858
    -54.00   -0.6422    0.9619
    -53.00   -0.6466    0.9377
    -52.00   -0.6502    0.9133
    -51.00   -0.6532    0.8886
    -50.00   -0.6554    0.8638
    -49.00   -0.6570    0.8388
    -48.00   -0.6578    0.8137
    -47.00   -0.6579    0.7885
    -46.00   -0.6573    0.7632
    -45.00   -0.6560    0.7378
    -44.00   -0.6539    0.7125
    -43.00   -0.6512    0.6871
    -42.00   -0.6477    0.6618
    -41.00   -0.6436    0.6366
    -40.00   -0.6387    0.6115
    -39.00   -0.6331    0.5866
    -38.00   -0.6269    0.5618
    -37.00   -0.6199    0.5373
    -36.00   -0.6123    0.5129
    -35.00   -0.6040    0.4888
    -34.00   -0.5950    0.4651
    -33.00   -0.5854    0.4416
    -32.00   -0.5751    0.4185
