AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.050_M0.00_N9.0 360 M" on Foil "T1_Re0.050_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
9.40           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
0.96           Angle of attack for zero Cn for linear Cn curve (deg)
6.14080        Cn slope for zero lift for linear Cn curve (1/rad)
-0.6374        Cn at stall value for positive angle of attack for linear Cn curve
-0.6462        Cn at stall value for negative angle of attack for linear Cn curve
5.60           Angle of attack for minimum CD (deg)
0.0289         Minimum CD value
   -180.00    0.0250    0.0060
   -179.00    0.1578    0.0065
   -178.00    0.2905    0.0078
   -177.00    0.4198    0.0101
   -176.00    0.5323    0.0132
   -175.00    0.6034    0.0173
   -174.00    0.6168    0.0222
   -173.00    0.5852    0.0280
   -172.00    0.5380    0.0347
   -171.00    0.4969    0.0423
   -170.00    0.4693    0.0507
   -169.00    0.4548    0.0599
   -168.00    0.4505    0.0700
   -167.00    0.4536    0.0809
   -166.00    0.4619    0.0926
   -165.00    0.4737    0.1051
   -164.00    0.4877    0.1184
   -163.00    0.5033    0.1324
   -162.00    0.5198    0.1472
   -161.00    0.5368    0.1627
   -160.00    0.5540    0.1789
   -159.00    0.5711    0.1958
   -158.00    0.5879    0.2133
   -157.00    0.6044    0.2315
   -156.00    0.6204    0.2503
   -155.00    0.6359    0.2697
   -154.00    0.6507    0.2896
   -153.00    0.6647    0.3101
   -152.00    0.6780    0.3311
   -151.00    0.6905    0.3527
   -150.00    0.7022    0.3746
   -149.00    0.7130    0.3971
   -148.00    0.7229    0.4199
   -147.00    0.7319    0.4431
   -146.00    0.7399    0.4667
   -145.00    0.7469    0.4906
   -144.00    0.7530    0.5148
   -143.00    0.7581    0.5392
   -142.00    0.7622    0.5639
   -141.00    0.7653    0.5888
   -140.00    0.7674    0.6139
   -139.00    0.7684    0.6391
   -138.00    0.7684    0.6645
   -137.00    0.7674    0.6899
   -136.00    0.7654    0.7154
   -135.00    0.7624    0.7409
   -134.00    0.7584    0.7664
   -133.00    0.7534    0.7919
   -132.00    0.7473    0.8173
   -131.00    0.7403    0.8426
   -130.00    0.7323    0.8678
