AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:31 Compatible with AeroDyn v13.0.
Polar "T1_Re0.075_M0.00_N9.0 360 M" on Foil "T1_Re0.075_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
14.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-0.84          Angle of attack for zero Cn for linear Cn curve (deg)
11.03620       Cn slope for zero lift for linear Cn curve (1/rad)
0.8971         Cn at stall value for positive angle of attack for linear Cn curve
-0.7415        Cn at stall value for negative angle of attack for linear Cn curve
3.00           Angle of attack for minimum CD (deg)
0.0261         Minimum CD value
   -180.00   -0.0232    0.0060
   -179.00    0.0960    0.0065
   -178.00    0.2148    0.0080
   -177.00    0.3291    0.0106
   -176.00    0.4260    0.0141
   -175.00    0.4865    0.0187
   -174.00    0.5018    0.0242
   -173.00    0.4844    0.0307
   -172.00    0.4561    0.0382
   -171.00    0.4321    0.0467
   -170.00    0.4175    0.0562
   -169.00    0.4123    0.0665
   -168.00    0.4145    0.0779
   -167.00    0.4220    0.0901
   -166.00    0.4333    0.1032
   -165.00    0.4471    0.1173
   -164.00    0.4625    0.1321
   -163.00    0.4788    0.1479
   -162.00    0.4956    0.1645
   -161.00    0.5125    0.1818
   -160.00    0.5293    0.2000
   -159.00    0.5458    0.2189
   -158.00    0.5619    0.2386
   -157.00    0.5773    0.2590
   -156.00    0.5921    0.2800
   -155.00    0.6062    0.3018
   -154.00    0.6195    0.3241
   -153.00    0.6320    0.3471
   -152.00    0.6436    0.3707
   -151.00    0.6543    0.3948
   -150.00    0.6641    0.4194
   -149.00    0.6730    0.4445
   -148.00    0.6809    0.4701
   -147.00    0.6879    0.4961
   -146.00    0.6939    0.5225
   -145.00    0.6989    0.5493
   -144.00    0.7030    0.5764
   -143.00    0.7061    0.6038
   -142.00    0.7082    0.6315
   -141.00    0.7094    0.6594
   -140.00    0.7096    0.6875
   -139.00    0.7088    0.7157
   -138.00    0.7072    0.7441
   -137.00    0.7045    0.7726
   -136.00    0.7010    0.8011
   -135.00    0.6966    0.8297
   -134.00    0.6912    0.8582
   -133.00    0.6850    0.8868
   -132.00    0.6779    0.9152
   -131.00    0.6700    0.9435
   -130.00    0.6613    0.9717
   -129.00    0.6517    0.9996
   -128.00    0.6413    1.0274
   -127.00    0.6302    1.0549
