AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:32 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
16.00          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.53          Angle of attack for zero Cn for linear Cn curve (deg)
7.95777        Cn slope for zero lift for linear Cn curve (1/rad)
1.1445         Cn at stall value for positive angle of attack for linear Cn curve
-0.8087        Cn at stall value for negative angle of attack for linear Cn curve
-1.00          Angle of attack for minimum CD (deg)
0.0205         Minimum CD value
   -180.00   -0.0470    0.0060
   -179.00    0.0754    0.0065
   -178.00    0.1967    0.0080
   -177.00    0.3103    0.0106
   -176.00    0.4001    0.0141
   -175.00    0.4486    0.0187
   -174.00    0.4542    0.0242
   -173.00    0.4344    0.0307
   -172.00    0.4094    0.0382
   -171.00    0.3906    0.0467
   -170.00    0.3808    0.0562
   -169.00    0.3794    0.0665
   -168.00    0.3843    0.0779
   -167.00    0.3938    0.0901
   -166.00    0.4065    0.1032
   -165.00    0.4212    0.1173
   -164.00    0.4372    0.1322
   -163.00    0.4540    0.1479
   -162.00    0.4711    0.1645
   -161.00    0.4883    0.1818
   -160.00    0.5052    0.2000
   -159.00    0.5218    0.2189
   -158.00    0.5379    0.2386
   -157.00    0.5534    0.2590
   -156.00    0.5682    0.2801
   -155.00    0.5823    0.3018
   -154.00    0.5955    0.3242
   -153.00    0.6080    0.3471
   -152.00    0.6195    0.3707
   -151.00    0.6302    0.3948
   -150.00    0.6400    0.4195
   -149.00    0.6488    0.4446
   -148.00    0.6567    0.4702
   -147.00    0.6636    0.4962
   -146.00    0.6696    0.5226
   -145.00    0.6746    0.5494
   -144.00    0.6787    0.5765
   -143.00    0.6817    0.6039
   -142.00    0.6839    0.6316
   -141.00    0.6851    0.6595
   -140.00    0.6853    0.6876
   -139.00    0.6846    0.7158
   -138.00    0.6830    0.7442
   -137.00    0.6805    0.7727
   -136.00    0.6771    0.8013
   -135.00    0.6728    0.8298
   -134.00    0.6676    0.8584
   -133.00    0.6615    0.8869
   -132.00    0.6546    0.9154
   -131.00    0.6469    0.9437
   -130.00    0.6384    0.9719
   -129.00    0.6291    0.9999
   -128.00    0.6191    1.0277
   -127.00    0.6083    1.0552
   -126.00    0.5968    1.0824
   -125.00    0.5845    1.1094
   -124.00    0.5717    1.1360
   -123.00    0.5581    1.1622
   -122.00    0.5439    1.1880
   -121.00    0.5291    1.2133
   -120.00    0.5138    1.2382
   -119.00    0.4978    1.2626
   -118.00    0.4814    1.2864
   -117.00    0.4644    1.3097
   -116.00    0.4470    1.3324
   -115.00    0.4290    1.3545
   -114.00    0.4107    1.3759
   -113.00    0.3919    1.3966
   -112.00    0.3728    1.4167
   -111.00    0.3533    1.4361
   -110.00    0.3334    1.4547
   -109.00    0.3068    1.4725
   -108.00    0.2862    1.4896
