AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:32 Compatible with AeroDyn v13.0.
Polar "T1_Re0.125_M0.00_N9.0 360 M" on Foil "T1_Re0.125_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
17.60          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.87          Angle of attack for zero Cn for linear Cn curve (deg)
6.91232        Cn slope for zero lift for linear Cn curve (1/rad)
-0.9730        Cn at stall value for positive angle of attack for linear Cn curve
-0.8478        Cn at stall value for negative angle of attack for linear Cn curve
-0.60          Angle of attack for minimum CD (deg)
0.0165         Minimum CD value
   -180.00   -0.0543    0.0060
   -179.00    0.0392    0.0065
   -178.00    0.1311    0.0080
   -177.00    0.2161    0.0106
   -176.00    0.2845    0.0141
   -175.00    0.3279    0.0187
   -174.00    0.3462    0.0242
   -173.00    0.3486    0.0307
   -172.00    0.3455    0.0382
   -171.00    0.3438    0.0467
   -170.00    0.3462    0.0562
   -169.00    0.3529    0.0665
   -168.00    0.3633    0.0779
   -167.00    0.3764    0.0901
   -166.00    0.3914    0.1032
   -165.00    0.4077    0.1173
   -164.00    0.4248    0.1322
   -163.00    0.4423    0.1479
   -162.00    0.4598    0.1645
   -161.00    0.4771    0.1819
   -160.00    0.4942    0.2000
   -159.00    0.5108    0.2189
   -158.00    0.5268    0.2386
   -157.00    0.5421    0.2590
   -156.00    0.5567    0.2801
   -155.00    0.5706    0.3018
   -154.00    0.5836    0.3242
   -153.00    0.5958    0.3472
   -152.00    0.6071    0.3707
   -151.00    0.6175    0.3949
   -150.00    0.6270    0.4195
   -149.00    0.6355    0.4446
   -148.00    0.6431    0.4702
   -147.00    0.6498    0.4962
   -146.00    0.6555    0.5227
   -145.00    0.6602    0.5494
   -144.00    0.6640    0.5766
   -143.00    0.6669    0.6040
   -142.00    0.6688    0.6316
   -141.00    0.6698    0.6596
   -140.00    0.6698    0.6877
   -139.00    0.6689    0.7159
   -138.00    0.6672    0.7443
   -137.00    0.6645    0.7728
   -136.00    0.6609    0.8014
   -135.00    0.6565    0.8300
   -134.00    0.6512    0.8585
   -133.00    0.6451    0.8871
   -132.00    0.6382    0.9155
   -131.00    0.6305    0.9439
   -130.00    0.6220    0.9720
   -129.00    0.6128    1.0000
   -128.00    0.6028    1.0278
   -127.00    0.5921    1.0554
   -126.00    0.5807    1.0826
   -125.00    0.5686    1.1096
   -124.00    0.5559    1.1362
   -123.00    0.5426    1.1624
   -122.00    0.5286    1.1882
   -121.00    0.5141    1.2136
   -120.00    0.4990    1.2385
   -119.00    0.4834    1.2629
   -118.00    0.4673    1.2867
   -117.00    0.4507    1.3100
   -116.00    0.4337    1.3327
   -115.00    0.4162    1.3548
   -114.00    0.3983    1.3763
   -113.00    0.3800    1.3971
   -112.00    0.3614    1.4172
   -111.00    0.3424    1.4365
   -110.00    0.3225    1.4552
   -109.00    0.3029    1.4730
   -108.00    0.2831    1.4901
   -107.00    0.2630    1.5064
   -106.00    0.2427    1.5219
   -105.00    0.2223    1.5365
   -104.00    0.2016    1.5502
   -103.00    0.1808    1.5631
   -102.00    0.1599    1.5751
   -101.00    0.1388    1.5862
   -100.00    0.1177    1.5964
    -99.00    0.0965    1.6056
    -98.00    0.0753    1.6139
    -97.00    0.0540    1.6212
    -96.00    0.0327    1.6276
    -95.00    0.0115    1.6330
    -94.00   -0.0097    1.6375
    -93.00   -0.0308    1.6409
    -92.00   -0.0519    1.6434
    -91.00   -0.0728    1.6449
    -90.00   -0.0937    1.6454
    -89.00   -0.1144    1.6449
    -88.00   -0.1349    1.6434
    -87.00   -0.1553    1.6409
    -86.00   -0.1754    1.6375
    -85.00   -0.1954    1.6330
    -84.00   -0.2151    1.6276
    -83.00   -0.2346    1.6212
    -82.00   -0.2539    1.6139
    -81.00   -0.2728    1.6056
    -80.00   -0.2915    1.5963
    -79.00   -0.3098    1.5862
    -78.00   -0.3279    1.5751
    -77.00   -0.3455    1.5631
    -76.00   -0.3629    1.5502
    -75.00   -0.3798    1.5364
    -74.00   -0.3964    1.5218
