AeroDyn airfoil file Created with QBlade v0.963 64bit on 03.01.2019 at 09:20:32 Compatible with AeroDyn v13.0.
Polar "T1_Re0.100_M0.00_N9.0 360 M" on Foil "T1_Re0.100_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
13.30          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
1.69           Angle of attack for zero Cn for linear Cn curve (deg)
6.28379        Cn slope for zero lift for linear Cn curve (1/rad)
-1.0855        Cn at stall value for positive angle of attack for linear Cn curve
-1.0383        Cn at stall value for negative angle of attack for linear Cn curve
8.10           Angle of attack for minimum CD (deg)
0.0216         Minimum CD value
   -180.00    0.0493    0.0060
   -179.00    0.1509    0.0065
   -178.00    0.2525    0.0080
   -177.00    0.3532    0.0106
   -176.00    0.4479    0.0141
   -175.00    0.5250    0.0187
   -174.00    0.5708    0.0242
   -173.00    0.5816    0.0307
   -172.00    0.5690    0.0382
   -171.00    0.5495    0.0467
   -170.00    0.5343    0.0561
   -169.00    0.5274    0.0665
   -168.00    0.5287    0.0778
   -167.00    0.5366    0.0900
   -166.00    0.5494    0.1031
   -165.00    0.5656    0.1171
   -164.00    0.5843    0.1320
   -163.00    0.6044    0.1477
   -162.00    0.6255    0.1642
   -161.00    0.6471    0.1816
   -160.00    0.6689    0.1997
   -159.00    0.6906    0.2186
   -158.00    0.7121    0.2382
   -157.00    0.7331    0.2585
   -156.00    0.7535    0.2795
   -155.00    0.7733    0.3012
   -154.00    0.7923    0.3235
   -153.00    0.8105    0.3464
   -152.00    0.8278    0.3699
   -151.00    0.8441    0.3939
   -150.00    0.8595    0.4185
   -149.00    0.8738    0.4435
   -148.00    0.8870    0.4690
   -147.00    0.8992    0.4949
   -146.00    0.9102    0.5212
   -145.00    0.9200    0.5479
   -144.00    0.9286    0.5749
   -143.00    0.9360    0.6022
   -142.00    0.9422    0.6298
   -141.00    0.9472    0.6575
   -140.00    0.9508    0.6855
   -139.00    0.9532    0.7137
   -138.00    0.9544    0.7419
   -137.00    0.9542    0.7703
   -136.00    0.9528    0.7987
   -135.00    0.9501    0.8271
   -134.00    0.9461    0.8555
   -133.00    0.9408    0.8839
   -132.00    0.9342    0.9122
   -131.00    0.9264    0.9404
   -130.00    0.9173    0.9684
   -129.00    0.9069    0.9962
   -128.00    0.8954    1.0238
   -127.00    0.8826    1.0512
   -126.00    0.8686    1.0783
   -125.00    0.8535    1.1051
   -124.00    0.8371    1.1315
   -123.00    0.8197    1.1576
   -122.00    0.8011    1.1832
   -121.00    0.7815    1.2084
   -120.00    0.7608    1.2331
   -119.00    0.7391    1.2573
   -118.00    0.7164    1.2810
   -117.00    0.6928    1.3041
   -116.00    0.6682    1.3267
   -115.00    0.6427    1.3486
   -114.00    0.6164    1.3699
   -113.00    0.5892    1.3905
   -112.00    0.5613    1.4105
   -111.00    0.5327    1.4297
   -110.00    0.5033    1.4482
   -109.00    0.4734    1.4659
   -108.00    0.4345    1.4828
   -107.00    0.4032    1.4990
   -106.00    0.3713    1.5143
   -105.00    0.3390    1.5288
   -104.00    0.3062    1.5424
   -103.00    0.2729    1.5551
   -102.00    0.2394    1.5670
   -101.00    0.2055    1.5780
   -100.00    0.1714    1.5880
    -99.00    0.1371    1.5971
    -98.00    0.1026    1.6053
    -97.00    0.0679    1.6125
    -96.00    0.0332    1.6188
    -95.00   -0.0015    1.6241
    -94.00   -0.0362    1.6285
    -93.00   -0.0709    1.6318
    -92.00   -0.1055    1.6342
    -91.00   -0.1399    1.6356
    -90.00   -0.1742    1.6361
    -89.00   -0.2082    1.6355
    -88.00   -0.2419    1.6339
    -87.00   -0.2753    1.6314
    -86.00   -0.3084    1.6279
    -85.00   -0.3411    1.6234
    -84.00   -0.3733    1.6179
    -83.00   -0.4051    1.6115
    -82.00   -0.4364    1.6041
    -81.00   -0.4671    1.5958
    -80.00   -0.4973    1.5865
    -79.00   -0.5268    1.5763
    -78.00   -0.5557    1.5652
    -77.00   -0.5840    1.5531
    -76.00   -0.6115    1.5402
    -75.00   -0.6383    1.5264
    -74.00   -0.6643    1.5118
    -73.00   -0.6896    1.4963
    -72.00   -0.7141    1.4800
    -71.00   -0.7377    1.4628
    -70.00   -0.7605    1.4449
    -69.00   -0.7824    1.4263
    -68.00   -0.8034    1.4068
    -67.00   -0.8235    1.3867
    -66.00   -0.8427    1.3659
    -65.00   -0.8609    1.3443
