AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:41 Compatible with AeroDyn v13.0.
Polar "T1_Re0.075_M0.00_N9.0 360 M" on Foil "T1_Re0.075_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
12.40          Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-1.74          Angle of attack for zero Cn for linear Cn curve (deg)
6.95028        Cn slope for zero lift for linear Cn curve (1/rad)
-0.5853        Cn at stall value for positive angle of attack for linear Cn curve
-0.6073        Cn at stall value for negative angle of attack for linear Cn curve
-11.00         Angle of attack for minimum CD (deg)
0.0333         Minimum CD value
   -180.00   -0.0186    0.0060
   -179.00    0.0158    0.0063
   -178.00    0.0478    0.0071
   -177.00    0.0761    0.0084
   -176.00    0.1001    0.0103
   -175.00    0.1197    0.0126
   -174.00    0.1355    0.0155
   -173.00    0.1485    0.0189
   -172.00    0.1597    0.0228
   -171.00    0.1699    0.0272
   -170.00    0.1795    0.0321
   -169.00    0.1890    0.0375
   -168.00    0.1984    0.0433
   -167.00    0.2079    0.0496
   -166.00    0.2173    0.0564
   -165.00    0.2268    0.0636
   -164.00    0.2361    0.0713
   -163.00    0.2454    0.0793
   -162.00    0.2545    0.0878
   -161.00    0.2634    0.0967
   -160.00    0.2720    0.1060
   -159.00    0.2803    0.1157
   -158.00    0.2883    0.1257
   -157.00    0.2960    0.1361
   -156.00    0.3032    0.1468
   -155.00    0.3101    0.1579
   -154.00    0.3165    0.1692
   -153.00    0.3225    0.1809
   -152.00    0.3281    0.1928
   -151.00    0.3332    0.2050
   -150.00    0.3378    0.2174
   -149.00    0.3419    0.2301
   -148.00    0.3456    0.2430
   -147.00    0.3488    0.2561
   -146.00    0.3515    0.2693
   -145.00    0.3537    0.2828
   -144.00    0.3554    0.2964
   -143.00    0.3567    0.3101
   -142.00    0.3574    0.3239
   -141.00    0.3577    0.3379
   -140.00    0.3575    0.3519
