AeroDyn airfoil file Created with QBlade v0.963 64bit on 17.01.2019 at 13:27:42 Compatible with AeroDyn v13.0.
Polar "T1_Re0.125_M0.00_N9.0 360 M" on Foil "T1_Re0.125_M0.00_N9.0" :: generated by QBlade
1              Number of airfoil tables in this file
0              Table ID parameter
9.00           Stall angle (deg)
0              No longer used, enter zero
0              No longer used, enter zero
0              No longer used, enter zero
-2.56          Angle of attack for zero Cn for linear Cn curve (deg)
7.93299        Cn slope for zero lift for linear Cn curve (1/rad)
-0.4695        Cn at stall value for positive angle of attack for linear Cn curve
-0.6061        Cn at stall value for negative angle of attack for linear Cn curve
8.70           Angle of attack for minimum CD (deg)
0.0254         Minimum CD value
   -180.00   -0.0427    0.0060
   -179.00    0.0080    0.0063
   -178.00    0.0459    0.0071
   -177.00    0.0728    0.0084
   -176.00    0.0917    0.0102
   -175.00    0.1053    0.0126
   -174.00    0.1161    0.0155
   -173.00    0.1253    0.0189
   -172.00    0.1339    0.0228
   -171.00    0.1422    0.0272
   -170.00    0.1506    0.0321
   -169.00    0.1590    0.0375
   -168.00    0.1674    0.0433
   -167.00    0.1758    0.0496
   -166.00    0.1842    0.0564
   -165.00    0.1924    0.0636
   -164.00    0.2005    0.0713
   -163.00    0.2083    0.0794
   -162.00    0.2159    0.0878
   -161.00    0.2232    0.0967
   -160.00    0.2301    0.1060
   -159.00    0.2366    0.1157
   -158.00    0.2427    0.1257
   -157.00    0.2485    0.1361
   -156.00    0.2538    0.1468
   -155.00    0.2586    0.1579
   -154.00    0.2631    0.1692
   -153.00    0.2670    0.1809
   -152.00    0.2705    0.1928
   -151.00    0.2736    0.2050
   -150.00    0.2762    0.2174
   -149.00    0.2783    0.2301
   -148.00    0.2800    0.2430
   -147.00    0.2813    0.2561
   -146.00    0.2821    0.2694
   -145.00    0.2825    0.2828
   -144.00    0.2825    0.2964
   -143.00    0.2820    0.3101
   -142.00    0.2812    0.3240
   -141.00    0.2799    0.3379
   -140.00    0.2783    0.3519
   -139.00    0.2763    0.3660
   -138.00    0.2739    0.3802
   -137.00    0.2712    0.3944
   -136.00    0.2682    0.4085
   -135.00    0.2649    0.4227
   -134.00    0.2612    0.4369
   -133.00    0.2573    0.4510
   -132.00    0.2530    0.4651
   -131.00    0.2486    0.4791
   -130.00    0.2438    0.4930
   -129.00    0.2388    0.5068
   -128.00    0.2336    0.5205
   -127.00    0.2282    0.5341
   -126.00    0.2226    0.5475
   -125.00    0.2168    0.5608
   -124.00    0.2108    0.5738
   -123.00    0.2047    0.5867
   -122.00    0.1984    0.5993
   -121.00    0.1920    0.6118
   -120.00    0.1854    0.6239
   -119.00    0.1788    0.6359
   -118.00    0.1720    0.6475
   -117.00    0.1651    0.6589
   -116.00    0.1481    0.6700
   -115.00    0.1410    0.6808
   -114.00    0.1338    0.6912
   -113.00    0.1266    0.7013
   -112.00    0.1192    0.7111
   -111.00    0.1119    0.7205
   -110.00    0.1045    0.7296
   -109.00    0.0970    0.7382
   -108.00    0.0896    0.7465
   -107.00    0.0821    0.7544
   -106.00    0.0746    0.7619
   -105.00    0.0670    0.7690
   -104.00    0.0595    0.7756
   -103.00    0.0520    0.7819
   -102.00    0.0445    0.7877
   -101.00    0.0369    0.7930
   -100.00    0.0294    0.7979
    -99.00    0.0219    0.8024
    -98.00    0.0145    0.8063
    -97.00    0.0070    0.8099
    -96.00   -0.0004    0.8129
    -95.00   -0.0079    0.8155
    -94.00   -0.0152    0.8176
    -93.00   -0.0226    0.8193
    -92.00   -0.0299    0.8204
    -91.00   -0.0372    0.8211
    -90.00   -0.0445    0.8213
    -89.00   -0.0517    0.8210
    -88.00   -0.0589    0.8203
    -87.00   -0.0661    0.8190
    -86.00   -0.0732    0.8173
    -85.00   -0.0802    0.8151
    -84.00   -0.0873    0.8124
    -83.00   -0.0943    0.8093
    -82.00   -0.1012    0.8057
    -81.00   -0.1081    0.8016
    -80.00   -0.1149    0.7971
    -79.00   -0.1217    0.7921
    -78.00   -0.1284    0.7867
    -77.00   -0.1350    0.7808
    -76.00   -0.1416    0.7745
    -75.00   -0.1481    0.7678
    -74.00   -0.1546    0.7606
    -73.00   -0.1610    0.7531
    -72.00   -0.1673    0.7451
    -71.00   -0.1735    0.7367
    -70.00   -0.1796    0.7280
    -69.00   -0.1857    0.7188
    -68.00   -0.1916    0.7093
    -67.00   -0.1974    0.6995
    -66.00   -0.2032    0.6893
    -65.00   -0.2088    0.6788
    -64.00   -0.2143    0.6679
    -63.00   -0.2197    0.6568
    -62.00   -0.2250    0.6453
    -61.00   -0.2301    0.6336
    -60.00   -0.2350    0.6216
    -59.00   -0.2399    0.6093
    -58.00   -0.2445    0.5968
    -57.00   -0.2490    0.5841
    -56.00   -0.2533    0.5712
    -55.00   -0.2575    0.5581
    -54.00   -0.2614    0.5448
    -53.00   -0.2652    0.5313
    -52.00   -0.2687    0.5177
    -51.00   -0.2721    0.5039
    -50.00   -0.2752    0.4900
    -49.00   -0.2780    0.4761
    -48.00   -0.2807    0.4620
    -47.00   -0.2831    0.4479
    -46.00   -0.2852    0.4337
    -45.00   -0.2870    0.4195
    -44.00   -0.2886    0.4053
    -43.00   -0.2899    0.3910
    -42.00   -0.2909    0.3768
    -41.00   -0.2916    0.3627
    -40.00   -0.2920    0.3486
    -39.00   -0.2921    0.3345
    -38.00   -0.2918    0.3205
    -37.00   -0.2912    0.3067
    -36.00   -0.2902    0.2930
    -35.00   -0.2889    0.2794
    -34.00   -0.2872    0.2659
    -33.00   -0.2852    0.2527
    -32.00   -0.2827    0.2396
    -31.00   -0.2799    0.2267
    -30.00   -0.2767    0.2141
    -29.00   -0.2730    0.2017
    -28.00   -0.2690    0.1895
    -27.00   -0.2645    0.1776
    -26.00   -0.2596    0.1660
    -25.00   -0.2542    0.1548
    -24.00   -0.2484    0.1438
    -23.00   -0.2421    0.1331
    -22.00   -0.2354    0.1229
    -21.00   -0.2281    0.1129
    -20.00   -0.2204    0.1034
    -19.00   -0.2121    0.0942
    -18.00   -0.2033    0.0854
    -17.00   -0.1940    0.0771
    -16.00   -0.1841    0.0692
    -15.00   -0.1736    0.0617
    -14.00   -0.1625    0.0546
    -13.00   -0.1508    0.0480
    -12.00   -0.1385    0.0419
    -11.00   -0.1254    0.0363
    -10.00   -0.5954    0.0706
     -9.90   -0.6058    0.0690
     -9.80   -0.6164    0.0676
     -9.70   -0.6268    0.0662
     -9.60   -0.6373    0.0650
     -9.50   -0.6483    0.0639
     -9.40   -0.6803    0.0605
     -9.30   -0.6894    0.0590
     -9.20   -0.6970    0.0573
     -9.10   -0.7025    0.0556
     -9.00   -0.7061    0.0538
     -8.90   -0.7077    0.0521
     -8.80   -0.7073    0.0506
     -8.70   -0.7054    0.0492
     -8.60   -0.7027    0.0479
     -8.50   -0.6993    0.0468
     -8.40   -0.6953    0.0457
     -8.30   -0.6910    0.0446
     -8.20   -0.6863    0.0435
     -8.10   -0.6814    0.0425
     -8.00   -0.6765    0.0416
     -7.90   -0.6715    0.0406
     -7.80   -0.6665    0.0398
     -7.70   -0.6614    0.0390
     -7.60   -0.6561    0.0383
     -7.50   -0.6505    0.0377
     -7.40   -0.6445    0.0371
     -7.30   -0.6382    0.0366
     -7.20   -0.6317    0.0361
     -7.10   -0.6253    0.0356
     -7.00   -0.6189    0.0351
     -6.90   -0.6111    0.0347
     -6.80   -0.6021    0.0344
     -6.70   -0.5918    0.0342
     -6.60   -0.5797    0.0340
     -6.50   -0.5654    0.0340
     -6.40   -0.5539    0.0343
     -6.30   -0.5423    0.0349
     -6.20   -0.5297    0.0355
     -6.10   -0.5162    0.0361
     -6.00   -0.5029    0.0366
     -5.90   -0.4800    0.0358
     -5.80   -0.4555    0.0352
     -5.70   -0.4282    0.0348
     -5.60   -0.4046    0.0354
     -5.50   -0.3832    0.0374
     -5.40   -0.3692    0.0409
     -5.30   -0.3574    0.0445
     -5.20   -0.3464    0.0480
     -5.10   -0.3312    0.0515
     -5.00   -0.3127    0.0544
     -4.90   -0.2912    0.0567
     -4.80   -0.2685    0.0584
     -4.70   -0.2484    0.0599
     -4.60   -0.2296    0.0606
     -4.50   -0.2122    0.0604
     -4.40   -0.1993    0.0607
     -4.30   -0.1874    0.0617
     -4.20   -0.1745    0.0628
     -4.10   -0.1608    0.0639
     -4.00   -0.1463    0.0650
     -3.90   -0.1284    0.0656
     -3.80   -0.1090    0.0654
     -3.70   -0.0954    0.0652
     -3.60   -0.0831    0.0649
     -3.50   -0.0716    0.0645
     -3.40   -0.0607    0.0640
     -3.30   -0.0503    0.0636
     -3.20   -0.0344    0.0630
     -3.10   -0.0255    0.0609
     -3.00   -0.0164    0.0588
     -2.90   -0.0074    0.0565
     -2.80    0.0017    0.0542
     -2.70    0.0079    0.0520
     -2.60    0.0191    0.0512
     -2.50    0.0280    0.0506
     -2.40    0.0364    0.0501
     -2.30    0.0444    0.0495
     -2.20    0.0550    0.0489
     -2.10    0.0682    0.0483
     -2.00    0.0844    0.0476
     -1.90    0.1013    0.0469
     -1.80    0.1191    0.0462
     -1.70    0.1378    0.0454
     -1.60    0.1575    0.0447
     -1.50    0.1733    0.0441
     -1.40    0.1850    0.0436
     -1.30    0.1961    0.0431
     -1.20    0.2067    0.0427
     -1.10    0.2170    0.0422
     -1.00    0.2319    0.0417
     -0.90    0.2520    0.0411
     -0.80    0.2740    0.0405
     -0.70    0.2975    0.0398
     -0.60    0.3214    0.0392
     -0.50    0.3396    0.0387
     -0.40    0.3544    0.0383
     -0.30    0.3668    0.0380
     -0.20    0.3770    0.0377
     -0.10    0.3866    0.0374
      0.00    0.4019    0.0370
      0.10    0.4204    0.0366
      0.20    0.4371    0.0363
      0.30    0.4511    0.0360
      0.40    0.4626    0.0358
      0.50    0.4717    0.0356
      0.60    0.4787    0.0355
      0.70    0.4881    0.0353
      0.80    0.5012    0.0352
      0.90    0.5226    0.0360
      1.00    0.5430    0.0369
      1.10    0.5624    0.0377
      1.20    0.5803    0.0386
      1.30    0.5898    0.0385
      1.40    0.5911    0.0374
      1.50    0.5929    0.0362
      1.60    0.5951    0.0350
      1.70    0.5977    0.0338
      1.80    0.6068    0.0334
      1.90    0.6173    0.0331
      2.00    0.6291    0.0329
      2.10    0.6403    0.0327
      2.20    0.6505    0.0325
      2.30    0.6596    0.0324
      2.40    0.6675    0.0322
      2.50    0.6747    0.0321
      2.60    0.7080    0.0309
      2.70    0.7429    0.0296
      2.80    0.7791    0.0284
      2.90    0.8163    0.0272
      3.00    0.8542    0.0260
      3.10    0.8675    0.0259
      3.20    0.8809    0.0258
      3.30    0.8947    0.0258
      3.40    0.9086    0.0258
      3.50    0.9216    0.0259
      3.60    0.9336    0.0259
      3.70    0.9447    0.0260
      3.80    0.9547    0.0260
      3.90    0.9638    0.0260
      4.00    0.9729    0.0260
      4.10    0.9823    0.0261
      4.20    0.9920    0.0261
      4.30    1.0019    0.0262
      4.40    1.0123    0.0262
      4.50    1.0231    0.0262
      4.60    1.0345    0.0262
      4.70    1.0463    0.0262
      4.80    1.0588    0.0262
      4.90    1.0719    0.0263
      5.00    1.0846    0.0264
      5.10    1.0966    0.0264
      5.20    1.1078    0.0265
      5.30    1.1180    0.0266
      5.40    1.1273    0.0266
      5.50    1.1367    0.0265
      5.60    1.1465    0.0265
      5.70    1.1568    0.0265
      5.80    1.1677    0.0264
      5.90    1.1792    0.0264
      6.00    1.1913    0.0263
      6.10    1.2040    0.0263
      6.20    1.2170    0.0263
      6.30    1.2291    0.0264
      6.40    1.2403    0.0265
      6.50    1.2505    0.0265
      6.60    1.2597    0.0266
      6.70    1.2681    0.0265
      6.80    1.2771    0.0265
      6.90    1.2866    0.0264
      7.00    1.2968    0.0263
      7.10    1.3078    0.0262
      7.20    1.3194    0.0262
      7.30    1.3300    0.0262
      7.40    1.3396    0.0262
      7.50    1.3482    0.0262
      7.60    1.3556    0.0262
      7.70    1.3626    0.0260
      7.80    1.3708    0.0259
      7.90    1.3803    0.0258
      8.00    1.3893    0.0256
      8.10    1.3977    0.0255
      8.20    1.4049    0.0255
      8.30    1.4108    0.0254
      8.40    1.4149    0.0254
      8.50    1.4188    0.0254
      8.60    1.4219    0.0255
      8.70    1.4238    0.0255
      8.80    1.4248    0.0257
      8.90    1.4245    0.0259
      9.00    1.4231    0.0262
      9.10    1.4210    0.0266
      9.20    1.4184    0.0271
      9.30    1.4152    0.0277
      9.40    1.4115    0.0283
      9.50    1.4078    0.0291
      9.60    1.4046    0.0298
      9.70    1.4015    0.0306
      9.80    1.3981    0.0315
      9.90    1.3952    0.0324
     10.00    1.3933    0.0332
     10.10    1.3910    0.0341
     10.20    1.3886    0.0350
     10.30    1.3862    0.0360
     10.40    1.3842    0.0370
     10.50    1.3824    0.0379
     10.60    1.3812    0.0389
     10.70    1.3804    0.0399
     10.80    1.3803    0.0408
     10.90    1.3795    0.0418
     11.00    1.3786    0.0429
     11.10    1.3781    0.0440
     11.20    1.3779    0.0451
     11.30    1.3783    0.0461
     11.40    1.3793    0.0470
     11.50    1.3801    0.0480
     11.60    1.3804    0.0490
     11.70    1.3802    0.0500
     11.80    1.3806    0.0512
     11.90    1.3813    0.0523
     12.00    1.3821    0.0534
     12.10    1.3834    0.0545
     12.20    1.3853    0.0555
     12.30    1.3865    0.0564
     12.40    1.3877    0.0574
     12.50    1.3886    0.0585
     12.60    1.3893    0.0595
     12.70    1.3897    0.0607
     12.80    1.3899    0.0618
     12.90    1.3903    0.0630
     13.00    1.3918    0.0645
     13.10    1.3931    0.0659
     13.20    1.3944    0.0674
     13.30    1.3955    0.0688
     13.40    1.3962    0.0703
     13.50    1.3956    0.0717
     13.60    1.3949    0.0730
     13.70    1.3938    0.0744
     13.80    1.3925    0.0759
     13.90    1.3911    0.0773
     14.00    1.3894    0.0787
     14.10    1.3877    0.0800
     14.20    1.3861    0.0814
     14.30    1.3846    0.0828
     14.40    1.3830    0.0842
     14.50    1.3814    0.0856
     14.60    1.3795    0.0872
     14.70    1.3771    0.0889
     14.80    1.3739    0.0909
     14.90    1.3695    0.0930
     15.00    1.3642    0.0954
     15.10    1.3581    0.0978
     15.20    1.3512    0.1004
     15.30    1.3437    0.1030
     15.40    1.3361    0.1056
     15.50    1.3282    0.1082
     15.60    1.3201    0.1109
     15.70    1.3121    0.1136
     15.80    1.3040    0.1165
     15.90    1.2959    0.1194
     16.00    1.2879    0.1224
     16.10    1.2800    0.1254
     16.20    1.2721    0.1286
     16.30    1.2643    0.1318
     16.40    1.2565    0.1350
     16.50    1.2487    0.1384
     16.60    1.2409    0.1417
     16.70    1.2331    0.1450
     16.80    1.2251    0.1484
     16.90    1.2172    0.1520
     17.00    1.2091    0.1557
     17.10    1.2007    0.1598
     17.20    1.1694    0.1757
     17.30    1.1396    0.1915
     17.40    1.1110    0.2072
     17.50    1.0839    0.2227
     17.60    1.0584    0.2379
     17.70    1.0573    0.2413
     17.80    1.0567    0.2445
     17.90    1.0577    0.2470
     18.00    1.0603    0.2488
     18.10    1.0644    0.2501
     18.20    1.0657    0.2545
     18.30    1.0666    0.2590
     18.40    1.0662    0.2639
     18.50    1.0642    0.2691
     18.60    1.0593    0.2745
     18.70    1.0572    0.2766
     18.80    1.0551    0.2786
     18.90    1.0530    0.2807
     19.00    1.0512    0.2829
     19.10    1.0512    0.2854
     19.20    1.0516    0.2878
     19.30    1.0522    0.2900
     19.40    1.0527    0.2921
     19.50    1.0521    0.2901
     19.60    1.0529    0.2924
     19.70    1.0538    0.2944
     19.80    1.0535    0.2957
     19.90    1.0528    0.2972
     20.00    1.0545    0.2994
     21.00    1.0240    0.0844
     22.00    1.0048    0.0951
     23.00    0.9860    0.1064
     24.00    0.9677    0.1183
     25.00    0.9504    0.1307
     26.00    0.9342    0.1437
     27.00    0.9190    0.1571
     28.00    0.9052    0.1709
     29.00    0.8925    0.1852
     30.00    0.8810    0.1998
     31.00    0.8706    0.2147
     32.00    0.8612    0.2299
     33.00    0.8528    0.2455
     34.00    0.8453    0.2612
     35.00    0.8385    0.2772
     36.00    0.8325    0.2934
     37.00    0.8269    0.3098
     38.00    0.8219    0.3264
     39.00    0.8173    0.3430
     40.00    0.8129    0.3598
     41.00    0.8088    0.3767
     42.00    0.8048    0.3937
     43.00    0.8009    0.4107
     44.00    0.7970    0.4278
     45.00    0.7931    0.4449
     46.00    0.7890    0.4620
     47.00    0.7847    0.4790
     48.00    0.7803    0.4960
     49.00    0.7755    0.5130
     50.00    0.7704    0.5298
     51.00    0.7650    0.5466
     52.00    0.7592    0.5632
     53.00    0.7530    0.5797
     54.00    0.7463    0.5960
     55.00    0.7392    0.6122
     56.00    0.7315    0.6281
     57.00    0.7234    0.6438
     58.00    0.7146    0.6593
     59.00    0.7054    0.6745
     60.00    0.6955    0.6895
     61.00    0.6851    0.7041
     62.00    0.6740    0.7185
     63.00    0.6624    0.7325
     64.00    0.6502    0.7462
     65.00    0.6374    0.7595
     66.00    0.6239    0.7724
     67.00    0.6099    0.7849
     68.00    0.5952    0.7971
     69.00    0.5799    0.8088
     70.00    0.5641    0.8200
     71.00    0.5477    0.8308
     72.00    0.5307    0.8412
     73.00    0.5131    0.8511
     74.00    0.4950    0.8604
     75.00    0.4763    0.8693
     76.00    0.4571    0.8777
     77.00    0.4374    0.8855
     78.00    0.4172    0.8929
     79.00    0.3966    0.8996
     80.00    0.3755    0.9059
     81.00    0.3540    0.9115
     82.00    0.3321    0.9166
     83.00    0.3098    0.9212
     84.00    0.2872    0.9251
     85.00    0.2643    0.9285
     86.00    0.2410    0.9313
     87.00    0.2175    0.9335
     88.00    0.1938    0.9351
     89.00    0.1698    0.9362
     90.00    0.1457    0.9366
     91.00    0.1215    0.9365
     92.00    0.0971    0.9357
     93.00    0.0726    0.9344
     94.00    0.0482    0.9325
     95.00    0.0237    0.9300
     96.00   -0.0008    0.9269
     97.00   -0.0253    0.9232
     98.00   -0.0496    0.9190
     99.00   -0.0738    0.9142
    100.00   -0.0978    0.9088
    101.00   -0.1217    0.9029
    102.00   -0.1453    0.8964
    103.00   -0.1687    0.8894
    104.00   -0.1917    0.8819
    105.00   -0.2145    0.8738
    106.00   -0.2368    0.8653
    107.00   -0.2588    0.8563
    108.00   -0.2803    0.8467
    109.00   -0.3014    0.8367
    110.00   -0.3220    0.8263
    111.00   -0.3421    0.8154
    112.00   -0.3616    0.8040
    113.00   -0.3992    0.7923
    114.00   -0.4172    0.7802
    115.00   -0.4345    0.7676
    116.00   -0.4512    0.7547
    117.00   -0.4672    0.7415
    118.00   -0.4825    0.7279
    119.00   -0.4971    0.7140
    120.00   -0.5109    0.6998
    121.00   -0.5240    0.6853
    122.00   -0.5364    0.6706
    123.00   -0.5479    0.6556
    124.00   -0.5586    0.6404
    125.00   -0.5685    0.6250
    126.00   -0.5775    0.6094
    127.00   -0.5858    0.5937
    128.00   -0.5931    0.5778
    129.00   -0.5996    0.5617
    130.00   -0.6052    0.5456
    131.00   -0.6100    0.5294
    132.00   -0.6138    0.5131
    133.00   -0.6168    0.4968
    134.00   -0.6189    0.4804
    135.00   -0.6202    0.4641
    136.00   -0.6206    0.4478
    137.00   -0.6201    0.4315
    138.00   -0.6187    0.4152
    139.00   -0.6165    0.3991
    140.00   -0.6135    0.3830
    141.00   -0.6097    0.3671
    142.00   -0.6050    0.3513
    143.00   -0.5996    0.3357
    144.00   -0.5934    0.3202
    145.00   -0.5864    0.3049
    146.00   -0.5787    0.2898
    147.00   -0.5703    0.2750
    148.00   -0.5613    0.2604
    149.00   -0.5516    0.2461
    150.00   -0.5412    0.2321
    151.00   -0.5303    0.2183
    152.00   -0.5189    0.2049
    153.00   -0.5069    0.1918
    154.00   -0.4945    0.1791
    155.00   -0.4817    0.1667
    156.00   -0.4685    0.1547
    157.00   -0.4550    0.1431
    158.00   -0.4412    0.1319
    159.00   -0.4273    0.1211
    160.00   -0.4133    0.1107
    161.00   -0.3993    0.1008
    162.00   -0.3855    0.0913
    163.00   -0.3719    0.0823
    164.00   -0.3586    0.0737
    165.00   -0.3460    0.0657
    166.00   -0.3342    0.0581
    167.00   -0.3235    0.0510
    168.00   -0.3142    0.0444
    169.00   -0.3065    0.0383
    170.00   -0.3008    0.0327
    171.00   -0.2972    0.0277
    172.00   -0.2953    0.0231
    173.00   -0.2941    0.0191
    174.00   -0.2910    0.0156
    175.00   -0.2819    0.0127
    176.00   -0.2614    0.0103
    177.00   -0.2257    0.0084
    178.00   -0.1745    0.0071
    179.00   -0.1117    0.0063
    180.00   -0.0427    0.0060
    180.00   -0.0427    0.0060
