QBlade v0.963 64bit
NACA 2418
T1_Re0.050_M0.00_N9.0
Alpha =   0.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.540    -0.029     0.678     1.014
 0.9965    0.399    -0.033     0.775     1.016
 0.9901    0.320    -0.040     0.824     1.020
 0.9819    0.258    -0.050     0.861     1.025
 0.9724    0.207    -0.062     0.891     1.031
 0.9617    0.162    -0.077     0.915     1.038
 0.9501    0.123    -0.093     0.937     1.046
 0.9376    0.086    -0.113     0.956     1.055
 0.9243    0.052    -0.134     0.973     1.065
 0.9104    0.021    -0.160     0.990     1.077
 0.8960   -0.009    -0.189     1.005     1.090
 0.8810   -0.037    -0.222     1.019     1.106
 0.8655   -0.065    -0.262     1.032     1.123
 0.8496   -0.091    -0.311     1.044     1.145
 0.8333   -0.116    -0.347     1.056     1.161
 0.8167   -0.140    -0.348     1.068     1.161
 0.7998   -0.164    -0.348     1.079     1.161
 0.7827   -0.187    -0.349     1.089     1.162
 0.7653   -0.209    -0.350     1.100     1.162
 0.7477   -0.232    -0.351     1.110     1.162
 0.7299   -0.253    -0.351     1.120     1.163
 0.7120   -0.275    -0.352     1.129     1.163
 0.6940   -0.296    -0.353     1.139     1.163
 0.6759   -0.317    -0.354     1.148     1.164
 0.6577   -0.338    -0.355     1.157     1.164
 0.6395   -0.359    -0.357     1.166     1.165
 0.6212   -0.380    -0.358     1.175     1.166
 0.6029   -0.401    -0.360     1.184     1.166
 0.5847   -0.422    -0.363     1.192     1.167
 0.5664   -0.443    -0.365     1.201     1.169
 0.5483   -0.463    -0.369     1.210     1.170
 0.5302   -0.484    -0.373     1.218     1.172
 0.5121   -0.505    -0.378     1.227     1.174
 0.4942   -0.526    -0.385     1.235     1.177
 0.4764   -0.547    -0.392     1.244     1.180
 0.4587   -0.569    -0.402     1.252     1.184
 0.4412   -0.590    -0.414     1.261     1.189
 0.4239   -0.612    -0.428     1.270     1.195
 0.4067   -0.636    -0.444     1.279     1.201
 0.3897   -0.664    -0.462     1.290     1.209
 0.3729   -0.686    -0.482     1.298     1.218
 0.3564   -0.705    -0.504     1.306     1.226
 0.3400   -0.723    -0.527     1.313     1.236
 0.3239   -0.739    -0.548     1.319     1.244
 0.3081   -0.754    -0.568     1.324     1.252
 0.2926   -0.767    -0.587     1.329     1.260
 0.2773   -0.778    -0.603     1.333     1.266
 0.2623   -0.788    -0.617     1.337     1.272
 0.2476   -0.795    -0.628     1.340     1.276
 0.2333   -0.801    -0.637     1.342     1.279
 0.2192   -0.805    -0.643     1.344     1.282
 0.2055   -0.807    -0.647     1.344     1.283
 0.1922   -0.806    -0.648     1.344     1.284
 0.1792   -0.803    -0.646     1.343     1.283
 0.1666   -0.798    -0.642     1.341     1.281
 0.1544   -0.790    -0.634     1.338     1.278
 0.1425   -0.779    -0.623     1.334     1.274
 0.1311   -0.765    -0.609     1.329     1.268
 0.1201   -0.748    -0.591     1.322     1.261
 0.1095   -0.728    -0.570     1.314     1.253
 0.0993   -0.703    -0.544     1.305     1.243
 0.0896   -0.675    -0.514     1.294     1.231
 0.0803   -0.642    -0.480     1.281     1.216
 0.0715   -0.604    -0.440     1.266     1.200
 0.0632   -0.560    -0.394     1.249     1.181
 0.0553   -0.510    -0.342     1.229     1.158
 0.0479   -0.453    -0.282     1.205     1.132
