QBlade v0.963 64bit
NACA 2418
T1_Re0.050_M0.00_N9.0
Alpha = -10.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.549    -0.190     0.672     1.091
 0.9965    0.422    -0.191     0.760     1.092
 0.9901    0.353    -0.194     0.804     1.093
 0.9819    0.302    -0.197     0.836     1.094
 0.9724    0.261    -0.201     0.860     1.096
 0.9617    0.227    -0.206     0.879     1.098
 0.9501    0.198    -0.211     0.895     1.101
 0.9376    0.173    -0.217     0.909     1.103
 0.9243    0.151    -0.223     0.922     1.106
 0.9104    0.130    -0.230     0.933     1.109
 0.8960    0.112    -0.236     0.942     1.112
 0.8810    0.095    -0.243     0.951     1.115
 0.8655    0.080    -0.250     0.959     1.118
 0.8496    0.066    -0.257     0.966     1.121
 0.8333    0.054    -0.263     0.973     1.124
 0.8167    0.042    -0.270     0.979     1.127
 0.7998    0.031    -0.277     0.984     1.130
 0.7827    0.021    -0.283     0.989     1.133
 0.7653    0.012    -0.289     0.994     1.135
 0.7477    0.004    -0.295     0.998     1.138
 0.7299   -0.004    -0.301     1.002     1.141
 0.7120   -0.011    -0.306     1.006     1.143
 0.6940   -0.018    -0.312     1.009     1.145
 0.6759   -0.023    -0.317     1.012     1.148
 0.6577   -0.029    -0.322     1.014     1.150
 0.6395   -0.034    -0.327     1.017     1.152
 0.6212   -0.038    -0.331     1.019     1.154
 0.6029   -0.042    -0.335     1.021     1.156
 0.5847   -0.045    -0.339     1.022     1.157
 0.5664   -0.047    -0.343     1.023     1.159
 0.5483   -0.050    -0.347     1.024     1.161
 0.5302   -0.051    -0.350     1.025     1.162
 0.5121   -0.052    -0.353     1.026     1.163
 0.4942   -0.052    -0.356     1.026     1.165
 0.4764   -0.052    -0.359     1.025     1.166
 0.4587   -0.050    -0.361     1.025     1.167
 0.4412   -0.049    -0.363     1.024     1.167
 0.4239   -0.046    -0.365     1.023     1.168
 0.4067   -0.044    -0.366     1.022     1.169
 0.3897   -0.043    -0.367     1.021     1.169
 0.3729   -0.038    -0.365     1.019     1.169
 0.3564   -0.030    -0.362     1.015     1.167
 0.3400   -0.019    -0.356     1.010     1.165
 0.3239   -0.007    -0.349     1.003     1.161
 0.3081    0.008    -0.339     0.996     1.157
 0.2926    0.024    -0.328     0.988     1.152
 0.2773    0.043    -0.314     0.978     1.146
 0.2623    0.064    -0.298     0.967     1.139
 0.2476    0.088    -0.280     0.955     1.132
 0.2333    0.113    -0.260     0.942     1.123
 0.2192    0.141    -0.237     0.927     1.112
 0.2055    0.172    -0.212     0.910     1.101
 0.1922    0.205    -0.185     0.892     1.088
 0.1792    0.240    -0.155     0.872     1.074
 0.1666    0.278    -0.122     0.850     1.059
 0.1544    0.318    -0.086     0.826     1.042
 0.1425    0.361    -0.047     0.799     1.023
 0.1311    0.407    -0.005     0.770     1.003
 0.1201    0.455     0.039     0.738     0.980
 0.1095    0.505     0.087     0.704     0.955
 0.0993    0.557     0.139     0.666     0.928
 0.0896    0.611     0.193     0.624     0.898
 0.0803    0.666     0.251     0.578     0.865
 0.0715    0.722     0.313     0.527     0.829
 0.0632    0.779     0.378     0.471     0.788
 0.0553    0.833     0.447     0.408     0.744
 0.0479    0.885     0.519     0.338     0.694
 0.0410    0.932     0.593     0.261     0.638
 0.0346    0.970     0.670     0.173     0.575
 0.0287    0.994     0.746     0.075     0.504
 0.0234    0.999     0.821    -0.035     0.424
 0.0186    0.974     0.890    -0.160     0.332
 0.0143    0.909     0.948    -0.301     0.229
 0.0105    0.789     0.988    -0.460     0.109
 0.0074    0.595     0.999    -0.636    -0.023
 0.0047    0.311     0.971    -0.830    -0.171
 0.0027   -0.077     0.888    -1.038    -0.335
 0.0012   -0.573     0.742    -1.254    -0.508
 0.0003   -1.160     0.529    -1.470    -0.686
 0.0000   -1.815     0.255    -1.678    -0.863
 0.0003   -2.513    -0.065    -1.874    -1.032
 0.0012   -3.163    -0.396    -2.040    -1.181
 0.0027   -3.689    -0.696    -2.165    -1.302
 0.0047   -4.050    -0.936    -2.247    -1.391
 0.0074   -4.244    -1.100    -2.290    -1.449
 0.0105   -4.296    -1.189    -2.301    -1.480
 0.0143   -4.241    -1.213    -2.289    -1.488
 0.0186   -4.115    -1.185    -2.262    -1.478
 0.0234   -3.947    -1.121    -2.224    -1.456
 0.0287   -3.759    -1.036    -2.181    -1.427
 0.0346   -3.562    -0.953    -2.136    -1.398
 0.0410   -3.368    -0.886    -2.090    -1.373
 0.0479   -3.179    -0.837    -2.044    -1.355
 0.0553   -3.000    -0.805    -2.000    -1.343
 0.0632   -2.832    -0.784    -1.957    -1.336
 0.0715   -2.673    -0.771    -1.917    -1.331
 0.0803   -2.526    -0.763    -1.878    -1.328
 0.0896   -2.388    -0.757    -1.841    -1.326
 0.0993   -2.259    -0.753    -1.805    -1.324
 0.1095   -2.138    -0.751    -1.772    -1.323
 0.1201   -2.025    -0.749    -1.739    -1.322
 0.1311   -1.920    -0.747    -1.709    -1.322
 0.1425   -1.821    -0.746    -1.679    -1.321
 0.1544   -1.727    -0.745    -1.651    -1.321
 0.1666   -1.639    -0.744    -1.625    -1.320
 0.1792   -1.556    -0.742    -1.599    -1.320
 0.1922   -1.477    -0.742    -1.574    -1.320
 0.2055   -1.403    -0.741    -1.550    -1.319
 0.2192   -1.333    -0.740    -1.527    -1.319
 0.2333   -1.266    -0.739    -1.505    -1.319
 0.2476   -1.202    -0.738    -1.484    -1.318
 0.2623   -1.142    -0.737    -1.464    -1.318
 0.2773   -1.085    -0.736    -1.444    -1.317
 0.2926   -1.030    -0.734    -1.425    -1.317
 0.3081   -0.978    -0.733    -1.407    -1.317
 0.3239   -0.929    -0.732    -1.389    -1.316
 0.3400   -0.883    -0.731    -1.372    -1.316
 0.3564   -0.839    -0.730    -1.356    -1.315
 0.3729   -0.798    -0.729    -1.341    -1.315
 0.3897   -0.760    -0.660    -1.327    -1.289
 0.4067   -0.729    -0.615    -1.315    -1.271
 0.4239   -0.695    -0.579    -1.302    -1.257
