QBlade v0.963 64bit
NACA 2418
T1_Re0.050_M0.00_N9.0
Alpha =  10.0,  Re =    50000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.560    -0.196     0.664     1.094
 0.9965    0.413    -0.197     0.766     1.094
 0.9901    0.328    -0.199     0.820     1.095
 0.9819    0.259    -0.202     0.861     1.096
 0.9724    0.200    -0.205     0.894     1.098
 0.9617    0.147    -0.209     0.924     1.099
 0.9501    0.098    -0.213     0.950     1.101
 0.9376    0.052    -0.217     0.974     1.103
 0.9243    0.009    -0.222     0.996     1.105
 0.9104   -0.033    -0.227     1.016     1.108
 0.8960   -0.074    -0.233     1.036     1.110
 0.8810   -0.113    -0.239     1.055     1.113
 0.8655   -0.152    -0.245     1.073     1.116
 0.8496   -0.190    -0.252     1.091     1.119
 0.8333   -0.227    -0.260     1.108     1.122
 0.8167   -0.264    -0.267     1.124     1.126
 0.7998   -0.301    -0.276     1.140     1.129
 0.7827   -0.337    -0.285     1.156     1.133
 0.7653   -0.374    -0.294     1.172     1.138
 0.7477   -0.411    -0.304     1.188     1.142
 0.7299   -0.448    -0.315     1.203     1.147
 0.7120   -0.485    -0.327     1.218     1.152
 0.6940   -0.522    -0.339     1.234     1.157
 0.6759   -0.560    -0.352     1.249     1.163
 0.6577   -0.599    -0.367     1.264     1.169
 0.6395   -0.638    -0.382     1.280     1.176
 0.6212   -0.677    -0.399     1.295     1.183
 0.6029   -0.718    -0.417     1.311     1.190
 0.5847   -0.759    -0.437     1.326     1.199
 0.5664   -0.801    -0.459     1.342     1.208
 0.5483   -0.845    -0.482     1.358     1.217
 0.5302   -0.889    -0.508     1.374     1.228
 0.5121   -0.934    -0.538     1.391     1.240
 0.4942   -0.981    -0.571     1.408     1.253
 0.4764   -1.029    -0.609     1.425     1.268
 0.4587   -1.079    -0.655     1.442     1.286
 0.4412   -1.131    -0.711     1.460     1.308
 0.4239   -1.185    -0.795     1.478     1.340
 0.4067   -1.243    -0.815     1.498     1.347
 0.3897   -1.308    -0.815     1.519     1.347
 0.3729   -1.367    -0.816     1.538     1.347
 0.3564   -1.425    -0.816     1.557     1.348
 0.3400   -1.483    -0.816     1.576     1.348
 0.3239   -1.541    -0.817     1.594     1.348
 0.3081   -1.600    -0.817     1.612     1.348
 0.2926   -1.658    -0.817     1.630     1.348
 0.2773   -1.717    -0.818     1.648     1.348
 0.2623   -1.776    -0.819     1.666     1.349
 0.2476   -1.836    -0.820     1.684     1.349
 0.2333   -1.896    -0.822     1.702     1.350
 0.2192   -1.957    -0.824     1.720     1.351
 0.2055   -2.019    -0.828     1.737     1.352
 0.1922   -2.081    -0.834     1.755     1.354
 0.1792   -2.144    -0.841     1.773     1.357
 0.1666   -2.209    -0.852     1.791     1.361
 0.1544   -2.274    -0.867     1.809     1.366
 0.1425   -2.341    -0.887     1.828     1.374
 0.1311   -2.410    -0.914     1.847     1.384
 0.1201   -2.481    -0.948     1.866     1.396
 0.1095   -2.553    -0.988     1.885     1.410
 0.0993   -2.629    -1.034     1.905     1.426
 0.0896   -2.707    -1.084     1.925     1.443
 0.0803   -2.787    -1.133     1.946     1.460
 0.0715   -2.872    -1.179     1.968     1.476
 0.0632   -2.959    -1.221     1.990     1.490
 0.0553   -3.049    -1.258     2.012     1.503
 0.0479   -3.143    -1.288     2.035     1.513
 0.0410   -3.238    -1.311     2.059     1.520
 0.0346   -3.333    -1.324     2.082     1.524
 0.0287   -3.425    -1.325     2.104     1.525
 0.0234   -3.510    -1.311     2.124     1.520
 0.0186   -3.580    -1.278     2.140     1.509
 0.0143   -3.626    -1.219     2.151     1.490
 0.0105   -3.632    -1.129     2.152     1.459
 0.0074   -3.579    -1.000     2.140     1.414
 0.0047   -3.446    -0.824     2.109     1.351
 0.0027   -3.210    -0.601     2.052     1.265
 0.0012   -2.857    -0.334     1.964     1.155
 0.0003   -2.391    -0.038     1.841     1.019
 0.0000   -1.846     0.258     1.687     0.861
 0.0003   -1.289     0.525     1.513     0.689
 0.0012   -0.739     0.740     1.319     0.510
 0.0027   -0.234     0.893     1.111     0.327
 0.0047    0.190     0.976     0.900     0.154
 0.0074    0.514     1.000     0.697    -0.008
 0.0105    0.742     0.977     0.508    -0.153
 0.0143    0.886     0.923     0.338    -0.278
 0.0186    0.965     0.851     0.187    -0.386
 0.0234    0.997     0.771     0.055    -0.478
 0.0287    0.997     0.690    -0.059    -0.557
 0.0346    0.975     0.612    -0.158    -0.623
 0.0410    0.940     0.539    -0.244    -0.679
 0.0479    0.898     0.471    -0.319    -0.727
 0.0553    0.852     0.410    -0.384    -0.768
 0.0632    0.805     0.354    -0.441    -0.804
 0.0715    0.759     0.304    -0.491    -0.834
 0.0803    0.714     0.260    -0.535    -0.860
 0.0896    0.671     0.220    -0.573    -0.883
 0.0993    0.631     0.185    -0.607    -0.903
 0.1095    0.593     0.153    -0.638    -0.920
 0.1201    0.558     0.125    -0.665    -0.935
 0.1311    0.526     0.100    -0.688    -0.949
 0.1425    0.496     0.078    -0.710    -0.960
 0.1544    0.469     0.059    -0.729    -0.970
 0.1666    0.444     0.042    -0.746    -0.979
 0.1792    0.421     0.027    -0.761    -0.986
 0.1922    0.400     0.014    -0.775    -0.993
 0.2055    0.381     0.002    -0.787    -0.999
 0.2192    0.364    -0.008    -0.798    -1.004
 0.2333    0.348    -0.017    -0.807    -1.008
 0.2476    0.334    -0.025    -0.816    -1.012
 0.2623    0.321    -0.032    -0.824    -1.016
 0.2773    0.309    -0.037    -0.831    -1.019
 0.2926    0.299    -0.043    -0.837    -1.021
 0.3081    0.289    -0.047    -0.843    -1.023
 0.3239    0.280    -0.052    -0.848    -1.026
 0.3400    0.272    -0.056    -0.853    -1.027
 0.3564    0.264    -0.060    -0.858    -1.029
 0.3729    0.257    -0.064    -0.862    -1.031
 0.3897    0.250    -0.068    -0.866    -1.033
 0.4067    0.241    -0.073    -0.871    -1.036
 0.4239    0.234    -0.077    -0.875    -1.038
 0.4412    0.229    -0.080    -0.878    -1.039
 0.4587    0.224    -0.084    -0.881    -1.041
 0.4764    0.220    -0.086    -0.883    -1.042
 0.4942    0.217    -0.088    -0.885    -1.043
 0.5121    0.215    -0.090    -0.886    -1.044
 0.5302    0.213    -0.092    -0.887    -1.045
 0.5483    0.211    -0.093    -0.888    -1.045
 0.5664    0.210    -0.094    -0.889    -1.046
 0.5847    0.209    -0.096    -0.890    -1.047
 0.6029    0.208    -0.097    -0.890    -1.047
 0.6212    0.208    -0.098    -0.890    -1.048
 0.6395    0.208    -0.099    -0.890    -1.049
 0.6577    0.208    -0.101    -0.890    -1.049
 0.6759    0.208    -0.102    -0.890    -1.050
 0.6940    0.209    -0.104    -0.890    -1.051
 0.7120    0.210    -0.106    -0.889    -1.052
 0.7299    0.211    -0.108    -0.888    -1.053
 0.7477    0.212    -0.111    -0.887    -1.054
 0.7653    0.214    -0.113    -0.886    -1.055
 0.7827    0.216    -0.116    -0.885    -1.056
 0.7998    0.219    -0.119    -0.884    -1.058
 0.8167    0.222    -0.122    -0.882    -1.059
 0.8333    0.226    -0.125    -0.880    -1.061
 0.8496    0.230    -0.129    -0.877    -1.063
 0.8655    0.235    -0.133    -0.875    -1.064
 0.8810    0.241    -0.137    -0.871    -1.066
 0.8960    0.248    -0.141    -0.867    -1.068
 0.9104    0.257    -0.146    -0.862    -1.070
 0.9243    0.266    -0.151    -0.857    -1.073
 0.9376    0.278    -0.155    -0.850    -1.075
 0.9501    0.292    -0.160    -0.841    -1.077
 0.9617    0.309    -0.166    -0.831    -1.080
 0.9724    0.331    -0.171    -0.818    -1.082
 0.9819    0.359    -0.176    -0.801    -1.084
 0.9901    0.397    -0.181    -0.777    -1.087
 0.9965    0.453    -0.186    -0.740    -1.089
 1.0000    0.560    -0.196    -0.664    -1.094


