QBlade v0.963 64bit
NACA 2418
T1_Re0.100_M0.00_N9.0
Alpha =   0.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.540     0.218     0.678     0.884
 0.9965    0.399     0.213     0.775     0.887
 0.9901    0.320     0.203     0.824     0.893
 0.9819    0.258     0.191     0.861     0.900
 0.9724    0.207     0.176     0.891     0.908
 0.9617    0.162     0.159     0.915     0.917
 0.9501    0.123     0.140     0.937     0.927
 0.9376    0.086     0.120     0.956     0.938
 0.9243    0.052     0.099     0.973     0.949
 0.9104    0.021     0.076     0.990     0.961
 0.8960   -0.009     0.053     1.005     0.973
 0.8810   -0.037     0.027     1.019     0.986
 0.8655   -0.065    -0.001     1.032     1.000
 0.8496   -0.091    -0.034     1.044     1.017
 0.8333   -0.116    -0.073     1.056     1.036
 0.8167   -0.140    -0.124     1.068     1.060
 0.7998   -0.164    -0.189     1.079     1.090
 0.7827   -0.187    -0.270     1.089     1.127
 0.7653   -0.209    -0.358     1.100     1.165
 0.7477   -0.232    -0.400     1.110     1.183
 0.7299   -0.253    -0.403     1.120     1.185
 0.7120   -0.275    -0.407     1.129     1.186
 0.6940   -0.296    -0.410     1.139     1.187
 0.6759   -0.317    -0.413     1.148     1.189
 0.6577   -0.338    -0.417     1.157     1.190
 0.6395   -0.359    -0.421     1.166     1.192
 0.6212   -0.380    -0.425     1.175     1.194
 0.6029   -0.401    -0.429     1.184     1.196
 0.5847   -0.422    -0.435     1.192     1.198
 0.5664   -0.443    -0.441     1.201     1.200
 0.5483   -0.463    -0.448     1.210     1.203
 0.5302   -0.484    -0.456     1.218     1.207
 0.5121   -0.505    -0.466     1.227     1.211
 0.4942   -0.526    -0.477     1.235     1.215
 0.4764   -0.547    -0.490     1.244     1.221
 0.4587   -0.569    -0.504     1.252     1.227
 0.4412   -0.590    -0.521     1.261     1.233
 0.4239   -0.612    -0.539     1.270     1.240
 0.4067   -0.636    -0.559     1.279     1.248
 0.3897   -0.664    -0.580     1.290     1.257
 0.3729   -0.686    -0.602     1.298     1.266
 0.3564   -0.705    -0.623     1.306     1.274
 0.3400   -0.723    -0.642     1.313     1.282
 0.3239   -0.739    -0.660     1.319     1.289
 0.3081   -0.754    -0.677     1.324     1.295
 0.2926   -0.767    -0.691     1.329     1.301
 0.2773   -0.778    -0.704     1.333     1.305
 0.2623   -0.788    -0.715     1.337     1.309
 0.2476   -0.795    -0.723     1.340     1.313
 0.2333   -0.801    -0.730     1.342     1.315
 0.2192   -0.805    -0.734     1.344     1.317
 0.2055   -0.807    -0.736     1.344     1.317
 0.1922   -0.806    -0.735     1.344     1.317
 0.1792   -0.803    -0.732     1.343     1.316
 0.1666   -0.798    -0.726     1.341     1.314
 0.1544   -0.790    -0.718     1.338     1.311
 0.1425   -0.779    -0.706     1.334     1.306
 0.1311   -0.765    -0.691     1.329     1.301
 0.1201   -0.748    -0.674     1.322     1.294
 0.1095   -0.728    -0.652     1.314     1.285
 0.0993   -0.703    -0.626     1.305     1.275
 0.0896   -0.675    -0.597     1.294     1.264
 0.0803   -0.642    -0.562     1.281     1.250
 0.0715   -0.604    -0.523     1.266     1.234
 0.0632   -0.560    -0.477     1.249     1.215
 0.0553   -0.510    -0.425     1.229     1.194
 0.0479   -0.453    -0.366     1.205     1.169
 0.0410   -0.387    -0.298     1.178     1.139
 0.0346   -0.311    -0.221     1.145     1.105
 0.0287   -0.224    -0.133     1.106     1.064
 0.0234   -0.124    -0.032     1.060     1.016
 0.0186   -0.010     0.081     1.005     0.959
 0.0143    0.118     0.208     0.939     0.890
 0.0105    0.262     0.348     0.859     0.807
 0.0074    0.417     0.497     0.763     0.709
 0.0047    0.579     0.649     0.649     0.593
 0.0027    0.735     0.792     0.515     0.457
 0.0012    0.870     0.909     0.360     0.301
 0.0003    0.964     0.983     0.189     0.129
 0.0000    1.000     0.997     0.005    -0.054
 0.0003    0.966     0.942    -0.184    -0.240
 0.0012    0.866     0.823    -0.366    -0.421
 0.0027    0.713     0.655    -0.535    -0.587
 0.0047    0.532     0.464    -0.684    -0.732
 0.0074    0.346     0.271    -0.809    -0.854
 0.0105    0.171     0.093    -0.910    -0.952
 0.0143    0.018    -0.061    -0.991    -1.030
 0.0186   -0.109    -0.187    -1.053    -1.090
 0.0234   -0.213    -0.289    -1.101    -1.135
