QBlade v0.963 64bit
NACA 2418
T1_Re0.100_M0.00_N9.0
Alpha = -10.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.549     0.080     0.672     0.959
 0.9965    0.422     0.080     0.760     0.959
 0.9901    0.353     0.080     0.804     0.959
 0.9819    0.302     0.080     0.836     0.959
 0.9724    0.261     0.080     0.860     0.959
 0.9617    0.227     0.079     0.879     0.959
 0.9501    0.198     0.079     0.895     0.960
 0.9376    0.173     0.078     0.909     0.960
 0.9243    0.151     0.077     0.922     0.961
 0.9104    0.130     0.076     0.933     0.961
 0.8960    0.112     0.074     0.942     0.962
 0.8810    0.095     0.072     0.951     0.963
 0.8655    0.080     0.069     0.959     0.965
 0.8496    0.066     0.065     0.966     0.967
 0.8333    0.054     0.060     0.973     0.969
 0.8167    0.042     0.054     0.979     0.972
 0.7998    0.031     0.048     0.984     0.976
 0.7827    0.021     0.040     0.989     0.980
 0.7653    0.012     0.031     0.994     0.984
 0.7477    0.004     0.022     0.998     0.989
 0.7299   -0.004     0.012     1.002     0.994
 0.7120   -0.011     0.002     1.006     0.999
 0.6940   -0.018    -0.007     1.009     1.003
 0.6759   -0.023    -0.016     1.012     1.008
 0.6577   -0.029    -0.024     1.014     1.012
 0.6395   -0.034    -0.031     1.017     1.016
 0.6212   -0.038    -0.038     1.019     1.019
 0.6029   -0.042    -0.044     1.021     1.022
 0.5847   -0.045    -0.049     1.022     1.024
 0.5664   -0.047    -0.053     1.023     1.026
 0.5483   -0.050    -0.057     1.024     1.028
 0.5302   -0.051    -0.060     1.025     1.029
 0.5121   -0.052    -0.062     1.026     1.030
 0.4942   -0.052    -0.063     1.026     1.031
 0.4764   -0.052    -0.064     1.025     1.032
 0.4587   -0.050    -0.064     1.025     1.032
 0.4412   -0.049    -0.064     1.024     1.031
 0.4239   -0.046    -0.063     1.023     1.031
 0.4067   -0.044    -0.061     1.022     1.030
 0.3897   -0.043    -0.059     1.021     1.029
 0.3729   -0.038    -0.054     1.019     1.027
 0.3564   -0.030    -0.047     1.015     1.023
 0.3400   -0.019    -0.037     1.010     1.018
 0.3239   -0.007    -0.026     1.003     1.013
 0.3081    0.008    -0.012     0.996     1.006
 0.2926    0.024     0.004     0.988     0.998
 0.2773    0.043     0.022     0.978     0.989
 0.2623    0.064     0.042     0.967     0.979
 0.2476    0.088     0.065     0.955     0.967
 0.2333    0.113     0.090     0.942     0.954
 0.2192    0.141     0.117     0.927     0.940
 0.2055    0.172     0.147     0.910     0.924
 0.1922    0.205     0.179     0.892     0.906
 0.1792    0.240     0.214     0.872     0.887
 0.1666    0.278     0.251     0.850     0.865
 0.1544    0.318     0.291     0.826     0.842
 0.1425    0.361     0.333     0.799     0.817
 0.1311    0.407     0.378     0.770     0.789
 0.1201    0.455     0.426     0.738     0.758
 0.1095    0.505     0.475     0.704     0.724
 0.0993    0.557     0.527     0.666     0.687
 0.0896    0.611     0.582     0.624     0.647
 0.0803    0.666     0.637     0.578     0.602
 0.0715    0.722     0.694     0.527     0.553
 0.0632    0.779     0.751     0.471     0.499
 0.0553    0.833     0.808     0.408     0.438
 0.0479    0.885     0.862     0.338     0.371
 0.0410    0.932     0.912     0.261     0.296
 0.0346    0.970     0.955     0.173     0.211
 0.0287    0.994     0.986     0.075     0.117
 0.0234    0.999     1.000    -0.035     0.010
 0.0186    0.974     0.988    -0.160    -0.111
 0.0143    0.909     0.940    -0.301    -0.246
 0.0105    0.789     0.841    -0.460    -0.399
 0.0074    0.595     0.677    -0.636    -0.568
 0.0047    0.311     0.430    -0.830    -0.755
 0.0027   -0.077     0.090    -1.038    -0.954
 0.0012   -0.573    -0.350    -1.254    -1.162
 0.0003   -1.160    -0.875    -1.470    -1.369
 0.0000   -1.815    -1.463    -1.678    -1.569
 0.0003   -2.513    -2.084    -1.874    -1.756
 0.0012   -3.163    -2.665    -2.040    -1.914
 0.0027   -3.689    -3.134    -2.165    -2.033
 0.0047   -4.050    -3.454    -2.247    -2.110
 0.0074   -4.244    -3.620    -2.290    -2.150
 0.0105   -4.296    -3.653    -2.301    -2.157
 0.0143   -4.241    -3.584    -2.289    -2.141
 0.0186   -4.115    -3.446    -2.262    -2.109
 0.0234   -3.947    -3.274    -2.224    -2.067
 0.0287   -3.759    -3.107    -2.181    -2.027
 0.0346   -3.562    -2.972    -2.136    -1.993
 0.0410   -3.368    -2.873    -2.090    -1.968
 0.0479   -3.179    -2.806    -2.044    -1.951
 0.0553   -3.000    -2.761    -2.000    -1.939
 0.0632   -2.832    -2.730    -1.957    -1.931
 0.0715   -2.673    -2.707    -1.917    -1.925
 0.0803   -2.526    -2.689    -1.878    -1.921
 0.0896   -2.388    -2.674    -1.841    -1.917
 0.0993   -2.259    -2.660    -1.805    -1.913
 0.1095   -2.138    -2.646    -1.772    -1.909
 0.1201   -2.025    -2.631    -1.739    -1.905
 0.1311   -1.920    -2.486    -1.709    -1.867
 0.1425   -1.821    -2.133    -1.679    -1.770
 0.1544   -1.727    -1.844    -1.651    -1.686
 0.1666   -1.639    -1.627    -1.625    -1.621
 0.1792   -1.556    -1.474    -1.599    -1.573
 0.1922   -1.477    -1.362    -1.574    -1.537
 0.2055   -1.403    -1.276    -1.550    -1.509
 0.2192   -1.333    -1.205    -1.527    -1.485
 0.2333   -1.266    -1.144    -1.505    -1.464
 0.2476   -1.202    -1.089    -1.484    -1.445
 0.2623   -1.142    -1.037    -1.464    -1.427
 0.2773   -1.085    -0.988    -1.444    -1.410
 0.2926   -1.030    -0.941    -1.425    -1.393
 0.3081   -0.978    -0.897    -1.407    -1.377
 0.3239   -0.929    -0.854    -1.389    -1.362
 0.3400   -0.883    -0.813    -1.372    -1.347
 0.3564   -0.839    -0.774    -1.356    -1.332
 0.3729   -0.798    -0.737    -1.341    -1.318
 0.3897   -0.760    -0.702    -1.327    -1.305
 0.4067   -0.729    -0.669    -1.315    -1.292
 0.4239   -0.695    -0.636    -1.302    -1.279
 0.4412   -0.660    -0.604    -1.288    -1.266
