QBlade v0.963 64bit
NACA 2418
T1_Re0.100_M0.00_N9.0
Alpha =  10.0,  Re =   100000,  Ma = 0.0000,  ACrit = 9.0 

   x        Cpi      Cpv        Qi        Qv
 1.0000    0.560     0.140     0.664     0.927
 0.9965    0.413     0.138     0.766     0.928
 0.9901    0.328     0.134     0.820     0.930
 0.9819    0.259     0.129     0.861     0.933
 0.9724    0.200     0.122     0.894     0.937
 0.9617    0.147     0.112     0.924     0.942
 0.9501    0.098     0.101     0.950     0.948
 0.9376    0.052     0.088     0.974     0.955
 0.9243    0.009     0.073     0.996     0.963
 0.9104   -0.033     0.056     1.016     0.972
 0.8960   -0.074     0.036     1.036     0.982
 0.8810   -0.113     0.014     1.055     0.993
 0.8655   -0.152    -0.011     1.073     1.005
 0.8496   -0.190    -0.037     1.091     1.018
 0.8333   -0.227    -0.066     1.108     1.032
 0.8167   -0.264    -0.096     1.124     1.047
 0.7998   -0.301    -0.128     1.140     1.062
 0.7827   -0.337    -0.161     1.156     1.078
 0.7653   -0.374    -0.196     1.172     1.093
 0.7477   -0.411    -0.231     1.188     1.109
 0.7299   -0.448    -0.267     1.203     1.126
 0.7120   -0.485    -0.303     1.218     1.142
 0.6940   -0.522    -0.340     1.234     1.158
 0.6759   -0.560    -0.378     1.249     1.174
 0.6577   -0.599    -0.416     1.264     1.190
 0.6395   -0.638    -0.454     1.280     1.206
 0.6212   -0.677    -0.492     1.295     1.221
 0.6029   -0.718    -0.531     1.311     1.237
 0.5847   -0.759    -0.569     1.326     1.253
 0.5664   -0.801    -0.609     1.342     1.268
 0.5483   -0.845    -0.648     1.358     1.284
 0.5302   -0.889    -0.687     1.374     1.299
 0.5121   -0.934    -0.727     1.391     1.314
 0.4942   -0.981    -0.767     1.408     1.329
 0.4764   -1.029    -0.807     1.425     1.344
 0.4587   -1.079    -0.847     1.442     1.359
 0.4412   -1.131    -0.887     1.460     1.374
 0.4239   -1.185    -0.929     1.478     1.389
 0.4067   -1.243    -0.976     1.498     1.406
 0.3897   -1.308    -1.033     1.519     1.426
 0.3729   -1.367    -1.107     1.538     1.452
 0.3564   -1.425    -1.227     1.557     1.492
 0.3400   -1.483    -1.427     1.576     1.558
 0.3239   -1.541    -1.691     1.594     1.640
 0.3081   -1.600    -1.707     1.612     1.645
 0.2926   -1.658    -1.722     1.630     1.650
 0.2773   -1.717    -1.737     1.648     1.654
 0.2623   -1.776    -1.752     1.666     1.659
 0.2476   -1.836    -1.768     1.684     1.664
 0.2333   -1.896    -1.786     1.702     1.669
 0.2192   -1.957    -1.806     1.720     1.675
 0.2055   -2.019    -1.829     1.737     1.682
 0.1922   -2.081    -1.856     1.755     1.690
 0.1792   -2.144    -1.887     1.773     1.699
